Chrom	position
chr19	17416354
chr2	203879348
chr1	8909026
chr2	191885077
chr6	28351315
chr8	131314785
chr11	36562779
chr17	74102319
chr1	109618611
chr15	74674830
chr9	117349995
chr1	169337157
chr2	33824391
chr1	41469551
chr3	184089572
chr12	4647659
chr21	35987771
chr10	94602992
chr10	94050206
chr19	10138487
chr11	65187671
chr17	7789438
chr1	155107677
chr17	62503830
chr17	71225055
chr18	3454045
chr12	21654562
chr18	57490992
chr10	124713876
chr3	10795870
chr16	53469536
chr6	16771348
chr3	113296789
chr9	130834718
chr9	107826998
chr16	58370789
chr9	125261267
chr11	67124522
chr8	144363959
chr2	202645672
chr11	65812765
chr17	21183523
chr1	155017515
chr19	2060182
chr1	205225435
chr5	56946324
chr9	92164163
chr10	6128486
chr19	46272747
chr1	151227161
chr15	62352772
chr16	3053948
chr15	57998752
chr8	11801319
chr12	58330027
chr4	6976353
chr12	125093805
chr17	48229514
chr15	50296080
chr3	194722904
chr6	52149814
chr15	45329488
chr20	52824331
chr7	154861882
chr3	27175898
chr12	69202781
chr19	44809287
chr15	71117617
chr10	1156232
chr15	75321823
chr2	128156055
chr17	29025098
chr9	132552804
chr2	62132779
chr17	66454021
chr16	70813072
chr21	36117897
chr16	68554713
chr1	60225270
chr7	124569996
chr9	5450523
chr10	64892924
chr4	95129000
chr9	134248842
chr19	14328342
chr6	90995507
chr18	839500
chr17	7792593
chr17	7836563
chr6	19805041
chr14	62161987
chr10	75545339
chr14	58638006
chr17	2148197
chr7	99647623
chr17	56429716
chr6	29932752
chr10	43278128
chr1	156093649
chr19	510817
chr9	79071277
chr22	30112910
chr6	31802360
chr12	27175482
chr12	56754213
chr9	131938193
chr1	12676170
chr19	21512263
chr1	179784139
chr6	52416417
chr7	44084168
chr1	24151936
chr3	111708136
chr14	50108716
chr12	57030878
chr11	62389586
chr16	87799574
chr16	1862910
chr3	66872911
chr3	67022473
chr3	10068037
chr11	61849646
chr5	108804656
chr8	118342538
chr11	120271720
chr1	45265794
chr16	83848058
chr9	5833208
chr7	32530094
chr19	47289545
chr6	56954703
chr10	64564248
chr5	176944245
chr15	41954175
chr16	79634815
chr20	48782704
chr1	45978463
chr2	220082703
chr13	24231018
chr9	129261647
chr19	50316945
chr17	1620902
chr11	47270212
chr12	4758255
chr3	51426941
chr4	185655623
chr21	33984891
chr17	7746993
chr6	40880256
chr14	77675239
chr12	6833263
chr7	91570974
chr14	77413685
chr14	77385304
chr2	11618201
chr12	7283841
chr4	89205869
chr1	29508632
chr1	29529473
chr10	76990528
chr1	53480589
chr8	145296733
chr10	96723785
chr3	127267009
chr14	59656839
chr13	108867910
chr6	26123420
chr16	71496229
chr6	151136384
chr3	27410966
chr19	11908531
chr8	145693156
chr6	149293780
chr9	92219876
chr22	24199971
chr12	1714524
chr17	7094983
chr14	103261557
chr14	102605427
chr18	39535195
chr17	27054043
chr2	39821130
chr2	57987138
chr22	21239993
chr17	60143467
chr2	85999737
chr11	10388334
chr11	85565950
chr22	38003247
chr19	1113557
chr5	139624279
chr7	20212522
chr15	90316468
chr15	85131480
chr1	165600519
chr15	85523879
chr20	34580846
chr11	105947672
chr9	34458677
chr12	106620822
chr11	116658799
chr9	119499539
chr19	41109826
chr3	184063655
chr2	95831199
chr1	8035515
chr17	39819115
chr7	143824993
chr10	7860321
chr16	71929203
chr6	32921153
chr10	7829989
chr4	155471524
chr10	43844105
chr19	36370847
chr18	21033106
chr10	28952947
chr12	72332666
chr6	51824763
chr10	100220681
chr7	7139416
chr1	50733907
chr11	65150331
chr2	85788577
chr14	70883722
chr22	24643668
chr19	11052901
chr7	128858543
chr1	53704372
chr14	96671080
chr1	236260635
chr8	8750095
chr19	2783430
chr17	8280124
chr14	100071831
chr15	90836778
chr15	66679022
chr10	114853408
chr11	112192715
chr8	143799726
chr6	52517036
chr2	219261643
chr11	65042623
chr19	17966542
chr7	98477490
chr17	79884566
chr12	14869955
chr9	73035911
chr11	33060827
chr10	3819463
chr14	65290137
chr11	797388
chr7	123174611
chr1	155618576
chr19	50490654
chr16	25043092
chr21	34863849
chr6	166765580
chr8	94987589
chr9	124922236
chr20	1715318
chr7	150066365
chr15	38732688
chr17	7146444
chr4	174173576
chr19	13973240
chr3	101405703
chr6	47065323
chr14	67826509
chr2	170364413
chr4	170191358
chr3	195634824
chr1	32986142
chr17	7531276
chr16	14595575
chr7	127229057
chr14	104544460
chr10	111971164
chr7	148664013
chr13	25688575
chr12	56520209
chr13	27559652
chr13	46038799
chr15	91497975
chr8	40059424
chr9	134258755
chr6	170200997
chr7	65210822
chr15	85174528
chr5	149867404
chr17	4812488
chr20	1373899
chr11	34379583
chr2	113699547
chr17	6955583
chr6	28180547
chr10	91061824
chr3	69134135
chr11	118801080
chr6	37071236
chr4	86048948
chr7	73441302
chr12	89778353
chr1	93527923
chr3	122785804
chr5	150667992
chr4	141516355
chr16	81802043
chr1	26758598
chr20	12905956
chr2	85527628
chr19	2151853
chr2	201729418
chr8	103820756
chr5	39218137
chr19	12512187
chr19	45907542
chr9	34646537
chr19	16189727
chr1	33647812
chr19	11455283
chr11	45793650
chr17	45144931
chr17	44290416
chr16	46655415
chr16	2302439
chr6	157101662
chr7	139432038
chr6	152168407
chr16	88625578
chr1	39864529
chr16	53807308
chr21	43188965
chr1	33807981
chr1	35916827
chr5	177548172
chr1	78245383
chr14	77500700
chr5	132901884
chr3	127309881
chr19	1905757
chr2	159395911
chr8	144300821
chr14	50065404
chr12	123735404
chr3	14413440
chr5	95998853
chr8	61705662
chr7	100787501
chr8	37449087
chr2	224810048
chr15	64680021
chr6	29935499
chr11	61501017
chr10	120788875
chr4	6711725
chr4	119199763
chr12	121124681
chr3	183967381
chr10	13628933
chr14	20881706
chr8	30601641
chr5	33441093
chr2	15870766
chr1	169455448
chr16	23652613
chr16	56048091
chr5	62015943
chr3	138493626
chr8	120932247
chr3	32281815
chr10	73611009
chr12	53374766
chr20	4918408
chr1	221915730
chr20	33733165
chr11	33061579
chr12	6945006
chr19	17445718
chr6	86632827
chr20	20841012
