Chrom	position
chr15	63449473
chr1	181104280
chr13	114540407
chr8	29628150
chr1	45265626
chr6	36644232
chr17	67603513
chr9	94909739
chr4	84092334
chr7	40757102
chr17	37203140
chr12	19584964
chr12	69202743
chr6	151178492
chr1	244898915
chr1	9242222
chr13	51103662
chr19	18475819
chr6	36635037
chr9	118706588
chr11	47236553
chr5	57758103
chr5	37848174
chr2	102320683
chr4	123719548
chr6	111805342
chr4	77703254
chr2	70824228
chr8	128808033
chr17	55601503
chr1	68152471
chr12	125423285
chr8	103249079
chr1	234754340
chr12	2113825
chr19	47734633
chr14	67399523
chr21	34739693
chr15	89164551
chr11	65188806
chr1	212769913
chr9	124084815
chr17	49031793
chr8	143897262
chr3	153332590
chr1	182730701
chr9	84636340
chr4	75811901
chr2	171078366
chr5	163547047
chr4	157692765
chr16	20877281
chr19	42364487
chr9	139001681
chr19	18484774
chr5	36442618
chr9	114907253
chr19	6577615
chr1	111757275
chr8	50023168
chr8	124624783
chr16	4190875
chr13	48640885
chr8	67025858
chr14	32814713
chr16	25565232
chr1	72466685
chr7	43617260
chr1	214612983
chr8	8220493
chr1	180485367
chr5	110830493
chr5	57131235
chr4	41147003
chr14	51067107
chr6	118895336
chr12	120884150
chr14	34767156
chr10	89603030
chr3	194908519
chr5	173755864
chr19	46636834
chr19	49458476
chr12	88953669
chr7	137849669
chr6	75982054
chr15	80295692
chr16	89525050
chr12	123431503
chr6	72077633
chr1	201438289
chr2	1492935
chr1	111907573
chr3	178787987
chr17	10109121
chr6	64283635
chr10	45934009
chr7	123886652
chr6	31305118
chr10	129661638
chr19	53798533
chr20	5100842
chr9	86853820
chr6	81246132
chr17	60221518
chr14	57133188
chr6	48078944
chr5	27472273
chr3	186901177
chr11	10066304
chr1	117421938
chr2	178035082
chr11	4485668
chr3	146300098
chr1	199918296
chr3	159547530
chr20	10714027
chr17	26609846
chr1	41948102
chr15	59458117
chr7	12597235
chr17	28367859
chr5	52786708
chr3	56818084
chr17	54795047
chr8	67036683
chr22	30641877
chr4	90602526
chr1	244402900
chr15	49918050
chr1	69521113
chr4	187841853
chr2	137133360
chr12	64916190
chr6	112308713
chr15	93493331
chr4	33748845
chr4	168818482
chr10	21716876
chr8	124857218
chr6	37212766
chr16	53086562
chr14	72240887
chr7	33327628
chr7	11122564
chr15	62554978
chr21	19080978
chr7	25011036
chr12	124758351
chr11	5711784
chr3	36974553
chr5	152191733
chr6	106546471
chr15	33437938
chr3	152878581
chr8	20285743
chr9	33560402
chr7	121151363
chr11	60331269
chr12	75571918
chr14	64240431
chr19	42034710
chr13	84515996
chr12	78551215
chr2	109061861
chr15	73458298
chr1	89267745
chr11	61766659
chr9	95562771
chr1	181491139
chr3	83983813
chr7	151385351
chr1	218774549
chr6	152543139
chr8	18899237
chr20	10100177
chr14	23006089
chr12	93367607
chr3	153011
chr8	145927424
chr12	103917743
chr4	26408460
chr14	21220298
chr1	235838541
chr8	133037643
chr20	46621982
chr4	114482495
chr5	56363557
chr5	10528708
chr5	162864917
chr4	78254264
chr4	31236308
chr2	37881417
chr4	129607408
chr8	22926153
chr2	186432908
chr10	74058130
chr2	132426668
chr3	140142546
chr20	30287246
chr6	31296602
chr11	102127185
chr9	139445049
chr4	3438827
chr2	99657475
chr8	41676448
chr7	110174782
chr19	47735834
chr7	81252760
chr1	233088821
chr6	147365559
chr21	47052862
chr13	23973613
chr16	78025753
chr12	90628426
chr6	151845354
chr6	110203534
chr10	132893102
chr1	233315540
chr16	46422630
chr4	108300806
chr14	103710577
chr5	135444163
chr22	24168462
chr1	6474759
chr6	36645124
chr6	31455435
chr8	126201695
chr9	81641406
chr7	18460608
chr6	111428455
chr7	117270777
chr18	7733866
chr14	89895339
chr6	41814463
chr2	88838014
chr5	138568091
chr1	187377499
chr9	99930661
chr10	13800538
chr5	56790717
chr4	78263780
chr1	202971806
chr17	15867255
chr17	25658421
chr14	71331941
chr4	173903623
chr2	43023318
chr6	115392241
chr20	30266588
chr2	147454941
chr12	48996159
chr3	42865048
chr12	68436055
chr6	109218795
chr6	109330231
chr2	133300951
chr16	31285261
chr3	122113212
chr16	78029912
chr6	82469773
chr6	22443325
chr9	139743992
chr9	72591370
chr12	59751764
chr1	156093701
chr8	69543158
chr4	28353629
chr16	66961994
chr1	207880847
chr17	28331208
chr5	113011011
chr3	170710793
chr2	164810076
chr14	91975871
chr15	52156872
chr9	84207317
chr18	23113348
chr9	95750630
chr3	33509470
chr20	36023453
chr3	186194208
chr17	42230459
chr22	38294949
chr11	9631698
chr5	41122779
chr7	152687121
chr21	21964942
chr10	86285015
chr9	6087484
chr14	70478012
chr10	90751072
chr17	19656643
chr12	93178437
chr11	28542840
chr12	110778808
chr12	114707169
chr13	48646609
chr11	111381273
chr11	108819176
chr2	106020873
chr11	94798716
chr17	66694150
chr15	31443068
chr7	130873294
chr8	52837881
chr22	50744440
chr12	32401933
chr6	44653154
chr1	91995641
chr16	46428728
chr15	76196454
chr12	16089853
chr3	58860248
chr14	24139909
chr13	94997795
chr12	50564310
chr5	77641762
chr4	176936587
chr2	153557910
chr12	92428845
chr10	17289491
chr14	46254716
chr19	51399959
chr1	181068901
chr16	65803151
chr16	68000274
chr1	187608044
chr6	149657919
chr12	62586842
chr8	95961804
chr3	48474112
chr1	43618687
chr22	45081608
chr21	27813608
chr12	79140038
chr4	77309792
chr14	69455092
chr8	57818714
chr4	7704069
chr9	98699604
chr13	91244363
chr5	172719596
chr1	152140452
chr10	109799774
chr7	121146053
chr21	18980206
chr5	72532556
chr1	223895962
chr1	182613050
chr6	10719079
chr12	52569980
chr1	204494191
chr19	4624928
chr4	5775139
chr2	49068482
chr20	33896146
chr4	35521881
chr7	86960445
chr12	132205599
chr12	25864390
chr3	20120012
chr13	34515192
chr13	110775428
chr6	20867123
chr2	72108196
chr12	957129
chr19	933574
chr7	70314727
chr3	49395983
chr6	100284529
chr7	99335535
chr11	63559147
chr4	15683101
chr2	169309484
chr20	43307079
chr11	33083181
chr10	55379653
chr12	81172037
chr9	26976638
chr17	71610604
chr12	15688435
chr21	30776427
chr1	98982048
chr5	73943137
chr10	106569182
chr13	115109709
chr2	64957923
chr4	78265356
chr1	51069423
