Chrom	position
chr14	20461659
chr19	36054418
chr19	48954790
chr19	10653996
chr19	5720203
chr16	28974734
chr16	88857096
chr14	20455166
chr5	134371063
chr5	173056295
chr10	67884572
chr16	4847412
chr19	40348539
chr2	46698867
chr22	37161645
chr19	1275872
chr12	120317784
chr10	45727197
chr10	50067914
chr3	20186281
chr5	131797147
chr16	1827206
chr17	82292884
chr11	67391874
chr16	28492088
chr3	184314516
chr1	11806175
chr5	69234785
chr11	126211733
chr17	8192327
chr6	151452219
chr11	36289444
chr1	15526811
chr17	7234587
chr9	114587717
chr15	73633550
chr17	42567043
chr11	6619437
chr10	45594921
chr1	15603678
chr1	22451800
chr21	44517433
chr16	67481201
chr3	112561965
chr1	43974908
chr11	75814839
chr19	7522599
chr19	18022329
chr4	1511847
chr12	120904421
chr1	26432147
chr6	159968961
chr20	38962193
chr3	4467269
chr11	62679119
chr5	132963669
chr8	53843297
chr19	2783563
chr8	103021063
chr12	55716036
chr9	97922271
chr1	155241288
chr1	28233032
chr1	25906485
chr6	111259308
chr15	43792071
chr17	37609502
chr5	69332829
chr9	136950149
chr17	7035828
chr19	47130709
chr8	125091807
chr15	72376032
chr16	89700332
chr8	70669222
chr16	58684770
chr11	65711998
chr17	7243046
chr7	4775595
chr3	49786720
chr17	1724692
chr3	23945982
chr17	3636697
chr5	151447576
chr1	156457408
chr9	33290505
chr20	45891306
chr19	47256516
chr4	17614582
chr1	38012533
chr17	48611055
chr19	5680974
chr1	50960335
chr4	781887
chr21	34615375
chr19	8444933
chr16	5033942
chr21	37366601
chr16	74696016
chr1	203795512
chr11	119067774
chr17	7012357
chr15	75336031
chr1	151198457
chr12	112013382
chr11	121292643
chr1	173477050
chr2	207711422
chr19	49487393
chr17	44070679
chr3	155854715
chr16	9053275
chr15	74598423
chr12	122266495
chr3	197960039
chr17	18315280
chr1	150321469
chr3	39383327
chr19	12722727
chr19	12945798
chr17	18856299
chr2	219178214
chr18	9136757
chr12	49069953
chr3	33798529
chr1	202927318
chr5	10485240
chr17	82497264
chr6	7590168
chr15	40565206
chr11	20387526
chr12	64759453
chr5	177303748
chr20	48921699
chr11	121024066
chr2	239401661
chr19	3500689
chr1	52366200
chr21	43776346
chr17	79728763
chr9	129626407
chr12	53938660
chr1	36224262
chr11	58579708
chr7	131108162
chr7	100101425
chr19	797167
chr19	1876222
chr5	172983755
chr1	38859892
chr1	18902944
chr3	187745754
chr6	105992612
chr6	53548201
chr10	98446957
chr16	5071826
chr1	171485438
chr5	150759035
chr14	104816057
chr7	5823068
chr17	51121936
chr17	35568044
chr19	33521780
chr17	38853799
chr1	88684197
chr19	572403
chr1	10472620
chr16	31033283
chr9	37904185
chr22	38181850
chr1	11736049
chr6	84227687
chr4	47463711
chr15	98865495
chr17	39730546
chr3	52057326
chr19	48634560
chr3	183099656
chr10	78029554
chr8	144466914
chr11	68839381
chr17	64919488
chr6	44257360
chr2	97996233
chr12	76559881
chr6	31897742
chr19	10316014
chr3	45842166
chr22	41022647
chr3	170181803
chr9	34646592
chr1	40161352
chr12	113773751
chr1	183636048
chr5	110738968
chr18	49460721
chr5	181184286
chr17	62065997
chr22	40651810
chr16	1475059
chr14	92106735
chr12	48716933
chr14	21384251
chr6	36986201
chr5	41904330
chr19	2427950
chr12	53493202
chr20	32819761
chr1	114716830
chr11	64181722
chr18	59139830
chr7	108569825
chr9	94165949
chr1	155324426
chr12	57752531
chr4	83455887
chr11	1763953
chr5	112737838
chr18	3247428
chr7	93232358
chr17	81927761
chr9	135499904
chr7	1425771
chr9	122093384
chr3	33277381
chr13	49585588
chr6	43369791
chr3	141370394
chr19	32345603
chr11	108008920
chr13	21298144
chr17	64145872
chr16	2520346
chr17	19977939
chr18	23503448
chr3	122793848
chr8	26382987
chr22	39520482
chr8	97644143
chr20	35772007
chr3	184812179
chr13	21061589
chr1	228406955
chr22	17628797
chr2	26764259
chr19	4402572
chr1	30854321
chr13	23889429
chr12	50763953
chr11	61792878
chr10	69124176
chr6	127266839
chr9	125410404
chr6	36423452
chr4	82374019
chr17	75979459
chr9	128947647
chr12	116738074
chr3	17742654
chr1	1232104
chr17	32007380
chr17	18039318
chr12	131194306
chr13	49110254
chr1	19882358
chr4	98929211
chr7	101165626
chr11	65857034
chr19	8240509
chr12	122896164
chr13	113297079
chr17	67825464
chr12	93570888
chr17	81472210
chr2	241315252
chr7	107169810
chr8	96261639
chr19	10701410
chr16	9140110
chr16	2047874
chr17	32350088
chr17	21275853
chr5	151157832
chr15	74843314
chr16	30748166
chr1	68497149
chr8	103415336
chr17	21253488
chr18	13726639
chr4	1347017
chr5	173887883
chr12	110102490
chr19	18093658
chr6	163414086
chr20	23361877
chr2	99490260
chr11	63939202
chr8	28402150
chr17	82458147
chr15	45705806
chr10	69179958
chr1	180502407
chr12	71754846
chr20	13784918
chr11	72752448
chr16	84145179
chr12	113747205
chr14	77098194
chr3	57693153
chr6	30721590
chr8	144462925
chr7	100673487
chr18	35041325
chr19	18374501
chr9	100352967
chr7	96322246
chr3	158802045
chr3	40309654
chr8	11868119
chr2	215312032
chr6	32968845
chr4	139266888
chr17	21323155
chr5	71587263
chr6	33418412
chr14	75259083
chr15	34343146
chr2	231198593
chr11	61733562
chr2	227325208
chr19	11482728
chr17	40318274
chr20	50130183
chr12	42238377
chr19	4670409
chr9	136773893
chr7	140398547
chr10	31928882
chr19	4007712
chr9	94030759
chr1	23825447
chr1	35031767
chr12	103965797
chr19	4472123
chr9	6757925
chr19	2977380
chr9	120714590
chr5	142013070
chr21	37563892
chr15	41661924
chr15	58749849
chr4	99950602
chr15	72118222
chr16	69762306
chr3	51391191
chr12	121626394
chr6	109382830
chr11	119121393
chr7	99472713
chr5	132556973
chr19	4815770
chr16	85027648
chr15	65049505
chr19	47113211
chr1	207752022
chr12	8949715
chr3	31532115
chr16	71289445
chr1	173868188
chr6	31862952
chr4	78775949
chr8	108443599
chr7	102433456
chr10	74176459
chr17	28371366
chr19	4968866
chr7	2354084
chr13	32315457
chr22	41947167
chr4	127632932
chr22	39490347
chr6	158560064
chr16	23510512
chr3	37997000
chr13	30395608
chr3	170908808
chr14	34714714
chr11	65014076
chr11	66222890
chr1	2546135
chr1	226083531
chr5	1799895
chr10	123154226
chr19	41397424
chr2	216081817
chr2	8837614
chr18	62526837
chr22	49970942
chr19	5340998
chr1	225924315
chr5	108748928
chr17	51260468
chr3	195443331
chr18	31943152
chr11	65487784
chr15	58771157
chr20	63216338
chr15	74100248
chr12	104064465
chr1	32013639
chr1	182789716
chr16	3457972
chr1	14970328
chr22	46561689
chr7	98106857
chr6	122399559
chr11	518930
chr14	75176647
chr5	95646727
chr19	14496472
chr19	49877522
chr7	26864836
chr12	101280097
chr17	19648711
chr20	18794038
chr22	30969168
chr12	103957264
chr19	29844456
chr8	81842217
chr1	77682963
chr9	96417433
chr20	34825771
chr2	224585791
chr1	156295694
chr2	46500298
chr19	11191571
chr17	80101515
chr17	56978133
chr10	48306412
chr5	32585507
chr4	7073772
chr12	46371435
chr7	36389768
chr10	49762352
chr22	35299863
chr4	55853661
chr15	67840335
chr15	64989525
chr17	78128839
chr14	55411846
chr5	168579656
chr17	19004853
chr15	70097979
chr11	117098575
chr13	49792751
chr9	126705459
chr21	37073220
chr9	5628632
chr12	53006433
chr20	50499575
chr17	50095231
chr4	165112418
chr19	40662975
chr12	68746127
chr15	39920991
chr5	126777011
chr16	84266567
chr16	74368298
chr10	22316399
chr16	4416822
chr8	42052235
chr3	197298158
chr3	127598400
chr12	107093619
chr17	74873398
chr5	65481978
chr7	100867303
chr10	32980667
chr2	171999960
chr1	155219051
chr5	178627136
chr5	149960724
chr17	1829911
chr1	45550826
chr12	89709368
chr19	40750546
chr12	57591200
chr1	63322509
chr17	55238469
chr8	98117265
chr9	130240784
chr3	156555323
chr1	33431148
chr17	59106767
chr1	20697046
chr1	155262379
chr21	36069808
chr11	66958680
chr11	69234997
chr18	63075324
chr17	81977627
chr10	75402427
chr19	11435329
chr1	220272546
chr7	129224515
chr9	19127556
chr9	128787169
chr12	121352507
chr17	40113366
chr15	52679405
chr19	45995125
chr1	203026366
chr16	67935858
chr17	65056998
chr21	39349427
chr19	38851939
chr17	17206501
chr3	15206065
chr20	41692865
chr20	50468205
chr18	9914006
chr7	4642121
chr6	43229504
chr5	141619260
chr16	1408311
chr7	101252468
chr14	64503798
chr5	1112111
chr22	31160178
chr17	82288190
chr15	76905418
chr2	120223166
chr3	128879503
chr13	114065274
chr3	49007213
chr9	71911586
chr16	24539453
chr14	93333139
chr3	149129608
chr19	1479245
chr21	44818122
chr19	58466993
chr1	89820919
chr1	205775472
chr4	113762739
chr4	37686690
chr19	14366828
chr19	45717423
chr19	45001314
chr2	61537115
chr19	49331779
chr11	65873803
chr4	87422669
chr16	2513931
chr20	44966415
chr22	20858826
chr2	45610591
chr1	226703619
chr17	45585191
chr19	5058071
chr12	50504965
chr1	155081079
chr7	30284316
chr12	46383506
chr1	52703416
chr12	131929255
chr19	19489425
chr21	37221359
chr2	45650238
chr8	93916715
chr11	7513938
chr2	118003471
chr7	42912090
chr3	42025773
chr11	1262712
chr1	9539427
chr2	210170801
chr16	69407128
chr20	36051105
chr10	25016583
chr16	70114209
chr5	150000674
chr12	6891243
chr16	27375247
chr2	189441143
chr14	61695262
chr1	9429099
chr1	31816032
chr1	154220697
chr21	42879070
chr6	14800083
chr9	130579498
chr12	28190382
chr12	124744861
chr21	34030245
chr17	40596789
chr4	70993535
chr11	47918094
chr9	123268623
chr19	8321480
chr2	219219112
chr1	26472417
chr19	4457885
chr22	41367263
chr11	65525465
chr17	43938195
chr17	5282255
chr9	128688925
chr1	20440952
chr19	49113838
chr17	7572512
chr16	88811494
chr17	81512914
chr12	133037484
chr11	74949220
chr12	112716664
chr7	92424746
chr12	55729167
chr8	134832476
chr19	47515266
chr15	50686842
chr22	32904229
chr19	49749554
chr16	23557367
chr12	105107723
chr17	50372973
chr2	172102959
chr9	95510820
chr16	1351926
chr9	107422361
chr1	37595936
chr5	271573
chr7	74174159
chr10	91798374
chr1	10032946
chr10	11874899
chr12	111599643
chr16	23149507
chr8	101153904
chr19	18341414
chr2	176002349
chr11	65477576
chr16	3024348
chr16	1106433
chr8	54135225
chr19	18571720
chr1	1080319
chr2	196171654
chr4	15655489
chr19	15125715
chr17	44345095
chr5	122775068
chr6	7313336
chr8	8893652
chr17	2711779
chr12	122064262
chr19	1864249
chr9	6681285
