Chrom	position
chr1	27234533
chr5	178076366
chr16	70439264
chr10	86711179
chr12	56636974
chr16	3106452
chr19	56121548
chr19	5578361
chr17	5191873
chr15	77420791
chr13	77327189
chr18	3448372
chr22	21938277
chr5	102296481
chr3	20039985
chr8	42385573
chr8	38383107
chr15	92804077
chr16	89816818
chr18	80109142
chr17	58417675
chr20	49979154
chr16	3112691
chr12	116910893
chr12	89709705
chr10	71212382
chr12	89524918
chr2	131492775
chr4	82285180
chr17	36626026
chr11	15650307
chr6	35921257
chr10	79405876
chr2	219543877
chr22	46080370
chr16	71895355
chr11	118252130
chr22	46006586
chr11	111602193
chr1	53196712
chr6	122610328
chr19	1325354
chr19	1415450
chr11	108664950
chr13	108218458
chr13	36297832
chr1	61077120
chr14	23095755
chr8	102863218
chr1	32886704
chr8	102412890
chr9	6645855
chr8	66925635
chr22	21567642
chr22	41285580
chr19	16111589
chr6	147203581
chr11	72223408
chr16	68040736
chr1	64470037
chr1	32973078
chr8	94553650
chr22	37561819
chr18	9102550
chr22	46774072
chr17	49969232
chr3	101676401
chr3	108589589
chr7	135170791
chr10	13300083
chr3	128124059
chr12	55716112
chr12	56468495
chr1	42959007
chr12	53180715
chr7	102279588
chr7	56051486
chr4	782070
chr1	40258104
chr17	21043591
chr4	70902290
chr17	29149085
chr17	75393893
chr12	133080903
chr16	88688356
chr8	10839953
chr22	49936338
chr22	49970949
chr8	12755717
chr18	24426529
chr10	22554967
chr9	32551133
chr13	29850628
chr18	5296061
chr1	38047103
chr12	26833188
chr17	2396914
chr17	82524750
chr17	2848925
chr12	48852198
chr3	48089179
chr3	48558287
chr11	57657549
chr22	35840610
chr12	95942902
chr20	45891268
chr10	46023583
chr6	89372269
chr2	25342551
chr9	121550736
chr9	121287129
chr2	37672731
chr20	50931531
chr15	101488517
chr9	132977805
chr19	41264347
chr20	59032598
chr2	241102361
chr16	1057727
chr6	99424882
chr10	132332064
chr19	45443565
chr20	45791989
chr16	1300997
chr15	94231524
chr15	77421208
chr1	1615501
chr10	101836115
chr9	129885916
chr15	82540633
chr1	91886249
chr6	28839001
chr9	128787174
chr19	48812518
chr14	93116258
chr15	92831925
chr9	126860313
chr10	99520397
chr6	87472941
chr2	11132870
chr20	63382034
chr10	102432531
chr9	133658837
chr2	223957378
chr9	137550515
chr2	135741839
chr16	4944917
chr9	137022246
chr21	42893048
chr9	62802656
chr6	44257320
chr10	86585671
chr2	68252791
chr14	51095439
chr11	9573400
chr21	36141713
chr16	2964963
chr21	39312585
chr2	48314517
chr9	93566595
chr9	97983021
chr9	95511389
chr17	20908636
chr17	7242436
chr4	84499390
chr17	17710968
chr5	1634019
chr1	224503648
chr6	32245144
chr5	37371277
chr4	84582788
chr6	33789203
chr17	29006127
chr15	64841601
chr6	39114852
chr1	182962715
chr17	6444195
chr17	7627926
chr15	75204893
chr1	40450119
chr1	220690313
chr15	74726569
chr17	8376687
chr6	36885964
chr4	183504564
chr15	74546298
chr1	224183066
chr17	17752218
chr17	8832742
chr1	223772250
chr1	183471919
chr17	19362421
chr1	180502803
chr17	8631392
chr17	10227096
chr1	206612527
chr17	4704171
chr5	137754887
chr1	211134294
chr16	2251656
chr16	67873014
chr5	126776824
chr16	58392391
chr16	2603263
chr5	134226186
chr16	50742021
chr1	41361206
chr16	48366078
chr5	139198527
chr5	56909537
chr5	145936695
chr16	29806769
chr1	205648620
chr5	160419182
chr1	110338480
chr16	8797639
chr16	24729537
chr16	11742975
chr1	205813146
chr16	12803809
chr16	68245315
chr1	211258981
chr16	68448618
chr5	111512602
chr17	2756299
chr1	28553106
chr5	65035872
chr6	28747946
chr15	88913517
chr15	92900176
chr16	13957566
chr16	90077521
chr5	72956060
chr5	76403118
chr16	88737425
chr6	17600324
chr16	88437600
chr5	88680528
chr1	212608582
chr16	78136
chr16	87383979
chr6	12008724
chr6	11537525
chr16	70686174
chr16	70065897
chr17	1111387
chr17	81891972
chr17	30378908
chr19	18429212
chr20	59403918
chr19	40798910
chr20	61896534
chr1	148264903
chr20	63538108
chr19	37469310
chr20	64039041
chr19	34134504
chr21	17819693
chr21	33491452
chr21	33543355
chr19	29213295
chr21	42674533
chr1	150268954
chr21	43864445
chr22	31399493
chr1	150568351
chr21	44299683
chr19	18279686
chr19	18058654
chr21	45541848
chr19	17108193
chr1	151070835
chr22	19432441
chr19	14505702
chr22	21002053
chr19	14248792
chr1	63593354
chr22	24950454
chr1	151459511
chr20	57710078
chr20	53594741
chr20	50929554
chr1	85259766
chr1	111593046
chr2	168247832
chr1	111755651
chr2	208266249
chr2	121075329
chr2	108534041
chr2	99141300
chr2	97113151
chr2	65435900
chr2	232550812
chr2	37925466
chr2	17539124
chr1	93079183
chr19	55476667
chr20	3811851
chr20	10674210
chr19	49640764
chr19	49474151
chr19	49056237
chr20	25407613
chr1	91404457
chr20	32277548
chr19	48811112
chr20	33993263
chr20	36461140
chr19	47515392
chr20	43590680
chr20	43667542
chr19	45427866
chr19	11339706
chr1	61080013
chr1	41381244
chr17	67779263
chr3	47009430
chr17	81329678
chr3	48473242
chr17	80833305
chr17	80082774
chr1	45521965
chr17	79993845
chr17	78251010
chr17	76103688
chr3	98901982
chr17	75047095
chr17	74982371
chr17	74368472
chr3	141738137
chr17	47649959
chr19	10380549
chr1	167936052
chr17	47067512
chr3	195106686
chr3	195909879
chr3	196082189
chr3	196739871
chr4	684216
chr17	44308477
chr4	3292725
chr17	43398896
chr4	25312654
chr17	40362752
chr17	35142215
chr17	32275312
chr1	156660285
chr6	42045903
chr1	46719249
chr1	47437845
chr22	36659887
chr22	37817870
chr1	58700161
chr19	6110699
chr1	57424686
chr22	39351784
chr22	40951299
chr22	41022658
chr19	3435104
chr1	54489461
chr19	2984159
chr22	41380522
chr22	41448376
chr22	41544593
chr19	2273619
chr19	1796061
chr22	43955417
chr22	44758531
chr19	1315780
chr1	52726320
chr22	49853397
chr18	79679275
chr22	50620650
chr18	57586835
chr3	9793193
chr18	54224802
chr3	10595100
chr18	6370558
chr1	156421896
chr1	224929515
chr19	38637060
chr12	52903581
chr10	21496015
chr7	103344827
chr7	104945304
chr7	105013686
chr7	106285163
chr7	121396429
chr7	135662507
chr12	53995662
chr10	15088713
chr12	52905212
chr7	143263330
chr7	143288415
chr7	149005889
chr12	51172879
chr12	49337256
chr7	157336869
chr8	42391636
chr12	39443211
chr12	27022451
chr8	12754192
chr12	2752785
chr11	130003198
chr8	21919454
chr1	11859448
chr11	120336202
chr8	22999350
chr11	119381662
chr11	117327907
chr8	30095277
chr11	112961336
chr8	37695505
chr12	57633184
chr7	102456614
chr7	101244357
chr12	62466670
chr7	455715
chr13	29924334
chr7	1423054
chr7	2469157
chr7	4745164
chr13	28659082
chr7	22083144
chr1	21638902
chr7	23474637
chr7	27131054
chr7	27139377
chr13	26052136
chr1	240091727
chr13	19565025
chr12	123912628
chr1	20508113
chr12	121776430
chr1	19659862
chr12	109845391
chr12	108563645
chr7	97005392
chr1	18303058
chr7	100428764
chr7	100436491
chr1	17208192
chr7	100479351
chr12	69239446
chr12	63668695
chr1	16904862
chr11	83156670
chr11	77127352
chr6	158869633
chr10	102461315
chr9	113340248
chr9	113401311
chr10	45594938
chr10	46284817
chr10	119209639
chr10	119178900
chr10	116609856
chr9	128160058
chr10	110918763
chr9	128552186
chr1	1960089
chr10	103908469
chr9	129028579
chr9	129140122
chr9	129488764
chr11	74398743
chr10	97687489
chr9	130825291
chr9	131635557
chr10	97426133
chr9	132582172
chr9	133144667
chr9	133239119
chr9	134707163
chr10	67884613
chr9	136728216
chr10	67885236
chr10	73906878
chr10	73744355
chr10	68560405
chr9	105244451
chr10	132335428
chr9	100353022
chr10	133308784
chr1	10210334
chr11	73376209
chr11	73307574
chr11	72822386
chr11	70270464
chr10	31133978
chr11	67353532
chr8	94719906
