Chrom	position
chr8	11769755
chr1	50968336
chr3	169769645
chr11	73983292
chr17	67995758
chr6	31972123
chr1	51518458
chr11	65570198
chr2	85772299
chr7	99375431
chr16	75464778
chr1	26110976
chr1	25810954
chr13	110955309
chr9	104748091
chr9	105244449
chr3	195106708
chr20	58892372
chr18	75212173
chr8	102863145
chr13	112213711
chr1	25239902
chr8	102806445
chr18	70288595
chr6	16760053
chr18	76492033
chr6	13712122
chr7	106111860
chr20	45342283
chr7	6483542
chr20	45834010
chr13	98576372
chr3	20040000
chr3	192893187
chr2	240025575
chr12	132762350
chr7	101815419
chr8	123416861
chr5	143246071
chr19	53980005
chr8	123158880
chr9	95517026
chr17	63699356
chr7	2451770
chr13	108215665
chr2	231961829
chr20	49979253
chr3	194315698
chr17	64975344
chr1	100539264
chr17	17694426
chr18	63367514
chr2	201780839
chr5	134071277
chr17	9575761
chr3	129278870
chr11	110296939
chr6	144285143
chr19	47515338
chr6	144150294
chr5	133245700
chr12	56300108
chr11	111927123
chr15	80955781
chr6	138692286
chr10	132388011
chr7	140398292
chr14	93184787
chr1	207454668
chr14	93116268
chr17	77140565
chr15	58771010
chr6	150142768
chr14	99972359
chr14	21526384
chr1	23556931
chr17	34980945
chr17	17496706
chr10	117166061
chr2	210171026
chr3	197749547
chr19	17305508
chr1	109484256
chr22	38706411
chr1	110210014
chr6	154615836
chr12	124512952
chr6	151391321
chr17	75784756
chr10	122141209
chr17	14299630
chr11	112963098
chr7	131556983
chr10	87095358
chr17	58517783
chr9	91193205
chr13	36297790
chr9	4792635
chr7	76380161
chr7	56051478
chr13	46894314
chr19	2273620
chr1	42035548
chr16	680183
chr12	31959379
chr20	31836304
chr3	180912470
chr20	4687103
chr10	22321390
chr9	35096475
chr7	44324860
chr20	32359277
chr13	50909770
chr12	39443242
chr7	43758457
chr3	181713129
chr7	65240009
chr17	49570272
chr1	44800070
chr1	46203419
chr7	73738646
chr1	46132769
chr2	26847790
chr10	32980751
chr10	33134220
chr17	45371769
chr7	75739523
chr13	44577928
chr10	27240668
chr7	73154820
chr1	44406073
chr15	39934286
chr10	42836995
chr13	45377472
chr3	173397579
chr16	1943164
chr3	179323454
chr1	53945507
chr16	2475733
chr7	100705712
chr19	56121407
chr10	73906918
chr19	9075756
chr3	14178452
chr1	32651139
chr10	73997757
chr10	74151435
chr17	38704118
chr3	152835004
chr7	100469611
chr10	73811350
chr10	784826
chr20	41317173
chr20	41317898
chr15	43826990
chr2	47784087
chr3	188947874
chr9	89606142
chr3	127548066
chr3	156674452
chr10	5890720
chr1	38047114
chr22	49936304
chr7	39733480
chr1	54406748
chr3	184525922
chr1	37634903
chr17	49969280
chr20	3811845
chr12	45727703
chr2	39121192
chr16	2970278
chr1	32973109
chr1	35931434
chr7	98401347
chr19	7888661
chr3	157089048
chr15	42273214
chr20	36574006
chr10	6201120
chr7	27152139
chr3	48663937
chr6	24359978
chr19	3061564
chr3	50324665
chr4	74158017
chr3	63864385
chr7	155459061
chr12	111410211
chr11	46389707
chr2	136118400
chr6	79234723
chr19	44754376
chr18	499672
chr6	111259521
chr6	111872676
chr6	118651802
chr8	19817675
chr17	79992230
chr14	91059973
chr18	3448387
chr6	31806773
chr16	70439352
chr5	115625977
chr14	64823478
chr19	33041368
chr19	45427878
chr3	52055791
chr1	153727864
chr1	166975752
chr9	135480621
chr9	132582199
chr17	933657
chr9	132214256
chr17	81926885
chr12	116878952
chr18	24397654
chr11	17735241
chr5	94470013
chr8	11201695
chr5	103259221
chr14	55051975
chr9	134025815
chr11	72223374
chr16	67248528
chr5	108380724
chr3	58471418
chr1	183022974
chr14	50003412
chr6	87702005
chr5	108381815
chr2	108534052
chr21	33491567
chr6	81753403
chr8	22599988
chr7	151086141
chr4	82285147
chr2	127401466
chr7	150368127
chr16	46973085
chr6	41734903
chr4	26320749
chr19	30229617
chr1	156385713
chr9	137200974
chr2	121530261
chr16	85235384
chr19	29811431
chr21	33266502
chr11	63939370
chr1	159924637
chr12	109052554
chr7	100483244
chr5	80408151
chr17	58387963
chr5	172283555
chr18	8704904
chr10	5977656
chr8	11348102
chr8	22695814
chr17	56960900
chr1	167722466
chr15	99566619
chr17	58391613
chr7	99473067
chr3	13665748
chr20	10674215
chr1	167221821
chr10	8055716
chr3	61251354
chr3	61560760
chr17	51167210
chr20	2652334
chr15	101724018
chr12	108857097
chr17	47649918
chr16	71785
chr5	154755054
chr17	82458649
chr8	22999321
chr17	58006570
chr17	57868349
chr1	178094100
chr8	8227976
chr12	49538904
chr12	95548615
chr5	149141620
chr8	9151595
chr7	100430298
chr17	57954701
chr17	82236665
chr10	3067222
chr3	9396395
chr10	3126937
chr20	297474
chr12	98516375
chr2	121284707
chr8	23019370
chr3	8963387
chr12	49337209
chr15	73753538
chr5	149466691
chr1	169106412
chr17	57811179
chr5	154756275
chr17	47067472
chr10	29659201
chr20	10674897
chr17	57085543
chr1	156383113
chr17	82752722
chr7	77696314
chr17	50178435
chr17	48612048
chr5	160419194
chr10	21533900
chr3	64239185
chr2	132352775
chr10	27100173
chr17	48817041
chr17	48626706
chr5	88674691
chr10	22316070
chr12	107318150
chr15	70854498
chr18	3012650
chr2	130372726
chr8	21919459
chr12	105562533
chr8	22245339
chr20	5119475
chr17	48594111
chr1	157993286
chr12	106955578
chr10	22713370
chr5	83474618
chr8	22089639
chr17	47831523
chr16	681908
chr16	720753
chr17	48107800
chr5	83472707
chr12	31078939
chr17	47941766
chr5	160199422
chr16	589812
chr7	97005378
chr5	171494902
chr12	46825945
chr20	3209440
chr5	154857621
chr15	72376010
chr3	12557302
chr20	3676904
chr12	103841559
chr3	12288618
chr5	91280772
chr8	12755800
chr1	156747007
chr10	15370490
chr10	28677085
chr5	90529431
chr17	49861361
chr10	21174383
chr12	104137431
chr8	17157041
chr10	16437035
chr17	49851876
chr17	49764200
chr17	49763588
chr3	11719805
chr8	7355194
chr3	11719225
chr18	5630521
chr10	18140282
chr8	17577473
chr10	18659317
chr3	67654497
chr3	55486355
chr17	78314371
chr5	96935997
chr2	208267723
chr17	75393906
chr15	76059467
chr12	55716575
chr17	75456584
chr1	223365009
chr7	151783014
chr2	178413807
chr1	223142991
