Chrom	position
chr20	35327318
chr22	20079827
chr6	28589406
chr7	74994075
chr8	138260107
chr15	101439567
chr9	32136921
chr9	113395426
chr2	260889
chr7	27133935
chr11	34427270
chr19	45717479
chr4	151325749
chr4	53582336
chr1	156086381
chr5	126368688
chr3	67647523
chr12	115423664
chr16	81448638
chr8	141234718
chr3	10224941
chr19	38759756
chr11	704973
chr1	183073476
chr22	39303473
chr5	53477189
chr10	124036059
chr12	75901092
chr9	113504968
chr8	40054815
chr8	13366864
chr7	22442326
chr3	13364264
chr19	7652272
chr16	57862902
chr11	60881124
chr8	121348925
chr3	16333157
chr3	186359191
chr12	132471229
chr5	78274891
chr6	31655751
chr1	155091447
chr17	81101804
chr10	6279648
chr3	12999514
chr9	33415721
chr6	111572503
chr19	33397275
chr19	738622
chr12	48910358
chr12	89390981
chr3	46970748
chr17	65557579
chr3	141361093
chr10	33508108
chr19	18515004
chr11	119699402
chr5	157291444
chr1	65476505
chr14	37791544
chr12	111367735
chr12	646734
chr11	78156570
chr1	95122395
chr1	21776156
chr6	35415436
chr8	57808827
chr14	93959547
chr1	99589301
chr17	82346581
chr2	73001251
chr16	27274015
chr4	69823602
chr1	200263334
chr12	68804855
chr17	82568602
chr1	156471709
chr2	162580112
chr22	31586689
chr9	113650449
chr6	167734188
chr3	196055906
chr20	57577857
chr22	42800888
chr11	61577815
chr7	140252936
chr22	31815511
chr18	77054885
chr22	25401058
chr14	92985089
chr21	42234926
chr5	55934266
chr11	68857711
chr8	58096082
chr2	224023297
chr17	82267729
chr2	45373696
chr8	9782554
chr1	9501291
chr5	60672995
chr19	2639349
chr7	155809690
chr11	61769754
chr19	2650635
chr22	31432142
chr11	62099652
chr19	2636327
chr4	154560314
chr19	2474738
chr7	155270418
chr11	62467938
chr4	154982638
chr19	2540950
chr7	155652737
chr11	62295679
chr11	62260479
chr11	62245412
chr4	154618894
chr19	2576229
chr19	2577086
chr11	61747878
chr4	154617926
chr11	62054702
chr11	62001916
chr4	154596016
chr19	2611326
chr4	154577484
chr19	2685819
chr11	60098724
chr19	2740239
chr11	58880836
chr4	151094419
chr19	4131167
chr19	4145970
chr11	57639948
chr19	4153422
chr19	4173219
chr11	57503044
chr7	157555526
chr11	57453748
chr4	146637071
chr19	4400718
chr19	4424551
chr19	4518645
chr19	4523453
chr7	158143711
chr7	158160455
chr4	145731177
chr19	4542508
chr7	158378204
chr11	48110103
chr7	158580490
chr11	47942397
chr7	158585860
chr19	4769693
chr4	143225350
chr4	151099543
chr11	58926541
chr7	155954170
chr11	58945879
chr19	2783499
chr19	2791039
chr4	153506556
chr19	3034860
chr7	156527808
chr4	153269822
chr19	3066684
chr4	153175388
chr4	153128088
chr7	156625767
chr4	153038979
chr4	152951488
