Chrom	position
chr13	113557092
chr8	320153
chr8	10960231
chr7	65722561
chr9	136791860
chr8	1858230
chr16	89142658
chr19	9858976
chr1	27669161
chr10	3420925
chr19	14267471
chr1	22261109
chr19	19550267
chr9	135563387
chr22	19168478
chr19	7883313
chr21	45434040
chr10	97048825
chr14	99551451
chr7	65216674
chr3	100003037
chr6	26285408
chr16	81883444
chr12	62935279
chr16	88688257
chr15	40844217
chr12	6835827
chr17	8173528
chr17	30697990
chr15	51681531
chr10	30437130
chr17	78360808
chr17	29620560
chr13	44143426
chr10	7818335
chr7	101817870
chr5	1073996
chr19	7391379
chr3	17861068
chr12	47744233
chr13	99498609
chr19	55160609
chr6	39251616
chr16	9050714
chr16	4254190
chr1	236169146
chr13	114150554
chr22	46774027
chr22	44731232
chr8	144467080
chr10	70477889
chr11	62042169
chr17	64918914
chr7	159088434
chr17	31263117
chr1	17675816
chr22	35492150
chr20	31723822
chr7	100483267
chr1	8197927
chr1	30270659
chr12	47942747
chr4	8034322
chr12	53231925
chr1	32133629
chr5	181173631
chr20	53899805
chr2	8500980
chr16	87461616
chr19	39409562
chr8	143975087
chr10	131900512
chr12	93087470
chr17	4882102
chr5	81170006
chr4	105708719
chr16	81035628
chr16	80027266
chr20	60263096
chr10	113950427
chr14	103122195
chr11	20110994
chr12	116916919
chr18	58058935
chr1	15038354
chr3	127525553
chr6	158040584
chr6	158853371
chr1	10555774
chr9	109321195
chr20	41340100
chr15	48925955
chr19	50134349
chr20	13639096
chr17	17840391
chr6	134585711
chr7	98433542
chr6	159720837
chr20	41693483
chr16	90032467
chr2	26961977
chr2	27010832
chr7	84675873
chr2	47369142
chr16	71426761
chr7	100247537
chr16	57621934
chr16	47141998
chr1	15795354
chr6	166382063
chr16	28977954
chr16	27264295
chr2	112021928
chr1	230588371
chr1	233624459
chr9	128874656
chr15	91033247
chr17	15920835
chr1	244341872
chr16	14974951
chr20	50731311
chr10	17201624
chr4	55395710
chr1	28877258
chr10	114648515
chr12	109052580
chr12	104598983
chr10	122861934
chr12	93570130
chr6	5839202
chr6	4358844
chr12	65169396
chr3	197516693
chr5	180861553
chr4	3747503
chr4	53591661
chr5	174355374
chr20	50059527
chr4	83548594
chr1	42967245
chr11	46617397
chr9	4662199
chr5	140711025
chr5	37668764
chr5	133944383
chr1	39902278
chr11	64335359
chr5	115930424
chr11	69101496
chr11	68751517
chr11	68714383
chr6	20810471
chr12	122752612
chr6	27545688
chr12	131676373
chr15	40266981
chr10	29009589
chr21	36153150
chr10	29812313
chr14	93959629
chr21	43857681
chr14	77068316
chr6	108562782
chr10	34994823
chr1	24502389
chr22	21982783
chr6	89298173
chr6	87213621
chr22	37184491
chr1	25782953
chr10	61981704
chr10	73247063
chr6	40328778
chr13	110965484
chr13	110955315
chr3	15859053
chr6	34672180
chr10	87586365
chr10	96841077
chr6	29845567
chr3	52001617
chr12	132237435
chr22	38336103
chr11	65636294
chr19	10543597
chr17	77056495
chr9	135972140
chr19	2637006
chr19	15196197
chr1	6423572
chr9	137147328
chr18	23437790
chr17	44014998
chr19	18255372
chr19	41925420
chr1	146052168
chr7	149772035
chr1	151988580
chr1	151594336
chr9	130941199
chr19	18897254
chr1	100355173
chr1	89525193
chr8	1378447
chr19	8415489
chr7	127588941
chr19	45265478
chr19	9621402
chr19	9785979
chr19	1848868
chr10	49538727
chr19	11210076
chr14	56220199
chr22	32136156
chr13	113419953
chr9	33172556
chr19	11095245
chr22	36331574
chr4	56389759
chr10	48468315
chr7	158705327
chr8	130672241
chr13	113297019
chr22	37607289
chr8	27329672
chr6	90084047
chr12	32104748
chr22	26659066
chr6	90358232
chr12	32005683
chr6	106313082
chr9	91037404
chr22	23750887
chr19	10879236
chr4	37000460
chr19	10737308
chr3	4531610
chr9	34051580
chr17	74284879
chr22	43275742
chr8	26637847
chr6	43628793
chr1	1123748
chr19	10390761
chr11	6249886
chr22	41301372
chr4	48285841
chr6	56511454
chr14	31229870
chr22	38701457
chr11	9670175
chr14	32021168
chr19	9075780
chr22	38985139
chr18	77322085
chr1	149793141
chr10	73649197
chr10	60135296
chr9	137309465
chr6	79600079
chr14	20547069
chr9	130150947
chr14	70416980
chr1	53555894
chr1	43476213
chr21	15366188
chr20	64221345
chr14	104777391
chr20	64042607
chr11	19442470
chr1	112668789
chr20	63216508
chr20	59048000
chr20	58651188
chr20	58588320
chr10	21751484
chr20	57418583
chr12	9448414
chr17	60347313
chr6	119078128
chr20	53638227
chr6	130202928
chr18	59516578
chr6	131068373
chr4	118278598
chr11	22753160
chr20	50372868
chr19	16316134
chr1	154324840
chr20	49890149
chr15	40930660
chr1	36099911
chr20	46681460
chr11	16359573
chr10	25060210
chr5	173839340
chr6	108904062
chr22	22195474
chr19	12775190
