Chrom	position
chr12	58925376
chr17	71329517
chr3	182180852
chr9	2771335
chr6	1597405
chr17	1590051
chr6	108904035
chr2	47310076
chr18	55748570
chr17	37710479
chr10	61952426
chr2	196259915
chr3	112322172
chr2	237595127
chr3	124627751
chr1	178506849
chr17	77300528
chr5	80205072
chr1	54409487
chr1	211667361
chr11	87000474
chr9	94669483
chr5	37090521
chr7	135937044
chr12	64656604
chr12	59368532
chr17	68701168
chr16	85535573
chr14	60650880
chr15	70171700
chr2	33475942
chr6	116146278
chr10	28687343
chr8	122198309
chr15	75140356
chr1	163196180
chr18	3603193
chr14	99784650
chr2	207832015
chr11	59960637
chr5	78499672
chr4	160076085
chr6	15409692
chr16	70428394
chr17	73187479
chr10	12751067
chr9	110194462
chr11	81040075
chr1	204289486
chr19	47058941
chr9	126652364
chr1	234491288
chr10	79059390
chr2	67891813
chr2	209637503
chr7	73612897
chr13	54356402
chr10	34213677
chr1	232682463
chr2	28544839
chr5	86617843
chr12	4963180
chr3	94251170
chr1	202819005
chr3	25086846
chr3	13951321
chr7	84178192
chr21	34908660
chr20	57264352
chr8	18962833
chr20	62430414
chr6	21079912
chr19	43672246
chr9	136626864
chr6	3393159
chr8	123327920
chr2	167787269
chr3	179504569
chr14	70717171
chr13	26956609
chr9	22171905
chr3	77236275
chr7	27263996
chr4	133996966
chr7	4626027
chr1	39276416
chr3	192080566
chr15	66592789
chr5	174520634
chr14	80468779
chr9	91994668
chr6	119382307
chr9	128558630
chr2	187577090
chr6	88973222
chr4	39558416
chr12	42922405
chr1	164712401
chr8	274444
chr2	218799286
chr12	75892997
chr10	97858017
chr1	202076256
chr2	45912260
chr2	233353793
chr11	100809073
chr3	172141012
chr17	43984054
chr11	78090839
chr17	76029705
chr1	183472079
chr1	159916472
chr20	55103428
chr14	65299957
chr12	85440484
chr6	2926167
chr19	5398497
chr4	152957665
chr1	155308785
chr16	88498003
chr3	98593760
chr3	112786252
chr2	8457880
chr10	52452796
chr1	16144007
chr4	85508894
chr1	186944048
chr8	23451432
chr10	26516903
chr7	37382723
chr6	106103147
chr12	111775979
chr2	191479478
chr17	77916006
chr2	33190603
chr9	127129549
chr2	221519045
chr2	68121216
chr14	73324094
chr11	72534579
chr1	168146758
chr12	25876693
chr3	49004506
chr5	174618755
chr4	123349595
chr8	13041756
chr9	107190735
chr22	37569584
chr5	59649422
chr1	234093317
chr10	73823550
chr10	110396104
chr3	3054027
