Chrom	position
chr12	91343214
chr9	77097107
chr9	78355116
chr21	15112465
chr13	20685341
chr5	108040861
chr7	154044265
chr14	47414216
chr1	245441760
chr13	109345548
chr2	58906287
chr13	42814971
chr2	123791878
chr2	195414869
chr7	126484097
chr18	69648779
chr18	67347563
chr2	186044896
chr4	17126582
chr5	68533711
chr3	182697715
chr5	83752833
chr17	47982405
chr2	43521723
chr5	84259490
chr2	190125693
chr15	63408574
chr14	31977310
chr3	170589228
chr12	80901768
chr2	190819982
chr7	28544033
chr10	48424177
chr12	111819919
chr7	120944986
chr12	28766542
chr3	158488851
chr2	42669475
chr8	108426003
chr11	34349238
chr11	38461165
chr5	65389764
chr11	40135025
chr7	130441381
chr2	29249912
chr2	29291637
chr2	37393554
chr7	130373464
chr11	38764840
chr11	36049144
chr11	36073698
chr11	36163246
chr2	36829032
chr2	36618559
chr2	36552845
chr5	64876366
chr2	33633698
chr11	34251267
chr11	36751711
chr5	64818998
chr11	38834692
chr7	129467003
chr3	149134794
chr5	59127758
chr2	37928624
chr2	40423698
chr11	25198937
chr11	24987452
chr5	58369760
chr11	24272069
chr11	23359571
chr7	132275498
chr2	40461299
chr11	25861205
chr7	132354134
chr7	132377350
chr7	132407895
chr2	40737375
chr7	132425319
chr7	132430976
chr2	40061924
chr5	58755334
chr2	38014882
chr5	59126773
chr11	32671227
chr2	38125189
chr5	59209922
chr2	38325834
chr5	65869934
chr2	38543014
chr5	58971967
chr5	58773055
chr2	39128154
chr7	131820184
chr11	27266235
chr11	27234392
chr11	27202084
chr2	39658578
chr2	29207986
chr11	42901232
chr7	127908875
chr5	66407143
chr2	19667916
chr5	73908748
chr11	66953630
chr7	124424037
chr11	66929156
chr2	20283086
chr2	20446998
chr5	73464413
chr2	21194382
chr5	72767940
chr7	125450216
chr2	21392816
chr5	72692140
chr2	22027674
chr2	22079854
chr5	73912144
chr2	18650330
chr7	124085377
chr11	72308720
chr2	15384135
chr2	15547353
chr5	77853727
chr5	77845375
chr5	77304653
chr5	75662297
chr5	74648961
chr11	68030625
chr11	70699353
chr11	69718393
chr5	74132095
