Chrom	position
chr1	212608697
chr16	87779293
chr5	126676318
chr3	196055965
chr8	125091819
chr1	204507152
chr8	23074810
chr2	177164779
chr2	70142801
chr1	26432291
chr20	23361973
chr12	57520761
chr9	33290429
chr16	741031
chr9	97922262
chr4	1043825
chr1	202927298
chr6	36667244
chr17	35587247
chr11	34371700
chr19	35629029
chr12	132144394
chr5	71455596
chr1	193111786
chr16	88706468
chr1	9428994
chr11	65487753
chr11	43920925
chr12	46430621
chr3	128879491
chr3	16265002
chr17	38825367
chr12	131860918
chr4	119454708
chr19	45455932
chr16	56931973
chr19	10654030
chr3	11272374
chr16	19107967
chr2	8598485
chr15	40593945
chr6	26596930
chr6	106325810
chr20	19628797
chr4	103019691
chr1	236097347
chr16	71845951
chr1	1724411
chr4	158672256
chr13	110870442
chr5	140711274
chr6	17706954
chr12	57782745
chr10	84139498
chr15	56040690
chr17	42677191
chr4	118591710
chr10	114938197
chr19	35612728
chr2	65436587
chr3	172130103
chr6	37433208
chr12	116819452
chr11	67428443
chr15	66497788
chr7	99408882
chr16	1420784
chr2	169584329
chr16	67481201
chr19	29606256
chr11	60842050
chr2	43293988
chr1	32817370
chr1	155241291
chr1	201896123
chr3	101686823
chr14	49586545
chr3	194089832
chr1	228109319
chr19	10252186
chr5	145681840
chr7	4775595
chr15	72376032
chr2	113756740
chr9	94726664
chr18	79069262
chr12	122367060
chr13	113297079
chr12	123633749
chr22	26483849
chr17	27353826
chr22	31055763
chr4	42302605
chr5	57693275
chr3	44236113
chr1	151311768
chr5	173616742
chr7	66844991
chr7	23181981
chr20	3118112
chr9	2844293
chr19	47241198
chr17	4796117
chr12	10613599
chr10	112183780
chr7	30594834
chr18	63422531
chr18	11851371
chr12	70053186
chr1	154558837
chr5	15008697
chr3	197031617
chr16	86555229
chr9	96417446
chr16	30598378
chr4	121801326
chr16	89700329
chr10	118755028
chr22	49970929
chr12	120446417
chr3	72270197
chr3	180989747
chr10	79157711
chr14	31561395
chr4	8440771
chr2	20579429
chr14	49862902
chr9	127965664
chr16	48610284
chr21	43789510
chr18	57621830
chr11	9566159
chr2	68063027
chr3	119463649
chr12	57488053
chr12	107685752
chr19	40348540
chr16	1972026
chr11	9364500
chr7	44885615
chr16	2520346
chr2	100291294
chr9	137188605
chr2	88600301
chr19	12945772
chr2	28870321
chr4	113762739
chr11	118359564
chr17	41689489
chr6	8085223
chr5	179819107
chr14	94599346
chr3	8963486
chr2	20823122
chr17	8249286
chr2	10689976
chr4	138242427
chr1	153566718
chr8	100667671
chr11	36289447
chr2	197500009
chr19	49487547
chr3	105647230
chr2	88691556
chr15	22838647
chr9	131125580
chr4	94207609
chr19	7943705
chr1	204412035
chr6	34888072
chr1	212559079
chr2	26758155
chr5	61408764
chr16	4847391
chr1	209827947
chr20	34112274
chr2	64831507
chr7	6448575
chr6	149546100
chr15	78872823
chr20	380921
chr1	70205645
chr3	45842177
chr19	47244299
chr12	949829
chr1	40161300
chr4	499202
chr22	37561934
chr1	50960321
chr2	68467520
chr12	111841997
chr14	73311533
chr2	44087397
chr16	1475061
chr19	36054463
chr19	2783374
chr15	58332346
chr1	114716801
chr6	36615257
chr10	45594921
chr11	64566752
chr9	113221333
chr19	13880394
chr5	91280616
chr6	37820487
chr4	73069818
chr14	92106744
chr11	86740800
chr9	83885705
chr10	96841096
