Chrom	position
chr2	217854981
chr6	126118176
chr15	81573305
chr2	201907318
chr2	30359866
chr7	111869437
chr3	112028079
chr15	77420874
chr5	125027570
chr2	127080607
chr5	135194351
chr4	181608733
chr13	101705783
chr2	226558695
chr22	27633124
chr8	8260779
chr3	3778404
chr8	141072612
chr10	11163422
chr9	81680782
chr12	67099973
chr16	65049775
chr1	66273881
chr2	217256232
chr5	41457174
chr2	98508459
chr6	167138086
chr6	125370536
chr10	112746565
chr11	45683889
chr20	6502397
chr6	113648888
chr6	113742511
chr2	128768240
chr5	75654817
chr11	11302841
chr4	128776970
chr2	105495249
chr5	92962976
chr2	212406935
chr4	147174055
chr14	78839523
chr3	14232934
chr2	68877309
chr10	76775279
chr5	82408268
chr7	16662121
chr19	4791593
chr3	53091212
chr12	125568519
chr8	102106606
chr2	22888687
chr6	50591440
chr6	51185189
chr13	31953297
chr11	59627883
chr19	28130188
chr4	3910323
chr13	33244393
chr4	3775753
chr15	85704951
chr14	99981974
chr19	37943707
chr8	30174842
chr2	159650765
chr1	201731818
chr8	32215372
chr4	182578656
chr4	182536455
chr3	1199735
chr14	101720152
chr22	46546974
chr4	182276381
chr4	7949346
chr1	200075721
chr8	20815684
chr8	20739963
chr11	57310866
chr4	3571233
chr13	35795188
chr4	183837486
chr1	201874643
chr11	64870823
chr4	2872094
chr16	25061166
chr4	185925959
chr13	34731118
chr19	30687001
chr2	158521104
chr16	25150170
chr17	80872165
chr19	30387621
chr8	29314825
chr17	80795948
chr11	57158219
chr17	80765363
chr1	203556088
chr13	35499359
chr3	195159585
chr8	26700516
chr13	35534576
chr8	26699804
chr1	203798428
chr1	204037047
chr14	95200679
chr19	28638493
chr8	25480716
chr6	51965639
chr14	95127360
chr8	28804583
chr22	47166079
chr8	20737101
chr11	59609411
chr1	208169287
chr13	46356366
chr8	4270938
chr8	4273905
chr6	92564603
chr8	4516052
chr6	91754834
chr13	45787624
chr11	34244253
chr6	90790376
chr8	5970017
chr14	79899399
chr4	16116229
chr1	218735797
chr11	35127835
chr13	45196845
chr16	84922643
chr11	36078528
chr6	89974955
chr14	79706555
chr1	221831966
chr2	171991151
chr4	18856393
chr14	77116633
chr8	1389450
chr14	77875599
chr11	29985426
chr3	45174392
chr2	177079446
chr16	84043264
chr11	32342402
chr8	2073994
chr8	2788400
chr14	79306651
chr1	223705741
chr11	32671240
chr8	2839757
chr4	19880390
chr18	4346031
chr1	222037955
chr3	3366433
chr8	9135061
chr16	86022468
chr6	81570861
chr4	12258340
chr8	13318994
chr2	164803958
chr20	22941789
chr8	16659947
chr6	77588162
chr3	194197749
chr20	23152545
chr2	163655917
chr8	17608831
chr20	23190030
chr14	91325383
chr4	181959298
chr4	182212612
chr2	162037274
chr11	48052460
chr4	8010822
chr8	13264981
chr18	2525024
chr14	85028051
chr1	211934837
chr20	19807558
chr8	9291928
chr4	173060373
chr11	40754506
chr3	2765238
chr16	85158147
chr19	14544255
chr1	214234335
chr11	42977019
chr13	44382783
chr2	169078059
chr1	213440992
chr4	173932962
chr6	84734055
chr2	169034407
chr8	12998635
chr4	178375705
chr6	45880435
chr13	30049864
chr3	194007720
chr8	93502241
chr8	90905373
chr11	109704647
chr8	92091052
chr17	1115303
chr5	17221990
chr3	172826436
chr2	118576671
chr1	157747670
chr6	17289874
chr11	69393149
chr8	93794774
chr6	16805267
chr8	96293729
chr8	96341810
chr5	17984374
chr8	97595029
chr17	62995272
chr3	58246102
chr3	173913514
chr6	21342683
chr5	16810164
chr1	160949557
chr17	957213
chr15	36605964
chr11	100828128
chr15	36775563
chr8	81364684
chr3	57169319
chr5	16378881
chr15	36996290
chr8	81375060
chr17	66858844
chr17	66374670
chr11	104097110
chr8	83710754
chr1	162285873
chr8	83949298
chr13	20151264
chr15	38011382
chr5	18738490
chr2	111744911
chr3	170284112
chr8	107645835
chr2	111297153
chr2	1698781
chr16	7574180
chr2	1819292
chr8	112546755
chr12	125276831
chr8	115296404
chr11	117501731
chr16	7360844
chr11	117588643
chr5	30568330
chr3	157705480
chr20	57157449
chr5	31221221
chr2	2954455
chr11	117888028
chr8	117574806
chr17	1970839
chr8	107363081
chr1	155244799
chr6	13337910
chr5	19624679
chr12	128241138
chr20	53048559
chr6	14623370
chr11	114188951
chr12	127296720
chr11	114216069
chr2	586720
chr20	53141831
chr6	14009433
chr2	867144
chr8	104701166
chr11	115787550
chr6	13360760
chr12	125817411
chr11	116070798
chr8	107075475
chr17	67239126
chr1	165009298
chr1	165410163
chr8	48591825
chr1	182255610
chr1	182236454
chr17	75908368
chr1	182200603
chr15	24663210
chr15	25323597
chr5	1631450
chr15	25565699
chr8	50257718
chr13	28487621
chr11	78709719
chr15	25697854
chr11	78944051
chr20	38779878
chr5	1841246
chr6	36971311
chr11	79236574
chr8	48643502
chr11	75424622
chr2	134173650
chr13	29384586
chr8	37479409
chr1	195237244
chr8	37530919
chr1	193480994
chr11	70650476
chr2	146940298
chr13	30257999
chr8	38838652
chr3	193598426
chr1	226482304
chr5	1112740
chr8	41332986
chr2	143223739
chr11	73253068
chr1	185325612
chr1	185241390
chr17	76587027
chr8	54938053
chr6	36365762
chr11	99352850
chr8	69466764
chr11	93275372
chr6	29679267
chr5	11528960
chr2	125998768
chr17	68468918
chr1	168087743
chr19	48197068
chr3	56909590
chr19	48540430
chr11	94855184
chr11	97445775
chr8	75853796
chr15	34796994
chr16	12724466
chr19	49143111
chr5	15717465
chr17	704342
chr2	127135506
chr15	31269155
chr15	26712650
chr13	24152770
chr1	176601656
chr11	80632908
chr3	186697708
chr13	27408221
chr2	132644290
chr5	3092820
chr8	58858684
chr8	59238141
chr20	44553352
chr3	185572405
chr3	185562178
chr5	3887013
chr20	46404604
chr2	128754371
chr11	88042361
chr17	70569842
chr11	88299533
chr8	1186532
chr1	230268464
chr11	29538549
chr2	217291404
chr7	50622180
chr7	50625536
chr4	86812956
chr10	102620743
chr7	50628530
chr16	63697990
chr2	216982214
chr10	103838195
chr7	51122094
chr4	84902044
chr10	45453241
chr16	61943276
chr10	103854321
chr18	49997678
chr7	55120727
chr10	44311456
chr4	130545374
chr2	231297489
chr13	94396244
chr14	58133278
chr10	102334281
chr18	47894356
chr2	229130681
chr10	101394707
chr4	92825957
chr10	56260752
chr10	53702706
chr10	52759448
chr6	162491855
chr2	217434395
chr7	47327699
chr4	129364927
chr3	16764396
chr6	162079126
chr7	47647857
chr10	50415497
chr3	30129986
chr4	89259637
chr10	104736204
chr2	216464571
chr6	158627458
chr16	59629830
chr6	150363948
chr18	51603781
chr10	31399847
chr6	150128608
chr10	112389871
chr4	140363728
chr2	240236725
chr2	212346151
chr20	429944
chr3	15112125
chr14	56590773
chr14	56651194
chr7	81471182
chr7	81491012
chr10	114719468
chr14	56897026
chr14	57050037
chr7	71382653
chr7	70708014
chr10	110685308
chr18	50695613
chr10	36441666
chr4	79083513
chr6	155140623
chr3	16474589
chr14	50705353
chr10	35771220
chr7	68729559
chr10	106965140
chr4	139733315
chr10	35153838
chr3	30997790
chr10	107025927
chr4	78600062
chr10	108639202
chr6	151112330
chr10	110641375
chr6	162957329
chr6	163209133
chr2	228348792
chr13	103007020
chr10	77239086
chr18	43422764
chr18	43794541
chr13	113204261
chr2	221104636
chr13	109587112
chr13	113224678
chr7	3438583
chr13	105568390
chr13	103730635
chr18	37462587
chr2	220955068
chr2	220949631
chr7	29331247
chr2	220855493
chr7	1580542
chr4	101956631
chr10	77283569
chr7	6888456
chr7	7897165
chr7	8284154
chr3	23387699
chr18	42155242
chr7	17932958
chr16	70018448
chr7	12687562
chr4	111736663
chr7	9242037
chr10	78805442
chr2	222753645
chr4	113951410
chr10	86668547
chr7	8147255
chr2	222399595
chr10	77889481
chr10	86901103
chr7	24201406
chr7	29854870
chr16	67782834
chr10	98344687
chr10	71700923
chr4	95810170
chr7	33863444
chr7	35173394
chr16	66091935
chr2	226695116
chr18	45175804
chr10	97151093
chr7	36864186
chr4	94802231
