Chrom	position
chr14	51067101
chr5	57758097
chr1	214612990
chr1	51069416
chr7	40757113
chr9	139518599
chr19	18475880
chr6	36635030
chr12	57916100
chr4	173903620
chr12	81172039
chr4	26408462
chr10	106569197
chr8	29628149
chr5	138568085
chr6	80254965
chr8	107620943
chr17	37203139
chr3	53304097
chr4	84092322
chr1	15059768
chr7	18460598
chr20	49461333
chr5	139937154
chr6	21188918
chr11	67423973
chr16	48570411
chr4	36280635
chr8	50023169
chr9	136009199
chr20	3874256
chr6	44276958
chr6	64308708
chr5	106792158
chr1	31216680
chr2	26231922
chr11	64092365
chr1	68152484
chr22	40937510
chr17	55601530
chr16	30481036
chr16	10402573
chr6	56611701
chr5	106904143
chr6	80163418
chr19	6616134
chr14	92569933
chr17	38694395
chr17	38703934
chr5	19323066
chr7	99335534
chr12	40552878
chr1	100896068
chr12	2113852
chr7	117270774
chr12	57425374
chr2	102320694
chr7	37632179
chr4	81818813
chr20	49455786
chr6	48078952
chr2	237600666
chr20	20584229
chr11	10921207
chr12	69202733
chr20	43307056
chr14	66970405
chr3	121800612
chr19	4105137
chr1	223595217
chr5	143713268
chr17	4757834
chr1	12206599
chr4	109056906
chr2	113450326
chr2	220526232
chr4	25729942
chr3	71497082
chr12	19584958
chr13	23973633
chr12	93367612
chr7	80295038
chr22	40324768
chr21	33007467
chr15	60589509
chr1	202206473
chr12	6845133
chr18	31140871
chr9	127198837
chr19	51399972
chr1	43406853
chr6	18353291
chr5	73943141
chr5	163547061
chr10	85743582
chr11	60746542
chr8	42429220
chr4	123719544
chr15	59458116
chr20	39762662
chr7	128538313
chr2	74004409
chr19	19887479
chr13	51305750
chr1	92338349
chr16	68309731
chr12	64916185
chr16	2966209
chr22	39493297
chr10	25357350
chr10	98265358
chr7	4723080
chr17	77826856
chr17	77734122
chr6	142891471
chr3	48474112
chr3	195840427
chr6	82469770
chr10	87308061
chr2	231084791
chr11	9631710
chr3	31006288
chr3	170710809
chr10	50516230
chr15	101417825
chr9	2156261
chr14	72030824
chr21	34634065
chr22	39509931
chr20	46006044
chr17	17295428
chr11	97614354
chr16	53075784
chr1	33429494
chr21	34739688
chr7	43617267
chr1	1186462
chr5	150995157
chr11	68049747
chr3	52079823
chr19	11160075
chr5	53700546
chr4	119338748
chr15	56661691
chr6	161454872
chr14	73944589
chr3	177309394
chr11	81699023
chr15	71395557
chr5	27472270
chr16	19536649
chr8	50016569
chr5	56790703
chr18	55648006
chr16	73898966
chr16	53483927
chr1	244402886
chr19	41225148
chr11	118716288
chr12	67010719
chr9	139001678
chr2	64957925
chr1	56999506
chr1	233088821
chr10	49625607
chr16	4190878
chr4	3438826
chr12	94019101
chr11	804430
chr20	36023444
chr3	56818082
chr20	48386825
chr3	102018194
chr5	111815304
chr9	36973322
chr21	36047689
chr17	60802264
chr16	89525058
chr12	68876725
chr16	20877274
chr11	116960544
chr5	17229178
chr12	92428855
chr7	110174782
chr5	77175933
chr17	7257750
chr1	41352503
chr1	111757265
chr5	142580480
chr14	68607217
chr1	110435821
chr3	20120012
chr9	119449486
chr11	64889747
chr9	124084827
chr8	117707454
chr17	43124770
chr6	90961062
chr10	38265810
chr4	63297436
chr3	83983811
chr11	30219614
chr6	37273949
chr1	38412796
chr6	149401123
chr13	94997799
chr1	32959992
chr21	35348539
chr5	110830498
chr6	150486429
chr1	244535259
chr1	14953959
chr2	190152933
chr1	31694113
chr14	64240433
chr5	71203173
chr9	95562764
chr2	216002675
chr17	38350708
chr1	15240354
chr11	65188812
chr10	114827494
chr5	116466935
chr3	46427875
chr17	59489670
chr2	132426670
chr5	10528716
chr15	63449462
chr9	119618671
chr5	76782397
chr11	61137358
chr4	8207965
chr19	17360986
chr14	61808180
chr7	144081274
chr17	38699269
chr6	134378767
chr8	145927418
chr19	49458467
chr10	24545131
chr11	9232559
chr12	92947296
chr8	67025827
chr1	25466724
chr6	36644244
chr10	89603033
chr18	56811816
chr10	122264033
chr13	114540382
chr16	75121258
chr8	50084647
chr2	29819652
chr17	27070189
chr10	82230996
chr10	15166070
chr2	161934738
chr4	167583640
chr11	66386900
chr9	6750861
chr8	18954010
chr9	111622229
chr2	43023317
chr5	123982324
chr14	51288500
chr12	25207887
chr7	130873300
chr16	10630860
chr6	33873316
chr10	92180637
chr7	91677622
chr9	98699611
chr7	20581767
chr8	102257771
chr8	77705313
chr2	178146632
chr5	67435692
chr12	46501585
chr18	23515494
chr16	68970953
chr12	77459862
chr8	103249079
chr12	96115281
chr14	24101231
chr1	181104275
chr9	93705083
chr3	186228286
chr19	39266272
chr2	38626097
chr1	181068896
chr3	186901179
chr7	20392777
chr1	51076457
chr4	69932788
chr2	38254182
chr22	31615098
chr12	25924242
chr8	22872078
chr14	36325393
chr6	20835750
chr7	43556683
chr19	48021569
chr1	59038525
chr8	67036675
chr8	119012832
chr6	64283631
chr5	37848177
chr8	126201694
chr7	25843964
chr4	15002947
chr2	41950068
chr1	171853860
chr12	125423276
chr3	190043956
chr16	66962014
chr19	39189852
chr7	69371375
chr17	69454677
chr6	138134675
chr7	80167621
chr9	34072611
chr14	89806675
chr13	53028786
chr5	81479856
chr10	21716888
chr11	57556072
chr13	33007133
chr20	48988804
chr17	29298972
chr9	75747398
chr20	38679413
chr1	31221134
chr12	52569984
chr4	111788899
chr3	37011473
chr3	89228990
chr12	51322346
chr1	69521111
chr1	44048050
chr15	45174870
chr18	12485883
chr8	42607238
chr4	31236309
chr1	17770131
chr1	56397540
chr2	170249721
chr16	53412202
chr4	5775136
chr6	149175472
chr17	8484786
chr9	5566300
chr7	17532216
chr7	140206788
chr10	30519264
chr12	27736514
chr5	180230991
chr11	95070765
chr3	32448734
chr5	57185419
chr8	128281253
chr5	156891753
chr4	2803688
chr20	4432331
chr9	131865497
chr1	89267740
chr1	31187606
chr18	48274886
chr6	137612767
chr7	126141886
chr19	17569954
chr14	75469331
chr8	57167494
chr7	95959689
chr4	84035825
chr5	10684609
chr6	134698107
chr17	27224034
chr2	68611845
chr4	33748838
chr5	72861262
chr9	5467556
chr3	197302446
chr19	49302398
chr7	21619949
chr16	27420282
