Chrom	position
chr6	34386620
chr7	27116585
chr1	17787774
chr22	40603398
chr6	1817391
chr5	124741125
chr3	99866451
chr17	67978711
chr14	77581140
chr10	121880922
chr10	74418589
chr8	123058416
chr3	41450619
chr10	33388449
chr6	45816800
chr6	26025760
chr19	40832022
chr8	13114540
chr3	113151676
chr8	109611450
chr15	101127542
chr2	171712113
chr9	14326741
chr12	68207400
chr16	19137322
chr4	20294687
chr17	40114611
chr7	69678722
chr4	81378509
chr14	51581495
chr6	40997557
chr15	98700062
chr4	87304865
chr3	159883698
chr5	71601749
chr10	132700775
chr6	47207536
chr6	116530560
chr2	199455595
chr1	151618658
chr6	157070754
chr4	128393274
chr13	54743122
chr2	210167452
chr2	176504047
chr20	18429001
chr8	119990843
chr12	54052166
chr1	3403944
chr8	28868286
chr3	32500437
chr5	101288826
chr4	89298999
chr4	89356321
chr4	108303597
chr17	50694351
chr3	44995532
chr7	82156378
chr3	48034148
chr17	59894470
chr2	33589659
chr3	23747993
chr16	73093802
chr4	87659385
chr1	168285618
chr13	24176504
chr3	18426777
chr17	48590291
chr3	44884230
chr4	106587770
chr10	99520232
chr17	59669648
chr5	98771592
chr1	162062926
chr1	162094461
chr17	60333886
chr10	93756144
chr12	54028945
chr8	30723111
chr9	79573762
chr6	75524700
chr1	151988543
chr1	151980476
chr6	25174159
chr1	164645016
chr9	77099569
chr2	36394853
chr9	125545263
chr3	34010263
chr1	164771738
chr6	93407334
chr11	131998196
chr5	180516643
chr13	41062370
chr7	83267333
chr13	52162718
chr6	132399958
chr14	75256302
chr5	74327040
chr9	127388593
chr10	60951455
chr6	150753638
chr14	74134231
chr16	54050730
chr6	133369004
chr5	146213724
chr7	27994863
chr10	51244882
chr17	72684098
chr12	46267185
chr4	39825985
chr10	50464197
chr13	74129828
chr6	82260420
chr8	119919866
chr10	44753018
chr12	12845315
chr5	77081135
chr9	22238202
chr12	12883485
chr16	53611421
chr19	16489061
chr8	120153758
chr5	77853715
chr6	131966638
chr3	72904414
chr14	77039444
chr10	72800598
chr14	100422944
chr5	138129450
chr4	82999165
chr7	127839256
chr4	81786166
chr14	99195951
chr20	20010842
chr14	99192120
chr17	61252063
chr17	61336213
chr6	155016215
chr1	179925455
chr2	19667815
chr5	140295551
chr13	50780453
chr4	75169558
chr10	72228456
chr12	2017526
chr8	108600382
chr14	90366333
chr9	125913775
chr14	89429802
chr1	184391106
chr5	96018090
chr13	50378748
chr5	73912148
chr12	10363529
chr4	53943886
chr17	48577657
chr3	11197628
chr20	20360712
chr21	39251448
chr8	38899274
chr17	27530835
chr12	95246763
chr21	36860935
chr7	2157871
chr5	122333272
chr2	168470821
chr12	66742132
chr12	98837536
chr1	77674143
chr16	86364322
chr20	43987676
chr16	86363365
chr11	107012205
chr7	65952144
chr6	73642744
chr17	31072414
chr8	69653000
chr12	101783476
chr6	168024254
chr5	54302448
chr11	27013916
chr15	65304820
chr2	101732327
chr12	104286771
chr15	64237925
chr4	156906498
chr15	81962617
chr17	35257521
chr5	124061827
chr20	46085634
chr1	66182810
chr21	32371520
chr2	133292459
chr12	71455576
chr20	51860504
chr6	107217448
chr11	86790437
chr1	51517503
chr8	42267884
chr5	34246111
chr5	33233236
chr20	53136745
chr6	107560915
chr5	109406934
chr17	13562661
chr15	72228581
chr1	59214902
chr17	13996084
chr5	15009692
chr2	149562461
chr8	55761201
chr9	111099554
chr20	61438438
chr9	109473669
chr12	88573012
chr4	186820734
chr11	96328876
chr4	182724550
chr12	92080670
chr6	52243446
chr21	29217975
chr2	133755635
chr4	153782193
chr15	82642856
chr11	11463619
chr16	77409471
chr22	43726489
chr8	37517351
chr15	55825400
chr5	125176312
chr5	59303498
chr1	36238650
chr11	115476707
chr17	44820823
chr22	46734673
chr11	116853822
chr22	49461177
chr8	80510248
chr1	111635457
chr11	117019527
chr9	86494858
chr3	4865907
chr4	122843118
chr6	34383302
chr10	114634896
chr8	17663090
chr2	60445885
chr2	54572409
chr6	100258033
chr2	53969337
chr2	48733135
chr6	158287339
chr3	16483152
