Chrom	position
chr4	9547579
chr12	6493798
chr9	137054260
chr11	59769963
chr12	124779850
chr7	222854
chr12	42144845
chr19	47874190
chr16	89489348
chr13	20461979
chr20	46277793
chr17	63517006
chr10	86292780
chr7	6179781
chr19	49415212
chr2	152098884
chr16	88271912
chr9	32866350
chr10	71218129
chr2	120354584
chr12	7160222
chr6	44067169
chr15	42575272
chr15	43746702
chr9	4714041
chr12	57240601
chr15	72358811
chr17	20435354
chr1	31736859
chr10	132882048
chr10	131900454
chr1	31937647
chr5	107557245
chr5	102296478
chr12	53097992
chr21	44811011
chr12	108287387
chr17	39573795
chr19	18070351
chr8	71247038
chr6	158537252
chr19	44401375
chr22	18511513
chr4	180721602
chr10	79242065
chr1	204306220
chr8	138882597
chr8	22775526
chr14	33996675
chr20	2207366
chr1	245464451
chr8	25458252
chr17	78798163
chr17	83194103
chr14	64766070
chr19	8397435
chr4	950780
chr6	14210941
chr1	22678295
chr1	22685782
chr1	228486771
chr1	174797547
chr9	124423726
chr22	46120003
chr16	72887670
chr17	82909521
chr7	123692624
chr7	131106302
chr15	79439452
chr16	28012181
chr22	49188351
chr16	28036059
chr15	79437399
chr16	29288898
chr3	51681666
chr3	56960724
chr1	54406652
chr15	79282693
chr16	29662974
chr1	54606443
chr22	46710998
chr3	50371349
chr3	56970565
chr22	46460211
chr15	75696455
chr1	43349594
chr15	75584239
chr15	74994499
chr15	74433723
chr15	84889523
chr3	13669659
chr3	50246529
chr16	25022001
chr3	37806277
chr3	31904204
chr1	46203287
chr15	73888665
chr16	1175772
chr9	22159225
chr3	23756372
chr16	2172841
chr3	15630849
chr3	15520290
chr3	15325409
chr16	4183883
chr16	10617223
chr3	13569904
chr3	13665749
chr1	46185164
chr1	48692436
chr16	11076514
chr15	98636087
chr3	49799294
chr16	4660646
chr1	53305837
chr15	90954145
chr3	45551598
chr1	44241422
chr3	5023482
chr3	41159098
chr3	9792532
chr1	51326002
chr15	98835168
chr3	10641948
chr3	42530243
chr3	10972513
chr15	89430889
chr3	130757941
chr15	73805877
chr4	1579423
chr4	1462975
chr1	89896240
chr14	93960000
chr14	94165097
chr3	196695128
chr3	196014083
chr14	98906838
chr3	194943381
chr8	140132568
chr1	85352258
chr14	99321429
chr8	140551770
chr1	85054872
chr1	85048578
chr3	194285763
chr14	99853410
chr3	192850822
chr4	1537199
chr1	90850796
chr8	141269564
chr14	92684919
chr4	8604046
chr4	8409713
chr14	72444123
chr14	73710105
chr14	74413805
chr8	124631837
chr14	74468706
chr4	7051021
chr14	76050460
chr4	6368818
chr1	93780001
chr4	5664973
chr4	4092297
chr8	130343367
chr14	90060452
chr1	91886261
chr14	92253551
chr14	100606409
chr14	103109948
chr15	72785593
chr15	41872566
chr15	50417112
chr8	143934216
chr1	62341326
chr15	58393344
chr3	133895648
chr22	45757152
chr15	63210765
chr3	128469810
chr15	64152444
chr15	65792366
chr1	60622591
chr15	68271961
chr15	68273190
chr1	59142870
chr15	69876201
chr15	69885379
chr3	94454031
chr15	45279344
chr3	149658930
chr3	184761541
chr15	40112947
chr14	103849668
chr14	103886816
chr3	184652677
chr14	103901291
chr14	103921683
chr14	104093846
chr14	104166923
chr14	104202590
chr1	75724730
chr1	69776775
chr3	182697716
chr1	68433568
chr14	105196292
chr14	105249222
chr15	28652661
chr8	142809932
chr15	33374405
chr9	37923272
chr19	56174285
chr22	45594655
chr9	121652528
chr17	57783411
chr17	57954760
chr17	58053166
chr20	48164227
chr17	60600039
chr17	61291851
chr20	46407151
chr20	46332461
chr1	24867646
chr20	41134159
chr20	44885477
chr17	66832021
chr1	24353474
chr17	67244710
chr17	67292988
chr17	68019989
chr17	68601390
chr9	122905307
chr20	49776435
chr20	50359780
chr17	50946808
chr1	26289339
chr21	17501605
chr17	39626389
chr17	40321241
chr20	62652585
chr20	62229232
chr17	44960144
chr17	45329944
chr1	27343494
chr20	61024005
chr17	47100200
chr1	27011251
chr1	26910266
chr20	57580186
chr17	48601014
chr20	56429653
chr17	49789139
chr17	50079944
chr17	72193109
chr9	123364341
chr22	44693926
chr17	79990391
chr1	22154228
chr1	21905217
chr17	78366005
chr1	21673377
chr20	25217948
chr17	79810543
chr17	79839832
chr17	79988234
chr20	24808794
chr17	73347561
chr20	23980353
chr17	80677544
chr17	80980622
chr9	127574310
chr17	81985055
chr17	82047534
chr17	82048896
chr17	82325113
chr20	32820362
chr1	22247994
chr1	22250902
chr20	33048827
chr17	73754299
chr17	74196794
chr1	23521823
chr9	124011724
chr20	37907692
chr1	23372160
chr9	124098405
chr17	74715286
chr9	124202661
chr17	74776224
chr20	36391236
chr1	22641437
chr20	34709201
chr20	33853186
chr20	33811273
chr9	125586336
chr17	77155336
chr17	39071732
chr1	29559263
chr21	31913346
chr16	87607386
chr16	85436875
chr22	33861412
chr1	38564187
chr16	86465655
chr16	86576235
chr22	31629468
chr22	31490091
chr9	86354561
chr22	30402204
chr17	38415600
chr1	37630853
chr1	37479815
chr16	88714255
chr16	88882403
chr22	27239190
chr16	89327049
chr22	26826728
chr22	26801124
chr16	84736026
chr22	35961555
chr16	84032976
chr16	81265314
chr22	44520980
chr22	43085860
chr1	41806975
chr1	41783404
chr16	58201383
chr16	58492278
chr16	67159755
chr22	39950123
chr16	67653658
chr22	39684827
chr22	39252948
chr16	69394514
chr22	38756193
chr1	96721548
chr16	75148624
chr22	37623532
chr1	39819538
chr22	26619719
chr22	25456862
chr22	25098811
chr21	43728650
chr21	42456752
chr21	42439783
chr21	41691784
chr17	28842610
chr21	38805700
chr17	29078913
chr1	30907756
chr17	29592986
chr21	37451627
chr1	30840077
chr21	36914760
chr9	97411916
chr21	36433492
chr17	34616394
chr17	36643479
chr21	33070341
chr21	32493478
chr21	42617580
chr21	43934858
chr22	24633659
chr17	18087887
chr22	24244404
chr17	1275623
chr17	1300446
chr22	23674515
chr22	23237403
chr17	2028105
chr17	2050682
chr17	2075821
chr17	2393057
chr22	22256308
chr17	7049185
chr17	9105515
chr1	32973137
chr21	45950873
chr21	45471014
chr17	17252404
chr21	44706387
chr16	74742259
chr13	112151179
chr14	69605922
chr6	107565523
chr11	1396236
chr6	112199155
chr11	3620095
chr11	7604529
chr1	204263623
chr6	108562251
chr6	107843600
chr6	107753953
chr1	204129251
chr11	36350302
chr6	90400135
chr1	203625829
chr6	89298159
chr11	17435218
chr6	87829921
chr11	17570190
chr11	17601359
chr8	10106890
chr11	1262788
chr6	124961926
chr10	133183058
chr10	132918682
chr10	110393516
chr1	209595239
chr7	155962029
chr6	155076248
chr10	119394815
chr10	120969314
chr6	148864307
chr6	144287160
chr1	206472601
chr7	157763072
chr6	143673011
chr1	206003498
chr7	158008066
chr10	125451502
chr6	139049130
chr6	136723986
chr10	132786843
chr1	203057967
chr8	10511196
chr4	20337462
chr6	33864267
chr11	65416481
chr6	36839532
chr11	66720386
chr6	35493434
chr6	35488270
chr11	67405105
chr1	184820419
chr6	34059569
chr8	20261896
chr11	44920644
chr1	183690149
chr11	69365749
chr11	70246396
chr6	32945649
chr6	32526921
chr11	72613648
chr6	31714179
chr8	21781386
chr11	65390838
chr11	65215970
chr6	39222360
chr6	41503148
chr1	202625696
chr11	45449407
chr11	45757848
chr8	11054746
chr6	45424628
chr11	46353966
chr11	47599157
chr8	11599439
chr6	43369797
chr11	61588771
chr11	61684738
chr1	201476805
chr11	61775711
chr6	42263499
chr11	62044875
