Chrom	position
chr12	24998248
chr2	226772905
chr13	41916774
chr15	82806175
chr12	25020772
chr7	18495645
chr20	58908007
chr5	124650381
chr6	25962488
chr12	49663223
chr21	45110043
chr12	82358501
chr9	33290320
chr5	81749736
chr2	46575017
chr6	43630149
chr2	11753796
chr9	131677630
chr15	101199852
chr15	99565939
chr14	105862170
chr13	42377912
chr18	57107370
chr2	219279271
chr9	131678601
chr1	21574302
chr1	26744290
chr3	13332351
chr3	8658633
chr14	61388747
chr3	187901161
chr5	10607194
chr1	205288354
chr13	19984839
chr6	145350248
chr10	74008368
chr19	45439952
chr7	43648839
chr6	167113203
chr1	150487187
chr6	89081713
chr18	57077976
chr2	119352601
chr14	70669247
chr19	10836611
chr7	22422393
chr13	48980169
chr13	99282419
chr6	25006781
chr8	11492096
chr12	31406539
chr19	34193633
chr18	32923171
chr4	113637150
chr5	124741292
chr8	60057022
chr1	157562642
chr6	36115212
chr13	99228896
chr2	42118486
chr19	42129565
chr22	22935728
chr1	226663047
chr2	10445589
chr10	110920791
chr9	37197349
chr14	34711356
chr11	47767642
chr2	88606892
chr3	129276484
chr10	14659932
chr3	16431412
chr3	197712456
chr22	22167918
chr4	26807522
chr6	161029353
chr12	89856655
chr7	24878129
chr17	69581663
chr19	41535011
chr3	102234109
chr11	9615261
chr2	47310562
chr8	120868933
chr13	103031712
chr1	110872467
chr11	47850587
chr15	67074319
chr19	48873142
chr8	38805560
chr1	30754845
chr2	213166203
chr6	90376129
chr8	22974364
chr14	22556463
chr1	89692956
chr3	121992724
chr12	52036991
chr7	30330965
chr7	41881920
chr3	187958742
chr20	57680381
chr17	36090311
chr19	35296188
chr13	40432206
chr17	2491269
chr2	196274770
chr5	60541502
chr16	57235389
chr17	47895814
chr15	72079106
chr7	74650177
chr10	62045355
chr9	76472362
chr12	94240308
chr1	109816621
chr15	64755076
chr1	178581438
chr4	81562300
chr7	45001357
chr21	41833634
chr8	61748615
chr2	25419849
chr22	23183402
chr5	81507117
chr6	87905389
chr1	23577554
chr20	5675496
chr3	66469413
chr14	89304112
chr1	112622328
chr7	30434600
chr9	114566852
chr6	13259532
chr6	129684225
chr8	29229716
chr12	115000281
chr13	23807699
chr4	184384438
chr17	82292793
chr18	26190768
chr21	29117618
chr1	174954896
chr19	44890465
chr4	146049929
chr17	59829509
chr17	77212646
chr9	6690100
chr5	99027678
chr19	40143880
chr12	68807811
chr9	132382314
chr9	74865324
chr10	92742621
chr13	95234490
chr22	45772846
chr2	60841123
chr11	75824513
chr7	6435857
chr10	63628780
chr6	141483828
chr3	187044465
chr16	17301796
chr19	35324282
chr19	52028617
chr7	18506076
chr17	44111258
chr2	25377056
chr8	68394752
chr2	171323606
chr11	17386745
chr7	28816087
chr14	68685630
chr2	63591181
chr4	83212710
chr9	100084889
chr2	68714995
chr12	132820323
chr17	57422888
chr11	95096422
chr16	81821719
chr1	39269881
chr17	57558288
chr1	159068291
chr20	53830309
chr11	122668762
chr10	11678280
chr5	173821322
chr17	21034491
chr2	134943790
chr1	155979782
chr19	12613925
chr3	177351978
chr17	59833226
chr19	35086181
chr16	87774929
chr8	133499473
chr11	128610923
chr3	58350077
chr18	44759504
chr13	79194475
chr11	65472292
chr6	156698470
chr1	101248057
chr6	142885615
chr8	80162188
chr14	76194534
chr14	75138689
chr1	161227584
chr14	68280095
chr5	56736269
chr2	208320843
chr16	20904630
chr12	25005509
chr1	153791265
chr8	28341262
chr10	3785494
chr2	77016683
chr1	56832090
chr2	201414303
chr7	44460538
chr4	123449980
chr12	111730677
chr11	129973220
chr17	19306558
chr17	47279263
chr6	24891284
chr6	24862127
chr11	121494857
chr13	46983399
chr17	50931526
chr1	165754155
chr1	226354301
chr12	6959289
chr5	107389278
chr3	183592066
chr14	73770768
chr10	92756664
chr13	30444025
chr3	188097979
chr19	35462790
chr2	231316098
chr12	69906588
chr11	118820978
chr9	124264996
chr6	45682038
chr9	120892813
chr16	57299933
chr20	49630656
chr4	113565117
chr2	230497081
chr6	32623152
chr10	12196131
chr13	98487730
chr9	121156667
chr8	53900091
chr10	61900132
chr3	36895107
chr2	229486034
chr3	192042328
chr18	77128322
chr5	108521525
chr4	86939891
chr16	25019167
chr20	5645639
chr3	101938588
chr10	102169620
chr19	45706599
chr9	132384547
chr8	100438172
chr18	36150083
chr4	78750265
chr21	25298819
chr4	47499888
chr18	45106494
chr7	101861380
chr2	8477953
chr2	10745832
chr20	16040994
chr16	67489022
chr1	161718959
chr15	41971209
chr14	102901804
chr7	20438837
chr19	1669284
chr10	110842049
chr1	174815570
chr7	28155105
chr19	47113408
chr17	17692045
chr14	101814048
chr9	136240196
chr9	132942884
chr17	36196911
chr22	28792335
chr4	153574430
chr14	20333448
chr6	109769415
chr5	32573344
chr1	192605135
chr8	102530237
chr17	16975534
chr3	112908438
chr13	28268918
chr4	2696524
chr11	67649355
chr1	15844005
chr3	149245837
chr17	66441514
chr15	72141592
chr14	68401991
chr2	101224083
chr15	31236331
chr17	5243186
chr14	68267258
chr1	8497322
chr2	218334704
chr10	133389173
chr4	99809572
chr6	13526814
chr14	91495548
chr10	9331785
chr16	17460364
chr10	12244029
chr1	77847736
chr12	46387085
chr12	94193409
chr16	11966388
chr3	62503200
chr1	33461165
chr10	26799560
chr2	197152626
chr15	59406619
chr5	151196733
chr3	43907675
chr10	96287938
chr14	75470621
chr11	73048170
chr5	88833426
chr15	74788998
chr9	37302520
chr12	67698969
chr2	86244227
chr1	151843563
chr8	102290113
chr22	40436447
chr5	67196865
chr1	77770462
chr2	108776591
chr11	9613290
chr8	24367533
chr6	1739909
chr8	60136249
chr13	30371880
chr8	51962505
chr1	41751452
chr12	32482444
chr20	17956329
chr20	16451209
chr1	11227575
chr11	119361517
chr8	80138746
chr4	86998244
chr16	68094087
chr3	187000855
chr21	33339361
chr11	120335100
chr10	110356842
chr7	101933810
chr17	78739631
chr12	125419132
chr17	57939974
chr12	131924629
chr2	39492194
chr10	50260911
chr10	74166750
chr4	153341957
chr5	50547506
chr15	67081165
chr2	33272202
chr1	225436245
chr6	34236903
chr5	17282520
chr6	130115211
chr8	22456125
chr3	72164133
chr22	25562085
chr5	124649778
chr5	75847718
chr7	106024101
chr8	22443989
chr2	131669097
chr4	26826923
chr9	74777208
chr10	110069868
chr5	131635481
chr2	60995554
chr15	85404299
chr2	171317917
chr7	36192194
chr22	39899248
chr2	64092702
chr13	50123939
chr1	160474592
chr14	34332386
chr15	38651142
chr2	155145913
chr5	58506468
chr7	47670954
chr16	17282441
chr4	47564524
chr19	49897088
chr1	157566722
chr4	38761752
chr14	61553010
chr19	45016456
chr10	119120602
chr10	7472117
chr6	89350577
chr10	62110135
chr17	81239357
chr6	18359606
chr7	24933047
chr5	69136475
chr15	90661481
chr7	90690383
chr6	134247450
chr5	79887098
chr10	62779582
chr5	36240075
chr12	9721856
chr10	114096139
chr2	165700204
chr2	15142347
chr12	95343857
chr2	231675200
chr2	136238977
chr22	31293880
chr3	16447380
chr7	90737467
chr4	42639212
chr13	30445884
chr1	149997775
chr11	43736903
chr2	6352440
chr8	140588938
chr3	39254987
chr10	101353898
chr9	2570885
chr3	12749588
chr6	26330270
chr7	69693258
chr3	40971698
chr11	33943310
chr17	36127411
chr3	133572605
chr6	144753255
chr19	50341251
chr19	34270176
chr8	37574571
chr19	37915097
chr4	163587970
chr12	46388548
chr17	16287779
chr7	2407006
chr12	71392763
chr8	101911821
chr12	71688183
chr17	48441487
chr1	192626750
chr7	7857221
chr2	196160288
chr18	79460599
chr2	144704108
chr18	79625360
chr11	102430668
chr2	145593480
chr7	152159026
