Chrom	position
chr15	74838793
chr19	17416334
chr8	61705595
chr20	32156380
chr1	180895804
chr20	3411225
chr14	96027464
chr19	15408602
chr11	762548
chr19	18744316
chr7	98477561
chr17	49029644
chr14	102343034
chr6	13299876
chr11	58984562
chr16	21518548
chr17	27065964
chr4	174185983
chr15	74277547
chr1	154720680
chr1	42162287
chr22	22549926
chr7	102082228
chr1	45126036
chr16	68291317
chr8	125649946
chr11	66092967
chr1	40311288
chr22	27011368
chr1	182453847
chr6	45542843
chr2	74259839
chr1	182603054
chr3	14729097
chr2	134918458
chr6	90085309
chr17	76272823
chr11	64183738
chr2	86468886
chr10	6190362
chr5	88639720
chr17	47647627
chr8	29631080
chr17	25572536
chr19	48674439
chr17	17817516
chr11	67761529
chr6	41978314
chr17	62962150
chr10	134385682
chr20	39611162
chr4	850282
chr17	47592751
chr19	36400374
chr22	23227338
chr12	11906217
chr15	31645572
chr20	48665100
chr3	10418253
chr13	20534357
chr12	116799272
chr7	24861095
chr1	203290185
chr11	10566779
chr12	120516880
chr9	98225090
chr10	104536968
chr8	101919697
chr1	160644421
chr1	41788002
chr7	75244540
chr1	150953972
chr6	37029143
chr4	10096646
chr11	119593326
chr2	10465914
chr12	125010214
chr1	204544025
chr1	151793667
chr11	69264369
chr11	61402154
chr19	45578617
chr17	80288398
chr8	22069902
chr2	218458600
chr10	74076919
chr12	16351957
chr5	60894125
chr17	79864946
chr11	57315818
chr22	39660571
chr17	17750118
chr15	64152546
chr17	1667716
chr12	111129471
chr1	231094310
chr7	156715999
chr7	141979592
chr13	76081464
chr19	45622088
chr6	6617094
chr11	65319663
chr14	104092656
chr12	76353971
chr16	89165041
chr3	32068249
chr19	13188298
chr12	122294004
chr9	140285175
chr8	56903738
chr2	224732951
chr21	44710511
chr3	101133182
chr9	33523608
chr6	35776645
chr14	107126258
chr11	84260474
chr20	30200728
chr1	3692682
chr15	78349335
chr17	39958090
chr8	100253230
chr5	1140559
chr22	24186802
chr3	33090033
chr6	7342666
chr19	19016834
chr1	206736578
chr2	28636605
chr6	12044915
chr2	122530048
chr5	172264937
chr20	47845408
chr22	23208044
chr4	81912201
chr20	49548371
chr17	9937017
chr1	43408406
chr2	238767186
chr3	48414080
chr12	48135432
chr13	48669322
chr21	40225462
chr12	53027410
chr1	11028748
chr19	16710648
chr2	238632480
chr20	33460784
chr4	154652554
chr16	21371613
chr12	4261081
chr22	38861753
chr3	71302007
chr17	37396044
chr1	44396691
chr1	6647644
chr9	114688983
chr18	21413841
chr3	182834111
chr7	150124980
chr10	43555963
chr13	41567421
chr6	10855632
chr22	37687019
chr22	23455385
chr12	48277207
chr2	197048051
chr8	38815288
chr1	236332520
chr1	244215476
chr8	52918822
chr15	31653897
chr7	44086559
chr11	33082071
chr17	29864758
chr15	102040342
chr10	75818027
chr11	10478372
chr15	90823542
chr10	104408767
chr2	111506310
chr14	95953422
chr1	165840661
chr9	36765962
chr18	32992600
chr8	59771069
chr11	82502293
chr1	231347337
chr6	53174542
chr7	6897655
chr5	153810211
chr20	25322552
chr7	140374389
chr19	12899576
chr2	60593492
chr2	191885091
chr12	122215595
chr6	107363876
chr1	32714026
chr3	48184023
chr21	40357733
chr8	143102169
chr12	26951196
chr16	70462146
chr2	238840039
chr12	215471
chr6	11333887
chr6	106341865
chr2	218933700
chr8	120780399
chr4	134079115
chr22	27044163
chr9	127052731
chr2	47247252
chr4	54614750
chr7	2247513
chr1	1307527
chr2	30505075
chr10	72268778
chr12	129451167
chr3	122689013
chr17	79924878
chr2	6921042
chr20	55973682
chr1	150026110
chr12	32908205
chr19	47994260
chr5	133328259
chr22	21190804
chr19	47998129
chr17	66233733
chr22	17739205
chr1	203021167
chr12	32825102
chr6	31695485
chr3	194117904
chr15	91458620
chr21	34681390
chr5	9529296
chr18	43748013
chr17	80623952
chr16	29350784
chr8	29050645
chr10	1161599
chr16	29611684
chr12	30908046
chr10	75519465
chr11	75234410
chr20	47299401
chr2	11268121
chr2	70185297
chr10	70359283
chr19	4971556
chr3	53171474
chr12	31512121
chr21	35392545
chr11	645491
chr18	43924211
chr3	52168973
chr1	27438968
chr15	93383135
chr15	68076885
chr17	19288206
chr7	132338258
chr19	14214253
chr3	42531922
chr2	46206335
chr6	30802628
chr1	160519335
chr6	31678415
chr17	60548342
chr18	46132038
chr1	11623859
chr19	2783579
chr3	100480308
chr11	74437753
chr19	50490645
chr19	48812012
chr6	11731054
chr1	41134645
chr9	137272559
chr8	124934470
chr9	131786015
chr16	70813072
chr2	232878880
chr12	56351067
chr1	181099637
chr14	50830719
chr18	74811757
chr7	1544200
chr13	99582592
chr9	139926917
chr22	36635723
chr1	9486572
chr9	132625570
chr1	204490495
chr8	66858580
chr7	563297
chr18	60822922
chr20	49411406
chr4	174042363
chr2	181688662
chr20	61540673
chr18	12086339
chr14	81426014
chr2	234317494
chr14	93136657
chr16	87862230
chr17	32688651
chr14	93055774
chr1	229830271
chr3	58182384
chr6	41975690
chr1	36815101
chr12	15107310
chr17	73660331
chr10	12154873
chr4	174173574
chr19	18535546
chr22	29766787
chr3	113325888
chr22	46362574
chr7	150126023
chr19	10705098
chr2	65610058
chr10	35698355
chr3	177000117
chr3	157816034
chr9	133297391
chr20	34686403
chr17	74402279
chr2	232539858
chr5	991665
chr4	86763887
chr7	2629797
chr9	136423853
chr17	71163415
chr10	31217802
chr10	74034635
chr2	8442410
chr7	1070478
chr20	39585363
chr1	93794594
chr4	48816121
chr15	56830234
chr17	71464026
chr14	43399459
chr1	161973977
chr13	31553727
chr15	83777522
chr17	66432282
chr9	139694526
chr16	23847301
chr3	46530443
chr8	78042986
chr8	102149498
chr2	8393731
chr14	105123640
chr22	30704719
chr7	76054172
chr2	241556433
chr11	115740745
chr9	140013366
chr4	26143832
chr14	77350005
chr20	30196425
chr14	77330316
chr11	95948852
chr13	30147509
chr19	44074550
chr1	156633190
chr6	35765146
chr11	66512914
chr8	142238619
chr5	150594345
chr17	75842705
chr8	144597929
chr19	4959456
chr1	55070495
chr14	91841954
chr19	19320399
chr22	38711165
chr5	150448447
chr20	4022782
chr14	25076555
chr21	37514007
chr1	241521526
chr8	144598853
chr12	8473229
chr2	112940273
chr16	85964649
chr21	45199790
chr17	16891551
chr17	76799649
chr16	85532443
chr13	31613364
chr20	17627745
chr1	235243056
chr22	43278518
chr2	96045352
chr19	19571190
chr6	106534110
chr2	60583289
chr16	85641108
chr8	103809881
chr6	88632938
chr7	44791024
chr16	11773353
chr13	24024667
chr3	171825475
chr2	168870260
chr16	85636661
chr17	75206592
chr22	38393057
chr1	212098635
chr10	34004512
chr18	57628565
chr11	68611598
chr3	45596047
chr2	128417504
chr1	23855311
chr3	49692596
chr7	98016674
chr11	68070265
chr10	121088336
chr2	101925463
chr19	2446494
chr1	40112086
chr17	17569472
chr7	47608322
chr1	20920440
chr5	139646721
chr2	55647111
chr5	137941267
chr3	185937058
chr1	182604024
chr1	212810200
chr12	6461637
chr1	66169765
chr11	9635930
chr5	169802574
chr12	122156868
chr10	3848323
chr19	58875645
chr12	94956107
chr11	68593243
chr5	176086177
chr1	111177487
chr15	66679010
chr9	137277813
chr13	77388177
chr16	15813955
chr21	40497933
chr16	11334727
chr6	157983150
chr1	161999030
chr10	30673772
chr3	13373890
chr8	123807440
chr1	10249865
chr20	52456253
chr12	6469650
