Chrom	position
chr12	82358772
chr19	10416827
chr20	64286000
chr2	232606194
chr5	142713403
chr17	8383397
chr3	98039653
chr14	22557252
chr12	56224331
chr5	139765749
chr16	2340911
chr1	113072930
chr22	30256133
chr19	1672325
chr22	36066214
chr6	148706
chr15	77910651
chr17	50200774
chr19	247230
chr9	124853144
chr10	97407398
chr1	84945094
chr8	15378499
chr4	75573625
chr6	132279803
chr1	209747868
chr9	129642298
chr11	128157986
chr18	12271915
chr2	113604224
chr3	126982668
chr1	84621013
chr3	128617804
chr19	35269771
chr9	101449332
chr2	170929000
chr19	45439662
chr20	58650851
chr10	78029700
chr17	44779289
chr2	152025962
chr11	72434298
chr11	116276738
chr2	219541807
chr20	32031575
chr1	212035274
chr9	136791938
chr17	27654889
chr17	28903145
chr3	156674229
chr16	86563975
chr15	72671004
chr11	86608526
chr20	31613028
chr10	6088866
chr1	155250855
chr15	82530899
chr16	4402835
chr16	87778011
chr11	34359454
chr7	141738217
chr5	138464271
chr6	2952760
chr11	95151649
chr19	13880292
chr11	66694861
chr8	22574549
chr4	25312676
chr1	204807318
chr19	38930474
chr9	97923848
chr15	73636625
chr13	52450713
chr7	76314445
chr7	100483410
chr20	62791637
chr8	142669668
chr11	72793833
chr9	35826196
chr17	39548072
chr1	34852856
chr12	54214915
chr11	518827
chr19	53793138
chr4	54971608
chr15	84570954
chr8	9831141
chr19	921857
chr1	2140056
chr1	156660141
chr17	78251070
chr2	131492710
chr19	35717078
chr5	52915553
chr19	41706937
chr19	45817316
chr19	3104256
chr17	43483772
chr14	74612707
chr2	84925953
chr1	181425095
chr16	8567838
chr14	67526822
chr1	109263771
chr13	99437057
chr1	185170578
chr10	104291588
chr11	64688586
chr7	151172731
chr6	154675763
chr12	77925758
chr13	40777445
chr6	17584396
chr5	141524920
chr15	89416483
chr3	129245914
chr17	41662859
chr12	52981037
chr6	30453818
chr19	50556730
chr6	53172051
chr5	132526908
chr2	30711789
chr14	23069066
chr9	130866594
chr11	76920059
chr3	46078998
chr14	105045902
chr7	134432832
chr15	40368231
chr17	49570207
chr12	49342621
chr7	151783064
chr19	33778185
chr1	186375548
chr3	45037878
chr17	43760569
chr3	184289593
chr14	70817862
chr12	53746811
chr14	106309087
chr7	993304
chr5	2038754
chr5	141564356
chr1	46442784
chr16	4254182
chr19	510800
chr11	10735967
chr20	46014117
chr6	109705373
chr19	17496453
chr16	85420891
chr16	77236221
chr5	134039703
chr14	104078141
chr16	75464890
chr11	66408608
chr11	77127322
chr9	83921056
chr2	238256745
chr9	121320257
chr6	15691450
chr17	34361669
chr16	1929840
chr6	27792434
chr15	79596228
chr10	75236096
chr1	114346687
chr1	50873592
chr19	5804178
chr17	18625793
chr19	35693942
chr3	141192454
chr14	23120972
chr20	50929559
chr10	100433962
chr22	43231405
chr6	41369060
chr18	47749324
chr17	5439256
chr9	35604062
chr12	112992988
chr19	34501720
chr10	30359865
chr14	90399721
chr14	95561116
chr7	43839055
chr17	81101899
chr22	17171596
chr19	8580932
chr19	49570341
chr10	64041370
chr9	128117799
chr12	12704809
chr3	195851054
chr5	1641760
chr12	107092256
chr1	116139224
chr16	55465269
chr12	121794366
chr6	132768226
chr1	241998668
chr11	75248832
chr10	48656420
chr7	4973989
chr7	74206768
chr14	49862226
chr18	59402679
chr16	74813286
chr17	31525536
chr22	46116654
chr14	21092669
chr8	22756252
chr16	28945747
chr11	65780103
chr1	18907143
chr1	9627150
chr17	60421531
chr11	65989195
chr17	28750258
chr9	613997
chr19	51158787
chr10	95694195
chr1	225475116
chr2	26503557
chr2	24084487
chr3	20039980
chr11	36747265
chr14	55271263
chr1	32712350
chr15	66903848
chr2	117814530
chr16	67816723
chr17	76121592
chr11	6353610
chr5	175534248
chr6	72412376
chr2	219642665
chr2	143034514
chr1	145892032
chr2	30165195
chr17	45197989
chr16	56964728
chr22	20564489
chr7	95690637
chr17	45135448
chr2	219295007
chr5	129768057
chr11	10307982
chr16	85821582
chr2	44479589
chr9	68584624
chr20	34312859
chr12	10750319
chr1	159891750
chr20	1503819
chr22	36856536
chr3	118884874
chr6	131628377
chr13	48769298
chr21	25801733
chr20	47384204
chr19	38403119
chr1	211134283
chr12	57239249
chr19	46347482
chr10	72048716
chr5	139968961
chr7	5781711
chr9	36008964
chr11	64355260
chr10	7687451
chr1	46223669
chr9	97411881
chr17	35804918
chr12	124906941
chr16	88737505
chr15	77633646
chr9	37913783
chr2	73177558
chr22	41697286
chr11	61129953
chr12	57905524
chr14	103391203
chr15	78108506
chr1	153677861
chr19	3126195
chr7	142783491
chr15	89358809
chr1	85308327
chr20	4172661
chr2	189661228
chr4	2441848
chr1	55022246
chr22	37934105
chr9	33722283
chr2	218847862
chr1	94045725
chr11	62786687
chr7	26667735
chr10	95183775
chr17	42322937
chr3	123642579
chr7	23547154
chr12	57583491
chr12	54379828
chr2	113390481
chr11	118659647
chr5	132064868
chr8	46957167
chr15	29668255
chr4	147866983
chr14	22570537
chr5	50963101
chr19	49672508
chr17	64025968
chr6	125956789
chr7	151350466
chr12	52213675
chr19	4400718
chr3	48436172
chr6	37018394
chr8	84626289
chr5	175729991
chr19	49474147
chr4	5998521
chr22	21713340
chr14	69727128
chr2	237512950
chr2	28566926
chr5	138036152
chr16	23182530
chr15	45118285
chr15	45430430
chr17	80575511
chr10	71896598
chr3	116771022
chr19	10581165
chr17	28548332
chr10	86939577
chr20	35954586
chr11	130862142
chr1	25895573
chr7	38335805
chr12	6869588
chr5	180293664
chr1	205335789
chr10	23158530
chr2	209423876
chr11	65818384
chr4	10018935
chr2	152176054
chr2	222690768
chr20	58210014
chr22	44684943
chr8	138727585
chr9	128733380
chr17	27760223
chr12	52025784
chr2	46987201
chr6	106360550
chr11	2532941
chr17	39730602
chr8	20376395
chr1	158087513
chr5	95781235
chr1	150979659
chr6	150071281
chr2	27683682
chr11	60775541
chr19	4804085
chr4	170259775
chr11	66222858
chr2	11634
chr2	70948641
chr13	98673200
chr10	109884351
chr1	235504716
chr5	43389932
chr18	46658454
chr9	133022534
chr9	764213
chr2	169824960
chr17	34200118
chr3	139329528
chr22	50276333
chr5	142548955
chr9	124712121
chr2	99490499
chr14	74257605
chr5	171418860
chr1	39816976
chr4	82739495
chr17	29219599
chr3	49539830
chr12	55737369
chr21	43939244
chr16	3129710
chr7	33109523
chr7	5487073
chr22	38052477
chr10	101602957
chr6	36302656
chr9	137236648
chr8	97560180
chr11	85855017
chr3	46488870
chr11	2892256
chr18	59308658
chr12	110826847
chr19	2819777
chr12	63844006
chr20	23668577
chr16	2003994
chr19	55653797
chr14	76913699
chr1	47437938
chr5	157743669
chr1	230642357
chr5	54517587
chr12	53676231
chr18	21601031
chr8	206996
chr19	40634682
chr10	96375481
chr6	36680622
chr11	61899291
chr17	75515919
chr7	135281663
chr17	38606550
chr15	56246208
chr11	88544551
chr8	70608474
chr1	66242855
chr14	96100746
chr1	6701914
chr10	130190278
chr2	134451047
chr19	34973347
chr1	154999292
chr11	96343360
chr17	38492212
chr15	40274871
chr13	19587818
chr11	82695902
chr8	17577032
chr8	70148169
chr1	28882227
chr6	31197135
chr14	24679122
chr17	49408155
chr19	42108692
chr7	41943224
chr1	214628322
chr16	81035717
chr13	75482662
chr9	135412762
chr10	4849842
chr11	63035861
chr4	48963252
chr17	75589219
chr11	114036240
chr3	50274486
chr17	46193535
chr2	224284435
chr5	37413168
chr6	25992680
chr14	67360128
chr9	136944866
chr1	205592003
chr14	22872734
chr3	13650631
chr15	74835450
chr11	64847291
chr7	91880813
chr2	200963362
chr5	172479156
chr12	7933372
chr16	89167630
chr15	31488799
chr12	101831035
chr1	223081580
chr11	3217335
chr3	64023575
chr16	4404611
chr9	126499364
chr4	80184256
chr17	20320960
chr1	18913240
chr5	43065059
chr19	44800654
chr16	50025023
chr11	64723638
chr1	167803521
