Chrom	position
chr20	63056825
chr17	4704185
chr1	52056433
chr13	27172170
chr1	54406662
chr19	506964
chr2	219543884
chr18	50287782
chr19	45248906
chr20	50292816
chr2	10302606
chr19	4145843
chr12	54214974
chr20	32358044
chr6	26596030
chr5	171494905
chr14	99688018
chr12	54304578
chr7	101138443
chr10	43418277
chr7	149624935
chr6	117602304
chr12	1662210
chr7	92133797
chr1	205750460
chr2	24164612
chr8	66925672
chr15	40323458
chr2	30192027
chr1	32872755
chr17	79839843
chr3	53196139
chr2	30147983
chr14	54902980
chr7	47979741
chr19	35114802
chr2	216372362
chr19	56393217
chr12	71938894
chr11	12201332
chr15	75843154
chr5	181168014
chr2	219176769
chr19	18279524
chr1	44775419
chr19	7925305
chr17	7252269
chr3	58008235
chr11	69801786
chr17	38735243
chr6	116681190
chr19	4804103
chr5	126776810
chr19	44784590
chr10	132453360
chr22	23894251
chr19	17386095
chr20	25407594
chr8	143989875
chr19	44500812
chr5	179820656
chr1	38818312
chr19	42220351
chr17	38606540
chr4	1410639
chr1	39576974
chr1	156385728
chr11	111602201
chr3	75659084
chr16	87950911
chr15	40519895
chr1	84298427
chr3	108589566
chr14	81220769
chr4	182806464
chr16	30814379
chr1	108877033
chr5	40802145
chr12	1517303
chr17	81977949
chr5	181184403
chr16	30921801
chr11	66976110
chr6	16031436
chr19	38729893
chr11	72223412
chr11	58579665
chr16	30400302
chr14	77053444
chr6	83859690
chr11	66479083
chr19	48810970
chr19	13163242
chr10	119489911
chr3	157130750
chr19	48963943
chr16	87384099
chr19	3307524
chr19	1205415
chr7	43839009
chr10	122142950
chr3	136135189
chr20	36384155
chr5	177491604
chr10	71708446
chr15	78811691
chr12	116910912
chr15	78131581
chr11	65315681
chr12	101855598
chr6	25992732
chr6	44238046
chr1	154974140
chr1	41361248
chr19	4723881
chr1	161440486
chr19	1653207
chr9	99104891
chr11	15650285
chr3	128498069
chr18	3448377
chr6	87322469
chr1	46203401
chr3	115784147
chr20	33792359
chr7	150323264
chr2	144331853
chr17	10227092
chr17	65100708
chr8	127898874
chr19	17309954
chr2	97663749
chr22	37677202
chr19	18058642
chr10	133637343
chr20	36774384
chr20	64102180
chr19	2962312
chr20	63382038
chr1	18303052
chr4	2441849
chr2	176080029
chr6	15299788
chr17	35555862
chr4	146243593
chr22	31399404
chr5	139765627
chr17	42320092
chr8	30382392
chr12	120201054
chr2	9631063
chr9	136245435
chr1	88684981
chr6	156777560
chr12	2846073
chr19	10858421
chr16	1413798
chr17	45132082
chr6	41073764
chr7	101411452
chr15	67521843
chr1	11859461
chr19	2163695
chr11	9614167
chr19	47230653
chr2	86441140
chr19	17539313
chr10	932113
chr7	26091078
chr6	27892379
chr20	32820277
chr6	73521668
chr2	197435449
chr14	105398460
chr10	43455712
chr14	73851873
chr21	33894885
chr11	67469482
chr10	73997737
chr19	1503696
chr1	84077916
chr12	56636977
chr8	54022443
chr1	224434921
chr20	25294642
chr11	1832630
chr16	113566
chr16	46909127
chr8	27311543
chr5	7868992
chr1	51296921
chr19	13785084
chr11	64335152
chr2	25376907
chr3	120742259
chr19	17719404
chr21	45555091
chr1	148038762
chr19	14365049
chr8	30812924
chr2	208255543
chr7	6451352
chr2	61695092
chr1	70676025
chr1	26035358
chr5	96935235
chr7	100705476
chr7	148699894
chr7	100483377
chr11	17353536
chr17	56977940
chr1	31944541
chr10	102112491
chr5	133996865
chr19	41226116
chr17	32142336
chr15	82540575
chr7	148942078
chr2	43179160
chr5	138464337
chr12	32005734
chr11	120336143
chr17	65137262
chr6	36886001
chr5	132495952
chr20	62496657
chr5	103120089
chr15	84601225
chr16	2961987
chr3	187741013
chr3	187740081
chr1	145465659
chr19	39480682
chr1	157138806
chr9	126860333
chr17	38800080
chr17	47694468
chr7	4775477
chr2	178523197
chr3	40505993
chr19	4267874
chr9	97013746
chr1	212035190
chr6	83974761
chr11	65574429
chr2	55050813
chr2	96740028
chr19	12775748
chr19	2474780
chr15	63277802
chr1	89879069
chr11	46297119
chr2	60880997
chr6	49646358
chr10	125522352
chr3	195106652
chr19	45187760
chr12	45215492
chr21	25607608
chr2	85420758
chr19	14032362
chr21	24272648
chr3	185823305
chr14	55411929
chr7	76359538
chr14	67599973
chr5	10589104
chr14	68816888
chr7	4641982
chr2	169824892
chr21	39312596
chr10	102065138
chr3	87226786
chr5	80083008
chr19	14432145
chr19	2289964
chr17	75515905
chr15	64695713
chr14	50003460
chr1	150067076
chr6	147204484
chr14	23010312
chr15	50424245
chr2	102069417
chr19	33768071
chr8	140636085
chr22	50620626
chr1	168225891
chr9	98315657
chr17	28953654
chr6	28335170
chr1	212791752
chr1	61271572
chr14	103563000
chr1	23368253
chr9	74771149
chr2	53786952
chr1	213374462
chr19	32405757
chr16	20674275
chr13	80341219
chr2	53971223
chr2	108786902
chr11	33257235
chr6	30516237
chr1	112700877
chr15	89334938
chr11	62786698
chr19	11560750
