Chrom	position
chr17	73901145
chr12	1771258
chr12	42631355
chr10	135186756
chr6	160148068
chr7	72722876
chr19	45348171
chr19	49990651
chr19	37288421
chr19	44455315
chr7	104653170
chr10	95462323
chr15	42066665
chr19	46320604
chr8	182451
chr19	56165131
chr12	51566741
chr15	74838729
chr3	9438608
chr1	220219970
chr9	140473447
chr11	65245004
chr9	99179636
chr1	762820
chr17	20946864
chr17	7307387
chr19	14640341
chr1	155715370
chr7	44240604
chr10	126423629
chr19	12886543
chr19	47217354
chr11	9386091
chr19	47634225
chr10	80897777
chr15	40037020
chr19	11511773
chr12	46122645
chr13	114914159
chr22	45371671
chr4	184328396
chr1	246945972
chr2	198063813
chr3	15502832
chr3	15313462
chr10	135150401
chr19	14616371
chr12	133757936
chr5	1345214
chr2	199009623
chr15	66678962
chr7	99698303
chr9	35812096
chr19	13991143
chr19	39926725
chr22	51222057
chr5	148931188
chr2	197041005
chr1	155214608
chr15	31658110
chr3	13385319
chr9	131998369
chr19	50031118
chr2	32236112
chr2	39444167
chr14	77466891
chr14	77375296
chr2	46688646
chr14	75079417
chr2	60115355
chr21	11186634
chr14	36004578
chr22	17565690
chr5	132023855
chr2	112463573
chr14	50053458
chr21	40684430
chr2	90393276
chr2	90392907
chr2	90391383
chr1	9777852
chr2	90390215
chr21	30397073
chr14	55738021
chr2	29093389
chrUn_gl000220	114185
chr14	90863323
chr1	180895816
chr19	50879618
chr5	40756153
chr3	35706214
chr12	49525301
chr14	105956259
chr19	54882220
chr19	58011304
chr7	5534471
chr5	43065152
chr7	4681660
chr22	22764694
chr10	121261953
chr22	31198945
chr12	57119156
chr22	29351974
chr17_gl000205_random	85463
chr1	230202964
chr7	1544155
chr7	963023
chr5	41904326
chr17	34820002
chr5	176264846
chr16	89557026
chr17	38738710
chr8	56015602
chr17	45608389
chr20	2802997
chr5	175875355
chr17	48474924
chr16	69599807
chr17	58469638
chr17	61600492
chr2	243030868
chr17	62915671
chr4	49123027
chr12	125093801
chr17	36413402
chr16	90075430
chr16	46386006
chr20	30102159
chr17	8152563
chr11	66792154
chr3	169846531
chr17	17991157
chr8	142046326
chr11	73490603
chr4	2837032
chr4	3076353
chr11	62389629
chr8	103823154
chr1	46751977
chr17	71088871
chr1	93544758
chr18	46467355
chr18	60382294
chr9	34377002
chr16	3125110
chr19	2085489
chr12	122712157
chr19	2614135
chr16	1359243
chr10	74091808
chr1	2159133
chr19	3721596
chr19	4670432
chr12	122249859
chr19	4769690
chr10	75545299
chr1	223254899
chr2	234763362
chr12	109125412
chr11	46143019
chr16	46408637
chr9	33415664
chr11	46414216
chr17	80606359
chr11	43333143
chr8	356968
chr1	1542061
chr7	138588341
chr3	48520833
chr11	123451546
chr1	144593844
chr18	14179054
chr16	46386832
chr8	1928841
chr16	46396292
chr5	176858653
chr5	172264904
chr5	175224063
chr10	72362597
chr5	137911159
chr10	71930426
chr10	90966620
chr5	138725663
chr5	176853065
chr3	41240919
chr5	136835088
chr5	133984329
chr4	90449947
chr4	86851245
chr4	84262288
chr4	77997341
chr11	46692723
chr4	49122224
chr11	47939883
chr4	25314291
chr4	17812332
chr4	10589514
chr11	60928900
chr4	10020728
chr4	2292915
chr4	1404420
chr3	196669477
chr4	96906363
chr4	128801925
chr11	12246330
chr10	94351437
chr5	127537162
chr5	122847949
chr10	104082836
chr5	69696934
chr10	118483660
chr10	120514589
chr5	37379303
chr11	12132069
chr10	126300504
chr10	126336566
chr5	21459521
chr5	16179091
chr10	130010377
chr5	1448253
chr10	50970486
chr7	1199909
chr10	48185915
chr1	145382825
chr7	105633550
chr7	100209901
chr7	129710164
chr7	100076931
chr7	99595325
chr1	150293947
chr1	150898807
chr1	150980848
chr1	151138530
chr7	92076761
chr7	73098031
chr7	72936832
chr7	72476431
chr7	72298869
chr7	127497057
chr7	142551957
chr6	2543272
chr8	95565721
chr8	145911265
chr1	35450944
chr8	144718032
chr1	36348723
chr8	144678584
chr8	143063762
chr8	135345447
chr8	134079398
chr8	125985618
chr8	124532713
chr1	44820968
chr8	86132937
chr7	151127180
chr8	67976563
chr8	66858523
chr8	54934954
chr8	49862279
chr8	41347863
chr1	68150996
chr8	30515666
chr8	28259593
chr8	12523172
chr8	2049845
chr1	93495070
chr1	155164604
chr7	65338122
chr1	155579776
chr6	42739002
chr6	134954301
chr6	131949472
chr6	131521078
chr6	110026536
chr6	108913984
chr6	106773651
chr1	228290983
chr1	230562440
chr1	231664360
chr6	56954815
chr6	52149730
chr6	37257928
chr7	44084169
chr6	36953985
chr6	36853737
chr6	35699834
chr6	32775157
chr10	21823044
chr6	30685335
chr6	30650504
chr6	26156623
chr6	15691669
chr6	14453063
chr1	209941938
chr6	149059040
chr1	207494878
chr6	152002901
chr7	39989123
chr7	35749238
chr1	165738121
chr1	165840844
chr1	167597457
chr7	6897559
