Chrom	position
chr20	54967274
chr4	174255765
chr7	36429499
chr19	55919522
chr11	9595170
chr14	31028363
chr5	68462942
chr1	47780040
chr3	44803248
chr6	153304230
chr3	160117412
chr6	28104622
chr1	173793485
chr6	26032338
chr2	111435734
chr15	40453227
chr4	17812581
chr10	94352860
chr7	26240643
chr1	38158191
chr6	27862300
chr14	54863562
chr9	35665218
chr1	110881865
chr1	150208721
chr17	43025178
chr11	119205122
chr2	234763378
chr6	30685043
chr17	76210386
chr1	163291702
chr18	2571556
chr2	201390887
chr4	75585193
chr1	45205515
chr19	46431164
chr11	125757528
chr5	75013254
chr22	41682238
chr13	27557327
chr2	47403912
chr10	62538188
chr16	23690144
chr11	28129732
chr1	21113240
chr12	50419264
chr20	30327076
chr12	57082351
chr5	176739437
chr1	43824578
chr11	118966394
chr12	98910357
chr9	91926119
chr1	202311191
chr12	12878718
chr13	73301915
chr17	38574230
chr1	214776420
chr17	66031779
chr19	44455294
chr6	33359598
chr15	91537787
chr6	26104113
chr10	74870192
chr15	69706675
chr5	137667498
chr13	111617886
chr17	8091027
chr17	56468971
chr5	126112453
chr7	23510268
chr6	111137298
chr7	76751735
chr11	61891424
chr8	66546615
chr2	113522249
chr10	99052517
chr12	31902388
chr14	105487546
chr5	59995970
chr17	46024552
chr19	11200031
chr6	142468262
chr6	26123322
chr20	45989590
chr12	53662048
chr15	41625033
chr13	53029556
chr4	84206426
chr6	27806180
chr3	14693101
chr15	40675161
chr15	30918287
chr1	197115761
chr2	27008861
chr5	159848879
chr3	177076344
chr12	6603139
chr1	26799494
chr4	15683219
chr6	27721196
chr17	26926042
chr4	129733198
chr18	3448371
chr9	123342680
chr21	47743758
chr11	19262650
chr20	35464171
chr12	120315312
chr17	47269459
chr15	59397335
chr17	29158805
chr2	55921065
chr2	169746964
chr9	74341049
chr5	137514620
chr6	43597785
chr11	36615983
chr1	155232229
chr1	109419553
chr12	100967476
chr5	180611337
chr12	122985649
chr16	70285890
chr1	161582471
chr3	120136337
chr12	109128303
chr1	111992017
chr17	74261187
chr1	68962763
chr20	44441235
chr5	36878895
chr17	73150706
chr19	4724696
chr15	90118493
chr19	2463112
chr4	178231052
chr17	41561237
chr4	122745085
chr8	25316468
chr2	85765952
chr15	67417985
chr12	6873582
chr15	68346414
chr3	172468528
chr7	139044517
chr7	23374393
chr8	27695345
chr17	21002517
chr16	20817828
chr14	45722458
chr5	162887269
chr6	28047905
chr10	64996353
chr19	39149425
chr8	67579576
chr22	46692743
chr12	50419448
chr9	123883975
chr17	8113916
chr10	129924715
chr15	65117904
chr7	12726312
chr6	27099809
chr10	124913836
chr7	148581895
chr1	41174929
chr13	109568137
chr5	5351708
chr2	211413873
chr3	158509255
chr3	138313136
chr5	271489
chr1	85794839
chr1	45965869
chr3	160167749
chr3	142297701
chr20	10415821
chr1	35658991
chr6	31707576
chr6	45413739
chr13	42846026
chr1	61543103
chr14	81408165
chr16	29816921
chr19	3506069
chr7	123438234
chr2	86922390
chr10	29008891
chr11	113536039
chr11	111475299
chr19	53426398
chr22	29137813
chr10	76349281
chr2	63815941
chr4	18022500
chr7	128695028
chr15	74392574
chr10	4705480
chr10	112327082
chr7	100472585
chr7	99933795
chr11	57298323
chr11	46867868
chr11	3818900
chr11	32915790
chr7	92861570
chr5	134241527
chr7	87505884
chr12	2986379
chr16	15737500
chr6	80714368
chr3	100120441
chr4	100871335
chr1	150577317
chr1	151371956
chr1	154947161
chr19	10679933
chr20	44441055
chr1	156086075
chr12	94071117
chr1	161735259
chr1	169452979
chr17	33916760
chr8	27632039
chr20	48782727
chr1	181057711
chr8	117887070
chr12	54674206
chr2	130939209
chr5	173043793
chr19	32864981
chr6	139811817
chr5	162887595
chr1	222638980
chr9	123638879
chr12	57039964
chr1	24306930
chr2	225450484
chr6	27760185
chr1	24286153
chr6	27807752
chr6	27100718
chr14	55658396
chr3	172468424
chr13	113951382
chr11	63742000
chr6	136571548
chr18	29319077
chr3	48081508
chr10	105127588
chr17	33581611
chr1	38156301
chr6	27640237
chr3	129033907
chr2	44395434
chr11	118966195
chr1	15853238
chr13	114147806
chr6	26197774
chr11	64808477
chr17	57906852
chr15	93347294
chr1	19536898
chr1	161510079
chr10	91461412
chr1	114355244
chr10	114571778
chr7	102389381
chr20	47897900
chr12	56498154
chr3	107140132
chr4	174139958
chr16	3200706
chr19	41337972
chr13	50656146
chr22	42343047
chr8	124408948
chr11	60609516
chr1	54519162
chr20	30946024
chr2	54787681
chr7	158497425
chr5	112312345
chr8	110346398
chr20	814326
chr9	33813802
chr16	74628505
chr2	55717897
chr15	69755315
chr9	34049567
chr16	10479904
chr12	123717613
chr12	123868494
chr16	74729918
chr11	72145685
chr2	179279556
chr5	102455760
chr6	4777608
chr19	14492920
chr4	104119538
chr15	40401332
chr1	224544465
chr7	6144185
chr9	112956731
chr8	53608058
chr10	99894293
chr1	109825712
chr17	27046888
chr5	90610230
chr16	11038366
chr10	35680266
chr6	33757018
chr7	120590739
chr1	161500950
chr7	47644703
chr6	31165859
chr11	82783040
chr2	191885109
chr12	860543
chr15	41624888
chr17	57287336
chr1	61543281
chr6	27834356
chr12	10902861
chr22	46465784
chr3	67697946
chr1	61575059
chr1	27024707
chr17	41393380
chr2	38604433
chr9	37465727
chr12	51318657
chr5	157247892
chr1	155211087
chr3	141201340
chr5	145215011
chr6	26336737
chr18	9877296
chr16	29801970
chr12	104324146
chr8	25316579
chr9	132552843
chr1	153931195
chr12	12369468
chr11	93304142
chr9	140210771
chr2	24299276
chr6	27833025
chr1	149858354
chr7	100027163
chr17	57864061
chr4	78078114
chr17	3627173
chr4	77997380
chr4	83956065
chr7	17139273
chr12	49524620
chr6	26924130
chr1	147735826
chr6	28557161
chr2	128848709
chr12	49658629
chr11	58912289
chr11	58346355
chr20	37555105
chr14	55737992
chr13	34392195
chr1	118198016
chr8	80997486
chr22	50978240
chr15	59397215
chr20	37554990
chr1	148241565
chr19	47354327
chr14	31699037
chr1	93645196
chr14	102276132
chr1	147806812
chr3	71109903
chr5	59082518
chr2	121867325
chr1	214776581
chr9	131534288
chr15	45492622
chr12	51441933
chr1	214551518
chr2	114647377
chr2	114634315
chr8	74433097
chr8	78312248
chr12	49658690
chr1	211848976
chr15	44719457
chr12	49717049
chr6	144127270
chr5	169010896
chr19	36545843
chr1	213665745
chr8	67976545
chr1	11969892
chr4	83668143
chr12	46918129
chr8	82755061
chr19	39250410
chr9	123975632
chr1	216580999
chr3	57741817
chr6	155492345
chr19	42069955
chr12	19549156
chr15	51140763
chr17	66345484
chr17	66201584
chr14	61509120
chr8	39912374
chr1	233397118
chr4	6906388
chr17	40714111
chr21	37326072
chr12	14518600
chr5	73877035
chr3	53381681
chr16	19535156
chr12	12699465
chr12	12534353
chr1	236227596
chr3	171858461
chr18	6377032
chr8	30474204
chr1	242011106
chr1	243419250
chr12	10548476
chr14	50320696
chr12	10322038
chr16	18813107
chr16	18812961
chr1	229357045
chr1	228997020
chr8	66556332
chr3	57777197
chr8	66549142
chr1	218458619
chr15	48470522
chr4	81048696
chr16	23690328
chr6	150180697
chr12	38710489
chr9	131679617
chr8	54857725
chr12	31882105
chr21	27512501
chr3	58045452
chr18	8177808
chr1	225662826
chr12	29534226
chr2	231872161
chr1	226001325
chr1	226074137
chr12	28174858
chr17	40172056
chr12	27856758
chr1	226951843
chr1	227009124
chr15	49913101
chr1	228353456
chr5	71674768
chr12	26889918
chr6	153323955
chr8	42334527
chr1	207182967
chr8	102218168
chr15	42431266
