Chrom	position
chr11	2400423
chr19	56121440
chr5	172006888
chr22	39532931
chr11	118252208
chr2	27663771
chr9	133418131
chr19	49451927
chr8	99013178
chr11	112074216
chr19	12669529
chr11	77994823
chr7	129055115
chr12	6663242
chr19	8390148
chr1	27322156
chr2	73737435
chr19	44165008
chr22	26672900
chr10	120851280
chr16	69339662
chr19	58519888
chr3	128123969
chr12	131711037
chr7	141738312
chr19	17859845
chr1	100133067
chr3	119498462
chr11	7987204
chr13	45464852
chr16	2682445
chr12	6970751
chr2	199955599
chr11	8689011
chr1	155934478
chr17	7239814
chr17	28041573
chr11	57741373
chr7	134646721
chr19	16185325
chr2	201071951
chr3	179604690
chr4	70688407
chr2	32165799
chr8	144078597
chr16	1420830
chr5	83077497
chr14	44962034
chr6	31959075
chr2	177618806
chr19	14081387
chr16	72093709
chr19	2950660
chr11	6481426
chr1	156741228
chr2	24076410
chr5	173888217
chr9	134164893
chr2	117814638
chr2	233251627
chr14	21511386
chr19	19663745
chr3	48440195
chr20	63981061
chr8	27311478
chr2	74455012
chr12	110048659
chr1	154983226
chr12	123633727
chr10	103396583
chr6	30067184
chr4	77862741
chr19	50376369
chr11	64270072
chr19	57363438
chr21	28992919
chr6	170554290
chr9	137618682
chr1	1659067
chr6	33323016
chr9	35732292
chr1	2391750
chr6	169751621
chr5	40835273
chr4	112231497
chr5	34915657
chr19	58305322
chr19	55675148
chr8	22604638
chr13	72782095
chr1	43969861
chr8	94553527
chr11	65712226
chr20	45857438
chr10	123154259
chr17	7572601
chr3	155854528
chr19	16197861
chr12	38316689
chr19	10928723
chr3	141311798
chr20	18567389
chr17	58352227
chr19	17419858
chr19	58555021
chr12	57487989
chr5	31532235
chr18	41955182
chr6	36885920
chr12	34022415
chr19	3435259
chr1	63523384
chr19	18919449
chr17	63550421
chr3	196942579
chr12	48716796
chr1	43389850
chr1	38012667
chr3	49120849
chr5	140691426
chr5	74767178
chr9	92670319
chr1	163321806
chr7	44200929
chr17	50373203
chr16	2603339
chr6	87590044
chr3	53347618
chr17	75667289
chr22	38057373
chr3	129161357
chr3	157175029
chr8	66667421
chr9	101533788
chr10	15860556
chr11	62591610
chr14	100376387
chr16	1782830
chr6	153002771
chr11	65888532
chr1	40040701
chr1	35931210
chr16	11916145
chr4	76148518
chr10	1056771
chr20	62302835
chr1	246566305
chr16	1706114
chr19	55006152
chr1	109076019
chr1	161202311
chr19	44207441
chr9	135961470
chr5	159263256
chr11	57530794
chr2	3575192
chr1	27914797
chr5	148383945
chr20	50116017
chr12	75511642
chr15	64356224
chr19	16496265
chr19	48619368
chr20	5950577
chr19	49580641
chr8	37849942
chr19	2783439
chr5	146182781
chr11	65570426
chr1	209784689
chr17	75047024
chr14	76151855
chr1	156194061
chr9	128322514
chr1	1724408
chr2	112584450
chr17	51153505
chr4	108620545
chr17	42998374
chr6	131628264
chr13	33542722
chr16	8797688
chr1	33037033
chr9	19102972
chr5	21459437
chr2	200889320
chr1	37990075
chr7	99919608
chr11	61430096
chr20	62387035
chr19	44113347
chr5	154038942
chr6	52284921
chr1	42846536
chr1	25232536
chr1	54053494
chr12	50085226
chr6	57961487
chr3	132660272
chr17	17591769
chr1	9943404
chr11	66052309
chr9	19380306
chr17	44015016
chr4	13627748
chr6	151452281
chr19	18571787
chr20	24992810
chr3	50359622
chr16	58129477
chr17	42155042
chr1	150487276
chr5	111092302
chr19	55634973
chr2	73926851
chr1	42658407
chr19	37317884
chr21	37267601
chr9	133336232
chr19	51108456
chr18	23453206
chr20	62183009
chr12	14803560
chr17	46923117
chr8	143281719
chr5	133051741
chr2	197500089
chr12	56118215
chr21	32393048
chr12	6724048
chr20	49219388
chr16	3235220
chr1	45688164
chr9	132355205
chr1	153990718
chr7	87152353
chr10	73730519
chr10	94362986
chr11	18634433
chr1	217631109
chr19	57240581
chr6	43053903
chr22	36529256
chr22	29553781
chr5	150000608
chr8	144950886
chr10	13586943
chr4	4248263
chr2	229921417
chr19	14572087
chr15	34101989
chr1	225924219
chr12	49018828
chr1	110964184
chr19	44072095
chr19	3971312
chr1	53238558
chr2	148020918
chr12	109052522
chr11	43880754
chr11	126268926
chr15	34969795
chr9	34620580
chr8	42843416
chr16	28846364
chr7	92528748
chr5	134367223
chr20	45416091
chr11	112086825
chr7	74254480
chr15	82750527
chr16	30355334
chr11	73876960
chr19	57599865
chr1	150269082
chr17	35578632
chr14	75002916
chr16	67227106
chr11	65858251
chr17	4555476
chr15	74461201
chr5	177351696
chr1	151166012
chr11	77637828
chr10	5890081
chr11	47579006
chr11	60906601
chr19	9768745
chr13	40771213
chr10	102152278
chr15	49155716
chr20	1118551
chr19	13150361
chr15	49620996
chr7	32490408
chr1	173714893
chr19	58499545
chr11	63974569
chr19	52189866
chr7	6826321
chr14	21384061
chr3	185938104
chr20	2664226
chr8	55773420
chr5	149345397
chr1	11262793
chr19	57614207
chr1	3796548
chr10	42782758
chr22	46335684
chr9	35103183
chr15	82540498
chr18	63422514
chr19	16660158
chr9	132406852
chr2	241102347
chr3	196287772
chr5	81301578
chr20	1393220
chr17	76671770
chr14	20989956
chr1	165768901
chr20	35411994
chr19	9827872
chr11	3057473
chr9	120793446
chr13	41263573
chr3	51995943
