Chrom	position
chr11	16760360
chr3	150321350
chr7	148396288
chr17	45266416
chr20	2451307
chr14	54907895
chr17	11924494
chr13	53024589
chr11	14541738
chr22	35653689
chr3	25705967
chr1	90460911
chr17	60005120
chr1	16693909
chr19	29703814
chr16	1359244
chr1	9295056
chr1	6685431
chr17	47439159
chr16	22308942
chr1	206785712
chr1	11072932
chr21	43299790
chr7	32529869
chr17	29298280
chr12	74931776
chr3	39448431
chr12	56651964
chr12	53895156
chr5	133512436
chr1	29508039
chr8	11142149
chr13	21347806
chr19	4123974
chr11	63606811
chr17	79603964
chr1	109505848
chr7	48019050
chr8	99837670
chr17	66032072
chr11	64684669
chr20	62339212
chr7	135194589
chr12	53846325
chr17	5342296
chr11	65292774
chr5	77071765
chr1	166845296
chr15	34502100
chr19	1438575
chr20	32951428
chr7	6414462
chr5	41904600
chr1	24306583
chr15	45459094
chr21	34915636
chr14	90798076
chr11	126173844
chr18	158723
chr9	130953820
chr9	26956544
chr3	107941109
chr16	66864667
chr5	36877539
chr15	38746457
chr17	65362478
chr7	129251809
chr2	217363737
chr11	61197343
chr19	16738487
chr18	19192505
chr2	74405795
chr18	12377000
chr18	9102896
chr1	55680822
chr6	125622907
chr9	136242820
chr7	131012839
chr3	40499044
chr5	147763696
chr11	30344807
chr19	4969322
chr3	45731109
chr7	23339089
chr16	23521663
chr3	125238858
chr13	115000552
chr11	130786198
chr15	77224315
chr5	135468717
chr14	45553529
chr21	47705904
chr20	3140347
chr16	30913706
chr14	89029632
chr15	49447488
chr8	38239463
chr9	139760951
chr2	54342667
chr20	32699837
chr1	154193751
chr20	42086832
chr3	157828059
chr10	6131226
chr7	73588827
chr20	56884942
chr2	37423896
chr1	29063685
chr2	24346570
chr5	159826915
chr7	128171654
chr19	14629005
chr3	64008959
chr14	60558765
chr5	81574003
chr13	49107106
chr10	51565472
chr10	27793457
chr10	38265328
chr1	156698414
chr11	43333755
chr1	200638835
chr5	115420819
chr6	170151947
chr17	80477249
chr14	69864790
chr11	46615394
chr6	4018810
chr4	119199959
chr11	85375952
chr3	10290306
chr3	183873334
chr17	29233365
chr6	144164594
chr10	131908942
chr2	172291051
chr10	103454087
chr12	112546381
chr1	10003339
chr6	28109769
chr9	5437808
chr10	44144080
chr10	6205972
chr12	108154807
chr12	69633721
chr16	58034429
chr5	140700140
chr2	160569189
chr1	70671526
chr3	121468227
chr2	217277284
chr1	6259505
chr19	47616036
chr4	4543717
chr17	30677379
chr9	117350183
chr19	32836797
chr6	126111671
chr15	65321732
chr5	162887028
chr2	170684312
chr1	68962546
chr3	43732442
chr6	107077572
chr7	107531796
chr14	90723116
chr16	56459160
chr10	93683698
chr18	72264609
chr10	22518257
chr7	40174027
chr6	116892584
chr2	70520800
chr13	42535336
chr12	111052097
chr16	31519919
chr1	53192301
chr3	47844880
chr11	43702463
chr5	78908508
chr11	74204518
chr14	58711692
chr13	111358345
chr10	103815854
chr11	66247645
chr6	28235039
chr14	89291159
chr10	116581860
chr2	32503122
chr19	8510197
chr19	18942963
chr16	66730191
chr16	67226210
chr5	114961574
chr17	26220128
chr7	73097529
chr9	125667423
chr16	69345447
chr17	36981811
chr17	61851795
chr16	70323282
chr5	169010936
chr5	1634130
chr4	39460346
chr19	45004431
chr15	59225514
chr10	94051178
chr20	16710770
chr20	47663211
chr2	152266776
chr16	57279238
chr22	41698326
chr2	105946339
chr22	39715455
chr5	179248050
chr20	47804604
chr2	225449605
chr2	74154202
chr17	16556854
chr2	223520684
chr19	54618926
chr7	44530023
chr14	35008796
chr11	125439469
chr12	69753658
chr5	138533848
chr11	4629393
chr11	77790824
chr20	35918265
chr12	56110026
chr18	12948523
chr2	204103782
chr1	44820799
chr16	4321970
chr19	58514022
chr4	110355186
chr1	227127535
chr6	170893562
chr7	102004581
chr12	54719093
chr22	20861951
chr2	128145254
chr1	100504135
chr12	107168246
chr19	5690518
chr2	220025458
chr7	94139460
chr15	74908240
chr7	105162508
chr16	67876389
chr20	45317806
chr8	23315038
chr10	22629824
chr2	61991767
chr3	114866944
chr5	472860
chr19	4065682
chr5	54603354
chr14	45603400
chr16	53468620
chr19	10217189
chr9	71650849
chr7	64838961
chr13	41768550
chr3	182511640
chr7	140396678
chr1	224621969
chr7	140373030
chr10	7830314
chr4	2243596
chr9	32552456
chr2	3383632
chr18	11980627
chr9	35096415
chr9	134001069
chr10	89577755
chr3	51572890
chr10	94351442
chr2	216177039
chr19	11485474
chr7	149194649
chr16	14723933
chr8	124253457
chr3	174158903
chr7	74489317
chr1	95699894
chr20	18548170
chr17	4047144
chr20	1447318
chr5	179050485
chr9	124921892
chr11	75110725
chr6	30313040
chr16	48278581
chr12	49245797
chr22	38082412
chr3	57678614
chr19	6425640
chr14	45366768
chr19	42580456
chr8	118533156
chr1	173991002
chr4	699843
chr11	120894956
chr9	90341263
