Chrom	position
chr6	161915667
chr9	138189931
chr10	78356868
chr13	27267157
chr8	97924413
chr17	48884891
chr5	10080290
chr2	206282989
chr2	206958344
chr2	207202745
chr2	207390524
chr13	27461544
chr10	75683343
chr2	207901921
chr6	17770744
chr10	74174691
chr8	99900253
chr5	8956840
chr10	73122044
chr2	211926020
chr8	100474857
chr5	6810344
chr10	71833795
chr13	29548935
chr7	69890008
chr10	69398248
chr10	69217417
chr2	215996002
chr5	2971195
chr13	29655129
chr17	44988434
chr17	49442206
chr6	17126540
chr10	88126711
chr17	49646597
chr2	196487627
chr10	87407613
chr10	87095646
chr6	16722179
chr8	93226649
chr5	17411975
chr13	23407021
chr13	23635005
chr10	85581412
chr5	17304540
chr2	197361169
chr13	24060825
chr5	16702289
chr5	16413965
chr10	83600293
chr13	24101340
chr5	15448033
chr10	82092326
chr10	81226640
chr10	81218449
chr5	14948584
chr10	80537468
chr5	14895558
chr5	14611973
chr13	25689724
chr13	25943858
chr17	50073128
chr13	30201387
chr10	67095622
chr8	101178226
chr10	48402357
chr7	65289919
chr13	36068246
chr2	228418170
chr2	229050259
chr2	229464201
chr10	51820643
chr4	186995421
chr7	55703095
chr6	22437956
chr8	105618154
chr4	186630112
chr10	50953372
chr13	38523398
chr13	39148694
chr13	30367322
chr13	39201444
chr4	185752832
chr2	232788021
chr10	46319583
chr2	232938236
chr7	55088526
chr17	35747644
chr13	39463773
chr10	44493148
chr8	107626231
chr10	43758383
chr10	43337087
chr10	43251581
chr2	227199114
chr7	65683485
chr2	226899094
chr7	65791141
chr2	217256738
chr10	66341117
chr5	1855893
chr2	217644291
chr10	65944592
chr17	42366320
chr13	31521606
chr7	68684639
chr7	68474908
chr10	62564492
chr2	221357710
chr17	40806344
chr6	21503703
chr6	21532151
chr10	62043605
chr13	34164680
chr2	223170943
chr6	21558412
chr2	223957425
chr2	224093635
chr2	224388272
chr2	224687351
chr13	34779408
chr8	103227897
chr8	103310748
chr6	22020029
chr10	57923836
chr5	18833455
chr6	16432249
chr17	75241792
chr2	168711024
chr12	123728904
chr2	164898622
chr17	68843768
chr5	39119943
chr10	112761229
chr2	165475825
chr8	78026126
chr10	111875974
chr10	111830732
chr2	167801781
chr10	111277783
chr17	67689698
chr17	67673469
chr17	67468185
chr10	88256336
chr2	169193788
chr2	170014043
chr12	125098842
chr12	125155280
chr2	170962310
chr10	109377944
chr8	80422894
chr17	66746553
chr2	171254195
chr5	38094334
chr2	172502418
chr10	107075860
chr2	172603458
chr2	164657160
chr7	84341153
chr5	41009468
chr7	84412295
chr5	53617111
chr2	151288642
chr10	122697920
chr8	67759317
chr2	151609881
chr5	53109970
chr17	74823310
chr10	121058364
chr2	155870420
chr8	70210917
chr17	73063923
chr2	156590584
chr2	157839649
chr2	157941411
chr2	158677759
chr17	72367820
chr2	160018859
chr17	71549000
chr5	43435950
chr5	43210728
chr8	73678045
chr12	122282282
chr5	42916175
chr17	69680022
chr2	162184480
chr8	74546953
chr10	113948116
chr17	65514248
chr12	127046574
chr10	106514398
chr5	32753251
chr2	183286754
chr5	32651244
chr2	184178439
chr17	59209964
chr5	31396869
chr6	14431616
chr17	57935355
chr10	93858519
chr5	27947285
chr2	190198025
chr5	25793909
chr7	73764143
chr10	92242576
chr17	57308296
chr17	57084741
chr8	92360989
chr10	91572074
chr17	56141774
chr17	55690230
chr10	90927798
chr7	72432848
chr2	193749194
chr17	53193219
chr13	22287738
chr5	19246058
chr6	16316867
chr13	22828301
chr10	97119517
chr2	182706772
chr8	80744678
chr10	97630608
chr7	81639609
chr5	36802434
chr10	104848633
chr10	104844237
chr10	104451138
chr2	174723835
chr17	64587971
chr2	175373286
chr8	81216759
chr8	82085210
chr8	82346080
chr2	176996500
chr7	80921167
chr8	84980225
chr17	62895464
chr2	177221092
chr10	100493801
chr6	12024484
chr17	61818434
chr2	178712261
chr12	130689047
chr5	35016221
chr6	12390584
chr10	98520129
chr2	182220396
chr10	98326820
chr12	131171214
chr2	234339138
chr13	39787370
chr8	108926272
chr4	145794106
chr8	139856628
chr13	83303673
chr8	140050321
chr4	146814976
chr10	1162118
chr13	84121658
chr16	86522833
chr7	37542811
chr13	86039575
chr16	86068512
chr20	53611629
chr7	37497951
chr1	246935323
chr13	87194608
chr6	44544469
chr16	85773214
chr8	141860966
chr13	88459548
chr8	141972267
chr4	142866911
chr1	245221985
chr8	142754145
chr8	143185011
chr6	42897425
chr13	90689964
chr16	84190222
chr1	242076494
chr1	241716125
chr6	41750613
chr10	2007936
chr16	88103865
chr13	79910871
chr10	7146084
chr13	72074580
chr10	6894021
chr17	5249889
chr7	40142134
chr20	48456279
chr6	37123044
chr13	74478495
chr20	48839186
chr10	5811612
chr17	1876805
chr10	5320985
chr4	151824744
chr6	37847926
chr10	5036191
chr13	75696022
chr8	135812811
chr8	135928408
chr17	852773
chr17	742474
chr10	3641410
chr8	137455139
chr17	697840
chr8	138758560
chr6	40569734
chr10	2232689
chr20	51587624
chr4	139223985
chr4	138074310
chr2	235849075
chr21	21133492
chr1	230487960
chr21	16825021
chr13	99042101
chr9	5373218
chr1	228867508
chr4	121106639
chr1	228706523
chr4	121015725
chr9	5552027
chr9	5773463
chr13	100954860
chr13	101073582
chr9	6012755
chr4	119003954
chr1	240450708
chr21	23690435
chr21	24910728
chr9	6972644
chr13	101530226
chr13	101840961
chr7	32163302
chr9	7154914
chr7	31566792
chr1	224184330
chr1	224044710
chr16	76397788
chr16	76389341
chr1	222658297
chr21	16519173
chr9	4465249
chr13	98509374
chr16	78740681
chr13	93505666
chr8	144756640
chr1	238660343
chr4	135249249
chr16	82741528
chr4	133320731
chr16	82524072
chr7	34841513
chr16	82521715
chr20	60773383
chr16	82055814
chr1	235246195
chr1	235100499
chr9	1459396
chr20	62030412
chr1	233448535
chr1	233017018
chr1	232963221
chr16	79831392
chr13	97900075
chr4	124727556
chr4	124491607
chr6	49909887
chr4	123325595
chr20	63626052
chr6	50327705
chr1	231680841
chr20	47933463
chr17	5770112
chr20	47615501
chr8	120524785
chr17	20269744
chr13	46291930
chr10	29266917
chr10	28763889
chr10	28715453
chr20	21583967
chr13	46526928
chr20	24100734
chr13	46567531
chr10	27970422
chr4	180282020
chr13	48668038
chr17	18951442
chr20	32369082
chr8	132048453
chr17	17312199
chr17	17278742
chr7	47834287
chr7	47666046
chr17	16921888
chr17	16534377
chr17	16468138
chr13	52761290
chr10	22547162
chr4	175187950
chr8	122151164
chr17	16309288
chr13	53138544
chr17	20939412
chr7	50595606
chr17	21077707
chr20	10995440
chr7	54694032
chr10	35326439
chr10	35221167
chr17	31696319
chr6	25335217
chr6	25457705
chr7	53302557
chr6	25486249
chr13	43442120
chr8	112048381
chr7	52171625
chr6	26051988
chr2	238616101
chr10	33142660
chr10	33141422
chr7	51853493
chr2	242020796
chr20	267094
chr20	687937
chr17	28983408
chr10	31458108
chr8	117151888
chr20	2967152
chr20	3150477
chr6	26471123
chr10	30505995
chr4	183345677
chr7	47489116
chr13	54490374
chr13	55488381
chr20	41693510
chr17	10088628
chr4	163172905
chr20	44284287
chr6	34976469
chr10	13039671
chr10	12813245
chr13	65188836
chr4	161167266
chr17	8982966
chr4	160307120
chr13	66469867
chr8	130310630
chr13	66514851
chr17	8665693
chr8	130493719
