Chrom	position
chr7	75247320
chr21	36280839
chr9	33290331
chr1	212810224
chr17	43306538
chr13	99698687
chr19	16439338
chr16	87812895
chr2	145461657
chr7	5436938
chr3	177056675
chr7	139952860
chr1	169574299
chr12	133443116
chr12	54698138
chr4	40623854
chr12	26427808
chr20	30198711
chr19	54712199
chr8	126525474
chr8	48282155
chr7	64460015
chr12	31902300
chr9	19161902
chr11	43890785
chr10	7088361
chr2	101925425
chr1	92925582
chr5	36657837
chr3	193807515
chr1	192775197
chr11	78001455
chr8	8102211
chr1	87240267
chr4	154582804
chr12	90150654
chr15	67316929
chr21	46388180
chr10	129863090
chr9	134131832
chr17	34519892
chr12	89556755
chr8	20058484
chr4	156597341
chr14	31699086
chr14	74226913
chr1	150584171
chr11	61793142
chr1	186587771
chr14	65511537
chr3	190284416
chr15	55513574
chr6	45413749
chr1	109189620
chr5	138855267
chr21	40203614
chr13	81028567
chr10	54515359
chr6	88466834
chr1	72832336
chr2	109855195
chr7	150969198
chr4	185734735
chr2	38050076
chr2	233949434
chr17	33390770
chr15	93347364
chr1	59758432
chr16	15684928
chr9	123497933
chr3	24720098
chr11	47416474
chr8	17765387
chr1	221881585
chr10	16859802
chr15	63795613
chr6	43980066
chr6	15300059
chr6	41691374
chr17	34516533
chr18	77551789
chr3	58457328
chr1	233248854
chr10	11205313
chr3	195782856
chr4	99153570
chr6	13303278
chr7	104601636
chr12	98834036
chr19	4976573
chr1	94282628
chr11	29549296
chr16	85558666
chr20	641272
chr11	122568549
chr2	28178058
chr1	100996645
chr22	50978244
chr1	182269357
chr12	99012959
chr1	101757412
chr1	167570866
chr2	47194471
chr6	13408098
chr1	17608581
chr17	7959701
chr20	46356514
chr19	11185347
chr1	204485500
chr8	126446972
chr6	147092339
chr6	43692997
chr6	26597090
chr3	30688154
chr1	2166153
chr2	37862767
chr19	18788981
chr19	8565184
chr7	80263989
chr2	11970538
chr10	3762888
chr20	48965994
chr21	36423808
chr12	9803489
chr1	211763661
chr2	197107118
chr12	93638108
chr8	119121107
chr14	51395236
chr9	100866797
chr5	52856424
chr1	109705123
chr3	39302587
chr10	5276247
chr8	131218809
chr3	17892111
chr6	41904173
chr12	56964126
chr11	63639755
chr16	88767550
chr15	77296713
chr3	101405706
chr2	120124410
chr1	60140433
chr5	179497045
chr8	17773884
chr3	44481436
chr6	7698595
chr8	103899462
chr21	46334218
chr19	8559296
chr16	48222591
chr10	80516751
chr9	100639255
chr9	92003343
chr16	85962190
chr5	172199525
chr2	12596751
chr9	95056012
chr4	186434828
chr4	6635472
chr6	30749801
chr14	75741754
chr20	2273556
chr15	49170282
chr20	23206202
chr1	7709288
chr14	73930409
chr12	54069958
chr17	2061492
chr17	55970491
chr13	29042434
chr11	33952069
chr10	43913704
chr6	11526198
chr21	34432046
chr19	18589873
chr6	37247732
chr1	28442000
chr17	28672003
chr5	176421821
chr10	134365126
chr3	183803455
chr10	94517044
chr3	190231408
chr16	59101351
chr5	142178169
chr8	59508580
chr5	127059477
chr4	84551472
chr8	24151510
chr2	122288721
chr1	212782078
chr11	121288085
chr1	148766977
chr1	205254128
chr6	37051408
chr18	19279696
chr6	134343103
chr12	131400894
chr11	33915388
chr2	64500790
chr19	45245241
chr1	90223365
chr3	194723966
chr8	8860252
chr1	95068167
chr1	2222272
chr16	68366713
chr8	67042179
chr4	88131071
chr10	115785270
chr3	49276107
chr12	66539022
chr10	72062269
chr20	58630986
chr9	33836405
chr2	200603663
chr4	185776024
chr2	216974103
chr13	107146065
chr7	852588
chr4	38669047
chr1	31584263
chr5	67303478
chr12	2404080
chr2	178128242
chr7	127748905
chr5	175116637
chr6	54063175
chr2	68993584
chr1	26868852
chr3	14246634
chr2	43336665
chr6	17908111
chr22	36801928
chr3	113549594
chr8	12611654
chr10	74080702
chr8	103801548
chr10	43903314
chr1	221340417
chr3	72987892
chr17	72776347
chr3	177167661
chr1	225632787
chr1	33899577
chr16	126397
chr19	49378613
chr6	159460476
chr4	3558960
chr6	126362181
chr3	160699219
chr6	51928472
chr2	8784796
chr7	37734014
chr6	14911060
chr16	30825692
chr8	144420084
chr1	95297374
chr14	74252711
chr3	128444923
chr1	27443324
chr10	90613105
chr5	147777746
chr19	44067085
chr8	22932314
chr2	178977010
chr6	137477175
chr1	41326563
chr7	117951756
chr3	63923544
chr21	36848214
chr8	125259909
chr17	48367628
chr7	139311856
chr4	88817591
chr1	160983745
chr1	192127480
chr3	58321069
chr22	46924227
chr12	111875805
chr3	28389269
chr1	154377763
chr20	18034328
chr7	117432446
chr5	147184716
chr9	139514417
chr15	41194904
chr7	17409852
chr1	219047794
chr19	46294470
chr2	68592362
chr1	42204872
chr18	29628798
chr4	112563334
chr16	89555701
chr4	139163615
chr19	10783427
chr17	43279481
chr1	236105848
chr4	57824546
chr9	5627315
chr11	46692793
chr11	129994226
chr20	57483080
chr15	101861012
chr7	90033165
chr5	169758359
chr3	183255284
chr8	22562592
chr1	151584004
chr11	46358507
