Chrom	position
chr3	93470554
chr1	634032
chr16	34573056
chr4	49657605
chr21	8234480
chr21	8230711
chr16	46387937
chr16	46388672
chr17	25920208
chr16	34581470
chr16	33336764
chr14	91836593
chr2	196799752
chr1	143215923
chr11	33061536
chr1	143247061
chr1	143210923
chr5	141969430
chr8	144509125
chr17	26620026
chr1	143256084
chr19	47600583
chr5	141619210
chr4	49121026
chr7	103344861
chr1	146387554
chr13	17337674
chr13	17345292
chr6	106132970
chr3	75669300
chr13	17644934
chr13	17742886
chr13	18212123
chr1	38873383
chr9	6413005
chr10	988565
chr3	93470698
chr4	49711548
chr1	26921771
chr16	30335351
chr6	58784926
chr8	140458106
chr1	143185133
chr17	26594902
chr1	143184710
chr7	140175515
chr1	45304026
chr21	10325844
chr21	10270319
chr12	6361947
chr7	135977360
chr19	16197851
chr3	14651575
chr6	36885820
chr16	34586848
chr12	510538
chr17	6651648
chr19	3500763
chr1	43991727
chr19	11767028
chr20	35039335
chr17	2042072
chr7	124929875
chr10	39986495
chr3	119323114
chr11	65497492
chr13	16370159
chr17	24421477
chr16	46380887
chr12	27524021
chr1	124450858
chr2	219544012
chr19	42397066
chr16	46390714
chr16	46394788
chr16	46400140
chr16	46401427
chr10	42070577
chr1	207053306
chr5	178585686
chr2	232550646
chr13	16709098
chr16	30429960
chr18	11689159
chr10	103396607
chr9	92293741
chr9	92765496
chr7	62454775
chr1	6490538
chr9	95207231
chr7	56373556
chr2	70142755
chr12	56449226
chr5	60700090
chr5	59975458
chr2	27629056
chr10	72679982
chr12	122266464
chr2	65432832
chr9	113275768
chr7	39733557
chr2	47345187
chr15	69557625
chr2	90390712
chr12	112125541
chr17	39154151
chr7	58434575
chr9	44175533
chr17	58391558
chr10	128464537
chr5	93581534
chr10	127873142
chr7	73578727
chr22	31212263
chr5	75717225
chr17	50542597
chr17	1628815
chr17	1259488
chr17	7842503
chr17	48626721
chr17	48612144
chr17	48610715
chr17	8118916
chr17	58364656
chr17	7717568
chr17	48107820
chr17	47967828
chr17	8631432
chr17	47941280
chr17	47850996
chr17	9646224
chr17	45371927
chr17	997067
chr17	10645505
chr17	13017818
chr16	90044293
chr17	8210355
chr17	7562019
chr17	7615160
chr17	3846283
chr17	4789820
chr17	4704090
chr17	55421412
chr17	4555540
chr17	4366537
chr17	4835175
chr17	5191967
chr17	6555996
chr17	4263981
chr17	3668871
chr17	57036089
chr17	6641140
chr17	15946772
chr17	50708085
chr17	3048964
chr17	7012540
chr17	2975681
chr17	2407481
chr17	58394713
chr17	7307061
chr17	45317434
chr17	42554773
chr17	45133080
chr17	15999492
chr17	28318551
chr17	39730422
chr17	28711390
chr17	28727317
chr17	28854864
chr17	39153012
chr17	29176631
chr16	89657592
chr17	38825192
chr17	38799991
chr17	38730755
chr17	38675062
chr17	38351659
chr17	29293463
chr17	30332358
chr17	37643395
chr17	37407444
chr17	36486592
chr17	30344871
chr17	35142214
chr17	31901665
chr17	30832240
chr17	30477454
chr17	40113458
chr17	26885779
chr17	40123478
chr17	19362882
chr17	16381149
chr17	44324660
chr17	16535993
chr17	44186809
chr17	17958514
chr17	44014961
chr17	43389434
chr17	42780036
chr17	42745272
chr17	30378708
chr17	42194481
chr17	40219148
chr17	42017836
chr17	42017301
chr17	21043436
chr17	23016301
chr17	41865406
chr17	41648218
chr17	41521904
chr17	40903576
chr17	40648081
chr17	40283856
chr16	89816824
chr16	66831215
chr16	89569518
chr16	2027602
chr16	3717912
chr16	3646374
chr16	3611414
chr16	3283274
chr16	3235247
chr16	3158906
chr16	3149877
