Chrom	position
chr16	46422668
chr15	43477594
chr15	74838676
chr17	1991208
chr3	113871520
chr16	46428708
chrUn_gl000228	118384
chr16	46396761
chr3	25469696
chr16	46424443
chr15	64189125
chr22	50353942
chr12	7126245
chr12	123868271
chr16	46387004
chr7	106499641
chr7	149195109
chr7	150102464
chr14	94425943
chr6	146055981
chr2	90383301
chr1	202015513
chr13	111365778
chr5	66511759
chr16	46386007
chr16	46435339
chr5	60704670
chr3	57541791
chr10	125795565
chr8	103666386
chr19	2032525
chr11	65190203
chr3	14693116
chr22	51001292
chr16	28874721
chr7	158806083
chr12	53493322
chr3	15031995
chr4	49123042
chr6	21987842
chr16	46420342
chr17	79367820
chr7	106810294
chr6	106583201
chr18	45938917
chr20	44519867
chr5	127059459
chr16	46434780
chr5	134735038
chr19	45245303
chr19	10679814
chr15	66993585
chr13	41345439
chr16	46407406
chr4	25915899
chr17	80023806
chr16	46434047
chr12	117141230
chr22	29209923
chr6	53224412
chr17	74553721
chr14	77428418
chr20	46205509
chr16	85339911
chr16	31117172
chr16	30640221
chr10	89622206
chr1	147994211
chr15	31508655
chr1	51985204
chr17	36747606
chr19	47747539
chr6	84569392
chr2	97303752
chr2	74198313
chr17	61920550
chr11	65341919
chr12	54688158
chr4	4543794
chr2	28113220
chr19	45959287
chr12	95467338
chr4	6690976
chr7	6144142
chr19	12899602
chr7	101034329
chr16	46432831
chr7	99679443
chr16	57844372
chr5	179246077
chr1	202112271
chr11	65406079
chr11	65641267
chr17	16189417
chr19	35808548
chr14	105556995
chr12	54698140
chr19	11404517
chr1	12493631
chr11	65314042
chr19	14629570
chr19	11455307
chr11	129194641
chr11	67033750
chr1	26947431
chr3	108308430
chr8	101500234
chr12	104682572
chr17	8055759
chr13	115046949
chr1	15851159
chr2	64880477
chr7	27175785
chr12	98897665
chr7	27733619
chr7	48019256
chr20	62339278
chr8	135844761
chr10	75541805
chr1	43855605
chr17	79303505
chr7	98973116
chr3	140660453
chr16	68113709
chr10	43951227
chr19	1383853
chr3	128399602
chr1	110641144
chr19	49464393
chr17	7748097
chr12	53614827
chr19	2163687
chr15	59063175
chr15	75397350
chr19	54372897
chr10	65472223
chr10	94831642
chr3	53304191
chr15	75230066
chr17	17739646
chr11	65186306
chr6	33730052
chr17	25680848
chr11	64073628
chr1	32404196
chr6	44026343
chr2	101737187
chr8	145133425
chr20	49407417
chr16	46421829
chr7	100292216
chr20	23136903
chr11	69706470
chr3	193876969
chr7	104653200
chr12	113646454
chr16	67596099
chr16	1429121
chr14	20811438
chr10	102133183
chr18	51750307
chr22	24921550
chr11	114271367
chr12	65004887
chr3	129382015
chr19	982946
chr17	46318611
chr15	75335439
chr16	46393021
chr7	149322018
chr9	77716211
chr3	126108228
chr3	14989128
chr17	42580993
chr6	134304765
chr19	1864938
chr19	13262518
chr5	40835416
chr5	67730167
chr5	176450583
chr9	19230247
chr16	85833215
chr12	53845797
chr17	1101543
chr6	30710745
chr19	45250750
chr22	39898324
chr19	47599487
chr2	54801768
chr19	47288129
chr5	131746791
chr6	31620751
chr17	17380336
chr21	40286779
chr4	71859261
chr6	149969816
chr16	69353091
chr6	160148037
chr6	20403666
chr2	171729949
chr19	45947738
chr6	163991793
chr1	221916339
chr9	19127521
chr12	53574400
chr16	85499754
chr6	2842152
chr8	103613294
chr9	125138878
chr16	85554849
chr3	128564934
chr22	29468690
chr1	153539138
chr19	7717152
chr20	47536940
chr16	71879721
chr19	11450286
chr13	112837782
chr1	110881074
chr22	36847981
chr14	57857193
chr3	51705395
chr8	103876547
chr17	43303575
chr15	50716446
chr20	46523649
chr7	152161205
chr11	120081553
chr7	913162
chr21	34961188
chr19	727381
chr12	53363868
chr1	154909113
chr7	105925723
chr17	80170737
chr1	156441587
chr7	48031502
chr14	24583305
chr7	102937841
chr12	112820350
chr10	135333923
chr15	68177205
chr7	73130231
chr1	19536875
chr14	91742964
chr17	63630241
chr1	67519901
chr20	25604484
chr20	31071822
chr3	183354533
chr16	87887463
chr7	44297663
chr15	66994570
chr11	87635202
chr12	125093796
chr7	2903452
chr19	59031155
chr1	12040426
chr5	176853035
chr7	4681602
chr7	130794718
chr22	37966378
chr16	46424611
chr18	11947345
chr2	11638852
chr14	35873097
chr8	129154340
chr7	21985876
chr4	2802923
chr2	15906641
chr15	65903536
chr7	116764837
chr19	13162591
chr10	80063120
chr1	92952534
chr5	56989085
chr11	129994275
chr6	28104648
chr1	33521008
chr12	132569533
chr11	65189766
chr14	74223433
chr12	123547667
chr13	30333114
chr19	45256753
chr2	119981135
chr5	56469474
chr9	132222783
chr9	132536100
chr19	14551028
chr12	121163570
chr6	57037460
chr10	21814834
chr14	69262709
chr17	29923844
chr6	41691434
chr21	45553561
chr19	38791611
chr1	205091423
chr19	13278435
chr11	65265097
chr3	71633838
chr8	82598412
chr1	149982822
chr2	97304128
chr12	123849857
chr16	2732436
chr1	159880396
chr13	20701914
chr6	37151241
chr1	21660787
chr12	46121482
chr16	48399920
chr17	200663
chr12	46122671
chr3	23987473
chr11	45825917
