Chrom	position
chr5	57435953
chr12	51394281
chr18	25299053
chr14	95531658
chr6	169670071
chr18	2516477
chr2	237128460
chr7	105097901
chr12	69443063
chr12	75781785
chr17	59786597
chr10	6722357
chr10	119410054
chr3	98730437
chr2	196278736
chr11	61348131
chr1	234723751
chr6	136078036
chr6	134511098
chr9	122821708
chr6	134296070
chr10	78256254
chr13	114115417
chr6	129353269
chr4	21769571
chr7	39589876
chr12	19946697
chr8	140114690
chr14	57382397
chr10	60425566
chr9	5509705
chr8	133540456
chr14	52025593
chr5	126884480
chr12	27574117
chr14	64280315
chr10	36539151
chr7	50826893
chr4	5753992
chr16	31869667
chr4	13907464
chr4	17614498
chr7	66952722
chr14	74983460
chr15	99455136
chr1	94067356
chr3	40971841
chr8	23763513
chr6	121520823
chr20	33859319
chr5	96881873
chr12	52010453
chr5	96601367
chr12	53006436
chr5	96562877
chr20	32746517
chr12	54411591
chr5	96408383
chr17	1423093
chr5	95760385
chr12	51886064
chr5	95632239
chr17	27447030
chr12	55729125
chr5	95142372
chr5	95081656
chr5	95061850
chr20	34220662
chr4	173491298
chr12	51884817
chr17	27353759
chr4	169158253
chr17	30104888
chr12	47753868
chr5	109455796
chr12	48882523
chr5	108651285
chr5	107618449
chr20	25310473
chr12	49869375
chr5	106397904
chr5	98497669
chr5	106171421
chr5	104708161
chr12	50985432
chr5	103207829
chr12	51238829
chr5	102959201
chr17	28982433
chr17	1039666
chr5	93791811
chr12	108646763
chr5	111581164
chr5	78638518
chr5	78568447
chr20	38057494
chr20	38094509
chr5	78524089
chr5	78340198
chr4	182578601
chr5	78243743
chr5	76959533
chr12	64625583
chr4	182594088
chr5	76806130
chr12	64673069
chr5	76790832
chr5	76691636
chr5	76689663
chr17	19004857
chr5	74687468
chr5	74685169
chr5	74575807
chr5	78595285
chr5	78700020
chr5	90518814
chr5	81268954
chr12	57520717
chr12	57751923
chr5	88827328
chr5	88251280
chr12	57896773
chr12	57905441
chr5	84394094
chr20	35305918
chr4	176335601
chr5	83919594
chr12	58557340
chr20	35318713
chr5	83587587
chr17	27245091
chr5	82389046
chr17	21186604
chr5	81769293
chr5	81426856
chr20	37542401
chr5	111574537
chr5	111893124
chr17	1724678
chr4	169115952
chr12	25792147
chr5	127584031
chr12	26114520
chr12	120230683
chr20	19814039
chr12	26378880
chr12	26630828
chr20	19817270
chr5	126972436
chr4	165634963
chr5	126852177
chr4	165741208
chr4	165766206
chr12	27619540
chr20	21436477
chr5	125484557
chr20	22949845
chr12	28770514
chr12	28780300
chr12	120231556
chr16	89582259
chr20	17735617
chr4	159047599
chr12	20151059
chr12	121190843
chr12	121095584
chr5	132422821
chr4	158996966
chr5	132387827
chr5	132094994
chr20	13037928
chr20	14985355
chr5	128199355
chr5	131797050
chr5	130337367
chr5	128649411
chr16	89581418
chr12	24909872
chr5	128645071
chr12	25615243
chr5	128272317
chr5	125412866
chr5	125141093
chr12	29148277
chr5	113615944
chr12	43339018
chr5	117889827
chr5	116371092
chr5	115460634
chr12	118061210
chr5	115415339
chr12	46371431
chr5	114325688
chr5	113281359
chr12	43267974
chr5	113231522
chr5	113162956
chr5	113022848
chr12	118033517
chr12	46563045
chr12	117687220
chr17	30530866
chr12	46665155
chr12	43277753
chr12	43175693
chr17	32007363
chr12	31732060
chr5	125058089
chr20	23145594
chr20	23361832
chr5	124538405
chr12	30613679
chr5	124536628
chr12	119613480
chr5	124071286
chr20	52490757
chr20	24027441
chr20	52032184
chr12	31749361
chr5	124065118
chr5	122756548
chr12	32586579
chr5	122306761
chr5	122102996
chr12	41512688
chr12	65308738
chr5	74334268
chr5	14174536
chr5	37738298
chr17	6752491
chr12	92421838
chr12	92539419
chr5	40047064
chr5	39542726
chr5	39526977
chr12	92971136
chr5	39526011
chr20	47334235
chr20	47359283
chr12	93785458
chr5	39395118
chr12	94570420
chr12	94571794
chr12	94644712
chr5	39232320
chr5	39102499
chr12	95633411
chr12	95635292
chr5	40429961
chr12	91877272
chr12	91779121
chr5	373936
chr12	88996563
chr12	89157203
chr5	53069814
chr12	111397291
chr17	7242999
chr5	44334798
chr12	89352742
chr12	89371039
chr12	89376121
chr17	7012379
chr20	45891304
chr5	42950813
chr17	7084253
chr12	89731821
chr5	41872036
chr12	90253943
chr12	90280821
chr20	47317481
chr5	38807658
chr12	96194463
chr20	45041811
chr12	96368404
chr5	17356143
chr5	17252775
chr12	104604712
chr20	50471490
chr5	17249453
chr5	17169618
chr12	105107725
chr12	105226425
chr5	17118683
chr5	16983087
chr12	105445870
chr5	16728085
chr5	15835084
chr5	15645579
chr20	49562436
chr5	14809896
chr20	50107446
chr5	14154520
chr5	14202665
chr12	108695026
chr5	19929192
chr5	21152690
chr20	48760494
chr17	5826608
chr5	34656296
chr5	34586305
chr5	34583391
chr12	110313213
chr17	5825917
chr20	48638747
chr17	2215533
chr20	48854158
chr12	103800400
chr5	22596626
chr5	21807048
chr12	100576922
chr12	101793561
chr5	21680354
chr5	21239065
chr20	50573180
chr12	108700140
chr5	53303243
chr12	88897049
chr12	65562161
chr12	75997860
chr5	67999116
chr5	67431400
chr5	67303523
chr17	16438715
chr12	71839746
chr12	71865264
chr20	40262375
chr12	75658982
chr12	75660902
chr12	75707086
chr12	75722843
chr5	65961891
chr5	65926561
chr4	184688620
chr17	16286428
chr12	75790392
chr17	16273627
chr5	61314045
chr17	16106693
chr5	132947875
chr20	39524828
chr12	69689269
chr12	65893085
chr12	65609483
chr12	65631719
chr5	74127545
chr12	65649309
chr4	182605086
chr5	73638819
chr20	38186883
chr5	73370820
chr12	65948873
chr12	69688204
chr12	66399177
chr5	72799941
chr5	72600596
chr12	68612432
chr5	72468813
chr12	69059681
chr4	184383645
chr5	71933169
chr12	75978148
chr12	112837725
chr20	44966400
chr17	16027733
chr12	79547524
chr12	79548140
chr12	79566614
chr20	41990606
chr5	57438362
chr12	81208367
chr12	82349768
chr5	57383432
chr20	43955569
chr12	84995874
chr20	44211000
chr12	85280406
chr5	56099540
chr5	55155111
chr20	44703056
chr12	86712559
chr12	87440378
chr5	53942875
chr5	271415
chr12	79454497
chr20	41990147
chr20	41329741
chr12	77116423
chr12	76085704
chr17	2192676
chr5	59744837
chr12	76259287
chr5	59301828
chr5	58751396
chr5	58649031
chr12	77114174
chr5	58241646
chr12	79184181
chr12	77888810
chr5	58240429
chr20	41233508
chr12	77947584
chr5	57735457
chr12	78683263
chr12	78759540
chr5	57693210
chr12	70661065
chr5	134562107
chr12	19959536
chr6	39887803
chr11	69300582
chr6	44058655
chr17	64008953
chr11	69352962
chr11	69449385
chr17	64006860
chr6	41581846
chr11	70399950
chr6	40932576
chr2	231187911
chr17	64130823
chr11	72752414
chr6	37580418
chr11	72965889
chr6	37192118
chr2	231365166
chr11	74755072
chr2	231612621
chr11	75031466
chr17	63433374
chr6	44961039
chr17	64174921
chr11	64181731
chr6	52511824
chr6	57242664
chr6	56671916
chr17	64707310
chr6	56365265
chr15	92907024
chr11	65280275
chr17	64409555
chr6	52522862
chr17	64385406
chr11	65422297
chr11	67391871
chr6	52504984
chr11	65487771
chr2	231162199
chr11	65711982
chr2	231168313
chr6	46994154
chr6	46909517
chr17	64183988
chr11	67370546
chr6	36127711
chr17	63293536
chr2	233974759
chr2	234823995
chr11	80980453
chr11	82859020
chr11	82864611
chr17	59770180
chr11	85628624
chr6	28981112
chr2	234680166
chr6	28222337
chr11	86371382
chr11	86460135
chr11	75814838
chr17	59287751
chr6	22884600
chr11	86515970
chr11	86524316
chr6	22828234
chr11	86593091
chr11	86743622
chr11	86932156
chr11	86934572
chr6	30814461
chr2	234620161
chr6	31560094
chr11	79018518
chr17	62179692
chr6	34630187
chr11	76553747
chr11	76560429
chr6	34244251
chr6	34224134
chr11	76700661
chr17	60573771
chr2	234258364
chr6	33697341
chr6	33694662
chr2	234422378
chr2	234445130
chr11	77560247
chr11	77705671
chr6	32355558
chr6	31897719
chr17	60212864
chr17	60170249
chr17	64792960
chr11	63142733
chr12	19683826
chr17	68822078
chr11	35630165
chr6	108074775
chr11	35947641
chr11	35954419
chr6	106530727
chr6	104970381
