Chrom	position
chr1	74733241
chr11	842736
chr1	143247064
chr8	80030105
chr7	100673629
chr5	64768818
chr17	82418477
chr13	21604055
chr1	46132773
chr6	116571334
chr19	17511931
chr19	8514036
chr21	32772008
chr4	49657587
chr1	5992137
chr11	576351
chr17	17281125
chr10	17201645
chr4	2009147
chr20	54207998
chr9	89318639
chr11	73787992
chr14	39432286
chr7	58434583
chr7	55366172
chr21	42974141
chr11	68213791
chr15	65517575
chr15	67254733
chr1	143273136
chr16	29863342
chr8	143597296
chr10	102854367
chr19	1275684
chr16	89972748
chr6	42050654
chr11	18322369
chr8	96261825
chr18	3261990
chr6	61323038
chr17	61927677
chr16	31117752
chr17	63849089
chr20	37179242
chr12	53452512
chr12	110387363
chr3	64023361
chr9	92325800
chr10	97334845
chr2	154655018
chr12	53321523
chr14	21103921
chr11	116772899
chr4	174283568
chr22	38656529
chr3	187745637
chr19	12956963
chr13	75549662
chr17	16438942
chr3	119677224
chr4	185426132
chr15	88467480
chr14	51651553
chr20	33401468
chr2	86563096
chr14	55579954
chr6	26124469
chr10	84139658
chr6	27872176
chr1	109090792
chr12	109052646
chr7	130051337
chr18	46098186
chr4	50556148
chr11	126063166
chr4	13627711
chr21	33491651
chr10	133689435
chr1	155688910
chr1	36464293
chr1	634030
chr19	1652819
chr22	19479260
chr1	26900362
chr9	132410130
chr8	132775695
chr4	49648701
chr5	49666213
chr3	139344083
chr17	63600874
chr8	17155890
chr15	42273281
chr18	63331311
chr1	143245005
chr15	101724298
chr17	21969427
chr3	158644639
chr6	3259055
chr5	49659876
chr1	52056452
chr15	85896996
chr4	49108401
chr9	35096465
chr4	47463557
chr7	118184291
chr8	18084274
chr11	65525310
chr4	49103935
chr3	50321639
chr19	47484115
chr10	91923922
chr12	124914800
chr7	2555601
chr8	144528993
chr1	13749722
chr11	43359011
chr6	35342674
chr19	11529051
chr19	11374796
chr4	145619242
chr3	134485874
chr19	984486
chr5	180802657
chr16	46389715
chr19	7920467
chr19	4723963
chr12	69585655
chr19	3500739
chr16	28554074
chr8	3712425
chr16	21953115
chr9	21335260
chr1	11099755
chr19	19192084
chr1	11478999
chr16	2205560
chr19	18832135
chr1	629948
chr21	17819598
chr1	83999233
chr8	22245181
chr3	101561900
chr18	76822143
chr20	46364236
chr8	123042092
chr16	18790014
chr9	134068394
chr15	30903909
chr19	52028398
chr7	12211414
chr2	111883897
chr10	130110701
chr22	38682033
chr4	2537376
chr6	27133232
chr1	156282698
chr14	39267216
chr14	45134334
chr14	49862228
chr12	2812785
chr15	38454291
chr7	75915070
chr8	73976334
chr17	82450611
chr1	204516533
chr17	49788824
chr13	113585435
chr2	152718403
chr2	231056976
chr6	26197082
chr7	33109161
chr20	2102326
chr12	122526847
chr12	121016374
chr2	231786533
chr1	228165887
chr11	119018565
chr2	206085798
chr12	120534891
chr22	23787176
chr8	58553395
chr22	29268207
chr6	58784925
chr14	64914599
chr19	2950537
chr11	75768655
chr14	92121772
chr17	39461616
chr20	8019529
chr17	38799815
chr2	9423348
chr1	6784846
chr17	43251715
chr3	37176477
chr12	116819478
chr8	89984510
chr14	101761327
chr2	26345629
chr14	95534484
chr7	100081662
chr5	112160812
chr1	154608070
chr1	32108116
chr15	34209926
chr18	158673
chr10	42096337
chr3	194672499
chr14	77760886
chr3	41962129
chr20	46089814
chr7	157461510
chr18	35497825
chr17	75012790
chr3	184248885
chr18	47931431
chr8	42843172
chr1	160262357
chr10	133308768
chr10	103368308
chr8	22141715
chr3	158110232
chr20	63626620
chr20	49046474
chr17	82458306
chr10	122980519
chr1	230642539
chr3	150603539
chr3	196942537
chr1	46718971
chr1	161766315
chr17	80575545
chr7	4642066
chr10	125823435
chr18	62526682
chr19	507624
chr19	893126
chr3	180602279
chr1	23959967
chr7	32891570
chr19	1848583
chr2	89836520
chr2	89829233
chr10	38573522
chr1	205631658
chr2	73214386
chr2	71130740
chr10	41875031
chr10	41875439
chr7	98878934
chr10	42104588
chr1	32073028
chr2	24793379
chr2	9843573
chr3	40457515
chr2	1222035
chr19	58380903
chr19	56404207
chr19	55599369
chr2	89833295
chr10	31928702
chr7	21946033
chr7	726712
chr2	241687132
chr21	33543432
chr1	225999262
chr21	45074291
chr21	46324316
chr7	44606721
chr22	19447471
chr10	6164025
chr22	24555761
