Chrom	position
chr20	55712325
chr20	52406645
chr20	52531019
chr20	52617039
chr20	55745659
chr17	59503420
chr20	52439367
chr17	59548151
chr20	55810366
chr20	52270258
chr20	45907800
chr20	46286603
chr20	52345781
chr20	52798238
chr17	58367287
chr17	58158783
chr17	59304429
chr20	45932350
chr20	45950788
chr17	59692795
chr20	52190957
chr20	53008305
chr17	59573405
chr20	52645331
chr17	59777585
chr20	52752493
chr20	46056606
chr17	59890673
chr20	49420470
chr17	59442329
chr20	49349716
chr20	45846638
chr20	52303581
chr3	63985566
chr20	53072768
chr17	57920419
chr3	63711713
chr20	46367237
chr20	45833183
chr17	59956187
chr3	64670662
chr17	59835994
chr17	58746589
chr17	59875383
chr20	52665051
chr20	52241391
chr17	58731929
chr17	59857664
chr17	59377653
chr20	53314545
chr20	52717231
chr17	57061108
chr3	64000178
chr20	46683959
chr20	45876546
chr17	58679876
chr20	53510682
chr20	49362206
chr20	46333180
chr20	49338911
chr20	53267059
chr19	41427217
chr20	46267068
chr17	58505593
chr20	53028157
chr20	52734814
chr17	59321139
chr20	45965523
chr17	58765366
chr20	52315840
chr20	46164754
chr20	45815531
chr17	58614523
chr20	52825079
chr17	59968283
chr20	55777974
chr20	52462897
chr20	55789122
chr20	55681205
chr17	58304225
chr3	64196822
chr20	46255821
chr17	58815466
chr20	46108025
chr20	46035891
chr17	59620327
chr20	52231303
chr20	49306973
chr3	64604965
chr17	59629249
chr17	59978279
chr20	46355719
chr3	64121026
chr3	64774377
chr17	59355793
chr19	1181839
chr20	45860748
chr3	64036226
chr20	53174002
chr20	53206398
chr20	53240245
chr17	59905384
chr3	64136422
chr3	64287895
chr8	98776668
chr20	52775702
chr20	53140183
chr12	53365965
chr20	55828736
chr17	58342652
chr3	64712511
chr17	76417609
chr3	64330612
chr17	49021951
chr12	116828386
chr20	52253580
chr17	59737980
chr9	138284566
chr8	103613321
chr17	56733186
chr17	58237149
chr3	124781996
chr20	52686263
chr17	59336122
chr17	57929417
chr17	56798765
chr3	64846471
chr20	45889939
chr2	215243558
chr20	55689344
chr10	95195024
chr17	59529901
chr17	59522869
chr20	52505627
chr16	4202483
chr17	58543739
chr17	64948481
chr20	53471798
chr3	107718501
chr17	59402763
chr16	53133626
chr8	128872111
chr20	49299008
chr10	9230487
chr3	64207140
chr17	55977358
chr14	105498921
chr17	58483807
chr7	906995
chr21	43786844
chr11	65186278
chr17	75283219
chr17	59639771
chr17	59747689
chr2	11679819
chr17	58046815
chr17	57125026
chr10	62608592
chr20	52951502
chr17	58604931
chr5	139088790
chr21	16582746
chr3	64305406
chr7	152272422
chr2	216847470
chr22	29913535
chr17	58645458
chr5	55725195
chr20	45824514
chr2	100253276
chr17	59790141
chr12	13025499
chr17	59706244
chr1	19923329
chr5	105577426
chr1	203058612
chr22	29209889
chr11	101312618
chr17	38732556
chr11	72939120
chr2	11638862
chr20	52380309
chr10	115438628
chr1	202101831
chr11	66795438
chr20	52679455
chr3	150455210
chr3	150474443
chr13	109571855
chr8	129154331
chr20	55763908
chr10	29414057
chr3	64895383
chr2	11672665
chr11	100904981
chr20	46115635
chr17	38478736
chr2	238467808
chr11	76483805
chr8	128883014
chr5	154448386
chr9	111241173
chr19	2169019
chr17	59347906
chr6	15222283
chr1	199986117
chr17	38605099
chr2	190406408
chr4	139832136
chr21	37560680
chr8	22596802
chr21	41696624
chr3	50642697
chr10	100074352
chr17	59930813
chr20	55310489
chr16	56404964
chr17	59920405
chr13	34217058
chr1	75118395
chr16	85499778
chr10	17487878
chr17	58326875
chr14	93483904
chr12	89858928
chr6	20210654
chr1	145726715
chr20	46173159
chr20	52816505
chr20	52913742
chr9	130784664
chr5	131714483
chr15	38885811
chr20	46136916
chr5	172899847
chr9	114774566
chr17	56752325
chr17	58469152
chr5	66531725
chr11	70652133
chr8	144099596
chr17	58624041
chr3	64686295
chr17	72754595
chr16	85339908
chr15	71389177
chr17	58791643
chr1	17847190
chr20	52740392
chr12	123554561
chr20	52939549
chr1	114519406
chr20	53300201
chr5	167743537
chr19	1170457
chr15	39960863
chr6	21739166
chr9	131061330
chr16	70170710
chr2	217957501
chr11	78771149
chr9	33234302
chr21	43796606
chr11	30543404
chr11	68890403
chr4	40365630
chr2	65134266
chr9	130809700
chr17	72756986
chr12	52597462
chr11	69706518
chr14	90970185
chr3	161057624
chr20	53345807
chr8	102479084
chr6	17389705
chr19	1513341
chr14	69036912
chr10	127313541
chr20	52216970
chr22	29215639
chr20	55770308
chr6	30719511
chr17	58800046
chr5	35306956
chr2	45979879
chr12	2905231
chr14	67946944
chr3	156530472
