Chrom	position
chr12	132446195
chr16	35533851
chr16	35215464
chr10	12449057
chr16	35409694
chr11	134008728
chr12	122896269
chr3	170222253
chr4	77076228
chr2	240161219
chr19	55006134
chr7	123154390
chr17	32755218
chr3	8490203
chr20	22490535
chr6	43571231
chr1	5456227
chr19	54253018
chr7	133126621
chr6	63373349
chr18	69469561
chr4	185426049
chr1	22338280
chr17	8753890
chr8	135003119
chr11	102347206
chr4	184839027
chr9	116993079
chr6	35024769
chr18	75981304
chr5	14250227
chr19	2962213
chr5	176537884
chr5	26864274
chr2	237422505
chr1	26359008
chr1	26169852
chr6	10049094
chr1	72224702
chr16	83011302
chr7	149719266
chr6	24721046
chr1	181475786
chr1	240722999
chr16	89700346
chr12	3748855
chr17	1293657
chr3	40453194
chr5	9302425
chr18	79069181
chr2	841247
chr4	55159115
chr13	94362648
chr20	23066968
chr11	81963196
chr2	148875121
chr21	37956970
chr10	61608828
chr11	9566112
chr19	35612705
chr11	8765480
chr1	15106711
chr21	41679156
chr19	45467685
chr1	169487314
chr4	116502196
chr6	170192281
chr10	72951987
chr22	23596101
chr10	124323362
chr7	8536623
chr18	22074863
chr10	104391572
chr10	97319148
chr2	179822744
chr10	94016932
chr19	40349268
chr7	43093016
chr20	61002282
chr11	19071342
chr22	25433794
chr2	124988310
chr19	50200207
chr11	77055501
chr2	150566485
chr2	151619485
chr14	20333380
chr8	66425281
chr18	54479564
chr10	28960267
chr20	32109705
chr1	7931417
chr4	169795659
chr1	112700985
chr11	34318610
chr11	64420275
chr9	116329667
chr4	164695844
chr1	115061622
chr9	129777280
chr22	36124077
chr10	45062243
chr17	55650084
chr6	136326173
chr17	56779116
chr5	169416954
chr11	107176376
chr5	104353559
chr1	209784612
chr2	28359408
chr3	126269577
chr3	172179962
chr1	43472616
chr3	101686813
chr4	74509555
chr8	29681097
chr1	220742725
chr2	233999386
chr5	145463853
chr15	90994705
chr8	49217248
chr19	5269013
chr4	78625324
chr1	52703110
chr12	101844333
chr16	27217412
chr16	8883763
chr4	72140190
chr1	46173760
chr2	62178846
chr5	84985347
chr16	6674267
chr3	118886910
chr4	79213857
chr2	103639170
chr9	98811277
chr12	110043348
chr3	124059766
chr5	164061151
chr1	201896128
chr2	36646386
chr12	57457992
chr15	98343112
chr3	87504139
chr2	33412028
chr2	223602417
chr16	1990456
chr19	3333810
chr16	20729341
chr12	56047242
chr3	127137204
chr6	154501652
chr22	18057836
chr19	46600833
chr17	63773826
chr22	19104095
chr11	16168286
chr11	62062641
chr4	149751363
chr5	57960777
chr22	38701086
chr11	12674333
chr12	121660207
chr4	14994475
chr19	45999889
chr19	45996179
chr17	44901008
chr16	7183965
chr6	118967437
chr22	19144785
chr16	12999569
chr17	55576614
chr17	55496596
chr6	135334363
chr17	56311017
chr14	32415189
chr1	37671458
chr19	48574881
chr12	130584673
chr11	44634801
chr11	45899900
chr2	73253636
chr6	139107249
chr11	33161625
chr2	104546740
chr22	35012161
chr2	27799324
chr5	99020457
chr6	149171201
chr1	116161603
chr12	132144426
chr4	164097323
chr4	152015804
chr2	107009467
chr6	150813412
chr17	67509893
chr1	60913902
chr8	105493543
chr13	28161500
chr18	461960
chr7	26295215
chr7	25801404
chr7	25125532
chr2	51225578
chr14	55271326
chr21	17611697
chr7	28409378
chr10	110221961
chr8	97775721
chr17	79644823
chr21	23734325
chr8	98297962
chr1	156421857
chr18	497119
chr10	98846986
chr21	42644450
chr10	95266869
chr7	38270143
chr7	38162240
chr5	68456873
chr2	70326075
chr3	156271715
chr7	33722972
chr7	33110073
chr2	51859465
chr1	161083444
chr13	36297866
chr20	63502242
chr7	30134664
chr5	72134443
chr10	97737099
chr17	78753977
chr10	113960892
chr14	52554030
chr2	102056495
chr16	4538866
chr17	73198763
chr14	45134384
chr6	168323151
chr21	38953711
chr1	151710385
chr11	1572363
chr1	156061110
chr17	44881352
chr4	145512080
chr11	3797831
chr5	82753572
chr17	70075158
chr6	163342744
chr5	77499160
chr10	131933908
chr10	131900953
chr7	953944
chr14	47772850
chr10	128784651
chr10	128612834
chr14	49586529
chr21	34526999
chr1	33828860
chr9	89310852
chr7	5453182
chr7	5586473
chr7	5752866
chr5	76609078
chr17	77848476
chr10	117215280
chr19	45501628
chr8	126583631
chr22	40636901
chr6	43809524
chr2	5719825
chr6	23416233
chr9	34195343
chr16	89241654
chr3	100486995
chr6	27362086
chr12	4725321
chr3	185323951
chr16	51226107
chr5	10628040
chr12	76035320
chr9	109440970
chr1	85062219
chr11	133969260
chr11	131568517
chr2	115999235
chr5	6421689
chr11	126063179
chr1	23809855
chr15	77954150
chr11	124199905
chr9	37345239
chr5	5784271
chr6	37791542
chr11	120789598
chr9	37375137
chr13	97223879
chr17	9474039
chr17	9606647
chr9	33001652
chr5	14264803
chr1	79100535
chr6	4564071
chr16	65965911
chr5	171757970
chr2	126306742
chr13	66426027
chr1	64072637
chr3	73867725
chr2	10698339
chr12	43790161
chr16	59195439
chr6	1514284
chr1	67700976
chr2	12771395
chr5	23649796
chr5	159937775
chr6	18034920
chr6	4800835
chr1	69994056
chr6	7317740
chr13	77318953
chr2	8412317
chr1	27309956
chr2	88600297
chr1	73827480
chr2	8004457
chr2	38655167
chr16	84373748
chr5	14944222
chr5	154833008
chr5	141564344
chr17	12269951
chr17	43753696
chr17	13931461
chr11	83071929
chr12	102479162
chr5	128279551
chr9	97947274
chr3	195543610
chr5	51604525
chr12	109861869
chr11	77474406
chr17	36210950
chr11	75768585
chr17	36750679
chr3	4021328
chr6	88680876
chr11	73567284
chr19	52345370
chr4	173891261
chr1	109117771
chr5	54172194
chr11	69263606
chr4	171181298
chr16	19107963
chr19	51159857
chr1	109984684
chr6	106325815
chr14	21894148
chr12	121016530
chr15	98311791
chr1	110490927
chr8	125362934
chr15	70762134
chr2	44268442
chr3	194561582
chr17	19514300
chr13	98582271
chr16	31072008
chr8	139637549
chr13	98743154
chr1	23168891
chr8	138858050
chr6	51339916
chr3	22421798
chr8	138563896
chr17	17682474
chr13	51048268
chr20	57738645
chr3	19116441
chr15	75003273
chr11	89052406
chr16	27550039
chr3	119149712
chr1	46132818
chr1	22185391
chr11	100177847
chr11	98230884
chr3	193744178
chr3	14389411
chr4	183102114
chr4	183018153
chr1	99552407
chr19	55063334
chr6	75217329
chr15	45456745
chr11	121245065
chr7	110784954
chr4	74800518
chr7	115883831
chr4	118591690
chr10	54148711
chr14	83625171
chr7	114992295
chr14	75278653
chr19	8389995
chr2	196000756
chr19	3500795
chr7	141713067
chr14	92560707
chr1	181141730
chr1	9428992
chr7	65081353
chr7	110446875
chr19	17681691
chr20	3479920
chr10	23376299
chr2	66496216
chr1	1000904
chr1	229203649
chr18	43023058
chr1	2212668
chr1	3992284
chr18	80109002
chr4	69251088
chr20	3118129
chr10	24867441
chr2	218570290
chr14	75543984
chr8	11201935
chr2	219543970
chr1	227044013
chr10	65628985
chr20	15793057
chr20	45937895
chr8	61175566
chr20	47703935
chr1	202035018
chr7	74062331
chr4	48831038
chr2	234004492
chr20	48371376
chr20	45588992
chr1	1858815
chr19	4375919
chr10	5549042
chr8	80467560
chr18	62808347
chr14	93355087
chr18	72433963
chr4	116547846
chr10	69685975
chr7	120985348
chr2	57516912
chr2	234494435
chr7	118944463
chr1	5111771
chr14	94681442
chr10	72140391
chr18	59902253
chr20	38228650
chr10	9757392
chr1	234289122
chr15	45158198
chr1	236633695
chr4	39465245
chr19	996553
chr19	7006307
chr1	220487680
chr8	70591893
chr10	33509509
chr19	16570076
chr8	47345892
chr4	33501789
chr7	100867329
chr10	82192868
chr20	55616565
chr19	39409541
chr4	111014038
chr19	1240266
chr1	3660854
chr10	84562790
chr18	51013458
chr7	98061753
chr18	53792964
chr2	64973074
chr2	239257739
chr19	734087
chr19	2956606
chr20	18836036
chr11	100498987
chr2	192546768
chr8	48925998
chr2	44087409
chr18	48946620
chr17	29124195
chr5	146182785
chr19	33090392
chr6	74449046
chr9	37126465
chr2	146037540
chr7	100612053
chr3	16504414
chr13	50124479
chr17	46792260
chr3	11908492
chr11	61949736
chr9	113221432
chr3	13579309
chr5	145681836
chr3	15923831
chr22	38656527
chr2	43692632
chr17	45152144
chr7	124929859
chr2	197710644
chr19	55166942
chr15	73893048
chr8	124397575
chr11	95888630
chr22	39174827
chr3	105145039
chr1	183604448
chr17	28335488
chr17	45133002
chr4	182919149
chr17	45627328
chr1	200432796
chr10	35774312
chr4	166166056
chr2	113756772
chr16	36178536
chr11	88487831
chr2	156080051
chr17	35809263
chr17	43024726
chr3	108222504
chr17	42677296
chr1	27773032
chr2	21405022
chr11	75343166
chr3	2931462
chr8	125274060
chr2	151614316
chr1	181087778
chr4	174761992
chr13	56511032
chr5	134224062
chr6	92281873
chr20	23884562
chr14	21846362
chr6	94651427
chr2	20823119
chr7	104500181
chr11	71403028
chr19	6541132
chr1	109796693
chr11	70951402
chr3	5023522
chr18	56638741
chr3	5197785
chr4	2009277
chr11	87392861
chr11	87352843
chr11	86567557
chr11	86244654
chr11	69101281
chr7	100673599
chr4	179831477
chr2	148475828
chr17	32304197
chr13	110965478
chr4	167419949
chr14	95863486
chr16	35339549
