Chrom	position
chr1	199932205
chr7	43834667
chr8	29499510
chr12	10365109
chr14	76953809
chr13	71291065
chr16	28212217
chr8	89984089
chr10	119131824
chr4	88379406
chr17	65057025
chr14	85934650
chr4	168318800
chr1	155637615
chr22	33853954
chr5	65482928
chr18	38941432
chr12	112938350
chr15	75198867
chr1	27672292
chr16	56989542
chr19	10086284
chr9	32526348
chr1	35637531
chr19	3359701
chr2	216412430
chr2	107713023
chr1	46062792
chr5	96807948
chr10	103660150
chr11	39371376
chr17	42112747
chr9	79858655
chr8	128382109
chr14	76962142
chr3	142447997
chr11	84714508
chr3	3172830
chr5	108003312
chr14	46591612
chr8	143986466
chr1	32962432
chr1	33127617
chr18	67418333
chr2	165903106
chr16	3158740
chr19	49717628
chr2	181393777
chr3	183202525
chr1	182588908
chr7	95330873
chr5	139385276
chr8	143026533
chr1	222644322
chr3	121432339
chr4	10584162
chr7	12257810
chr10	91220750
chr15	64895902
chr3	88031945
chr7	122137035
chr11	57566329
chr7	17142660
chr2	230327139
chr6	32838788
chr11	15969581
chr12	15534479
chr20	49278113
chr5	166371479
chr10	112376164
chr12	57966061
chr20	5078638
chr2	232364106
chr1	110034455
chr22	36156942
chr11	59142869
chr22	36253070
chr10	75772446
chr5	144192190
chr14	58245246
chr20	408305
chr19	46714634
chr9	107246444
chr5	71887868
chr2	191020380
chr1	247906840
chr18	54946466
chr16	56609736
chr16	88785595
chr17	80263589
chr3	146544635
chr6	26440397
chr2	40489595
chr2	191014185
chr21	15732526
chr6	157380162
chr3	122564343
chr22	36160816
chr9	78132852
chr4	26861621
chr12	96346976
chr4	17385629
chr5	18746228
chr22	36239599
chr21	41926700
chr17	79852984
chr3	101677320
chr9	132770242
chr12	68236774
chr2	148553166
chr3	62445511
chr15	56468708
chr8	23230778
chr2	149544912
chr1	168348524
chr7	135148033
chr6	236090
chr17	77610357
chr22	30047512
chr4	47011093
chr12	127083504
chr17	43006769
chr1	1013408
chr8	51805050
chr9	120710522
chr6	105992533
chr16	85055485
chr10	89084586
chr2	102256437
chr10	43623543
chr6	34657575
chr5	96876480
chr17	43360929
chr6	121334955
chr3	95706248
chr3	49813966
chr11	796376
chr4	184268130
chr14	67488739
chr8	128377207
chr1	59020357
chr1	193418632
chr1	112674854
chr2	225464847
chr2	230220036
chr6	29927012
chr1	89129001
chr19	55599641
chr2	162318713
chr2	112542343
chr6	30877848
chr18	63367793
chr6	25138944
chr18	62506417
chr3	94063008
chr17	17237840
chr11	114346795
chr13	44274557
chr1	205631291
chr15	44728831
chr15	44712687
chr1	174990559
chr11	46380799
chr14	86838671
chr21	41420595
chr5	132410925
chr10	3811586
chr22	18150087
chr3	159911396
chr14	24136202
chr1	212596516
chr2	200374279
chr19	44095369
chr12	96720203
chr19	49474200
chr4	70734774
chr19	3553078
chr7	30445977
chr7	30479532
chr9	15296410
chr9	128686222
chr6	26402170
chr7	140062974
chr11	10302970
chr3	122680816
chr20	62804853
chr4	180827475
chr9	113581991
chr22	50539717
chr12	24795896
chr12	101877452
chr5	179836908
chr4	168480523
chr1	104706834
chr3	179451722
chr3	187368370
chr12	11649698
chr4	186191568
chr12	4027594
chr10	6050913
chr6	131136041
chr1	235337101
chr10	5684761
chr7	90463548
chr10	89414528
chr4	118850681
chr6	95690510
chr4	73259196
chr5	172697609
chr2	151289930
chr11	4393677
chr2	6865815
chr8	123037746
chr4	77735129
chr12	126772298
chr1	1116162
chr6	170553120
chr10	121975233
chr4	6751689
chr1	224940235
chr15	70528412
chr8	16604161
chr4	141636556
chr19	16002180
chr1	58546725
chr15	68299244
chr1	166490157
chr7	114048463
chr8	10630546
chr4	699553
chr11	63574691
chr3	141686920
chr3	133442162
chr2	71467161
chr2	134918673
chr9	97412170
chr1	65068675
chr4	146175721
chr8	118921111
chr4	145180565
chr13	20120456
chr9	89388399
chr16	25111573
chr6	89475861
chr17	79733264
chr9	101533801
chr4	76213772
chr1	154608199
chr11	35662736
chr22	41301574
chr1	208086726
chr7	92718148
chr1	167936291
chr21	43939184
chr5	5025873
chr17	40554455
chr4	186069145
chr8	102287503
chr6	145749805
chr1	37846834
chr2	219387631
chr18	48538966
chr2	68737892
chr2	30225379
chr12	14216585
chr11	62787581
chr3	183541905
chr16	11312810
chr6	144216241
chr13	82688771
chr3	197848309
chr2	28390650
chr3	125054698
chr1	172746485
chr6	106512510
chr17	15699616
chr4	132124083
chr17	6427741
chr6	142819814
chr1	224356791
chr14	65081575
chr10	3829050
chr13	41060484
chr6	132813163
chr17	17628700
chr11	128831324
chr2	230411905
chr10	91198996
chr8	116695004
chr18	64208022
chr11	31995953
chr5	177300445
chr11	32091550
chr3	170278036
chr1	114716899
chr5	176659079
chr7	150685701
chr2	101205659
chr17	82335259
chr4	99855936
chr7	149322302
chr18	55477706
chr7	116511901
chr17	17416243
chr9	99906867
chr9	33025818
chr3	36908129
chr14	70417063
chr12	31653313
chr4	184417357
chr11	63536805
chr17	27456453
chr2	102582141
chr6	33789217
chr6	100881133
chr14	95143978
chr15	44711401
chr3	94004512
chr4	184474784
chr2	120232472
chr1	179129847
chr18	75161884
chr14	93103849
chr16	50666945
chr1	109548512
chr10	84139288
chr16	21645651
chr11	43869158
chr11	43644162
chr1	66981836
chr1	154975840
chr5	1537057
chr2	112768204
chr17	58084788
chr2	193347871
chr13	50230495
chr20	3932902
chr2	44081533
chr1	66301370
chr10	110864861
chr19	42049233
chr2	84939818
chr11	78645418
chr12	56360468
chr1	231053969
