Chrom	position
chr1	184242664
chr1	46466768
chr13	45749218
chr1	232251109
chr6	37881543
chr19	32677930
chr3	142252152
chr5	124742406
chr15	78671901
chr22	28112794
chr7	27910547
chr20	13839899
chr11	113389424
chr13	34162204
chr5	120621529
chr3	51962356
chr6	147782630
chr18	66622411
chr1	231934968
chr6	165204949
chr12	20189981
chr16	7835146
chr13	77853863
chr17	45135511
chr3	137509806
chr2	110770908
chr12	12704712
chr16	88771002
chr2	204205748
chr8	100667823
chr12	67772978
chr5	152305783
chr2	3266109
chr15	91114485
chr5	83371186
chr14	50778011
chr17	75368350
chr9	107965257
chr3	69505872
chr4	123750243
chr6	91366952
chr20	47125678
chr4	55021385
chr4	19213469
chr19	2660078
chr16	69483721
chr2	204228754
chr19	51571123
chr13	49664814
chr1	68294217
chr3	135690945
chr22	43925663
chr9	79256986
chr9	79976617
chr11	131815813
chr11	106463339
chr3	53939162
chr4	186606731
chr4	103424967
chr2	204294367
chr17	15120174
chr1	172487803
chr1	174023595
chr8	135519326
chr9	7880040
chr8	143039049
chr1	164802227
chr1	56425223
chr10	44233819
chr1	238672482
chr11	26936233
chr1	206037782
chr11	90737625
chr16	50610770
chr9	97406699
chr15	66101941
chr18	9877523
chr20	11451832
chr7	30026826
chr13	20849261
chr11	123438221
chr4	184264399
chr2	127208555
chr8	136519513
chr3	167166815
chr4	178753158
chr12	99072559
chr18	13239335
chr8	70805444
chr9	116390498
chr3	16775724
chr7	52586871
chr3	138824188
chr2	149899564
chr5	174532666
chr2	153608197
chr6	129758726
chr15	88400750
chr1	32736966
chr17	36921420
chr7	122443081
chr15	50148480
chr9	77376416
chr18	75407683
chr10	121681383
chr8	68641152
chr12	62725072
chr8	37078464
chr5	80748178
chr9	78438300
chr3	98893920
chr9	35072902
chr5	127935050
chr14	101365518
chr12	128854282
chr2	105951046
chr7	71390182
chr18	47996450
chr11	62653393
chr9	13360327
chr20	37727729
chr22	19169822
chr11	207579
chr11	110128386
chr16	6964910
chr10	133361392
chr3	21618198
chr2	198312808
chr12	84435887
chr18	11261369
chr20	46995774
chr7	82530526
chr3	190942155
chr16	65699234
chr2	132652732
chr11	46952034
chr10	109393624
chr7	46015553
chr5	143615026
chr12	56637059
chr3	27714951
chr9	123678830
chr1	158016713
chr11	72434666
chr3	35505253
chr5	154260409
chr10	132747185
chr2	149125305
chr2	45815149
chr1	229028063
chr11	13221882
chr19	10420273
chr3	97009612
chr4	77178760
chr17	28370540
chr7	23349597
chr16	64615849
chr16	29202826
chr7	92916982
chr19	1041083
chr3	32843642
chr4	156791035
chr16	81630787
chr18	21833912
chr6	37319543
chr8	25831162
chr10	60130178
chr3	137582684
chr3	47324420
chr14	69038559
chr3	59093705
chr2	222483834
chr17	11487614
chr12	110813429
chr11	37041234
chr2	74008904
chr3	172666972
chr13	51328631
chr2	72848115
chr2	125553960
chr6	8983409
chr20	3160066
chr12	80250838
chr2	177293272
chr2	219526007
chr14	84254610
chr1	72023464
chr17	34110579
chr12	51622795
chr4	117941823
chr16	69396257
chr8	124474665
chr15	72242965
chr20	49833757
chr4	96293884
chr11	129215739
chr8	90541968
chr9	37191636
chr18	5456776
chr11	116174340
chr16	29805612
chr2	40244788
chr12	41968181
chr11	125401916
chr17	44542039
chr6	30764454
chr3	184039543
chr5	88660150
chr10	2798581
chr2	41948635
chr19	38606358
chr14	70005283
chr10	87055191
chr2	34366248
chr19	9070234
chr19	55653937
chr4	139857188
chr9	72494266
chr1	165441711
chr4	113064402
chr11	134792885
chr20	17939151
chr20	16189537
chr3	116005611
chr9	127645267
chr21	45012480
chr1	205481926
chr13	98653638
chr11	84480366
chr15	101243090
chr12	53241800
chr4	182137587
chr5	167064643
chr1	150269059
chr6	97203537
chr10	48444543
chr13	65598267
chr8	120956130
chr4	112747251
chr18	58592895
chr4	185833368
chr10	102169615
chr9	81535777
chr9	107131376
chr7	28900494
chr7	105665058
chr18	49500677
chr14	78947158
chr11	57464468
chr5	5616619
chr17	75035207
chr11	57480618
chr18	35203256
chr20	57224938
chr15	77525570
chr19	33124902
chr10	73966405
chr16	85329672
chr5	152086890
chr10	93790700
chr3	113839024
chr1	91791378
chr5	54517640
chr2	85717469
chr3	66991555
chr12	32120708
chr6	169851854
chr8	78598667
chr1	5311766
chr3	50226216
chr5	75717570
chr12	93023288
chr15	53536943
chr9	7549391
chr3	63467548
chr14	54257502
chr18	10203204
chr10	4220103
chr12	1918712
chr3	63595451
chr1	106746614
chr11	57657659
chr13	53311609
chr2	66679651
chr1	208654454
chr5	135307687
chr19	41397571
chr12	40819686
chr1	184469533
chr20	10769938
chr4	81486917
chr1	9593536
chr20	50931617
chr9	70869195
chr9	105652017
chr11	97332371
chr19	35748338
chr6	107706658
chr10	97179920
chr2	26012164
chr1	180198439
chr5	150529689
chr22	17266673
chr6	34513828
chr10	98696707
chr20	40275932
chr12	124807637
chr2	20614804
chr2	2613510
chr11	36023146
chr4	77157074
chr16	483761
chr18	58114993
chr5	154142989
chr4	128461744
chr10	19576781
chr3	101255624
chr3	166211609
chr8	53019071
chr8	133118884
chr9	70954348
chr13	110070261
chr5	84250099
chr16	75623300
chr1	46525457
chr22	23219141
chr3	74839742
chr5	155884295
chr15	89371467
chr10	78626559
chr9	17204795
chr5	147098449
chr1	154448541
chr9	112630300
chr16	77271688
chr20	11379665
chr3	127077634
chr19	44685173
chr18	9107021
chr18	26740518
chr14	21094546
chr3	194730587
chr2	165435770
chr5	159879190
chr5	136525752
chr15	89124546
chr18	28041594
chr1	167533933
chr3	119225053
chr6	89500684
chr9	129557530
chr4	110225865
chr14	53355827
chr15	86076594
chr6	134734770
chr5	14216079
chr1	236602389
chr15	65632865
chr1	63844035
chr16	24135694
chr5	14473263
chr15	65319011
chr2	118474381
chr6	126152556
chr15	67176735
chr5	143032480
chr8	29737672
chr19	12748701
chr6	57490193
chr2	189480271
chr2	148939458
chr15	74890040
chr5	142491369
chr3	154598335
chr16	31065355
chr9	130243348
chr8	140636237
chr16	5010777
chr15	62881241
chr17	31425341
chr11	20311156
chr3	61608872
chr5	170579815
chr9	98263913
chr10	64430831
chr12	15855099
chr1	90501345
chr17	70271435
chr13	34719691
chr1	205026405
chr12	38399925
chr1	204980073
chr4	77177321
chr3	34012172
chr19	595838
chr13	20717151
chr10	71006714
chr13	39363207
chr15	47741256
chr8	9363753
chr20	57323280
chr17	69607361
chr9	18437848
chr16	74495628
chr17	52143751
chr1	93879254
chr20	54224063
chr5	83785395
chr11	118566020
chr3	23106870
chr6	33744616
chr14	71320295
chr7	90679270
chr18	2897253
chr13	46525768
chr6	30680328
chr4	78380559
chr20	46211105
chr14	87148725
chr8	76727891
chr12	94732140
chr14	99872950
chr5	77647561
chr17	11494090
chr10	64365881
chr2	16227165
chr4	15295025
chr4	86544143
chr1	90143791
chr14	94770512
chr20	50725216
chr17	16217138
chr16	606859
chr6	134504140
chr4	57424345
chr1	42740964
chr11	88044892
chr4	146510975
chr20	57097693
chr11	121049124
chr1	183235001
chr5	58239817
chr4	56977720
chr17	16521448
chr14	75712092
chr3	136142677
chr1	150597287
chr10	107264955
chr5	75588907
chr16	19288654
chr1	45797248
chr22	30592185
chr5	125196774
chr17	77747193
chr15	69919981
chr4	94577280
chr19	12611514
chr5	56405276
chr1	93079170
chr4	66928135
chr13	39766880
chr16	2981654
chr2	18546671
chr7	21923781
chr19	19901798
chr7	51648070
chr6	73326806
chr2	181411247
chr6	37460202
chr1	60921333
chr10	100866872
chr11	20342802
chr5	171166959
chr2	196750506
chr4	77169688
chr19	11155920
chr2	197500035
chr17	79869530
chr17	49820999
chr1	44154229
chr5	41409373
chr2	200081428
chr16	87822840
chr8	101889321
chr5	151201092
