Chrom	position
chr19	4791607
chr17	7143063
chr8	67579616
chr1	1310763
chr1	156711001
chr1	1051616
chr1	54304281
chr19	5680653
chr3	14693133
chr19	16607092
chr19	44617473
chr7	92861628
chr12	6772456
chr7	99698288
chr19	50145286
chr12	54121385
chr20	32398966
chr2	197504307
chr16	11038353
chr18	47814314
chr19	42748989
chr2	242577002
chr1	26324676
chr16	53737903
chr1	40723767
chr1	151138454
chr1	45965868
chr7	150755193
chr12	7079947
chr6	42531661
chr2	74682118
chr19	56652398
chr1	27648665
chr16	70473232
chr1	6673675
chr12	56435779
chr16	19535126
chr1	169863166
chr12	6961670
chr20	25677547
chr2	74756955
chr7	141438071
chr16	12009963
chr1	153931206
chr11	64863610
chr8	22462153
chr16	87984646
chr19	19774597
chr16	1470845
chr2	3622789
chr8	110346402
chr2	27304260
chr19	49122574
chr13	41706998
chr1	114355068
chr12	88535997
chr3	53381670
chr2	74153980
chr19	4182572
chr19	51014576
chr19	59031236
chr1	242011233
chr19	46366560
chr16	28857759
chr19	49298820
chr2	63816009
chr1	109642777
chr10	103113673
chr1	10532650
chr1	231114748
chr6	170151708
chr6	131949437
chr1	151162694
chr16	15150064
chr19	44716652
chr5	85913683
chr5	145562298
chr2	170430448
chr11	86013190
chr1	1655843
chr4	13629427
chr6	134274267
chr5	55008189
chr3	50397106
chr17	21117572
chr19	44598462
chr4	2010843
chr14	73494000
chr3	183892473
chr12	4647741
chr20	34824341
chr5	74063003
chr16	740443
chr20	37064046
chr20	35724585
chr6	108616105
chr20	16710625
chr5	40835394
chr19	58816644
chr20	2644860
chr9	102861387
chr12	56511991
chr12	110151363
chr11	16760102
chr19	39390422
chr1	100598605
chr7	128695130
chr19	51611721
chr1	145096377
chr17	38083918
chr16	2021991
chr2	219135152
chr19	44669174
chr12	75905447
chr2	24299279
chr19	50083893
chr12	38710524
chr4	152682184
chr17	73780758
chr6	31926847
chr14	70826479
chr6	17707241
chr17	7358863
chr10	124913659
chr20	33735193
chr19	2819808
chr11	57425170
chr11	3078730
chr9	136283232
chr7	134001811
chr6	693139
chr12	6833215
chr4	47916695
chr19	4724003
chr19	44439489
chr17	27279430
chr20	57226258
chr3	142720376
chr19	49947121
chr17	36981614
chr19	797021
chr16	75657217
chr1	156252766
chr6	30875880
chr20	1373858
chr1	161172073
chr17	16439149
chr15	64679973
chr16	2732454
chr2	217277118
chr6	56954816
chr17	47492413
chr11	9406127
chr13	41345351
chr10	103892703
chr17	42092365
chr16	67840629
chr2	232651120
chr2	242041773
chr8	144363876
chr12	12966262
chr16	2097905
chr18	33077942
chr6	41703430
chr19	14192260
chr19	52097786
chr1	22110179
chr12	133405509
chr12	109490346
chr11	113644524
chr17	7338596
chr12	57881785
chr5	173043759
chr12	107167980
chr20	37075290
chr12	133562933
chr17	33914291
chr3	156892897
chr13	25497091
chr22	20861841
chr19	37064235
chr22	24951857
chr17	41438600
chr15	40453165
chr17	29233307
chr20	33265025
chr12	34175356
chr7	32530033
chr19	46234231
chr12	49246015
chr1	210001265
chr8	17780180
chr2	242448121
chr22	22337230
chr2	73964602
chr15	34635380
chr16	57496546
chr17	26662558
chr16	67260986
chr9	136203079
chr17	55927491
chr3	15140695
chr8	11141934
chr7	1544058
chr17	30771450
chr13	103451439
chr1	163291610
chr7	128864627
chr3	119217285
chr5	40756093
chr17	17495069
chr16	577551
chr9	111882342
chr14	21979576
chr16	28833959
chr19	44507038
chr17	45144907
chr1	153963206
chr19	4457901
chr11	67195877
chr11	36311015
chr19	17530757
chr7	92158034
chr2	99797608
chr4	493007
chr9	104161022
chr2	237994463
chr2	88991089
chr14	24658149
chr19	47552105
chr15	41694716
chr20	49546049
chr12	133532926
chr16	279483
chr19	45988734
chr19	44711598
chr1	40997232
chr6	106773625
chr19	48907060
chr9	130700166
chr3	113775441
chr15	35261994
chr20	30945997
chr18	77439481
chr16	69419944
chr10	111985626
chr19	55629148
chr17	49230872
chr19	36239280
chr10	122610817
chr11	10772744
chr12	12764739
chr18	55297503
chr3	50329949
chr6	36853702
chr3	141030633
chr1	93811405
chr15	74753547
chr2	128848706
chr20	2451460
chr3	4534974
chr11	65625746
chr2	228189929
chr17	43138607
chr19	54024151
chr2	97304149
chr11	30344607
chr1	202317770
chr4	25314383
chr2	118572203
chr3	131221837
chr9	97021535
chr9	123342500
chr2	96931864
chr16	30933955
chr1	156024539
chr2	65357354
chr10	27531074
chr19	18682550
chr1	169764111
chr19	50879628
chr5	34915738
chr20	1099180
chr22	18560672
chr19	19887324
chr2	95831451
chr19	1241689
chr15	41099760
chr4	106629884
chr6	163148879
chr13	29233231
chr9	35103176
chr6	28048706
chr17	76250694
chr1	205180882
chr11	28131811
chr19	7600560
chr2	191885105
chr1	36615217
chr7	99156204
chr19	36208468
chr19	56146331
chr22	39077925
chr11	65769711
chr6	28367580
chr12	124118256
chr16	70380764
chr10	7860364
chr12	861565
chr16	69373541
chr12	51477450
chr13	52768604
chr19	44488290
chr2	224822148
chr20	30865404
chr12	122985593
chr6	100016580
chr3	98241914
chr1	107599270
chr21	30365216
chr16	84220715
chr19	37569282
chr11	58347188
chr20	33680701
chr15	64388186
chr16	30908513
chr7	76751733
chr17	41561232
chr12	133758028
chr20	18477891
chr17	26684636
chr16	2205703
chr1	27070777
chr5	178157763
chr14	69658203
chr19	9251032
chr10	75545173
chr6	8064789
chr22	46731584
chr3	52029952
chr10	103816023
chr15	75315856
chr9	132586471
chr12	64798080
chr9	130213737
chr10	69609235
chr19	58280966
chr3	196295490
chr13	41768738
chr11	47600561
chr16	14726700
chr1	28975179
chr6	142468339
chr16	67867860
chr14	23299055
chr19	37861929
chr17	5372403
chr5	37379329
chr1	2457700
chr9	91933368
chr19	52074382
chr1	145382840
chr16	68482645
chr6	34855833
chr1	203830691
chr16	2653350
chr17	57287337
chr16	58664444
chr19	49403309
chr8	102149508
chr19	17326151
chr1	36554431
chr1	6761896
chr2	234160178
chr1	36929976
chr10	104262654
chr7	766292
chr5	133968542
chr17	73851623
chr1	151584422
chr2	21022865
chr5	168006710
chr2	170681444
chr16	791040
chr8	95732045
chr4	152020699
chr3	127842836
chr2	74699829
chr5	147763462
chr11	65266508
chr5	178286925
chr3	40351095
chr11	64037572
chr15	64386207
chr2	27593365
chr17	33905654
chr1	173684045
chr4	2420599
chr1	109618648
chr19	48949058
chr16	30103298
chr3	47324145
chr9	138853317
chr22	41682387
chr22	30988174
chr1	38455757
chr19	58666554
chr7	105172603
chr9	37800747
chr19	54606107
chr20	40322178
chr17	7591618
chr6	170863417
chr7	5862752
chr1	227923043
chr19	13261178
chr3	5163923
chr11	75110525
chr4	4543808
chr21	46359885
chr1	36689948
chr10	38383220
chr5	110427991
chr1	67896179
chr3	149470316
chr12	121454330
chr6	11093973
chr7	150924430
chr2	241075736
chr7	89976002
chr17	4634632
chr17	28804384
chr10	102295617
chr2	178977128
chr19	44809229
chr6	157744590
chr10	94351462
chr20	62694419
chr19	50529262
chr7	5821375
chr7	48019165
chr1	63988965
chr12	109232324
chr1	1342702
chr19	2740203
chr18	71815722
chr19	13885206
chr3	179322497
chr7	129691229
chr8	124253649
chr16	3074341
chr1	3713113
chr1	63249490
chr17	17991200
chr9	134955308
chr17	45908901
chr19	48248711
chr8	67341179
chr9	19103019
chr19	38397800
chr17	61678219
chr3	50388543
chr1	28655529
chr6	170862390
chr12	112856664
chr18	32821023
chr12	124086611
chr12	104351013
chr2	32236154
chr12	6798796
chr10	116697938
chr19	37958403
chr14	81408166
chr14	104387935
chr1	155113034
chr11	68671345
chr19	40502936
chr1	203764712
chr7	132937695
chr12	56546294
chr1	16767173
chr1	110577158
chr16	85833248
chr10	43278200
chr9	7799827
chr12	30848883
chr22	38082343
chr3	64009190
chr19	49148225
chr20	30556382
chr1	149871102
chr20	30697281
chr20	48732526
chr1	52499460
chr6	41755362
chr19	42463582
chr6	26156631
chr20	10415854
chr17	73937227
chr7	38948815
chr17	18684548
chr10	74870201
chr8	37707454
chr19	44556089
chr19	46431122
chr7	75677344
chr17	8076826
chr9	2844228
chr16	31085691
chr16	70285862
chr19	58111215
chr15	42783400
chr5	134094424
chr17_gl000205_random	85458
chr19	2273840
chr11	62420857
chr10	124134083
chr12	133656842
chr9	128024030
chr18	9913624
chr1	205091415
chr22	31556110
chr18	11851365
chr12	58176521
chr4	77069630
chr20	47805096
chr9	37592609
chr10	95462404
chr16	67906954
chr19	37960212
chr3	158362290
chr14	65569303
chr11	125773129
chr9	134000986
chr1	244816105
chr14	21945315
chr8	143751424
chr5	159436094
chr22	30831841
chr10	96122741
chr16	81779993
chr11	46134712
chr13	33113010
chr3	128444873
chr2	197664460
chr2	220110181
chr4	1858043
chr20	18774674
chr6	157801131
chr12	53845746
chr1	179851869
chr15	41836450
chr12	106751516
chr18	60382299
chr16	28962006
chr8	145159831
chr1	218458626
chr19	58144477
chr2	148778457
chr2	122288510
chr19	13275445
chr4	185458764
chr1	38156291
chr17	7094989
chr9	15422773
chr2	219081832
chr17	45000470
chr11	134123363
chr19	55690554
chr11	60674088
chr2	32390834
chr17	42976830
chr7	140714818
chr3	142297680
chr1	244615572
chr4	71554164
chr11	43665753
chr9	116037849
chr14	70883815
chr11	43902307
chr2	241525769
chr9	95527307
chr1	3566710
chr1	205744641
chr8	67525805
chr10	85899264
chr19	44576237
chr1	35325461
chr20	20693602
chr19	45004632
chr19	50651584
chr6	30650486
chr12	49110554
chr15	49447917
chr22	27068824
chr17	56736564
chr9	140473399
chr3	44803218
chr17	3539955
chr1	93544727
chr7	102105344
chr22	29168638
chr17	44271545
chr20	62612426
chr12	53715388
chr7	42971896
chr5	140998664
chr8	124054149
chr18	46065324
chr19	17970510
chr15	90437289
chr3	185216793
chr19	57751963
chr1	148604963
chr8	146052927
chr19	52490180
chr1	155990760
chr16	23607670
chr12	112847446
chr9	132565418
chr6	58287780
chr5	102455899
chr19	58011190
chr11	118889112
chr19	57999028
chr19	54480910
chr15	43398312
chr19	19626999
chr19	19431570
chr17	16120480
chr6	151773474
chr6	117996532
chr5	6378645
chr19	36422625
chr9	88969360
chr15	100106120
chr7	90032705
chr19	48866469
chr16	30621771
chr1	150459758
chr6	88182518
chr12	109915224
chr5	167913425
chr7	112758655
chr22	20748352
chr10	13628913
chr12	110486443
chr19	49013970
chr14	77564436
chr8	101734962
chr2	178128333
chr12	32832127
chr22	29986103
chr19	48922709
chr7	102004205
chr7	99063838
chr19	10230631
chr5	169758297
chr13	45492123
chr10	75490283
chr15	34394172
chr17	75084756
chr10	126490339
chr8	144373521
chr12	93861270
chr19	42772916
chr20	44420555
chr4	2538174
chr7	148823448
chr12	120740110
chr12	50135360
chr5	157286187
chr15	73989561
chr9	19380235
chr19	3761723
chr6	43215061
chr3	45430069
chr7	91510063
chr22	39925342
chr17	47022229
chr3	194393258
chr21	15755567
chr12	56498271
chr19	13947856
chr1	212965189
chr2	169747025
chr1	185126283
chr7	149321873
chr16	30661979
chr12	105501458
chr19	2457059
chr16	30007509
chr11	72145675
chr16	23160886
chr14	97263586
chr18	9475356
chr1	27481668
chr22	19420013
chr1	224544500
chr9	123555729
chr2	113342008
chr7	44084229
chr7	43769154
chr1	1590503
chr19	37157748
chr19	37178398
chr1	174992576
chr19	37825509
chr19	6361555
chr4	190861921
chr19	59010923
chr16	67880738
chr9	95432590
chr22	29949776
chr19	19302998
chr17	65362716
chr9	131419073
chr19	12780342
chr1	145399293
chr6	2765598
chr13	26828003
chr11	74109870
chr1	54519185
chr13	113863036
chr10	103912063
chr19	35264171
chr20	32951030
chr20	32700169
chr11	107436451
chr19	47354326
chr3	47554938
chr8	95565835
chr14	68286446
chr9	132404480
chr20	3140545
chr19	49310062
chr7	120590683
chr3	97483388
chr19	49479628
chr7	138818475
chr19	52408325
chr7	99679416
chr14	104544509
chr1	53704225
chr1	29063261
chr16	83841572
chr17	17942578
chr17	6544360
chr14	90722898
chr10	99894392
chr13	48669332
chr11	76155916
chr17	40925447
chr16	72127623
chr1	11322859
chr8	22102616
chr7	123389174
chr2	39351566
chr20	31989374
chr1	155278590
chr7	45151346
chr7	75157520
chr6	88412090
chr5	131526057
chr2	198364725
chr3	4344994
chr16	4817276
chr1	39456880
chr1	156052326
chr1	179846982
chr2	99225006
chr2	216974106
chr10	104192408
chr5	36152131
chr14	77279293
chr22	46692689
chr4	78783874
chr5	81147842
chr17	80023738
chr1	22778431
chr16	30934682
chr11	57298327
chr1	204485511
chr9	140317676
chr15	51200853
chr1	44412359
chr11	77899772
chr11	31391367
chr1	28908452
chr16	2918227
chr1	28969626
chr2	10830115
chr13	53191601
chr19	1905770
chr19	37663747
chr1	10003469
chr12	120524937
chr7	36406928
chr12	54582880
chr22	19132311
chr6	110501337
chr10	43048374
chr19	58090366
chr5	172386387
chr20	60758029
chr21	35288179
chr7	102389355
chr1	44679088
chr10	97850022
chr7	23610419
chr6	43597137
chr9	103115235
chr14	71067392
chr22	26908479
chr1	183441176
chr19	44455335
chr6	111279842
chr11	67374293
chr17	72199771
chr19	39926617
chr4	169931534
chr7	127983971
chr7	150689990
chr10	38265635
chr1	206785809
chr1	70671387
chr6	31515290
chr19	49017258
chr1	155232229
chr1	155214614
chr2	178417759
chr11	450259
chr11	8710553
chr16	67700691
chr2	38978585
chr1	156474856
chr5	180670950
chr2	54950589
chr17	1933428
chr12	49412594
chr6	30312914
chr8	124169514
chr4	8442474
chr11	64456090
chr18	43753969
chr8	56685964
chr1	53480593
chr8	144699805
chr3	48481651
chr1	243419277
chr19	489064
chr11	59578281
chr3	155572316
chr17	73285656
chr20	626325
chr7	75115639
chr13	103452679
chr17	66016048
chr12	133613826
chr19	1095539
chr1	109633336
chr19	57946587
chr11	126138820
chr9	94877690
chr1	38158046
chr1	17222688
chr11	60681355
chr16	69599800
chr1	156308605
chr19	11546374
chr14	74769774
chr3	88199032
chr13	31736538
chr3	44666513
chr19	58258121
chr15	38746316
chr2	178483705
chr4	6911214
chr1	154531412
chr9	115819037
chr3	15106850
chr19	50836871
chr12	50056966
chr3	183853139
chr1	145610939
chr17	48450519
chr9	127952238
chr3	47029420
chr17	30669231
chr16	21610832
chr8	144718151
chr7	66386128
chr20	43595092
chr1	33283000
chr8	144898017
