Chrom	position
chr1	225999557
chr10	61765797
chr10	17662901
chr16	89004302
chr17	42320137
chr1	160540322
chr17	49739943
chr21	46320614
chr9	129863238
chr12	54304526
chr19	51546889
chr3	108125778
chr21	34908595
chr19	47244241
chr10	43418161
chr9	76456435
chr7	16269137
chr14	73753635
chr8	123922294
chr16	57690136
chr6	42017303
chr21	35026902
chr17	78666032
chr6	135323373
chr21	38985815
chr14	73741672
chr16	23901457
chr12	108700283
chr2	54589750
chr1	224503685
chr11	59707051
chr1	200154321
chr1	160046658
chr10	92756446
chr5	160261136
chr7	20219957
chr22	17980780
chr5	141605824
chr1	207873699
chr3	44439988
chr3	46433327
chr19	8418297
chr1	30769100
chr14	23112900
chr20	5488982
chr10	71797933
chr1	28885100
chr7	138257751
chr5	154654088
chr11	63582697
chr1	164712426
chr12	98440229
chr19	13102858
chr12	26846234
chr13	28408704
chr1	181153151
chr6	20575377
chr7	73886254
chr8	26391218
chr22	24729110
chr15	74389705
chr12	32031257
chr10	6920540
chr5	56123918
chr3	197444437
chr9	97938327
chr10	16996409
chr3	5108497
chr16	88977113
chr15	101451594
chr19	5799410
chr2	30290899
chr10	94299599
chr9	129069537
chr21	38476578
chr16	16120982
chr10	17426003
chr17	17304646
chr5	37553367
chr6	36954397
chr7	44995327
chr7	129958822
chr21	44854975
chr3	128483314
chr12	9764961
chr16	88800111
chr8	140619102
chr7	50497185
chr3	155335018
chr16	70695890
chr7	150994746
chr10	17578825
chr3	138875936
chr14	69702073
chr20	47360776
chr7	56107377
chr15	85582890
chr16	29009458
chr18	79507203
chr15	39140144
chr4	10181330
chr16	113622
chr4	40311932
chr6	83974796
chr16	75043290
chr1	153344007
chr12	32005694
chr10	73245149
chr17	67784499
chr8	127960488
chr11	119087910
chr12	117042463
chr1	47181356
chr1	247548321
chr11	57424885
chr3	167941884
chr6	15299777
chr4	123349591
chr9	133004295
chr6	49646495
chr12	132471323
chr1	16054290
chr11	61834707
chr4	141913029
chr16	27367536
chr2	219514442
chr8	105520646
chr12	50050900
chr9	123304824
chr22	44676878
chr1	21905151
chr15	91478784
chr20	32681492
chr11	62042176
chr16	27431274
chr1	161014001
chr15	64430422
chr2	69799150
chr8	102899520
chr1	108079846
chr4	6278941
chr10	73956699
chr10	92690879
chr11	12201356
chr17	63420719
chr10	45470788
chr11	126420542
chr2	72543781
chr2	181764276
chr3	53350840
chr3	134496603
chr5	76850122
chr9	131331474
chr1	19477064
chr9	112181364
chr20	33690265
chr5	139670069
chr1	234876515
chr6	34273476
chr17	37609412
chr10	120145304
chr8	8777889
chr8	10777454
chr14	31059777
chr3	16936445
chr11	8206537
chr9	122446967
chr4	184684966
chr14	68719920
chr9	133869811
chr6	57089903
chr8	27363882
chr2	122135683
chr12	101855572
chr8	22060004
chr20	32285886
chr17	48488912
chr10	12266025
chr1	59967533
chr14	89165606
chr7	116877037
chr18	25239937
chr14	65044752
chr1	101128600
chr1	92544901
chr22	40814152
chr6	146771190
chr19	34962619
chr17	55451484
chr12	591732
chr15	74954680
chr22	43263981
chr20	31676019
chr8	9075222
chr1	41882236
chr7	98133328
chr22	46604606
chr6	160101650
chr12	11799007
chr15	28911442
chr12	119665782
chr21	36430181
chr19	38317276
chr3	182937839
chr1	28884065
chr10	64867792
chr9	32554298
chr6	37302255
chr6	87757062
chr6	30516576
chr1	9411028
chr6	110389899
chr9	91164923
chr21	24272663
chr6	40715940
chr12	121650075
chr7	5458089
chr17	15490861
chr19	51547913
chr8	21858551
chr14	70237926
chr17	73011312
chr16	10362540
chr19	13069795
chr12	47207349
chr16	49698590
chr3	19811887
chr11	34438659
chr6	29964991
chr10	6473586
chr17	11908923
chr3	98583944
chr6	33905364
chr1	182300201
chr8	59056834
chr9	33240086
chr22	40329324
chr19	21603031
chr19	18544217
chr5	170278748
chr19	17305577
chr10	72320866
chr3	4533926
chr5	159394195
chr3	5429082
chr4	168421904
chr12	118330516
chr9	37197281
chr2	55140704
chr6	37314983
chr5	131996918
chr11	70470348
chr1	61049080
chr19	2950127
chr11	95734244
chr12	56988451
chr9	70485506
chr17	77571705
chr2	32768537
chr17	65173674
chr20	31610842
chr10	95532211
chr15	89815205
chr13	59461622
chr8	49110535
chr11	38539035
chr14	20477786
chr1	162372943
chr5	133932857
chr1	191824006
chr11	102342228
chr8	92095507
chr19	48322194
chr9	35109396
chr6	135195650
chr9	130537733
chr13	99053763
chr1	114380203
chr9	95462855
chr17	35560925
chr10	117411645
chr7	132489983
chr3	196512206
chr3	195178206
chr19	18318389
chr3	101530537
chr17	27986984
chr18	48781491
chr15	90901932
chr21	45257133
chr1	65231277
chr7	44081379
chr15	74546261
chr5	131640389
chr18	79601382
chr18	77114987
chr12	32054328
chr3	184473211
chr2	172395758
chr2	71883164
chr11	76700669
chr12	7677635
chr19	15844681
chr19	16086585
chr3	142046536
chr3	100289557
chr3	72289145
chr15	63834429
chr3	49806475
chr12	112351349
chr8	102591080
chr16	22216491
chr20	50691407
chr4	78610678
chr12	89393842
chr6	109304635
chr9	122332333
chr2	218287963
chr4	5003657
chr2	112055348
chr2	74036660
chr16	31535908
chr7	125661863
chr2	205780855
chr4	153138439
chr11	59960639
chr9	125285056
chr2	42360079
chr3	143085222
chr7	157401989
chr8	141308332
chr4	13982218
chr2	157930111
chr12	31896841
chr16	70428372
chr18	25223400
chr19	48878872
chr6	155080240
chr3	14232932
chr8	133505502
chr3	196182008
chr11	120339726
chr19	16258598
chr12	92403899
chr6	133701779
chr5	180093798
chr1	26070598
chr1	51284646
chr11	47056473
chr4	40205481
chr17	64923129
chr2	67993532
chr9	120897362
chr12	7242314
chr2	24011499
chr5	76658142
chr20	57452104
chr16	88491848
chr2	16439098
chr4	87054595
chr6	37460397
chr19	47730190
chr7	37354778
chr11	74011747
chr4	169665597
chr2	108595134
chr3	142022593
chr20	56362973
chr1	166705619
chr20	3910220
chr15	81099281
chr10	30437252
chr1	154629391
chr1	154497156
chr5	86527048
chr16	55435560
chr1	225928638
chr1	40841072
chr9	129790447
chr1	27074428
chr1	11842425
chr13	95285962
chr11	5280707
chr2	219217988
chr1	225428342
chr7	67019938
