Chrom	position
chr10	115751020
chr12	106390043
chr2	12443651
chr11	69064994
chr16	31188638
chr7	2439767
chr3	189248770
chr6	43892168
chr10	123052848
chr1	225888081
chr6	134339209
chr9	16030720
chr9	2570711
chr7	100113981
chr11	85535056
chr3	151023101
chr9	124320315
chr8	70556355
chr11	121287991
chr2	236179766
chr3	189042640
chr7	111559818
chr9	98955860
chr7	111573956
chr19	47803420
chr10	77886558
chr6	157864632
chr1	86073063
chr17	71068929
chr6	139450589
chr1	227950535
chr15	42227886
chr8	129189205
chr15	66777067
chr1	154417782
chr22	38590728
chr3	12269568
chr2	45347849
chr3	31490557
chr5	67630079
chr17	42174722
chr2	28582318
chr2	202852310
chr3	150516168
chr9	98585172
chr12	12325197
chr17	49012872
chr1	228329638
chr8	103817296
chr2	42311415
chr4	157712208
chr9	94668426
chr2	85128917
chr3	17947691
chr6	154490828
chr11	68843709
chr11	13162552
chr8	49433922
chr1	3432934
chr14	75040847
chr1	103622717
chr3	67576868
chr6	137355222
chr10	122601473
chr12	59271213
chr3	189807706
chr5	83140400
chr6	43917039
chr7	67018503
chr21	45087576
chr17	56479550
chr6	107268436
chr6	106136663
chr14	54718889
chr11	36477470
chr6	154824362
chr1	202233630
chr4	144538133
chr4	84129032
chr6	166796951
chr3	45147475
chr14	59214145
chr16	2740343
chr11	9860594
chr19	34709370
chr7	19444815
chr11	44883918
chr2	53860063
chr12	28737102
chr3	143906821
chr21	36421534
chr15	89929211
chr19	7480631
chr17	29596848
chr10	33625028
chr9	113207405
chr1	145726731
chr21	43887511
chr4	153231530
chr14	68607191
chr5	159769972
chr17	68191372
chr1	25242491
chr13	107116611
chr17	43407268
chr2	54798255
chr1	62777435
chr11	34324238
chr17	6449860
chr5	81916977
chr13	45666883
chr6	42385648
chr1	24593105
chr5	171577690
chr3	119017223
chr5	141595707
chr8	109083624
chr3	58369845
chr3	11585972
chr22	29225530
chr5	134546149
chr10	76131665
chr6	117937342
chr6	30418770
chr10	121073397
chr7	96296614
chr6	165111433
