Chrom	position
chr19	17420285
chr14	21905489
chr14	77420148
chr1	205719467
chr15	49103336
chr5	145583106
chr21	43346817
chr22	36635632
chr18	74921027
chr5	172484241
chr8	145060633
chr19	49977465
chr6	32806567
chr1	199901330
chr1	89594677
chr14	93570191
chr7	25165019
chr17	41158792
chr19	10196958
chr12	113376173
chr1	161014797
chr14	64010165
chr5	139781348
chr6	34625344
chr7	139762781
chr13	44848689
chr2	9771222
chr14	24605404
chr8	29357030
chr1	155607405
chr2	45795175
chr6	32821620
chr14	21924363
chr1	168317759
chr17	46662970
chr10	30872771
chr20	388949
chr13	31147079
chr22	36044415
chr1	182558035
chr9	127905931
chr3	122283190
chr5	96143661
chr1	27998814
chr20	5059302
chr3	179280663
chr3	88081108
chr1	248070137
chr20	3913551
chr11	57333803
chr1	36103131
chr22	36649117
chr20	61436197
chr4	169239954
chr6	3259164
chr5	176727464
chr2	220252349
chr8	103299724
chr9	116344278
chr2	96874629
chr5	172124607
chr9	102972468
chr14	65565542
chr5	96212183
chr15	68591597
chr8	144107945
chr21	42792504
chr1	59486006
chr15	56760908
chr8	123931414
chr1	179098975
chr15	69113277
chr6	121656091
chr10	91092225
chr17	36908947
chr22	36556863
chr9	96929076
chr19	13049316
chr7	134832782
chr1	172715645
chr16	67970778
chr1	33428043
chr3	121151192
chr11	61783253
chr5	18746343
chr4	10585790
chr8	42213253
chr12	68630545
chr14	77428486
chr2	85116136
chr5	143571747
chr22	50978154
chr6	30845615
chr16	11406675
chr10	90734889
chr20	40247104
chr17	62092462
chr12	97113995
chr6	33281857
chr1	110577074
chr7	92347458
chr9	80747772
chr7	151047276
chr12	10517714
chr16	89831488
chr14	91580987
chr17	80377564
chr10	91152269
chr1	156308136
chr6	133134303
chr2	120990047
chr8	124049991
chr17	77826789
chr20	44740093
chr5	107339008
chr3	141405764
chr22	19247323
chr14	103727019
chr1	118277848
chr7	72936673
chr5	1537171
chr19	42553386
chr3	128523244
chr8	90996324
chr17	1992972
chr3	113415681
chr15	70820759
chr4	186990302
chr21	37451445
chr11	102183631
chr10	44118987
chr14	70883764
chr3	36949632
chr16	30661889
chr22	18632845
chr7	140356528
chr1	65534361
chr10	104005112
chr1	154580670
chr11	63342174
chr3	148963682
chr6	36354356
chr3	187086172
chr4	159870438
chr15	43213088
chr15	65188085
chr12	15687414
chr6	26365331
chr1	57240083
chr6	32811833
chr1	24969186
chr7	43874273
chr7	12297449
chr2	20776594
chr12	8862272
chr16	53986536
chr16	18957447
chr8	10488054
chr16	50732049
chr1	23445912
chr1	89488547
chr17	61517223
chr11	32017508
chr5	138720969
chr12	24948841
chr1	193387747
chr1	89535815
chr1	173092366
chr3	183259697
chr9	15296364
chr7	100728761
chr4	17387252
chr2	149310737
chr5	179263911
chr17	56024386
chr8	16461674
chr15	80364804
chr21	37632958
chr7	17182280
chr3	122399661
chr20	47894647
chr15	45004882
chr4	169401669
chr4	147096862
chr14	58711963
chr4	181748648
chr4	89300570
chr4	185189299
chr12	64853598
chr2	201248675
chr6	25139178
chr1	207378606
chr1	42995518
chr9	5450354
chr11	320878
chr5	131746598
chr2	163175232
chr14	73925476
chr7	41744797
chr2	166759616
chr6	26402407
chr6	26440632
chr9	32526336
chr1	46528467
chr5	150233348
chr11	114217513
chr13	28194785
chr21	11186620
chr2	64994319
chr11	63304278
chr6	32986900
chr10	105419900
chr4	15655237
chr6	32822357
chr17	78237372
chr10	28467470
chr5	176541754
chr2	9971111
chr17	49107376
chr16	50775944
chr5	10596084
chr11	58910355
chr14	91489041
chr9	96263733
chr10	91061709
chr1	27560960
chr11	35684288
chr16	4010956
chr11	39392934
chr14	68677716
chr10	79389754
chr19	35158547
chr11	5646141
chr12	14369525
chr10	75677058
chr7	74064529
chr3	185050366
chr6	236096
chr21	17104841
chr4	8539119
chr1	2487978
chr10	120591881
chr6	108879796
chr13	28029651
chr17	6331059
chr10	88960905
chr10	3853776
chr11	128701217
chr1	228329043
chr7	92747398
chr10	6019575
chr14	99947478
chr17	46918902
chr16	28223522
chr10	112263957
chr14	35763634
chr7	30519148
chr11	4414906
chr5	73872850
chr9	92003314
chr8	142255475
chr15	45353614
chr2	68965016
chr8	17845553
chr2	40716729
chr1	11791894
chr1	222817671
chr9	110008721
chr8	131054777
chr22	36552994
chr17	45177706
chr18	2641801
chr3	141013375
chr3	142166853
chr15	62352123
chr16	4069483
chr2	12728364
chr3	62431176
chr1	214776485
chr13	49721175
chr13	41634616
chr4	154390358
chr3	197575177
chr15	59274212
chr17	45728044
chr12	121498050
chr5	90676183
chr1	243518008
chr18	52613711
chr6	157354655
chr1	212769866
chr5	77102461
chr2	26522617
chr17	43304625
chr17	6659340
chr12	56727844
chr1	234536721
chr13	33000414
chr1	200321309
chr14	24615823
chr9	136931052
chr10	90844330
chr12	4252221
chr16	2653348
chr9	36471109
chr5	35479419
chr9	131798820
chr1	66277932
chr1	66767043
chr4	185370209
chr16	4321660
chr6	110555379
chr2	6973413
chr12	6561261
chr11	10879680
chr19	3553072
chr2	231084756
chr19	3572751
chr2	97151837
chr16	85089094
chr11	43890710
chr16	57023463
chr18	60173645
chr8	90742326
chr8	129389446
chr11	64648343
chr17	44302819
chr1	113217478
chr17	33868273
chr11	84425578
chr1	948771
chr8	119933353
chr10	3871238
chr4	142557720
chr10	91087637
chr5	64778750
chr11	107940916
chr21	26829825
chr17	41438299
chr2	46495493
chr7	30485595
chr17	48929699
chr2	150401427
chr7	21392672
chr1	114285366
chr20	48983327
chr5	158302404
chr21	36901648
chr4	123719492
chr20	52271664
chr7	90092861
chr12	127568049
chr10	44090833
chr1	151432009
chr12	124965141
chr4	693341
chr2	191878926
chr8	57124326
chr18	53144943
chr12	34279285
chr6	144537387
chr5	43038186
chr18	43830584
chr15	45929905
chr17	77707051
chr7	4765069
chr1	113211492
chr17	78044913
chr1	20481270
chr5	37198009
chr10	115439630
chr10	93971185
chr2	61663519
chr1	234793270
chr2	152118321
chr14	91527054
chr6	12271263
chr1	212808718
chr17	38214829
chr6	117016784
chr4	174255684
chr3	95425096
chr1	230305675
chr3	3214522
chr3	71633707
chr14	65548265
chr7	26704851
chr11	125462625
chr7	33079370
chr6	130069690
chr4	185338513
chr4	159530268
chr1	169085722
chr11	20382401
chr20	3961252
chr13	71865208
chr4	119889342
chr6	30875840
chr2	177338000
chr13	27673045
chr7	141438075
chr2	7017775
chr10	33776111
chr12	109491807
chr19	50220879
chr6	33546503
chr2	233228821
chr11	3122170
chr8	103674839
chr12	95015724
chr8	81344885
chr4	103748176
chr3	148943116
chr20	25291537
chr11	46582431
chr5	130172508
chr1	100531080
chr22	34249945
chr15	78357869
chr3	48514522
chr18	72873838
chr2	194212594
chr1	11120208
chr7	106408668
chr22	36634322
chr22	18189409
chr7	26196108
chr9	33025795
chr17	76778665
chr2	191885177
chr14	103895264
chr17	26135206
chr17	40264758
chr4	169402287
chr5	81075012
chr1	212016672
chr16	56643649
chr3	49851391
chr19	16112998
chr12	31806252
chr5	176086076
chr1	16242638
chr9	77635485
chr15	70433637
chr19	18197818
chr18	65085562
chr4	38890959
chr2	113525792
chr7	150382779
chr6	106440411
chr4	78656277
chr1	8586129
chr19	47217894
chr3	114866600
chr16	21656967
chr6	21165373
chr19	18155967
chr2	102872885
chr2	23603656
chr6	31172087
chr12	91956376
chr7	148261876
chr6	18054054
chr15	72754423
chr4	47487584
chr7	121777093
chr14	95610318
chr12	56754262
chr6	122644313
chr18	56106112
chr1	115641781
chr7	151039555
chr13	41558970
chr16	25122905
chr3	171209424
chr20	5100931
chr1	38312505
chr1	31960242
chr21	40139281
chr1	235500413
chr19	55987920
chr1	89531003
chr6	10412548
chr15	89182183
chr6	6688659
chr5	50040692
chr1	27045589
chr16	81531590
chr13	43942251
chr14	50531882
chr11	93862393
chr11	32113102
chr15	86250814
chr16	46422590
chr7	76822513
chr5	95146172
chr8	86425941
chr1	32541509
chr14	67981650
chr22	46454192
chr9	102860786
chr8	52717612
chr19	12899828
chr9	102829011
chr10	6516084
chr4	82668489
chr14	67955454
chr9	93970515
chr2	62932801
chr7	27940812
chr20	23603828
chr20	35575498
chr17	46993332
chr6	160137389
chr13	50804631
chr1	25054126
chr3	36953939
chr9	115141691
chr15	75491212
chr14	86400996
chr22	31005474
chr1	15483054
chr1	56796305
chr2	231276608
chr20	35224291
chr20	30262913
chr17	45959814
chr9	79018471
chr15	68406884
chr6	108880996
chr10	77532193
chr1	175161051
chr15	58921071
chr1	66801716
chr10	91620664
chr7	113688528
chr15	45003604
chr15	55548089
chr7	131231004
chr15	51649380
chr6	14075618
chr6	27088856
chr6	28911492
chr6	36595853
chr17	63037276
chr19	44599525
chr1	75052151
chr6	26027580
chr3	159629212
chr2	157198382
chr10	92958738
chr10	52396972
chr7	150266821
chr6	111783273
chr11	125387310
chr3	182920316
chr10	114135936
chr16	19130521
chr8	37948013
chr7	72980478
chr22	40672769
chr22	20863811
chr1	212112222
chr12	97300617
chr2	85812982
chr16	15684864
chr17	68340653
chr1	246117353
chr15	51455533
chr14	55348826
chr3	111386862
chr2	237837614
chr5	133303544
chr13	29233944
chr2	223654285
chr14	102258748
chr17	46590715
chr22	29811197
chr2	39356213
chr10	42379912
chr1	85744816
chr17	38710697
chr4	130264107
chr15	60420176
chr13	100008817
chr17	77720100
chr14	69044792
chr11	796326
chr3	43330061
chr6	119788817
chr13	28057343
chr11	34265873
chr10	135187557
chr9	21096486
chr7	131207561
chr8	101539473
chr7	94960195
chr1	6419930
chr1	67447504
chr18	61035024
chr21	25260171
chr2	19562273
chr12	26427723
chr10	33901642
chr12	26452169
chr2	39346503
chr15	50540135
chr3	40242440
chr1	1655850
chr2	217277138
chr5	67665506
chr4	87927717
chr6	106960389
chr7	138796773
chr6	157801162
chr9	79266472
chr20	48393044
chr16	23568891
chr6	170768740
chr6	17910632
chr10	98433712
chr15	45021006
chr12	12875666
chr17	49209571
chr21	36306487
chr9	135226607
chr5	5523490
chr6	711501
chr13	41013303
chr5	172204711
chr2	97439755
chr2	165300837
chr9	6069056
chr4	49151791
chr16	50229363
chr4	49653484
chr5	154094350
chr15	84416057
chr1	35628053
chr8	90794634
chr1	85158806
chr3	9494268
chr8	106743488
chr12	50748210
chr12	121889931
chr11	69066111
chr15	90640889
chr11	13229851
chr12	113344738
chr6	134274277
chr3	119420385
chr11	62555031
chr8	144629570
chr2	153550909
chr12	57506031
chr9	131448508
chr12	10022485
chr1	79115462
chr4	49659617
chr20	49100403
chr4	109968212
chr11	122820195
chr11	2966715
chr6	135466871
chr2	7005935
chr18	9185085
chr8	75912186
chr14	102291502
chr14	102343031
chr10	88773522
chr1	208260078
chr1	1051521
chr14	101315963
chr10	92980522
chr2	156403885
chr17	78806844
chr5	43009584
chr4	54871847
chr17	54368049
chr1	16546781
chr2	114549706
chr13	33105081
chr3	63898065
chr17	80293138
chr3	172304356
chr7	154720175
chr10	120891327
chr16	22696356
chr16	50700861
chr4	40579242
chr16	74618387
chr17	40264222
chr4	39638581
chr5	171788689
chr4	60684558
chr19	39390565
chr18	8623697
chr9	108622253
chr11	1804427
chr9	134282249
chr5	139503039
chr1	95267492
chrUn_gl000228	118376
chr13	28278963
chr5	142388803
chr4	78783915
chr3	72532312
chr9	110310837
chr1	51769586
chr13	49832320
chr12	4136754
chr11	65695719
chr2	152146433
chr16	28199112
chr12	58359849
chr12	6772500
chr2	231280857
chr19	47106584
chr7	150104198
chr8	67447469
chr10	5753030
chr3	142164950
chr3	146262426
chr6	28323810
chr4	153477709
chr14	62356854
chr11	32850901
chr15	85873251
chr4	187112713
chr12	42492067
chr13	111522806
chr6	29856129
chr20	52532641
chr22	30443482
chr11	109855817
chr15	60700817
chr1	161932390
chr11	69064957
chr13	99718689
chr7	23386102
chr7	148660390
chrUn_gl000220	129323
chr4	185276560
chr2	41942950
chr9	130614188
chr3	142297693
chr8	117396802
chr21	45285776
chr19	41840892
chr10	6092867
chr4	146101688
chr19	4078088
chr6	74295437
chr6	29691060
chr2	75071224
chr1	222828438
chr1	61543768
chr7	6145762
chr1	174959702
chr14	35342894
chr2	219129018
chr1	221915467
chr17	15862635
chr15	92486452
chr11	36471824
chr8	124850577
chr13	21402831
chr5	89317250
chr14	70485841
chr5	35877313
chr6	170862221
chr17	66977704
chr2	138681783
chr3	185960390
chr12	125399370
chr1	150669701
chr9	125227213
chr22	17718062
chr5	88132365
chr11	72145682
chr6	6811619
chr20	32398977
chr5	115617155
chr9	139777098
chr8	71126880
chr1	32268261
chr5	119432398
chr19	55304418
chr19	18302984
chr15	52024157
chr5	109078833
chr5	35249615
chr22	32534147
chr17	76311904
chr17	38296683
chr6	31670139
chr2	44308681
chr12	125198412
chr1	178837018
chr1	154948304
chr8	129394321
chr9	33157091
chr4	119771826
chr3	101098988
chr21	36012688
chr3	172333925
chr19	48621247
chr9	90407946
chr5	151151456
chr14	91295251
chr11	46402351
chr1	172150212
chr6	108439117
chr1	160407858
chr1	114669559
chr13	36907322
chr11	71710620
chr10	73648706
chr21	35304352
chr3	14693072
chr5	167544671
chr15	45076832
chr2	179028334
chr11	62607193
chr1	170137659
chr2	48571401
chr7	16603141
chr20	47717667
chr6	153296523
chr14	33366550
chr17	73452631
chr1	159850037
chr4	71600489
chr11	60214273
chr12	102271228
chr9	79010580
chr5	77173147
chr10	91706089
chr8	58658148
chr5	77845120
chr8	28206135
chr14	55375101
chr10	90995317
chr17	73185516
chr17	71139468
chr1	110627477
chr11	66725907
chr9	4986564
chr7	4814973
chr16	4115303
chr3	156514090
chr13	99414086
chr2	196397949
chr5	34695900
chr6	143140959
chr9	102669144
chr6	143269048
chr12	110453086
chr12	110390394
chr18	72166794
chr16	11350153
chr1	160752284
chr7	138794475
chr1	121200667
chr7	43798820
chr14	36295578
chr2	97481938
chr2	30448254
chr2	98280630
chr1	46052268
chr15	90519649
chr11	121238365
chr22	39704835
chr20	32580905
chr15	74838671
chr4	100777095
chr10	64397272
chr15	96422798
chr6	126240319
chr6	36139558
chr2	25815013
chr12	78482247
chr1	67399959
chr5	145826694
chr7	130597892
chr4	75263942
chr14	55348191
chr7	132351323
chr6	29894829
chr3	169995815
chr7	141804752
chr1	145744317
chr17	29909404
chr5	25569308
chr20	8583454
chr3	196625713
chr15	70767747
chr2	26267432
chr8	126442496
chr12	95490
chr2	158482019
chr10	6234565
chr8	67026524
chr16	58163382
chr1	95195095
chr4	82415485
chr14	77587283
chr9	2126075
chr1	161531267
chr17	46869221
chr19	40048672
chr18	37034174
chr6	12957635
chr3	45185959
chr1	36621273
chr9	116648879
chr16	81037883
chr3	197439363
chr14	105512249
chr13	33311598
chr7	106298040
chr11	64764513
chr12	53602899
chr1	150459807
chr2	3622772
chr9	140533890
chr15	20851460
chr12	53715187
chr19	2620917
chr17	76976046
chr12	96889805
chr19	4813179
chr2	208147956
chr16	46393022
chr10	72062198
chr5	54834654
chr1	8889767
chr12	41916100
chr2	64954353
chr8	132916704
chr1	12227024
chr7	92776956
chr8	22103621
chr2	148122465
chr1	89873151
chr10	42364769
chr12	20307191
chr6	90184532
chr3	186848625
chr2	210654984
chr12	31902290
chr16	25042894
chr6	2877052
chr16	46424450
chr3	179169502
chr13	34253352
chr19	3094321
chr3	183860620
chr2	9748190
chr12	27296791
chr3	189947778
chr2	175260189
chr8	96112767
chr1	152432739
chr3	49532663
chr3	193550097
chr1	9135194
chr16	46420339
chr1	191856318
chr14	102946409
chr4	17550888
chr14	71734585
chr10	11569875
chr12	68856811
chr2	231191834
chr11	14522093
chr6	26474474
chr12	33741492
chr14	70826461
chr12	111844461
chr5	36419873
chr5	137194116
chr5	142149909
chr4	120375838
chr11	61793198
chr4	4526243
chr12	111028844
chr14	70115732
chr9	19441961
chr9	96215903
chr11	17099363
chr8	71073037
chr12	39165961
chr6	26597124
chr1	89776399
chr3	124840683
chr5	60704686
chr4	6753404
chr3	150948607
chr2	31547337
chr5	119488227
chr20	21341454
chr2	208395820
chr1	24710937
chr6	25963006
chr16	89328202
chr2	101923420
chr16	11552443
chr8	23088276
chr10	17799050
chr8	124399703
chr1	47082334
chr8	101326049
chr16	47813832
chr12	29256580
chr9	102524934
chr8	8883878
chr7	4723818
chr19	3359716
chr6	39215613
chr9	107954217
chr8	117485030
chr7	41921544
chr5	119594073
chr15	96901006
chr6	75994554
chr1	192775236
chr17	32291613
chr1	23501090
chr4	83956126
chr3	160799630
chr22	39715686
chr5	140079962
chr8	32726387
chr2	98765840
chr17	76642102
chr2	201238995
chr7	121081355
chr9	94065272
chr4	123745914
chr4	186316623
chr11	47788236
chr4	185395918
chr6	11093949
chr3	133161007
chr20	46044343
chr20	45962901
chr16	46434562
chr15	44042210
chr17	63053154
chr1	39325543
chr4	177824394
chr17	1251223
chr10	43278198
chr20	44750331
chr2	171735187
chr20	44748036
chr6	12587586
chr16	46387005
chr1	234509221
chr8	20126370
chr4	169498937
chr5	18698636
chr12	49454622
chr11	86741901
chr3	48100620
chr18	36521382
chr16	46428703
chr16	67261028
chr7	110879034
chr1	110091135
chr10	70821376
chr2	54760489
chr12	92526283
chr16	46421754
chr10	99094727
chr3	118561310
chr1	109968269
chr9	35276687
chr9	82473582
chr1	36555343
chr11	57334809
chr2	58266445
chr16	46434043
chr8	107738266
chr2	170221797
chr17	39835268
chr13	20694592
chr10	103733505
chr6	144193478
chr10	103892714
chr18	20817663
chr5	95992994
chr9	22209356
chr10	103949344
chr18	20601030
chr5	97551788
chr6	143771903
chr10	104005192
chr1	101313219
chr1	88335457
chr4	133045229
chr18	19262908
chr16	86020856
chr19	56915255
chr1	220503837
chr1	183439506
chr22	31625913
chr17	43697618
chr17	58654640
chr1	89664631
chr6	36355558
chr14	64335422
chr4	144434724
chr5	21818294
chr11	44327418
chr11	43902307
chr15	83478355
chr7	26225395
chr2	85518671
chr1	32860301
chr17	37617702
chr9	32344640
chr9	31347220
chr3	141217831
chr3	141263743
chr10	79385313
chr6	146186464
chr13	111310709
chr3	107807818
chr12	46063112
chr10	6230645
chr1	222885878
chr17	43212985
chr17	62709996
chr4	77129770
chr18	5254075
chr16	53737895
chr18	3178139
chr1	20126930
chr3	30273280
chr17	73638560
chr1	54872122
chr17	20210827
chr10	30707766
chr1	87205996
chr1	79302600
chr13	49875524
chr14	94851383
chr13	33123125
chr2	202104411
chr5	153825365
chr13	49550127
chr16	20915986
chr10	27531971
chr1	8724302
chr3	58311389
chr1	156085961
chr10	30536804
chr3	15140707
chr3	170881156
chr2	11970549
chr2	156547508
chr1	204034466
chr1	948700
chr12	56367782
chr15	68821188
chr12	10101379
chr2	12596750
chr2	118572169
chr1	235491720
chr4	39355301
chr5	154033938
chr1	93544715
chr10	112624621
chr6	109837175
chr7	116484374
chr1	8187264
chr3	15671902
chr17	40152600
chr6	108940765
chr19	18415688
chr14	68933368
chr2	61220210
chr8	38801363
chr9	126690257
chr22	29999441
chr16	31191379
chr22	30592287
chr4	26828580
chr3	148692711
chr2	39703844
chr13	43629807
chr5	172571486
chr19	17448212
chr2	191888259
chr12	109490337
chr2	176961472
chr2	11915807
chr5	50263699
chr1	149858401
chr21	15975097
chr2	65363629
chr10	115141833
chr4	141784559
chr10	42365170
chr2	192054169
chr13	105792327
chr18	55102509
chr7	102067158
chr11	104905889
chr12	121829688
chr2	122513104
chr6	28242846
chr14	42218820
chr1	65292906
chr3	101655626
chr2	13001786
chr8	56919332
chr5	58593018
chr8	17784514
chr20	32321782
chr3	151911527
chr12	96740749
chr19	13372092
chr10	91174284
chr3	152041815
chr22	36815514
chr12	6961589
chr5	118660189
chr6	26296000
chr5	118733440
chr2	69997526
chr7	92777734
chr3	185888488
chr6	37665922
chr9	135645644
chr11	118705375
chr1	155904333
chr5	151151267
chr7	76751721
chr3	9691083
chr11	67418270
chr2	39222379
chr6	3024194
chr5	173959705
chr6	143027578
chr11	22647446
chr10	65148634
chr18	54318462
chr13	99223535
chr12	55385289
chr6	34312350
chr2	238699216
chr4	4494372
chr7	5461840
chr6	74181783
chr5	111496524
chr7	138818455
chr13	98021716
chr1	218458616
chr16	4675447
chr10	64933812
chr9	112813510
chr3	142935745
chr12	26443786
chr14	50583332
chr14	65696662
chr12	121525792
chr6	11233098
chr2	180099802
chr5	165050337
chr1	229439777
chr7	107661157
chr6	155464571
chr3	194248142
chr15	99143868
chr2	218911188
chr10	3514883
chr12	49319076
chr4	185782460
chr3	20085081
chr12	49246021
chr5	172234454
chr6	31239241
chr6	153421042
chr3	194868388
chr17	49199285
chr16	66550904
chr5	79096956
chr17	28647758
chr6	105937164
chr3	131100407
chr14	24716230
chr9	36092753
chr2	71204398
chr7	7802083
chr2	55921052
chr19	18284962
chr16	46432828
chr11	71934288
chr6	12266115
chr2	55388882
chr8	110346419
chr17_gl000205_random	87421
chr15	88113613
chr17	57915173
chr17	79650813
chr6	101329002
chr12	56511983
chr10	990683
chr7	7464410
chr11	73490580
chr6	157803389
chr1	31956407
chr1	114620952
chr13	34296929
chr21	34727830
chr11	46722276
chr10	3975356
chr17_gl000205_random	85463
chr13	113951290
chr18	22745004
chr10	122610785
chr17	29025362
chr5	88692758
chr12	46943807
chr4	49123043
chr3	59372106
chr16	46396772
chr2	223595627
chr1	224180349
chr6	29910948
chr1	569408
chr10	31287672
chr17	45737497
chr5	31532314
chr6	13303337
chr19	4182530
chr6	145188623
chr1	181072186
chr17	57287347
chr22	24552497
chr1	84556738
chr18	40710125
chr6	30181370
chr9	114857394
chr20	44649361
chr1	171454274
chr10	42600029
chr3	196001703
chr15	42463494
chr1	236958513
chr12	88055958
chr6	150553667
chr1	89382798
chr2	43666273
chr6	106612525
chr16	64450329
chr8	131213813
chr7	81601638
chr12	11989505
chr3	138500173
chr8	106331773
chr11	89345485
chr8	21039939
chr10	29948121
chr4	49107461
chr2	153023366
chr3	39187685
chr4	75085781
chr11	5839893
chr14	51326806
chr1	15558323
chr2	102844341
chr10	130262846
chr14	81425939
chr6	163881777
chr3	155572332
chr2	152495279
chr4	25236609
chr7	116594466
chr3	171852351
chr6	134557353
chr13	27705541
chr10	73528846
chr20	10653376
chr12	54121431
chr11	10324512
chr20	62205580
chr8	81034464
chr14	89632065
chr9	108104302
chr14	102431700
chr11	131894659
chr4	81384168
chr2	101361250
chr12	31470582
chr11	7545876
chr9	111034620
chr18	53924584
chr20	55130068
chr17	33701704
chr5	139948996
chr10	47733809
chr12	96515275
chr2	113033095
chr17	29895243
chr10	63246824
chr10	112001406
chr4	12120505
chr4	82035095
chr22	40573844
chr2	113299936
chr17	61753406
chr14	75605428
chr22	40490592
chr2	68992020
chr12	58269701
chr2	148778395
chr9	2844221
chr9	677546
chr3	185512623
chr1	244081468
chr17	72551243
chr16	11904155
chr22	50765953
chr13	83262918
chr6	135844584
chr1	173376047
chr6	127805451
chr12	62654074
chr2	68290173
chr7	132937737
chr1	37980643
