Chrom	position
chr8	67579634
chr3	113775443
chr19	16607086
chr5	173043746
chr11	61560339
chr1	36615197
chr2	88991094
chr5	171433707
chr18	56806976
chr1	1310804
chr1	33938228
chr16	4817306
chr2	54950591
chr20	30946005
chr2	68694505
chr5	168006673
chr12	49246010
chr7	120590684
chr6	5003913
chr11	77899775
chr16	67260971
chr19	3435311
chr19	56652395
chr11	2421893
chr1	172501785
chr3	40351119
chr2	27593390
chr15	40453182
chr16	70473238
chr6	139094608
chr7	76751741
chr20	25677529
chr1	36689958
chr8	30891148
chr3	167452788
chr1	185126325
chr18	77439425
chr18	60382281
chr12	51477464
chr19	44617438
chr16	12009942
chr3	120461232
chr6	42531667
chr17	3539867
chr19	19431443
chr17	43239127
chr17	73937230
chr2	219135147
chr7	150755142
chr18	9475354
chr19	37861914
chr16	4475551
chr4	152682192
chr17	17495064
chr9	104161037
chr1	1051575
chr11	17099315
chr16	67880722
chr12	56435573
chr1	235667922
chr6	42981881
chr20	23402172
chr12	133758046
chr19	42772922
chr12	120740074
chr5	138775252
chr19	7600551
chr19	58816629
chr6	30875884
chr1	153931199
chr4	185265158
chr19	36422616
chr20	33265011
chr17	73285695
chr1	231114739
chr6	17707252
chr19	44507044
chr22	41601182
chr19	49298809
chr17	15602967
chr20	3801292
chr12	54121391
chr17	21117559
chr10	43048355
chr17	16439132
chr11	134123404
chr13	30881277
chr11	72145642
chr2	149632687
chr5	55008195
chr9	130186642
chr1	26324672
chr2	53994769
chr7	92861615
chr19	54024154
chr19	51611751
chr9	115913208
chr19	48673666
chr2	65357380
chr7	33169122
chr19	54382736
chr22	18560647
chr18	71815699
chr16	68482677
chr11	65625761
chr22	38198409
chr2	96931860
chr19	52097788
chr9	138853349
chr11	58345819
chr3	98241926
chr9	95834034
chr19	44860873
chr3	99979608
chr7	72568944
chr19	42463556
chr16	15150081
chr20	20033448
chr17	73851615
chr7	102004243
chr17	18585629
chr12	104323559
chr11	57425163
chr1	38156295
chr7	132937671
chr5	131526060
chr1	45965843
chr3	75690338
chr19	36239274
chr10	27150055
chr9	15422765
chr6	31633740
chr7	99869914
chr7	90032684
chr11	63439259
chr14	77924055
chr19	37569276
chr12	32832106
chr10	94050866
chr16	2205700
chr20	48732540
chr19	4066052
chr16	3074338
chr8	82754922
chr11	82783073
chr9	111882313
chr16	87984621
chr8	110346437
chr6	108582379
chr2	86332713
chr12	88535991
chr7	21467013
chr1	203764707
chr11	74109873
chr2	178483722
chr17	38083929
chr19	35417844
chr19	46431109
chr13	50367044
chr6	11093971
chr2	64371649
chr16	11038348
chr17	30771442
chr2	70704621
chr6	56954801
chr13	41706992
chr16	30709400
chr20	22666857
chr1	115300202
chr2	178417763
chr20	18268874
chr21	15755549
chr1	2457712
chr19	38720469
chr10	44070086
chr4	186347159
chr13	25497105
chr19	37960201
chr15	75315847
chr1	236958459
chr11	125439252
chr19	54618765
chr20	48118486
chr12	56498263
chr11	47448177
chr8	17780196
chr3	43147641
chr12	56710159
chr3	183851996
chr17_gl000205_random	85463
chr17_gl000205_random	87411
chr5	178157749
chr9	19103034
chr1	54519168
chr2	133062324
chr1	244615575
chr13	31736524
chr7	149535442
chr10	121356544
chr1	247095545
chr10	71754239
chr3	184016829
chr19	15490762
chr12	67662625
chr15	78370109
chr17	7143061
chr3	4534945
chr19	40949211
chr19	58090358
chr4	169931546
chr5	175174019
chr16	30934676
chr2	232646341
chr19	57862529
chr12	110151365
chr20	32700178
chr19	40315355
chr4	174291955
chr9	37920567
chr12	64798109
chr7	74071884
chr12	57941099
chr2	242448119
chr7	74653530
chr1	151584450
chr7	36406937
chr5	177019144
chr3	183892499
chr17	74553764
chr13	108870792
chr19	57874698
chr17	74734026
chr7	112090985
chr3	67048481
chr14	93215105
chr16	28962003
chr8	66122220
chr14	105881591
chr19	44669197
chr8	73228904
chr19	44764012
chr10	103816045
chr10	103892702
chr1	26712735
chr7	149411871
chr19	46027178
chr2	207288112
chr15	55700590
chr19	58919953
chr19	59086753
chr10	81586590
chr22	41840479
chr14	97263571
chr19	58609673
chr3	67427909
chr19	38397792
chr5	178286914
chr2	32288491
chr22	50624252
chr17	76250687
chr10	105110907
chr7	30067904
chr4	88141818
chr22	20861829
chr1	149871091
chr19	37958369
chr1	242011224
chr5	61699838
chr16	46918161
chr16	30933959
chr7	102389345
chr2	27304251
chr14	73494029
chr6	88182508
chr19	49362058
chr9	127952256
chr1	179847001
chr19	54040871
chr6	27440960
chr5	145562266
chr10	124913660
chr14	68162550
chr1	93646147
chr1	159915541
chr14	59655246
chr19	3762635
chr13	30424836
chr1	44412347
chr11	113644524
chr19	4815756
chr3	141030635
chr16	75657245
chr19	55677496
chr3	50329954
chr16	3285423
chr7	150924467
chr6	163148860
chr19	2819819
chr12	119861243
chr6	31515304
chr5	94890806
chr16	3451067
chr1	114355141
chr4	1858025
chr1	38158014
chr16	78830346
chr16	20003127
chr17	40307164
chr17	18601290
chr11	67085271
chr9	134955307
chr16	19535123
chr17	47492402
chr10	5708645
chr8	144897987
chr2	217277088
chr20	45142283
chr7	23636947
chr12	102455920
chr18	11689162
chr2	44001146
chr20	46130593
chr14	34428962
chr1	147142710
chr2	136288498
chr19	44905801
chr10	38299532
chr19	58987399
chr4	2538161
chr10	38383254
chr5	36152156
chr3	98312511
chr2	74756992
chr11	86013188
chr2	85829919
chr1	32930505
chr6	39902292
chr19	50528732
chr5	118406470
chr12	133562910
chr12	133532920
chr19	50836863
chr16	30103299
chr5	176778982
chr2	99952963
chr14	70883819
chr7	147530889
chr19	51231902
chr19	39390410
chr19	10828130
chr2	27579856
chr1	569399
chr2	241525784
chr19	39881787
chr17	4634636
chr13	111365300
chr10	99052598
chr20	55966323
chr11	63933639
chr16	31022075
chr12	122985586
chr11	73662020
chr19	58790318
chr2	37193801
chr22	30752612
chr11	73882094
chr19	44406006
chr5	137968868
chr20	2489803
chr1	150241505
chr19	49618359
chr14	24025209
chr11	16760147
chr5	137673452
chr10	69524231
chr20	50419195
chr4	190706697
chr14	21571839
chr12	133706879
chr10	104262541
chr12	95611518
chr19	17970499
chr18	26728049
chr12	48690489
chr19	1905329
chr12	119667787
chr1	155990774
chr2	180872073
chr7	128864624
chr8	124054150
chr16	4588561
chr6	14800297
chr20	35374640
chr9	37079652
chr1	6673728
chr5	85913679
chr5	72484942
chr11	64578268
chr8	124084719
chr2	172290711
chr16	4818882
chr5	149737186
chr7	72978875
chr13	45492169
chr19	17416657
chr6	111136739
