Chrom	position
chr16	8797695
chr19	40831978
chr10	76024923
chr4	6755334
chr8	94959910
chr5	143630002
chr17	55238437
chr8	40162608
chr10	112812025
chr8	40061494
chr10	113004421
chr10	113007503
chr8	40054834
chr10	113087577
chr9	137970927
chr10	112728520
chr8	40042007
chr5	143596403
chr10	114489731
chr8	39852934
chr4	6546803
chr2	54630074
chr10	116057087
chr2	54589592
chr4	6648030
chr10	112739781
chr5	143694625
chr10	112695666
chr5	147671575
chr7	732430
chr10	104288628
chr5	147835551
chr2	63991623
chr4	3812792
chr2	63820521
chr4	3828080
chr17	50686881
chr10	110735764
chr8	41929660
chr10	117392079
chr7	873544
chr4	3955924
chr10	112227800
chr10	112261522
chr2	61888674
chr2	61536786
chr5	145979432
chr10	112643777
chr17	53924717
chr5	143200061
chr8	38557777
chr8	38583442
chr4	12461789
chr5	141914419
chr10	124724882
chr10	125912190
chr2	46500279
chr10	126417424
chr10	127279512
chr7	2638597
chr4	10021531
chr10	131641446
chr7	2663227
chr2	64730781
chr10	131997772
chr5	140607158
chr10	132389239
chr2	43993587
chr5	140603125
chr17	59707452
chr4	13236696
chr17	59786681
chr7	4712833
chr4	8199182
chr10	124470846
chr7	2314645
chr10	124048820
chr2	54207898
chr10	119451664
chr10	119499135
chr7	1714008
chr7	1716663
chr4	6749621
chr4	6774371
chr7	1817912
chr10	121905072
chr4	6917833
chr10	122912091
chr17	58120414
chr4	6957346
chr4	7070931
chr4	7770486
chr8	37604611
chr4	8050981
chr10	124036110
chr10	124043460
chr7	726623
chr7	552989
chr5	140030095
chr14	54354247
chr10	97024319
chr5	151447537
chr3	196962790
chr17	46783390
chr10	97328053
chr10	97328954
chr10	97408884
chr14	54424773
chr17	47323797
chr10	97736951
chr2	75153468
chr3	197821207
chr3	197880866
chr10	98490250
chr10	99329380
chr14	54176108
chr2	73642919
chr6	168370444
chr5	150543109
chr10	100101772
chr3	196962243
chr10	96677689
chr2	64831430
chr8	70669225
chr10	94232907
chr2	84613304
chr3	196227810
chr6	167762480
chr10	94688060
chr2	84294021
chr10	95278295
chr10	95336159
chr10	95347253
chr2	83071428
chr5	151924752
chr10	95457505
chr2	79511518
chr14	54945050
chr3	196347448
chr2	78261062
chr3	196774648
chr10	95808855
chr8	67825012
chr14	54656336
chr8	58172732
chr10	100346537
chr8	58096077
chr7	319096
chr8	52695500
chr17	50101575
chr14	50836726
chr10	102850258
chr7	235289
chr14	50045182
chr4	2792882
chr2	67309456
chr4	2801222
chr8	47353394
chr8	58079131
chr8	42909824
chr10	103577035
chr5	149152496
chr8	42741679
chr4	3342623
chr5	148320813
chr14	49642002
chr7	472612
chr4	3408304
chr17	49570224
chr10	102133672
chr17	49418943
chr2	70565237
chr5	150522664
chr8	57808834
chr8	57804423
chr10	100680936
chr4	693416
chr8	57588488
chr2	72695064
chr2	72078066
chr2	71883153
chr4	875496
chr2	71559209
chr2	71556184
chr17	48908349
chr4	992765
chr10	101066303
chr6	170738451
chr10	101113268
chr14	52821920
chr2	70807447
chr17	60139986
chr11	517986
chr8	30504268
chr2	10487309
chr11	33015813
chr13	100945167
chr13	100734529
chr13	100518616
chr8	19661334
chr8	19458423
chr13	100324150
chr8	19264571
chr8	19228640
chr17	72580729
chr17	72404035
chr4	69495945
chr11	34668380
chr2	10450191
chr11	34930098
chr17	72661539
chr17	72822548
chr11	35360263
chr11	35391174
chr17	72968970
chr11	32290972
chr11	30488832
chr4	69823693
chr5	134098836
chr11	18224145
chr4	53908758
chr4	54006945
chr4	54082352
chr8	22360469
chr2	20196234
chr7	17506254
chr5	134503401
chr2	17594020
chr7	22359379
chr2	11669986
chr11	26187840
chr11	27055313
chr17	72399900
chr7	22378438
chr13	102830883
chr7	22434076
chr2	11819416
chr8	22030807
chr8	22024088
chr13	98490590
chr13	98308319
chr6	167748934
chr8	13357545
chr11	47724205
chr2	3303757
chr5	132556952
chr2	260903
chr2	249910
chr11	57453743
chr2	176060
chr13	94292280
chr5	132539915
chr4	76272324
chr17	74671419
chr8	13354119
chr11	58926484
chr8	13275411
chr8	13270409
chr4	76831074
chr19	57916843
chr19	57811041
chr8	13096606
chr8	13052151
chr13	95123988
chr13	95642220
chr8	17806065
chr11	46392743
chr7	22786614
chr5	133049803
chr11	44243879
chr4	70993503
chr4	72763252
chr2	9168313
chr13	98266400
chr5	132873443
chr13	98161564
chr13	97491655
chr4	74654388
chr11	46611618
chr4	73432278
chr8	17490005
chr11	46719206
chr7	23320415
chr8	17393645
chr8	17338120
chr4	74202247
chr8	17329373
chr4	53455966
chr2	20728269
chr4	51909407
chr2	36660098
chr4	25372708
chr11	1842728
chr11	1979048
chr17	64919514
chr11	2211281
chr17	65439044
chr2	37918944
chr4	26936862
chr4	37008373
chr14	21054600
chr2	38981744
chr2	36502280
chr11	2732638
chr17	65557595
chr7	6543516
chr2	33197733
chr8	27743436
chr8	27632851
chr4	37648179
chr7	6578774
chr7	6377027
chr11	1691340
chr8	22558662
chr7	5534119
chr4	17559313
chr11	561541
chr11	573279
chr8	30315791
chr11	580280
chr17	62090363
chr17	62109645
chr17	63517659
chr8	30099840
chr11	844068
chr11	1690041
chr8	29773578
chr7	5609776
chr11	919322
chr11	1154112
chr5	139531376
chr2	41848245
chr11	1654781
chr17	64082320
chr4	25178942
chr2	32329354
chr7	6792696
chr17	65628461
chr17	68312721
chr17	67825451
chr13	113297092
chr2	26455969
chr8	23074789
chr4	40474119
chr17	68020040
chr7	12942817
chr2	25712147
chr2	25692945
chr11	13140612
chr11	6481499
chr8	22756385
chr13	113139191
chr5	134738402
chr13	113022907
chr13	113009856
chr13	112951983
chr4	48798330
chr2	21056583
chr17	68606605
chr11	10326576
chr4	39978095
chr2	26736427
chr2	26785728
chr2	28408537
chr11	6654838
chr14	20461688
chr5	137899700
chr2	27763408
chr4	38133272
chr7	7114969
chr11	8985645
chr4	38424461
chr13	114234799
chr11	9384586
chr5	136058657
chr5	136053837
chr13	113493543
chr2	27177748
chr2	27171728
chr8	25199824
chr4	39558403
chr5	135482583
chr14	55103310
chr8	73491424
chr10	93600609
chr10	30528093
chr5	173555163
chr2	166134569
chr2	163943642
