Chrom	position
chr19	7883306
chr19	42243085
chr19	9858967
chr22	44731239
chr5	79235847
chr16	81035664
chr2	8500982
chr12	47744213
chr19	54173176
chr19	39409535
chr20	13639078
chr12	132429995
chr21	36153177
chr12	120292927
chr18	23437783
chr2	44167818
chr22	19168481
chr17	30698039
chr1	16173821
chr17	41787102
chr10	7818360
chr1	236169201
chr19	19550266
chr19	15196194
chr12	6835854
chr6	24402816
chr1	235367497
chr7	98421205
chr1	180502069
chr16	86338378
chr3	195915074
chr5	180861547
chr16	81883447
chr11	68460099
chr22	38057428
chr15	74842824
chr7	100852408
chr17	4882104
chr22	37607276
chr1	85465451
chr19	14217566
chr16	4254201
chr1	151594339
chr1	201170959
chr16	89142648
chr11	118252324
chr9	136791844
chr2	237438348
chr4	151016108
chr16	741331
chr17	41417800
chr20	41340093
chr5	1074052
chr12	121672556
chr6	36387537
chr16	85611007
chr11	694343
chr7	65722441
chr5	78295846
chr20	17569747
chr17	68512127
chr6	52416643
chr12	132237437
chr22	49917992
chr2	72859847
chr17	78360822
chr1	6423593
chr19	770481
chr18	8707058
chr2	164842240
chr1	209806108
chr19	10543584
chr13	113489366
chr19	9785934
chr7	5562496
chr5	138753039
chr1	146052187
chr2	230067138
chr7	65216580
chr3	13885584
chr17	78350457
chr16	67246844
chr12	132561140
chr16	69762119
chr11	69101498
chr11	6481139
chr17	17840384
chr1	22261107
chr11	71448288
chr18	50288174
chr20	49890170
chr9	125143794
chr7	140404122
chr20	60263116
chr7	151669891
chr16	27854626
chr1	38137402
chr19	7869524
chr1	225446236
chr6	136550592
chr1	27669164
chr16	28977936
chr9	105245278
chr1	17675973
chr13	113557097
chr2	138502490
chr4	49657599
chr8	126557921
chr1	94820714
chr16	46388758
chr6	2245033
chr17	82666085
chr17	25920206
chr19	12775216
chr12	65169473
chr13	112715372
chr9	137046594
chr6	34889161
chr1	2548169
chr7	945812
chr7	140479656
chr6	27668703
chr19	14267478
chr19	18684223
chr16	87461598
chr20	31723813
chr6	159726972
chr5	180293787
chr10	49538793
chr9	37904302
chr9	135972129
chr1	220089941
chr16	66696074
chr9	130941193
chr12	122966270
chr19	44051830
chr14	70416980
chr11	66479148
chr1	3857383
chr1	28882117
chr19	19367076
chr1	24415512
chr1	7479328
chr7	322183
chr19	6714001
chr16	71809335
chr10	97048796
chr7	2314789
chr11	71255517
chr10	131900514
chr1	8025121
chr8	143734205
chr9	137147348
chr19	10928583
chr17	49362496
chr8	89902039
chr9	109321214
chr20	43657512
chr19	55631842
chr11	88337577
chr6	147202805
chr21	45434025
chr3	11236809
chr3	11719790
chr18	3248018
chr7	45854481
chr19	8390001
chr3	142225042
chr10	58268898
chr18	74147405
chr1	1782626
chr3	48401096
chr4	49121028
chr16	28924743
chr19	55160650
chr16	46394798
chr7	44215770
chr19	1267371
chr6	37257679
chr19	57487776
chr4	8034311
chr2	131493000
chr14	53930075
chr11	70270236
chr8	10960242
chr9	75028623
chr4	169619688
chr7	1422101
chr22	30694417
chr2	239748021
chr22	25564353
chr20	51800289
chr16	70065980
chr13	114150564
chr20	43591058
chr6	116681795
chr1	950476
chr22	44392032
chr12	7160361
chr21	36141662
chr2	240896152
chr2	242088774
chr2	219254263
chr1	3383966
chr10	122375518
chr13	21339015
chr19	8529553
chr17	19508555
chr2	6866405
chr19	14574303
chr4	1206862
chr17	41812378
chr12	62935305
chr11	10750851
chr5	95962107
chr8	89757235
chr22	36410150
chr12	93570189
chr17	30708336
chr5	168291591
chr17	2689172
chr3	40524656
chr5	159331480
chr15	77543748
chr15	100713769
chr10	131851139
chr22	38336035
chr1	634028
chr3	112991318
chr1	15153241
chr16	49000704
chr1	143247066
chr4	98143070
chr7	140009910
chr1	205592131
chr22	22195473
chr20	33489753
chr3	184541265
chr15	58294401
chr3	185282905
chr7	6271731
chr8	1858192
chr1	30270646
chr19	58466781
chr9	135563415
chr17	43251712
chr11	1051066
chr3	42600468
chr1	207053239
chr7	35917153
chr11	64240548
chr22	26483764
chr1	89525179
chr15	40930694
chr18	79832390
chr16	78099985
chr11	47578970
chr15	65305381
chr1	205211422
chr17	80010081
chr20	62095147
chr9	129607699
chr8	33514081
chr19	3076171
chr10	96130010
chr11	615523
chr3	58010391
chr13	32268043
chr6	5839152
chr7	158265419
chr2	219541981
chr8	55772762
chr19	32406305
chr10	3211936
chr16	81493402
chr5	119071294
chr17	31550338
chr16	9050697
chr12	116738469
chr13	27178108
chr4	2537755
chr19	13906621
chr14	24299632
chr5	96662731
chr4	151409523
chr15	69160276
chr3	129894039
chr16	87950924
chr14	32201851
chr13	26186682
chr12	32399960
chr16	31117807
chr19	1848853
chr1	20487227
chr6	16762669
chr2	120239589
chr5	16616462
chr1	227563786
chr5	316606
chr19	18255363
chr19	2637002
chr4	1721229
chr16	88538004
chr17	26594903
chr5	149551688
chr11	68714356
chr3	175121447
chr1	223123635
chr4	1010968
chr9	121282084
chr1	32716753
chr8	100213628
chr17	57850102
chr17	64263463
chr21	25607616
chr19	17248582
chr18	74291508
chr22	35492241
chr19	1180502
chr17	26885776
chr4	39366421
chr2	26961929
chr22	22343034
chr19	2503882
chr6	56843123
chr5	141478524
chr7	101543049
chr14	99683199
chr19	37719862
chr20	53217239
chr7	106793210
chr2	73828863
chr2	46941675
chr16	34593125
chr19	6462300
chr17	35930589
chr2	54557708
chr17	36534522
chr6	166382046
chr19	38887638
chr1	37931936
chr9	136488868
chr16	23182636
chr13	113617546
chr16	30095922
chr1	179230048
chr2	235371217
chr19	44356631
chr17	79920929
chr11	2930848
chr17	78841286
chr19	43503809
chr10	75409389
chr19	45265591
chr2	182716809
chr17	81119111
chr14	104777402
chr17	77056519
chr8	320217
chr21	43864340
chr22	46563718
chr11	17552573
chr14	39266543
chr6	3094154
chr5	159182
chr2	174395813
chr2	173955139
chr2	202870934
chr21	41767033
chr1	6448042
chr18	62186913
chr17	2054879
chr2	156333627
chr16	50281369
chr5	49658679
chr2	27771820
chr4	55395721
chr12	53676019
chr1	1064204
chr2	177392579
chr8	94079959
chr17	35242518
chr4	153467300
chr1	143256236
chr10	42070576
chr1	233624477
chr3	93470586
chr7	96322325
chr1	28648872
chr4	2335427
chr9	69122082
chr12	2113174
chr8	144508979
chr10	102450352
chr2	105767025
chr9	111631072
chr7	158705383
chr7	73558083
chr1	165631303
chr14	69191536
chr17	64662805
chr7	159088467
chr1	3649703
chr15	85169000
chr9	75087984
chr1	161021326
chr3	52001657
chr19	19643848
chr15	31101545
chr7	73739115
chr2	199955326
chr16	46387921
chr17	77318691
chr19	38683784
chr9	94726853
chr17	81296153
chr11	364674
chr20	43943122
chr6	27251220
chr16	31700539
chr20	50645696
chr19	48933601
chr19	43670081
chr16	46380891
chr9	90102562
chr20	50731107
chr9	137309432
chr12	121468489
chr12	56316259
chr19	38300782
chr10	3420930
chr2	183078783
chr14	100193213
chr4	53591661
chr10	3810287
chr16	47141999
chr1	154405241
chr17	16450538
chr2	9207944
chr7	67302820
chr8	100212795
chr22	36331484
chr5	135398211
chr8	143975030
chr9	100598748
chr2	96209076
chr7	66625020
chr10	102394804
chr10	102461293
chr1	143273136
chr19	55338821
chr7	63926228
chr19	41926344
chr5	86618319
chr19	47032375
chr17	56961031
chr20	10435351
chr15	91033257
chr5	95646999
chr8	101584932
chr7	58434580
chr2	156333107
chr12	95073721
chr16	84368493
chr7	116499281
chr7	74269905
chr20	38472582
chr17	44775339
chr12	117190304
chr20	63535473
chr7	116211466
chr8	143943401
chr5	181173647
chr16	88638548
chr1	156501424
chr7	66100151
chr17	66726326
chr11	118930363
chr4	49711550
chr1	26233911
chr14	95265537
chr1	123195739
chr20	298642
chr1	145425686
chr10	87863113
chr13	113666004
chr9	136848218
chr19	2944908
chr4	51107362
chr11	57711950
chr15	66700802
chr2	241878772
chr7	5823468
chr8	140457487
chr6	109188051
chr16	85821341
chr16	87807167
chr17	41522053
chr17	41786019
chr2	61017183
chr16	90032338
chr1	235079687
chr1	27349485
chr10	126904819
chr1	155080719
chr4	185209342
chr5	443770
chr2	85679404
chr1	31412990
chr1	26960431
chr16	2532662
chr7	76219326
chr2	231514633
chr10	94403864
chr7	1632476
chr2	99141501
chr16	4941032
chr9	179238
chr1	156750464
chr22	38985174
chr5	52787033
chr8	145003310
chr2	112692501
chr22	50563116
chr11	118917977
chr21	8234502
chr20	63682675
chr7	98837067
chr12	79690783
chr9	129178660
chr19	6766181
chr10	3173312
chr11	519211
chr14	105315407
chr7	55558552
chr10	31104528
chr21	33641638
chr17	8173543
chr7	92179022
chr4	4542222
chr13	20566558
chr19	6464158
chr3	61250181
chr17	50635440
chr22	24850446
chr16	34581462
chr18	49461099
chr2	95076872
chr22	37184518
chr11	47848426
chr7	128878720
chr2	3320312
chr3	48988045
chr22	20017131
chr10	132282475
chr6	116253920
chr6	70413452
chr1	173714871
chr8	144096135
chr2	242043160
chr8	144467116
chr16	56535185
chr17	48080402
chr1	23868380
chr6	167393111
chr12	131676380
chr16	46390685
chr16	34595227
chr16	90032124
chr16	89923786
chr15	41972867
chr15	90293532
chr5	149357776
chr19	39195908
chr12	117128356
chr3	49929636
chr4	57163854
chr9	96566592
chr1	28877275
chr7	44200852
chr1	148952078
chr7	1138271
chr7	100336247
chr16	88340346
chr4	49709755
chr6	41369010
chr19	33928774
chr10	3755257
chr8	18083904
chr11	31509572
chr12	64780514
chr11	118930184
chr7	157431820
chr21	37267077
chr21	45133648
chr9	137520106
chr4	184734398
chr12	57431183
chr11	108593681
chr2	209424430
chr21	33947737
chr5	140401114
chr11	3257655
chr19	2635174
chr10	39986502
chr1	2046663
chr7	155004021
chr5	178989603
chr17	75525431
chr19	34404813
chr9	129080927
chr12	128617642
chr10	133689433
chr14	103546896
chr1	124012779
chr15	66293292
chr7	26864416
chr20	57495461
chr16	14071147
chr14	31420154
chr1	1176547
chr14	101948172
chr11	6353566
chr14	105687332
chr1	42147080
chr18	58785439
chr22	28009561
chr16	89702086
chr9	131373690
chr1	224435187
chr4	77156641
chr18	78758999
chr6	168001997
chr9	93036727
chr11	65117662
chr4	7577317
chr7	100585738
chr17	80183878
chr19	44113311
chr22	31970497
chr16	75000053
chr7	140398612
chr7	77536595
chr10	31759875
chr1	234899090
chr9	137068009
chr11	35173220
chr17	72727824
chr8	22237442
chr11	1259215
chr15	74374655
chr5	172007158
chr6	117482419
chr20	8305577
chr8	81721402
chr6	14118081
chr1	50368519
chr1	46719295
chr21	46326246
chr3	31980699
chr15	72231365
chr5	78269232
chr20	325158
chr10	102132657
chr2	112644591
chr1	1341004
chr14	24367196
chr1	143263450
chr1	143245006
chr20	63815768
chr11	17864617
chr17	45620230
chr7	98168747
chr2	90388260
chr9	87974873
chr14	23058248
chr2	102736396
chr15	77539253
chr18	9136136
chr20	63838178
chr16	58025650
chr2	100563481
chr1	15741520
chr22	37907689
chr14	100708492
chr19	8527046
chr10	133058001
chr5	49666215
chr3	52897772
chr17	2848988
chr19	49421409
chr10	38010582
chr17	26603913
chr12	66130761
chr14	99551437
chr17	26101594
chr3	101631572
chr3	49021854
chr12	55997610
chr12	64678447
chr7	48089447
chr3	123201958
chr9	93672563
chr5	65722595
chr4	39527854
chr1	167553305
chr11	59143087
chr2	171272246
chr4	48016826
chr1	2684135
chr1	143275729
chr2	10013153
chr12	650353
chr7	38909110
chr1	167220283
chr1	230588388
chr2	2563500
chr5	79237525
chr6	44074508
chr4	499243
chr1	209652355
chr4	82431272
chr1	15304946
chr8	22141138
chr4	148442980
chr2	20823053
chr6	40328842
chr1	143245833
chr9	105558183
chr11	723343
chr2	75609307
chr14	103104957
chr1	202958533
chr12	32679208
chr16	85107585
chr8	144148168
chr13	27424085
chr9	35096454
chr1	228131116
chr19	45423834
chr8	143405374
chr1	203650331
chr16	70801397
chr10	3046646
chr8	73008622
chr2	235660599
chr15	59454932
chr1	235060801
chr6	158049941
chr1	117607062
chr2	234258781
chr2	233054223
chr6	31197730
chr17	16217449
chr7	100483211
chr17	35088901
chr2	85611711
chr11	46247761
chr4	55347096
chr11	118907233
chr10	133307881
chr11	118145661
chr12	27333666
chr1	1272675
chr2	67397934
chr6	136792857
chr19	5831301
chr7	92833112
chr13	99087838
chr15	67520889
chr2	92081318
chr14	105567412
chr2	27489628
chr3	119323651
chr19	34597277
chr1	27599730
chr19	13211914
chr2	96951391
chr18	45967511
chr19	3280829
chr22	24806645
chr14	90383234
chr17	4889127
chr17	37489212
chr3	48609783
chr12	52139722
chr9	137069552
chr19	38336763
chr18	35498013
chr19	6676491
chr16	27264290
chr10	78920195
chr20	63216458
chr14	93970803
chr5	69492838
chr14	74609323
chr1	148264153
chr6	168392288
chr4	185470867
chr19	34578835
chr12	124771673
chr20	31608612
chr4	152936129
chr8	28490600
chr1	15675812
chr1	58699804
chr3	129604926
chr14	100566317
chr17	82281951
chr16	68520786
chr20	2103381
chr11	70815081
chr7	27740888
chr1	248839056
chr17	4703841
chr16	34573064
chr1	46604222
chr10	132307017
chr19	1528274
chr8	99730783
chr19	41925400
chr22	39533021
chr2	119760483
chr19	1251731
chr14	69090351
chr20	63894793
chr1	8318535
chr11	34358907
chr19	48502442
chr5	1157626
chr7	5593068
chr11	394122
chr11	57493631
chr8	38034637
chr5	81169948
chr9	129157714
chr19	2627828
chr11	57345951
chr19	4180307
chr16	74998786
chr7	23273288
chr1	231211643
chr1	9909610
chr14	32201222
chr17	26620030
chr2	216013062
chr17	82496690
chr4	7070991
chr2	190648446
chr11	118912447
chr1	240888221
chr10	86971758
chr3	9914775
chr6	3090760
chr6	78867811
chr7	48110345
chr7	148339605
chr16	81730414
chr7	73725943
chr6	89819471
chr6	37022693
chr7	98280813
chr1	181442325
chr9	35604900
chr10	72215796
chr8	132964896
chr6	10838443
chr1	165633227
chr12	109573397
chr6	143061239
chr19	10587322
chr19	43463162
chr1	243256285
chr14	60721997
chr17	2913261
chr17	48107824
chr11	20111005
chr2	172000007
chr14	99604627
chr12	125237236
chr5	79514634
chr9	34179778
chr7	10941109
chr1	201539903
chr3	15859043
chr19	11418625
chr18	48610452
chr1	28582723
chr12	123233625
chr22	30327204
chr2	90390752
chr19	17038770
chr12	49867488
chr18	68715387
chr16	89583346
chr12	53421616
chr1	71081326
chr10	131696558
chr11	120685080
chr3	49900796
chr12	31325160
chr5	149960904
chr9	96619932
chr5	150357730
chr5	49601640
chr15	44195666
chr7	713519
chr20	63815535
chr19	47778332
chr9	123268868
chr2	11693149
chr17	18776552
chr17	1720992
chr2	74654072
chr14	75660873
chr5	142681133
chr17	5781725
chr13	27450735
chr13	27621269
chr12	50283395
chr2	85434066
chr19	14433935
chr8	89758143
chr5	69415314
chr7	43906972
chr4	70704515
chr16	25031960
chr5	43557465
chr22	29581215
chr6	27375183
chr14	90396648
chr8	142102111
chr19	6460569
chr1	1779033
chr2	11746180
chr14	77027745
chr17	75289005
chr11	59755602
chr9	137070837
chr8	1378307
chr22	32475107
chr19	10568368
chr7	26201009
chr8	406983
chr5	1844766
chr16	83927041
chr13	26972271
chr22	23750745
chr6	43687913
chr9	4662237
chr19	3986829
chr11	119030831
chr6	12008656
chr5	69166874
chr1	143184716
chr8	144082287
chr1	36385115
chr19	32675560
chr1	999565
chr8	127222919
chr19	29213408
chr19	42217730
chr2	74458138
chr6	28141738
chr5	134226564
chr10	1451499
chr20	49970688
chr9	114398279
chr1	778930
chr4	622838
chr14	22819656
chr20	38659126
chr18	63949368
chr2	69307135
chr1	95116941
chr16	73047712
chr6	5003486
chr16	90032568
chr22	18023862
chr14	99551564
chr5	271338
chr17	77086569
chr6	33621954
chr14	54903265
chr17	83096692
chr10	45672220
chr15	101008637
chr18	3297544
chr12	113116574
chr11	130146593
chr12	48969529
chr19	14690357
chr7	141702567
chr9	98255484
chr19	39474662
chr11	65122305
chr1	234961936
chr19	6861675
chr6	47188678
chr9	137238593
chr4	48269534
chr9	2242037
chr10	48306185
chr17	879820
chr10	40556857
chr19	39390838
chr1	1291920
chr5	122076876
chr1	9428960
chr16	34586826
chr20	46708243
chr8	93991664
chr12	113288479
chr17	30599993
chr5	157265762
chr17	4499409
chr8	30744442
chr12	75960266
chr9	126558236
chr13	27621586
chr1	148038748
chr17	49764443
chr14	73136273
chr20	8018928
chr16	58236346
chr22	36288270
chr10	41859942
chr15	45199265
chr7	30134504
chr5	134758686
chr8	103371259
chr22	37777388
chr19	49867147
chr6	42142599
chr12	12872728
chr1	16091357
chr12	132466667
chr19	48713922
chr5	91385038
chr10	114174338
chr1	869724
chr8	22974789
chr18	36310761
chr7	4754059
chr18	47930339
chr10	70364716
chr7	1507017
chr2	113438303
chr2	96138738
chr15	89690693
chr5	159209837
chr19	1528776
chr5	60699687
chr6	28383559
chr12	120291110
chr19	9309987
chr20	5119618
chr12	27524203
chr16	34574277
chr13	113435990
chr20	3879246
chr7	66413877
chr7	130899841
chr1	15847256
chr10	103434525
chr1	93449298
chr3	128650655
chr16	30923080
chr19	14363833
chr20	63642211
chr15	63093675
chr13	49936881
chr1	156584990
chr14	93114941
chr5	67004004
chr1	228736413
chr1	143264674
chr6	44127999
chr20	18508005
chr11	69638276
chr1	829527
chr16	86564256
chr14	71320675
chr3	100003026
chr6	18387627
chr17	7435582
chr7	129825133
chr17	77246698
chr9	93671190
chr10	40128296
chr17	7990189
chr7	76997931
chr14	91059872
chr3	10510598
chr1	27576131
chr3	48440126
chr16	8878641
chr6	111605878
chr4	3765507
chr6	45713935
chr6	63573696
chr4	168318705
chr12	52395996
chr13	99498607
chr6	125153737
chr19	3606466
chr3	194512988
chr20	49609056
chr6	2932156
chr1	15788249
chr10	86283895
chr1	42967228
chr1	17237316
chr6	27157500
chr17	50630850
chr10	117005169
chr6	63571974
chr2	90397807
chr20	57618467
chr1	143232026
chr4	7525841
chr9	89731602
chr6	31546828
chr6	30345380
chr10	38402728
chr8	128555007
chr5	40437303
chr2	218658833
chr21	42973838
chr1	143221816
chr7	74452451
chr6	42407725
chr6	9250973
chr14	75002952
chr17	43316031
chr16	88804653
chr3	58108611
chr12	7108469
chr12	57240873
chr17	59107104
chr11	77046164
chr5	1545635
chr15	73051417
chr11	82900706
chr2	234241989
chr2	241572720
chr15	40906504
chr7	98433504
chr2	234495592
chr21	10270274
chr5	78360106
chr4	141636453
chr5	52987988
chr1	145281210
chr12	45991173
chr16	88662454
chr22	23858057
chr3	159989110
chr19	36331685
chr3	156826819
chr3	195954832
chr19	37594474
chr1	19582466
chr20	380781
chr2	135531131
chr8	10840133
chr20	63304133
chr4	128062345
chr2	151410526
chr9	128044218
chr5	16552695
chr1	16145361
chr8	43057524
chr12	47942592
chr1	241945031
chr11	107840881
chr19	46211415
chr5	34245970
chr22	31662327
chr20	35146865
chr1	53014952
chr17	58417673
chr19	18430844
chr10	73999115
chr11	61336382
chr6	119078116
chr11	59615199
chr1	921549
chr9	113376846
chr20	63865062
chr22	28884521
chr6	27547453
chr6	20877466
chr22	50524623
chr1	16513679
chr16	119068
chr22	40732825
chr2	240567954
chr11	64838091
chr20	33654291
chr21	41786884
chr20	62238191
chr16	88443253
chr7	18508860
chr17	7060590
chr14	67599932
chr1	125180192
chr6	85593243
chr7	953878
chr7	74291299
chr4	165327773
chr20	25130419
chr4	165208454
chr2	241205312
chr2	241149426
chr8	56212235
chr1	226548523
chr19	19776057
chr9	127802524
chr6	167825820
chr15	62060813
chr7	12687133
chr8	144222736
chr10	2513430
chr4	1010046
chr19	39110444
chr1	24345107
chr12	117155422
chr6	43997563
chr7	8262608
chr7	156156207
chr6	9405642
chr11	58578234
chr7	157019541
chr1	235866328
chr22	31347774
chr17	41662808
chr11	69131704
chr6	30749739
chr20	64069971
chr1	39902234
chr15	40844198
chr9	128635258
chr1	233327231
chr9	129334192
chr4	75724117
chr20	31060496
chr1	234656501
chr1	77219419
chr7	6503616
chr17	58270655
chr10	103801371
chr1	26862934
chr14	77068233
chr6	16129761
chr12	124187985
chr16	85615220
chr17	28903380
chr20	62382914
chr2	223837879
chr11	398959
chr16	2475864
chr11	112086458
chr21	43884103
chr8	127911432
chr9	75088755
chr7	139916823
chr1	53556330
chr12	12033563
chr2	54522848
chr5	87268906
chr10	42083557
chr14	24115245
chr2	10654205
chr12	70367048
chr3	63911797
chr2	55693731
chr19	7853481
chr3	14402204
chr3	129726097
chr18	76954675
chr2	60881862
chr19	16572795
chr1	205672301
chr9	38621039
chr3	128879512
chr1	54199942
chr19	14207482
chr19	16583652
chr19	9827806
chr5	172647361
chr2	120223787
chr19	14205912
chr1	203273262
chr2	131802104
chr10	71500393
chr19	48858804
chr3	140941586
chr5	140175259
chr12	6310792
chr3	57060453
chr6	106360574
chr8	118622362
chr15	77420693
chr9	88535421
chr5	6185654
chr14	20663051
chr3	122564571
chr6	47477561
chr10	41875031
chr10	73247079
chr5	61408702
chr19	1526395
chr2	44362168
chr3	158672762
chr18	22933994
chr2	46297755
chr15	89894072
chr6	61323029
chr9	137028777
chr10	41860295
chr10	18651774
chr12	57462817
chr8	85107510
chr2	196592524
chr19	11197735
chr5	151741873
chr16	58129539
chr9	32526498
chr12	30755241
chr7	127588966
chr2	98086940
chr19	55362326
chr1	143218194
chr19	57814640
chr18	36309441
chr1	147928560
chr3	149752538
chr13	16689027
chr9	36764881
chr19	16829797
chr17	81826152
chr5	157027206
chr6	52671228
chr3	71724668
chr8	11802780
chr10	1571772
chr13	113665464
chr19	1183992
chr17	50152123
chr9	121624197
chr11	62664701
chr22	42080102
chr17	47099528
chr19	909422
chr7	44749075
chr2	101251968
chr1	16056249
chr1	92080568
chr2	47176709
chr16	34588177
chr19	33780752
chr12	108951281
chr19	18272467
chr1	186680248
chr6	28542917
chr1	17627554
chr9	136328316
chr17	31487839
chr5	160118575
chr1	234356890
chr6	106325552
chr19	42387374
chr4	47463280
chr17	3049292
chr3	53494125
chr20	25696952
chr1	161154233
chr3	141487892
chr1	77779674
chr10	72292381
chr4	49651468
chr19	1813062
chr17	49570270
chr16	4957824
chr13	99176771
chr6	131628270
chr17	30340194
chr10	101060162
chr1	26336556
chr7	123534261
chr13	113945168
chr17	50657898
chr1	4443409
chr3	51973849
chr13	113944447
chr12	7018621
chr12	101830612
chr6	28080207
chr1	35931539
chr11	66312419
chr18	76532417
chr1	245153393
chr1	16896707
chr3	186753188
chr20	44683721
chr22	30207237
chr9	135758211
chr15	51751417
chr4	119455062
chr2	121024920
chr3	186806738
chr5	38555937
chr20	37096088
chr16	67018004
chr5	34839391
chr6	28124640
chr3	149387055
chr7	28854319
chr1	224929475
chr6	139378984
chr13	75550109
chr6	138691948
chr18	28156413
chr7	208393
chr2	70109064
chr9	5450579
chr2	70190849
chr16	85751844
chr4	83334729
chr18	62717470
chr15	51907600
chr3	119677524
chr1	182604301
chr5	151500906
chr2	86622610
chr6	52394086
chr1	183024012
chr7	43926696
chr2	131153581
chr4	127965987
chr9	15307581
chr4	127965172
chr10	42080615
chr3	194140048
chr16	46386431
chr7	2524371
chr11	85810601
chr1	197775469
chr14	75561091
chr6	75748545
chr20	35269242
chr18	77132273
chr22	28679212
chr3	146160685
chr6	13873942
chr16	46390538
chr20	18567339
chr17	39057154
chr20	35568857
chr12	57460601
chr10	43265327
chr4	88283693
chr16	88500920
chr17	239113
chr12	56751908
chr13	114226944
chr1	43349473
chr6	87213571
chr14	103326879
chr4	24419617
chr3	171810354
chr2	1769946
chr18	268416
chr6	126339994
chr6	69796211
chr8	144222619
chr16	19108029
chr19	50205999
chr15	68550752
chr1	2534989
chr4	1296419
chr11	34916231
chr16	25111859
chr5	74903546
chr1	212284802
chr17	8118566
chr9	127930544
chr14	24271724
chr20	63652152
chr22	46774029
chr10	77926190
chr16	73070648
chr20	63304607
chr17	18960024
chr12	69738443
chr2	230327247
chr12	109999178
chr2	264737
chr7	16753531
chr3	124878703
chr17	82735145
chr10	88990570
chr14	37595927
chr16	77190490
chr1	115469832
chr1	155001259
chr19	13034466
chr14	105567627
chr11	123580804
chr15	19640322
chr8	120445100
chr16	11916341
chr2	205847698
chr17	82205111
chr19	55156543
chr21	36155986
chr21	33491410
chr1	125170161
chr7	141738398
