Chrom	position
chr16	89683234
chr12	104299760
chr19	42363883
chr10	90746489
chr1	162362051
chr22	30831902
chr12	11952001
chr16	66558895
chr15	79054059
chr5	544305
chr15	90602890
chr19	55517506
chr15	91590959
chr2	9195779
chr7	100273578
chr20	61958429
chr7	157283482
chr22	36847976
chr16	67226024
chr16	87814483
chr2	234240404
chr6	36853702
chr4	185276523
chr9	129748286
chr7	5938284
chr12	1771236
chr14	100535123
chr20	61371751
chr12	56512005
chr5	126409186
chr4	140140979
chr7	67383342
chr9	98225009
chr5	179723942
chr17	56416772
chr6	130005327
chr15	91473415
chr6	26597094
chr1	65329983
chr18	830612
chr10	104561912
chr19	47759764
chr13	80022762
chr13	113951311
chr19	45256770
chr5	1634127
chr8	102149560
chr1	150898836
chr3	11766519
chr15	34394208
chr10	120489349
chr5	10705216
chr13	29233220
chr7	97601688
chr2	65659715
chr2	47714474
chr1	198526250
chr2	9983639
chr6	30650471
chr8	142427873
chr3	195681448
chr6	137612789
chr17	38478951
chr17	38673192
chr11	35080810
chr8	103580327
chr1	213005320
chr17	15340267
chr9	135282230
chr4	37668447
chr1	154465928
chr12	51762929
chr2	174904758
chr4	79642450
chr3	171046683
chr8	23619244
chr10	129861511
chr2	16806676
chr2	218263784
chr5	140044397
chr18	42305782
chr7	91510070
chr16	11006713
chr22	37681220
chr6	167372942
chr5	141062791
chr10	104153869
chr9	86237850
chr12	32049672
chr19	55663533
chr17	39723683
chr19	56186554
chr6	143419354
chr20	44740063
chr4	48214400
chr10	14452058
chr8	144363888
chr14	70119817
chr11	14600239
chr6	147271617
chr8	27169089
chr21	46654225
chr7	97762681
chr11	70244809
chr5	6378661
chr12	89740330
chr1	150336063
chr17	75084759
chr2	230786123
chr5	141736690
chr15	67158616
chr9	34171963
chr12	124118245
chr1	4067770
chr2	127416898
chr11	121979078
chr3	47029419
chr3	42888836
chr1	205257563
chr7	1544063
chr19	3812473
chr10	50391872
chr16	89572011
chr9	140250138
chr19	10870388
chr1	15742616
chr19	50220934
chr19	34761060
chr20	56008207
chr11	120206934
chr1	24117617
chr2	134876155
chr6	4852637
chr12	13251160
chr1	40525311
chr2	138786263
chr10	81698758
chr16	89181825
chr3	71954773
chr12	6446524
chr9	37785084
chr12	11802598
chr11	117881847
chr15	75918190
chr12	6798694
chr9	273014
chr18	8609254
chr8	30182186
chr6	150489241
chr3	169482994
chr16	81503680
chr1	12142023
chr16	15684940
chr16	20915993
chr15	45027722
chr6	134274254
chr16	11766852
chr16	11327154
chr5	77779779
chr4	139228677
chr17	58475824
chr2	65610125
chr19	2553068
chr3	152094724
chr20	35471974
chr16	77225052
chr1	203830678
chr7	100485398
chr17	76259453
chr20	62710992
chr12	6833201
chr11	75051881
chr3	133380822
chr5	169758324
chr10	118997086
chr21	38593720
chr7	5733278
chr2	128395467
chr1	42149884
chr2	103038511
chr16	50316077
chr10	70715852
chr12	7053115
chr18	42419309
chr5	10445667
chr16	53552815
chr4	40123346
chr12	50056961
chr8	142046330
chr19	46018557
chr1	21502022
chr9	101820399
chr17	33905645
chr7	148536192
chr3	180319924
chr10	74057166
chr17	75338604
chr19	44711588
chr14	72009147
