Chrom	position
chr19	17309476
chr14	21437330
chr14	76953805
chr1	205750339
chr15	48811139
chr5	146203543
chr21	41926708
chr22	36239586
chr18	77209071
chr5	173057238
chr8	143986465
chr19	49474208
chr6	32838790
chr1	199932202
chr1	89128994
chr14	93103846
chr7	25125400
chr17	43006775
chr19	10086282
chr12	112938368
chr1	161045007
chr14	63543447
chr5	140401763
chr6	34657567
chr7	140062981
chr13	44274553
chr2	9631093
chr14	24136195
chr8	29499513
chr1	155637614
chr2	45568036
chr6	32853843
chr14	21456204
chr1	168348521
chr17	48585608
chr10	30583842
chr20	408305
chr13	30572942
chr22	35648368
chr1	182588900
chr9	125143652
chr3	122564343
chr5	96807958
chr1	27672303
chr20	5078656
chr3	179562875
chr3	88031958
chr1	247906835
chr20	3932904
chr11	57566330
chr1	35637530
chr22	36253071
chr20	62804845
chr4	168318803
chr6	3258930
chr5	177300463
chr2	219387627
chr8	102287496
chr9	113581998
chr2	96208891
chr5	172697604
chr9	100210186
chr14	65098824
chr5	96876479
chr15	68299259
chr8	143026528
chr21	41420577
chr1	59020334
chr15	56468710
chr8	122919174
chr1	179129840
chr15	68820938
chr6	121334945
chr10	89332468
chr17	38752694
chr22	36160815
chr9	94166794
chr19	12938502
chr7	135148030
chr1	172746505
chr16	67936875
chr1	32962442
chr3	121432345
chr11	62015781
chr5	18746234
chr4	10584166
chr8	42355735
chr12	68236765
chr14	76962143
chr2	84889012
chr5	144192184
chr22	50539725
chr6	30877838
chr16	11312818
chr10	88975132
chr20	41618465
chr17	64015102
chr12	96720217
chr6	33314080
chr1	110034452
chr7	92718144
chr9	78132856
chr7	151350190
chr12	10365115
chr16	89765080
chr14	91114643
chr17	82419688
chr10	89392512
chr1	156338345
chr6	132813164
chr2	120232471
chr8	123037751
chr17	79852990
chr20	46111454
chr5	108003307
chr3	141686922
chr22	19259800
chr14	103260682
chr1	117735226
chr7	73522343
chr5	1537056
chr19	42049234
chr3	128804401
chr8	89984096
chr17	2089678
chr3	113696834
chr15	70528420
chr4	186069148
chr21	36079147
chr11	102312900
chr10	43623539
chr14	70417047
chr3	36908141
chr16	30650568
chr22	18150078
chr7	140656728
chr1	65068678
chr10	102245355
chr1	154608194
chr11	63574702
chr3	149245895
chr6	36386579
chr3	187368384
chr4	158949286
chr15	42920890
chr15	64895886
chr12	15534480
chr6	26365103
chr1	56774410
chr6	32844056
chr1	24642695
chr7	43834674
chr7	12257823
chr2	20576834
chr12	8709676
chr16	53952624
chr16	18946125
chr8	10630544
chr16	50698138
chr1	23119419
chr1	89022864
chr17	63439862
chr11	31995962
chr5	139385280
chr12	24795907
chr1	193418617
chr1	89070132
chr1	173123227
chr3	183541909
chr9	15296366
chr7	101085480
chr4	17385629
chr2	148553168
chr5	179836911
chr17	57947025
chr8	16604165
chr15	80072462
chr21	36260660
chr7	17142656
chr3	122680814
chr20	49278110
chr15	44712684
chr4	168480518
chr17	43251709
chr4	146175710
chr14	58245245
chr4	180827495
chr4	88379418
chr4	184268146
chr12	64459818
chr2	200383952
chr6	25138950
chr1	207205261
chr1	42529847
chr9	5450354
chr11	320878
chr5	132410906
chr2	162318722
chr14	73458770
chr7	41705199
chr2	165903106
chr6	26402179
chr6	26440404
chr9	32526338
chr1	46062795
chr5	150853786
chr11	114346791
chr13	27620648
chr21	10325835
chr2	64767185
chr11	63536806
chr6	33019123
chr10	103660142
chr4	15653614
chr6	32854580
chr17	80263573
chr10	28178541
chr5	177114753
chr2	9830982
chr17	51030015
chr16	50742033
chr5	10595972
chr11	59142882
chr14	91022697
chr9	93501451
chr10	89301952
chr1	27234469
chr11	35662740
chr16	3960955
chr11	39371384
chr14	68210999
chr10	77629996
chr19	34667642
chr11	5624911
chr12	14216591
chr10	73917300
chr7	74650189
chr3	185332578
chr6	236096
chr21	15732522
chr4	8537392
chr1	2556539
chr10	118832369
chr6	108558593
chr13	27455514
chr17	6427739
chr10	87201148
chr10	3811584
chr11	128831322
chr1	228141342
chr7	93118085
chr10	5977612
chr14	99481141
chr17	48841540
chr16	28212201
chr10	110504199
chr14	35294428
chr7	30479532
chr11	4393676
chr5	74577025
chr9	89388399
chr8	141245376
chr15	45061416
chr2	68737884
chr8	17988044
chr2	40489589
chr1	11731837
chr1	222644329
chr9	107246440
chr8	130042531
chr22	36156946
chr17	47100340
chr18	2641802
chr3	141294533
chr3	142448011
chr15	62059924
chr16	4019482
chr2	12588238
chr3	62445501
chr1	214603142
chr13	49147039
chr13	41060480
chr4	153469206
chr3	197848306
chr15	58982013
chr17	47650678
chr12	121060247
chr5	91380366
chr1	243354706
chr18	54946480
chr6	157033521
chr1	212596524
chr5	77806637
chr2	26299749
chr17	45227258
chr17	6756021
chr12	56334060
chr1	234400975
chr13	32426277
chr1	200352181
chr14	24146614
chr9	134065930
chr10	89084573
chr12	4143055
chr16	2603347
chr9	36471112
chr5	35479317
chr9	129036541
chr1	65812249
chr1	66301360
chr4	184449055
chr16	4271659
chr6	110234176
chr2	6833282
chr12	6452095
chr11	10858133
chr19	3553074
chr2	230220041
chr19	3572753
chr2	96486100
chr16	85055488
chr5	49666215
chr11	43869160
chr16	56989551
chr18	62506412
chr8	89730098
chr8	128377200
chr11	64880871
chr17	46225453
chr1	112674856
chr17	35541254
chr11	84714535
chr1	1013391
chr8	118921114
chr10	3829046
chr4	141636567
chr10	89327880
chr5	65482923
chr11	108070189
chr21	25457513
chr17	43360931
chr2	46268354
chr7	30445979
