Chrom	position
chr10	96943646
chr2	119924829
chr8	17659099
chr17	80454678
chr1	36554561
chr3	13936712
chr9	97401661
chr20	51833754
chr6	142410180
chr9	99179660
chr20	18488397
chr18	74844268
chr11	364687
chr8	49427402
chr8	59323901
chr7	44788681
chr16	4674380
chr9	139844612
chr6	83903837
chr11	123451505
chr3	31083073
chr3	182834086
chr15	48470153
chr22	22549875
chr19	17970586
chr18	47087926
chr5	76373358
chr4	147558469
chr8	141467475
chr3	128722858
chr1	161008813
chr4	6911762
chr8	145691645
chr7	150065165
chr10	7860315
chr12	53342716
chr16	54318398
chr18	47721660
chr7	43966264
chr1	235242990
chr1	24645845
chr18	29523507
chr1	156880192
chr7	56019605
chr6	36098116
chr9	6681079
chr12	52585807
chr19	10654266
chr16	30406952
chr7	158498045
chr20	32242177
chr6	110011755
chr17	79790842
chr16	90085980
chr17	80623952
chr13	22245302
chr12	53300280
chr9	139383298
chr1	210407737
chr18	61637658
chr4	140223447
chr1	204183266
chr16	74808765
chr6	31165612
chr3	190040063
chr6	43215002
chr1	168195178
chr13	28404293
chr15	73639268
chr6	118228081
chr9	131940958
chr11	64646309
chr6	11536147
chr12	27167244
chr4	151000615
chr4	2011105
chr2	236279923
chr9	126031108
chr1	31867760
chr9	116111843
chr4	8160418
chr11	64013144
chr5	118406991
chr2	232575247
chr10	104221051
chr7	6543240
chr5	95998372
chr16	58059537
chr16	19079335
chr14	24836435
chr8	86089516
chr15	41074993
chr8	145597494
chr14	24021016
chr8	25968624
chr1	17445910
chr15	101548868
chr22	38453455
chr9	130547729
chr1	109940549
chr17	18163858
chr16	89268401
chr19	13162654
chr15	91446422
chr6	119255675
chr6	149293788
chr4	26321183
chr19	15307030
chr19	38754979
chr19	56154294
chr20	18037147
chr16	87799568
chr1	41134664
chr21	37513981
chr2	47597201
chr12	118407267
chr1	85156443
chr17	8702730
chr7	23145287
chr15	90294056
chr19	8008907
chr5	139487690
chr8	49621784
chr12	100967825
chr11	13132724
chr1	223537878
chr12	110011146
chr3	49507937
chr14	100625966
chr16	28303813
chr11	73694466
chr1	54665478
chr18	77748362
chr20	62127589
chr1	236332499
chr6	27218926
chr11	133826841
chr10	11059944
chr1	16067988
chr15	40733653
chr21	43639145
chr17	79917671
chr9	6645713
chr19	1568565
chr11	554973
chr4	155664869
chr11	74437716
chr5	148737363
chr21	37529568
chr10	123734301
chr22	30603217
chr17	7745939
chr8	21906411
chr17	45608329
chr16	84733518
chr6	106534286
chr4	129732488
chr13	30498779
chr15	41233958
chr2	132559456
chr10	5665364
chr1	231558348
chr16	8962546
chr22	20287561
chr15	90777695
chr9	140196321
chr7	128784626
chr8	145703805
chr17	79678401
chr7	143058912
chr3	47021322
chr4	128983344
chr13	46450276
chr13	98795175
chr2	75072588
chr19	770497
chr2	205410696
chr2	163200694
chr18	77404158
chr3	195597527
chr1	805376
chr16	71758131
chr4	1359651
chr2	241309749
chr11	78128545
chr11	129685735
chr11	1785509
chr8	10917140
chr17	7348363
chr15	87420532
chr12	117176301
chr4	146102070
chr10	103347706
chr19	6464135
chr2	223183077
chr15	40615498
chr1	16161519
chr9	133816583
chr7	916698
chr6	28092446
chr5	94620725
chr21	42441070
chr11	118979136
chr22	50323426
chr16	67694900
chr19	46284977
chr7	12726981
chr1	201449767
chr4	4337105
chr1	212838668
chr6	167555865
chr17	5972371
chr13	22247969
chr14	21566355
chr1	6453395
chr22	47057454
chr1	6685575
chr12	50677268
chr11	804202
chr18	33766639
chr8	142238577
chr19	35739397
chr6	159290940
chr18	12271806
chr6	7389724
chr2	7171997
chr22	22089816
chr19	37178193
chr18	8367495
chr17	27224139
chr9	131636872
chr3	140951341
chr18	47720305
chr1	151763206
