Chrom	position
chr1	36464380
chr10	7818434
chr16	23641379
chr12	82358479
chr1	93079164
chr16	27203506
chr1	44986646
chr6	693148
chr7	975555
chr7	130070327
chr1	109090716
chr11	65497582
chr20	16729969
chr9	133336260
chr2	151409858
chr1	35193139
chr6	116571312
chr1	32817399
chr17	39980764
chr2	231662304
chr11	14520405
chr16	2205502
chr18	50288007
chr1	156751886
chr10	102420979
chr12	22544559
chr3	143001542
chr3	15099175
chr12	93467676
chr11	46594086
chr1	32013581
chr4	83035012
chr14	70359776
chr12	118373064
chr22	35257446
chr15	63121715
chr6	36594545
chr1	10474930
chr2	131669015
chr17	36486550
chr17	57850182
chr1	37990104
chr15	41116441
chr12	56007346
chr2	208266096
chr7	141738259
chr1	46247680
chr2	39124452
chr3	12664203
chr3	49218714
chr7	158856433
chr7	100081717
chr10	32346532
chr12	89526173
chr3	48717190
chr15	30903823
chr8	110894756
chr19	48619313
chr2	216114976
chr17	43791798
chr1	53014880
chr1	171742116
chr19	38003736
chr10	32958492
chr21	29073781
chr12	53321646
chr15	50355276
chr8	104589349
chr6	41320637
chr16	18790454
chr1	6199712
chr8	54022360
chr15	78979780
chr9	36258494
chr20	56392599
chr17	43483927
chr17	60135775
chr13	31162435
chr11	129143507
chr9	131502977
chr11	65615287
chr16	58392442
chr3	46977040
chr11	66348158
chr16	29863508
chr9	124415569
chr7	99438847
chr17	76354043
chr17	50178392
chr11	45918227
chr16	68245187
chr19	48795546
chr5	141557784
chr16	12803954
chr3	158110036
chr7	130441130
chr4	184734242
chr5	141560930
chr20	18137810
chr2	3575175
chr5	95555032
chr7	123557890
chr6	32130465
chr1	44213429
chr11	65096139
chr6	28354254
chr1	109484175
chr1	225817778
chr1	178093668
chr16	70439344
chr7	2524158
chr21	17454832
chr16	22297180
chr14	31420744
chr8	142669999
chr1	155244838
chr17	64263449
chr16	22195781
chr12	53451941
chr14	53279210
chr3	57060576
chr22	35377117
chr8	123157273
chr6	28225294
chr7	105532119
chr5	37379221
chr1	248826138
chr10	13586908
chr12	109795270
chr17	7239816
chr1	113905278
chr1	205122238
chr22	31081013
chr1	31154810
chr5	112160850
chr17	2030117
chr2	84920051
chr17	63842754
chr12	14257734
chr11	64998329
chr15	89335076
chr4	25312753
chr15	84579518
chr19	9075760
chr6	125274256
chr19	14572141
chr19	6088085
chr17	47067546
chr2	74120369
chr19	45731057
chr8	30156399
chr7	73522664
chr2	61017592
chr1	151190204
chr5	18792418
chr16	15967049
chr14	21477120
chr17	22521405
chr1	168225758
chr11	69497393
chr12	6852497
chr17	19508172
chr2	38751460
chr19	41884304
chr6	44313372
chr6	79307769
chr6	30908101
chr14	92540909
chr19	4457919
chr14	20455247
chr12	133037353
chr2	203238866
chr19	10119944
chr14	66507853
chr8	79793787
chr9	124297725
chr9	134025381
chr2	202911838
chr3	50321648
chr6	36667276
chr6	118894046
chr1	15976034
chr17	57903412
chr4	77637041
chr7	144835998
chr4	6909457
chr19	45406475
chr8	103372272
chr1	12229978
chr4	7978630
chr17	2960421
chr8	100847450
chr12	112409421
chr11	356284
chr13	40771231
chr1	153566581
chr15	65869165
chr11	65499017
chr5	176536681
chr12	107761373
chr4	151099528
chr12	106288626
chr3	151543676
chr6	28213079
chr1	203861641
chr17	75785159
chr12	25250975
chr1	23019338
chr9	133030943
chr18	3297485
chr16	57462607
chr10	69869706
chr19	42244820
chr6	44257021
chr10	78029820
chr2	231708415
chr5	177390702
chr16	75938999
chr1	205211714
chr7	139340709
chr1	156054739
chr1	161523907
chr3	51995927
chr6	41921455
chr6	28399784
chr16	636812
chr8	56074606
chr3	4303643
chr7	44019220
chr5	150904902
chr7	32490477
chr3	170222261
chr9	128656935
chr11	67469402
chr6	33323089
chr8	125429265
chr17	64505562
chr2	178451423
chr2	47345135
chr5	34915624
chr2	27370480
chr1	169794925
chr5	140726171
chr2	113889546
chr5	74767181
chr2	70248570
chr18	21612265
chr20	38435446
chr17	42998317
chr1	16678268
chr3	46423708
chr19	2819807
chr19	3155260
chr22	32474734
chr19	4400724
chr11	66336619
chr8	66113383
chr19	5358389
chr22	29553837
chr21	32772053
chr3	179604715
chr11	34051484
chr19	11435501
chr19	12891039
chr1	33127306
chr8	73356656
chr20	45363269
chr11	12802825
chr20	38446616
chr4	39319863
chr17	63600860
chr1	16967498
chr17	47821854
chr17	18087883
chr5	111092249
chr7	100100573
chr15	78438083
chr12	123602082
chr12	124939848
chr16	81127253
chr6	131628288
chr7	76359360
chr12	2004542
chr6	3900242
chr6	34630192
chr6	26305509
chr12	57782727
chr16	3152893
chr15	92904220
chr9	120580299
chr14	24188940
chr7	102478941
chr15	56806003
chr12	109052554
chr1	146035687
chr5	150542005
chr15	65517754
chr11	43311968
chr20	44728954
chr19	52269710
chr17	75035120
chr17	7836981
chr9	124771514
chr15	64387833
chr19	55259325
chr11	57741368
chr9	129258707
chr17	49192562
chr21	28393524
chr12	122526848
chr6	28267225
chr3	194527270
chr19	49361491
chr9	133348302
chr16	31073323
chr6	16636458
chr15	79329520
chr15	73988071
chr16	30535041
chr19	11597545
chr6	87723419
chr7	99505156
chr8	28890350
chr1	156082546
chr13	110712739
chr11	74398832
chr20	50790877
chr11	67240107
chr1	26524376
chr2	96557061
chr10	101353914
chr19	4724682
chr20	37096126
chr1	185316390
chr17	3846321
chr5	43556406
chr14	22929737
chr3	120095463
chr6	30744713
chr11	65858207
chr1	32236240
chr6	26553491
chr1	9943388
chr7	149028786
chr3	54891675
chr16	3065283
