Chrom	position
chr16	18801658
chr19	3506087
chr1	214603101
chr14	54396853
chr12	50025523
chr17	76265036
chr20	45812566
chr11	119334422
chr5	69167081
chr10	60778414
chr1	211675672
chr20	38926350
chr19	10569145
chr15	40382946
chr15	69414306
chr1	202342068
chr1	108876923
chr20	32358293
chr12	98491181
chr2	233854664
chr16	23678812
chr2	26785990
chr20	31739231
chr5	172641104
chr2	112764669
chr4	121823934
chr9	137241047
chr1	197146748
chr8	116874836
chr11	46846340
chr22	46296843
chr13	72727803
chr1	20786743
chr12	6764435
chr8	25459010
chr12	14365680
chr3	172750618
chr3	120417476
chr12	102120165
chr20	833674
chr6	26123098
chr11	119095677
chr3	160449941
chr5	160421843
chr20	36835767
chr10	128126458
chr11	62123992
chr1	44739825
chr5	126776701
chr17	44947813
chr19	55408128
chr16	2429214
chr12	49264924
chr1	35193359
chr1	163321958
chr13	52455339
chr15	59105101
chr19	2463115
chr9	121121703
chr15	30626074
chr20	47360871
chr11	63974515
chr4	173334649
chr15	64825688
chr20	3796257
chr15	67125655
chr16	15650123
chr11	28108196
chr17	40418050
chr5	177312440
chr12	49323250
chr14	64800239
chr12	98516563
chr4	129093578
chr1	26126527
chr12	120495990
chr2	10122639
chr1	43358902
chr19	39125634
chr12	100573657
chr1	155244819
chr14	70817789
chr12	31749416
chr6	27894524
chr1	225428194
chr1	205750299
chr14	99604588
chr2	96335811
chr19	45927887
chr2	191020369
chr6	37172286
chr6	30617353
chr9	33813841
chr1	148522741
chr10	93496607
chr15	90191910
chr15	90955302
chr9	120876551
chr7	43648098
chr17	43483890
chr2	121531046
chr19	4639370
chr1	156751683
chr6	152983099
chr22	38756112
chr17	81394099
chr12	116738282
chr1	37554405
chr1	224356783
chr6	28080159
chr12	103930347
chr6	26271454
chr7	73811851
chr20	40690115
chr17	78187123
chr2	200526157
chr1	144412695
chr12	122501121
chr12	98566952
chr4	15681608
chr12	123383941
chr10	14954176
chr16	23735397
chr16	58495273
chr17	59786679
chr5	138331837
chr19	11344588
chr12	53268255
chr1	37692485
chr6	26032170
chr12	12725764
chr7	37032055
chr6	136250393
chr1	231604190
chr1	150236328
chr17	3723873
chr6	80004655
chr3	44761745
chr18	75209360
chr12	6493993
chr17	59829530
chr6	37169724
chr5	134905861
chr7	32490428
chr1	68497098
chr10	89701634
chr11	32313066
chr20	45319753
chr2	110678179
chr2	241686846
chr17	68035665
chr9	35665212
chr14	75278643
chr12	27703812
chr18	3448355
chr17	28599033
chr17	63842778
chr3	160399620
chr11	9566294
chr18	2571550
chr17	58659158
chr17	47067553
chr3	142578848
chr1	117059964
chr22	28741866
chr1	146387573
chr17	8210620
chr6	33391801
chr13	33818091
chr10	29784579
chr16	29805567
