Chrom	position
chr5	72143916
chr11	65686833
chr16	15684872
chr19	36630924
chr11	9587721
chr1	110026863
chr1	236260624
chr3	58318566
chr17	73512530
chr12	57024202
chr2	114341618
chr16	4994963
chr12	57506047
chr20	60982496
chr20	1396807
chr2	234883472
chr10	65467255
chr20	33893675
chr8	142037016
chr14	23006046
chr4	122632908
chr13	22245152
chr7	48124715
chr6	158461513
chr4	127771618
chr1	115722319
chr11	5301987
chr12	117176033
chr12	53297802
chr16	9141839
chr20	57199117
chr17	3627152
chr4	1037594
chr2	173118099
chr6	136931600
chr5	90610285
chr4	84469761
chr5	142625787
chr20	48782793
chr5	92956356
chr9	88963587
chr13	49323945
chr10	103815989
chr12	90163247
chr3	31118774
chr11	64622617
chr11	9386008
chr10	17270527
chr11	9781330
chr7	26240538
chr1	7462038
chr3	196758436
chr3	56166424
chr11	119089369
chr5	14809939
chr11	10512265
chr5	126220201
chr11	86451834
chr17	39968257
chr19	3557752
chr19	7587371
chr7	30066476
chr22	46924291
chr13	101045168
chr1	233679592
chr2	205889989
chr5	86596779
chr7	39629512
chr1	44395416
chr1	16121766
chr10	79110630
chr16	48192400
chr5	56989103
chr14	90422179
chr17	62062630
chr5	95048354
chr19	48361723
chr8	132869207
chr9	86500618
chr16	69564752
chr10	13755149
chr5	149696902
chr10	118766765
chr13	111607751
chr1	26714059
chr10	21626017
chr13	111522717
chr17	61352899
chr1	67628867
chr7	28077081
chr20	10492398
chr19	9186476
chr22	36026142
chr18	12404084
chr2	128165707
chr5	75668601
chr2	55278484
chr8	131540778
chr13	111617828
chr9	75172638
chr12	47672063
chr16	3072457
chr4	185339258
chr3	115509808
chr17	69068132
chr19	14495255
chr10	25198162
chr3	12447460
chr18	60190081
chr12	25486844
chr16	48157227
chr5	162806768
chr6	119629635
chr11	19681910
chr15	93375028
chr3	194298975
chr3	39188689
chr6	152416478
chr21	34807195
chr3	38875763
chr12	63118899
chr10	30971529
chr5	17118953
chr12	2445679
chr9	99102186
chr17	78830451
chr5	121434883
chr4	72978442
chr7	102516464
chr9	128005720
chr1	16279455
chr15	79471593
chr19	1102595
chr22	40895338
chr5	88852207
chr2	27544134
chr18	8996380
chr7	99160682
chr8	102110927
chr7	12991312
chr10	93661737
chr13	46929100
chr3	115719284
chr20	60663735
chr4	140910706
chr1	60138718
chr14	73075257
chr2	23980750
chr1	95007525
chr2	38604477
chr2	127822498
chr3	8671340
chr22	39704982
chr11	86235395
chr6	20811613
chr10	114847298
chr20	25218609
chr3	98690159
chr6	166928775
chr11	43942443
chr9	78505459
chr12	6454720
chr18	68004573
chr15	67316894
chr6	130500031
chr12	80580672
chr1	237068609
chr19	11205898
chr2	242908167
chr16	1052908
chr8	126525477
chr3	142297697
chr5	176042295
chr6	30737549
chr13	50819413
chr15	70053384
chr2	65233824
chr17	47785731
chr2	129294922
chr17	57906807
chr20	32978815
chr2	196478817
chr4	174173670
chr18	36520971
chr2	71970194
chr14	22802609
chr16	31084607
chr7	2797705
chr6	52382536
chr2	27943178
chr4	95749054
chr1	205263894
chr11	107711631
chr1	151284226
chr5	77189537
chr4	10108410
chr6	37759297
chr18	57721113
chr15	36720673
chr5	118660149
chr4	159918064
