Chrom	position
chr1	569412
chr16	46396777
chr4	49659622
chr16	46421849
chr16	46422584
chr16	46396279
chr16	33238005
chr14	92302937
chr2	197664476
chr11	33083082
chr5	141348995
chr8	145734508
chr19	48103840
chr5	140998777
chr4	49123043
chr7	102985308
chr6	106580845
chr3	75718451
chrUn_gl000212	40875
chr1	39339055
chr9	6413005
chr10	1034505
chr1	27248262
chr16	30346672
chr8	141468205
chr7	139875315
chr1	45769698
chr21	11186611
chr12	6471113
chr7	135662108
chr19	16308662
chr3	14693082
chr6	36853596
chr16	46393410
chr12	619704
chr17	6554968
chr19	3500761
chr1	44457399
chr19	11877843
chr20	33627138
chr17	1945366
chr7	124569929
chr3	119041961
chr11	65264963
chr16	46386006
chr12	27676954
chr2	220408734
chr19	42901218
chr16	46424626
chr16	46428700
chr16	46434052
chr16	46435339
chr1	207226651
chr5	178012687
chr2	233415356
chr16	30441281
chr18	11689158
chr10	105156364
chr9	95056023
chr9	95527778
chr1	6550598
chr9	97969513
chr7	56441249
chr2	70369887
chr12	56843010
chr5	59995917
chr5	59271285
chr2	27851923
chr10	74439740
chr12	122751011
chr2	65659966
chr9	116038048
chr7	39773156
chr2	47572326
chr15	69849964
chr2	90383323
chr12	112563345
chr17	37310404
chr17	56468919
chr10	130262801
chr5	92917240
chr10	129671406
chr7	72993057
chr22	31608249
chr5	75013050
chr17	48619958
chr17	1532109
chr17	1162782
chr17	7745821
chr17	46704083
chr17	46689506
chr17	46688077
chr17	8022234
chr17	56442017
chr17	7620886
chr17	46185182
chr17	46045194
chr17	8534750
chr17	46018646
chr17	45928362
chr17	9549541
chr17	43449293
chr17	900307
chr17	10548822
chr17	12921135
chr16	90110701
chr17	8113673
chr17	7465336
chr17	7518478
chr17	3749577
chr17	4693115
chr17	4607385
chr17	53498773
chr17	4458835
chr17	4269832
chr17	4738470
chr17	5095262
chr17	6459316
chr17	4167276
chr17	3572165
chr17	55113450
chr17	6544460
chr17	15850086
chr17	48785446
chr17	2952258
chr17	6915859
chr17	2878975
chr17	2310775
chr17	56472074
chr17	7210380
chr17	43394800
chr17	40706791
chr17	43210447
chr17	15902806
chr17	26645577
chr17	37886675
chr17	27038408
chr17	27054335
chr17	27181882
chr17	37309265
chr17	27503649
chr16	89724000
chr17	36981445
chr17	36956244
chr17	36887008
chr17	36831315
chr17	36507542
chr17	27620481
chr17	28659376
chr17	36003424
chr17	35767531
chr17	34842436
chr17	28671889
chr17	33469233
chr17	30228684
chr17	29159258
chr17	28804472
chr17	38269711
chr17	38279731
chr17	19266195
chr17	16284463
chr17	42402028
chr17	16439307
chr17	42264177
chr17	17861828
chr17	42092329
chr17	41466802
chr17	40932054
chr17	40897290
chr17	28705726
chr17	40346499
chr17	38375400
chr17	40169854
chr17	40169319
chr17	20946749
chr17	40021659
chr17	39804470
chr17	39678156
chr17	39059828
chr17	38804333
chr17	38440108
chr16	89883232
chr16	66865118
chr16	89635926
chr16	2077603
chr16	3767913
chr16	3696375
chr16	3661415
chr16	3333274
chr16	3285247
chr16	3208907
chr16	3199878
chr16	3150184
chr16	3074119
chr16	2955393
chr16	2954262
chr16	2933060
chr16	2918430
chr16	2827601
chr16	2732284
chr16	4303633
chr16	4304129
chr16	4357968
chr16	15993527
chr16	22386126
chr16	21610755
chr16	19729467
chr16	19499451
chr16	19079033
chr16	18801702
chr16	15068881
chr16	4526475
chr16	14750541
chr16	14164973
chr16	11891557
chr16	11038468
chr16	10837821
chr16	5121925
chr16	2265266
chr16	2021896
chr16	89308000
chr16	2009636
chr15	92042117
chr15	91498112
chr15	90895492
chr15	90877728
chr15	90727991
chr15	90709210
chr15	90667961
chr15	90572523
chr15	89878168
chr15	89182221
chr15	89164780
chr15	89089891
chr15	85201631
chr15	84799518
chr15	80977339
chr15	93353964
chr15	93443529
chr15	94234174
chr16	577348
chr16	1993066
chr16	1728265
chr16	1543127
chr16	1458305
chr16	771631
chr16	733770
chr16	571867
chr15	97948137
chr16	285164
chr16	127890
chr15	102192722
chr15	100106079
chr15	99270986
chr15	98418703
chr16	23568678
chr16	25272809
chr16	27280063
chr16	27561450
chr16	69430540
chr16	69364719
chr16	68778979
chr16	68678699
chr16	68299636
chr16	68279033
chr16	67840463
chr16	67281429
chr16	67208306
chr16	67062685
chr16	66864639
chr16	66748943
chr16	58058678
chr16	57769645
chr16	57769057
chr16	69438539
chr16	70488342
chr16	71323227
chr16	81041108
chr16	89307419
chr16	85833854
chr16	85833380
chr16	85045374
chr16	85044480
chr16	82067436
chr16	75657026
chr16	71660998
chr16	75299048
chr16	75182631
chr16	75032690
chr16	74402063
chr16	72042560
chr16	71879752
chr16	57496523
chr16	57481458
chr16	57318814
chr16	30457243
chr16	46395418
chr16	46393015
chr16	31724732
chr16	30798589
chr16	30645671
chr16	30546180
chr16	30456680
chr16	30418575
chr16	29973137
chr16	29874744
chr16	29819238
chr16	28833466
chr16	28223763
chr16	57219695
chr16	50099738
chr16	56716141
chr16	56677564
chr16	56642698
chr16	54964345
chr16	53809546
chr16	53537545
chr16	50059035
chr16	46416928
chr16	48278177
chr16	46923703
chr16	46655202
chr16	46423742
