Chrom	position
chr19	7948191
chr19	42747237
chr19	9969643
chr22	45127119
chr5	78531670
chr16	81069269
chr2	8641112
chr12	48137996
chr19	54676870
chr19	39900175
chr20	13619725
chr12	133006581
chr21	37525475
chr12	120730730
chr18	21017747
chr2	44394957
chr22	19155994
chr17	29025057
chr1	16500316
chr17	39943354
chr10	7860323
chr1	236332501
chr19	19661075
chr19	15307005
chr12	6945018
chr6	24403044
chr1	235530812
chr7	98050517
chr1	180471204
chr16	86371984
chr3	195641945
chr5	180288547
chr16	81917052
chr11	68227567
chr22	38453435
chr15	75135165
chr7	100450030
chr17	4785399
chr22	38003283
chr1	85931134
chr19	14328378
chr16	4304202
chr1	151566815
chr1	201140087
chr16	89209056
chr11	118123039
chr9	139686296
chr2	238346991
chr4	151937260
chr16	791331
chr17	39574052
chr20	39968733
chr5	1074167
chr12	122110462
chr6	36355314
chr16	85644613
chr11	694343
chr7	65187414
chr5	77591670
chr20	17550392
chr17	66508268
chr6	52281441
chr12	132808284
chr22	50311640
chr2	73086976
chr17	76356903
chr1	6483653
chr19	770481
chr18	8707056
chr2	165698750
chr1	209979453
chr19	10654260
chr13	114143681
chr19	9896610
chr7	5602127
chr5	138088728
chr1	145382812
chr2	230931854
chr7	64676958
chr3	13927081
chr17	76346538
chr16	67280747
chr12	133137726
chr16	69796022
chr11	68868966
chr11	6502369
chr17	17743698
chr1	22587600
chr11	71159334
chr18	47814544
chr20	48506707
chr9	127906073
chr7	140103922
chr20	58838174
chr7	151366977
chr16	27865947
chr1	38603074
chr19	7934410
chr1	225633938
chr6	136871730
chr1	27995675
chr16	28989257
chr9	108007559
chr1	18002468
chr13	114211412
chr2	139260060
chr4	49659616
chr8	127570166
chr1	95286270
chr16	46422670
chr6	2245267
chr17	80623961
chr19	12886030
chr12	65563253
chr13	113369686
chr9	139941046
chr6	34856938
chr1	2479608
chr7	985448
chr7	140179456
chr6	27636482
chr19	14378290
chr19	18795033
chr16	87495204
chr20	30311616
chr6	160148004
chr5	179720787
chr10	50746839
chr9	37904299
chr9	138863975
chr1	220263283
chr16	66729977
chr9	133816580
chr12	123450817
chr19	44555983
chr14	70883697
chr11	66246619
chr1	3773947
chr1	29208629
chr19	19477885
chr1	24742002
chr1	7539388
chr7	362149
chr19	6714012
chr16	71843238
chr10	98808553
chr7	2354424
chr11	70966563
chr1	8085181
chr8	144816375
chr9	140041800
chr19	11039259
chr17	47439858
chr8	90914267
chr9	112083494
chr20	42286152
chr19	56143208
chr11	88070745
chr6	147523941
chr21	46853939
chr3	11278495
chr3	11761264
chr18	3248016
chr7	45894080
chr19	8454885
chr3	141943884
chr10	60028658
chr18	71814640
chr1	1714065
chr3	48442503
chr4	49123045
chr16	28936064
chr19	55672018
chr16	46428710
chr7	44255369
chr19	1267370
chr6	37225455
chr19	57999144
chr4	8036038
chr2	132250573
chr14	54396793
chr11	70116342
chr8	10817752
chr9	77643539
chr4	170540839
chr7	1461737
chr22	31090404
chr2	240669715
chr22	25960320
chr20	50416828
chr16	70099883
chr13	114916039
chr20	42219698
chr6	117002958
chr1	885856
chr22	44787912
chr12	7312957
chr21	37513960
chr2	241835569
chr2	243030925
chr2	220118985
chr1	3300530
chr10	124135034
chr13	21913154
chr19	8594437
chr17	19411868
chr2	7006536
chr19	14685115
chr4	1200650
chr17	39968630
chr12	63329085
chr11	10772398
chr5	95297811
chr8	90769463
chr22	36806195
chr12	93963965
chr17	29035354
chr5	167718596
chr17	2592466
chr3	40566147
chr5	158758488
chr15	77836090
chr15	101253974
chr22	38732040
chr1	569408
chr3	112710165
chr1	15479737
chr16	49034615
chr4	99064221
chr7	139709710
chr1	205561259
chr22	22549873
chr20	32077559
chr3	184259053
chr15	58586600
chr3	185000693
chr7	6311362
chr8	1806358
chr1	30743493
chr19	58978148
chr9	138455261
chr11	1051066
chr3	42641960
chr1	207226584
chr7	35956763
chr11	64008020
chr22	26879730
chr1	89990738
chr15	41222892
chr18	77592390
chr16	78133882
chr11	47600522
chr15	65597719
chr1	205180550
chr17	77983880
chr20	60670203
chr9	132369978
chr8	33371599
chr19	3076169
chr10	97889767
chr11	615523
chr3	57996118
chr13	32842180
chr6	5839385
chr7	158058111
chr2	220406703
chr8	56685321
chr19	32897211
chr10	3254128
chr16	81527007
chr5	118406989
chr17	29877357
chr16	9144554
chr12	117176274
chr13	27752245
chr4	2539482
chr19	14017434
chr14	24768838
chr5	95998435
chr4	152330675
chr15	69452615
chr3	129612882
chr16	87984530
chr14	32671057
chr13	26760819
chr12	32552894
chr16	31129128
chr19	1848852
chr1	20813720
chr6	16762900
chr2	120997165
chr5	16616571
chr1	227751487
chr5	316721
chr19	18366173
chr19	2637000
chr4	1722956
chr16	88604412
chr5	148931251
chr11	68481824
chr3	174839237
chr1	223296977
chr4	1004756
chr9	124044362
chr1	33182354
chr8	101225856
chr17	55927463
chr17	62340823
chr21	26979928
chr19	17359391
chr18	71958743
chr22	35888288
chr19	1180501
chr4	39368041
chr2	27184797
chr22	22697386
chr19	2503880
chr6	56707921
chr5	140858091
chr7	101186330
chr14	100149536
chr19	38210763
chr20	51833778
chr7	106433656
chr2	74055990
chr2	47168814
chr19	6462311
chr17	34257593
chr2	54784845
chr17	34890349
chr6	166795534
chr19	39378278
chr1	38397608
chr9	139383320
chr16	23193957
chr13	114271861
chr16	30107243
chr1	179199183
chr2	236279861
chr19	44860783
chr17	77894728
chr11	2952078
chr17	76837368
chr19	44007961
chr10	77169147
chr19	45768849
chr2	183581536
chr17	79092911
chr14	105243739
chr17	75052601
chr8	270217
chr21	45284221
chr22	46959615
chr11	17574120
chr14	39735747
chr6	3094388
chr5	159297
chr2	175260541
chr2	174819867
chr2	203735657
chr21	43187193
chr1	6508102
chr18	59854146
chr17	1958173
chr2	157190139
chr16	50315280
chr2	27994687
chr4	56261888
chr12	54069803
chr1	999584
chr2	178257307
chr8	95092187
chr17	33569537
chr4	154388452
chr1	233760223
chr7	95951637
chr1	28975384
chr4	2337154
chr9	71736998
chr12	2222340
chr8	145734362
chr10	104210109
chr2	106383482
chr9	114393352
chr7	158498074
chr7	72972413
chr1	165600540
chr14	69658253
chr17	62658923
chr7	158881158
chr1	3566267
chr15	85712231
chr9	77702900
chr1	160991116
chr3	52035673
chr19	19754657
chr15	31393748
chr7	73153445
chr2	200820049
chr16	46421833
chr17	75314773
chr19	39174424
chr9	97489135
chr17	79269953
chr11	364674
chr20	42571762
chr6	27218999
chr16	31711860
chr20	49262233
chr19	49436858
chr19	44174233
chr16	46386010
chr9	92864844
chr20	49347644
chr9	140203884
chr12	121906292
chr12	56710043
chr19	38791422
chr10	3463122
chr2	183943511
chr14	100659550
chr4	54457828
chr10	3852479
chr16	47175910
chr1	154377717
chr17	16353852
chr2	9348073
chr7	66767807
chr8	101225023
chr22	36727529
chr5	134733901
chr8	145049198
chr9	103361030
chr2	96874814
chr7	66090007
chr10	104154561
chr10	104221050
chr3	196625706
chr19	55850189
chr7	63386606
chr19	42430496
chr5	85914136
chr19	47535633
chr17	55038392
chr20	10415999
chr15	91576487
chr5	94982703
chr8	102597160
chr2	157189619
chr12	95467497
chr16	84402099
chr7	116139335
chr7	73684235
chr20	37101225
chr17	42852707
chr12	117628109
chr20	62166826
chr7	115851520
chr8	145017569
chr5	180600647
chr16	88704956
