Chrom	position
chr1	1471611
chr8	37736585
chr20	324539
chr12	6873436
chr1	154973781
chr1	24745164
chr7	76303649
chr16	1408292
chr19	48322043
chr5	177497654
chr17	17206559
chr2	74455067
chr6	30571347
chr9	113401359
chr1	202810794
chr10	15088606
chr20	47501809
chr20	38962247
chr1	22642182
chr8	144463021
chr6	166956616
chr20	18587874
chr20	1118528
chr19	2151875
chr2	109614250
chr12	111369147
chr16	57995006
chr18	54224777
chr4	37686497
chr22	44975729
chr11	61567370
chr16	25257502
chr15	75903827
chr16	97157
chr15	101277578
chr1	148152240
chr1	23838699
chr19	4535322
chr16	70801211
chr12	71938900
chr3	10164860
chr7	139232364
chr12	50167566
chr8	21920493
chr16	87853784
chr4	88593233
chr8	42896478
chr11	46700673
chr4	1870539
chr4	4290200
chr8	27614733
chr4	48341169
chr4	113547668
chr3	153162123
chr20	35541964
chr17	21275905
chr22	30289717
chr19	49363741
chr19	55180186
chr16	50742081
chr19	55624669
chr2	10044023
chr2	43222084
chr19	17202384
chr1	26997854
chr15	43510819
chr15	40906585
chr2	96305534
chr2	101002222
chr2	126886463
chr14	89954742
chr2	232697166
chr9	137217419
chr18	12377539
chr14	24299792
chr16	69187089
chr17	18857994
chr12	121797373
chr7	100100694
chr12	116910915
chr19	2463068
chr6	33571383
chr7	75915003
chr1	1059660
chr7	6059255
chr17	8156398
chr13	24160614
chr22	23787420
chr1	151547334
chr21	46636017
chr21	43646786
chr2	191020325
chr21	39183519
chr13	40789398
chr8	143829485
chr22	30802970
chr6	158819417
chr14	23237862
chr1	226083568
chr20	327256
chr17	81515410
chr22	31662239
chr1	29230985
chr22	37934085
chr11	83285778
chr3	194633723
chr3	156674376
chr11	124069526
chr12	1907719
chr12	6872571
chr3	57165504
chr3	52536388
chr3	48898914
chr12	49568198
chr1	54715795
chr12	56468559
chr8	100950850
chr12	94134471
chr1	2412559
chr18	36129456
chr17	51259340
chr4	6596133
chr1	182029900
chr16	2603349
chr19	42302392
chr19	39480659
chr16	27867805
chr9	124320519
chr19	33081174
chr1	869867
chr16	57757360
chr19	14288969
chr7	92528535
chr16	69330662
chr1	159132516
chr19	9827841
chr16	84145025
chr19	3968948
chr16	2178719
chr16	641876
chr7	6374320
chr15	101652369
chr1	28088773
chr17	50719513
chr1	27568628
chr17	7012584
chr2	60756190
chr15	63189539
chr9	85742072
chr1	26111782
chr15	74696089
chr15	75204969
chr9	133376342
chr7	29921584
chr7	32957273
chr9	94374487
chr19	50724811
chr17	60139987
chr7	135662477
chr20	44714801
chr4	165112904
chr5	181246476
chr11	66045289
chr10	80058967
chr11	18634401
chr8	10054287
chr11	63838765
chr8	17157130
chr6	3258881
chr5	171388616
chr6	26123008
chr6	35805312
chr5	173332155
chr5	16550478
chr6	30541896
chr17	68463132
chr1	22451745
chr5	80255605
chr17	74432041
chr14	22598232
chr20	25233562
chr1	37434455
chr21	32393052
chr16	2004006
chr17	14069520
chr7	2354069
chr20	382100
chr1	206635470
chr17	1714852
chr1	222589676
chr17	82450786
chr8	144428516
chr20	38928081
chr6	149565131
chr20	48679813
chr16	22195817
chr2	237662846
chr19	46786395
chr20	54207837
chr19	46661382
chr13	23579330
chr16	5097769
chr13	45120399
chr17	39402715
chr7	100088958
chr16	14634225
chr13	77327181
chr1	154272465
chr6	34889204
chr10	102395636
chr1	1435622
chr19	55259074
chr10	132752545
chr19	55437547
chr1	996086
chr19	55461139
chr2	69829564
chr5	141619207
chr5	154682615
chr7	33109702
chr5	173616881
chr1	27013025
chr15	76148126
chr1	154975045
chr2	38603541
chr17	68248009
chr2	27409744
chr1	25859535
chr17	47001291
chr17	7435418
chr8	133297314
chr14	99853405
chr9	97013664
chr2	222656405
chr2	218217120
chr1	32465060
chr5	115169996
chr6	35342510
chr19	50384258
chr1	32013553
chr17	2338094
chr17	73092733
chr19	51367659
chr2	152335127
chr14	103103775
chr19	52095894
chr14	103921657
chr1	1013437
chr2	120553133
chr9	36258498
chr21	46324649
chr16	20806590
chr12	52023835
chr11	67469355
chr17	64282124
chr3	48188440
chr3	42179627
chr11	65615434
chr16	67481219
chr16	67465949
chr3	38346796
chr1	241998721
chr3	27484495
chr17	79401275
chr12	56126364
chr7	100483346
chr17	62423847
chr17	59107072
chr6	36986228
chr7	128476713
chr19	11293987
chr12	57847134
chr3	129120751
chr11	72223291
chr17	49708293
chr19	3721666
chr7	100158759
chr6	28866751
chr3	193593063
chr3	184712145
chr1	9943367
chr4	39639132
chr10	31603603
chr17	35142247
chr10	45727202
chr17	34703791
chr19	10335007
chr16	88882523
chr12	57771796
chr17	4796766
chr10	95561544
chr10	50067905
chr16	29805551
chr12	121839665
chr16	28212150
chr19	33820113
chr17	74776364
chr16	31034299
chr16	89700198
chr17	28576968
chr12	120265943
chr6	118893951
chr12	98644825
chr22	39490267
chr6	16129057
chr22	50271883
chr19	2269336
chr16	28264930
chr9	128787104
chr1	155911428
chr19	55217077
chr19	35879958
chr6	7261543
chr19	35003534
chr10	101830702
chr1	10756085
chr6	28141767
chr9	128947670
chr16	75556349
chr19	10403561
chr1	198156966
chr15	84980902
chr15	82262716
chr9	89605008
chr7	92833980
chr9	129258624
chr19	38335778
chr7	27740060
chr9	121370433
chr6	4018772
chr6	4358855
chr19	2599137
chr16	23510532
chr1	165698618
chr19	34254533
chr16	74480316
chr15	90249482
chr1	155610027
chr1	15617292
chr1	173868691
chr19	48812424
chr19	48873079
chr19	49056221
chr1	160285168
chr5	180090611
chr19	49592293
chr1	182839304
chr16	58129653
chr16	66934444
chr16	2023371
chr10	97687397
chr16	2460070
chr10	97640455
chr7	101564980
chr9	96566892
chr1	11681183
chr5	177456487
chr19	51338966
chr19	12919353
chr6	26157159
chr1	145425846
chr16	70114207
chr10	79054405
chr7	33129300
chr16	74368294
chr19	54191002
chr9	121695648
chr11	73788217
chr2	16508410
chr6	125780395
chr12	54214839
chr3	13451841
chr12	56080048
chr12	56129361
chr3	8963513
chr12	69470318
chr6	113858870
chr10	49607109
chr8	108443499
chr12	105330509
chr12	109020984
chr6	137873454
chr8	22561963
chr11	59668350
chr12	113335195
chr1	151540309
chr12	120438161
chr12	121399884
chr22	20917096
chr8	130357912
chr12	122752671
chr22	19959417
chr5	671553
chr21	44370201
chr6	79234804
chr3	49007989
chr2	20350405
chr3	158802024
chr11	71453195
chr4	3955471
chr6	43053761
chr1	149886711
chr6	43369770
chr1	149390369
chr11	103092232
chr3	184335900
chr11	115869960
chr11	118145559
chr11	119067683
chr6	43774955
chr11	66258016
chr3	131026923
chr3	130111499
chr3	129316323
chr3	125916608
chr11	68380691
chr12	2035095
chr17	49362570
chr3	72848569
chr4	70705748
chr3	53347677
chr8	67064369
chr21	42666152
chr11	45340229
chr1	42817327
chr7	6602410
chr4	6909759
chr5	132963742
chr2	190319855
chr5	134226285
chr2	162344331
chr2	131106554
chr9	35605174
chr2	121755506
chr2	121737099
chr5	134371358
chr2	105037967
chr15	42495596
chr13	30617753
chr10	130136368
chr2	70302085
chr2	68063065
chr15	58771080
chr10	123008931
chr5	145835399
chr2	56191774
chr7	6637841
chr1	202808483
chr2	28870421
chr5	157743608
chr2	200526050
chr2	219552756
chr2	224585661
chr14	67819957
chr20	64062975
chr13	46052829
chr20	62624094
chr20	62598851
chr20	56468565
chr1	40450151
chr20	45891275
chr6	33204538
chr1	235161299
chr6	158644799
chr1	38047090
chr11	7513698
chr5	94111564
chr1	36369186
chr7	1170010
chr9	6007052
chr1	36089099
chr5	96936001
chr2	241881892
chr2	240561116
chr14	59190125
chr2	240251268
chr1	35031791
chr2	191678071
chr20	63973991
chr17	58514711
chr17	38800101
chr17	44308574
chr18	36187455
chr17	2512011
chr16	89247533
chr17	78352979
chr17	82647920
chr1	1069371
chr17	76501442
chr19	1113514
chr17	56780489
chr14	50116619
chr20	3767786
chr20	5911696
chr18	9334496
chr20	13784916
chr8	144902229
chr14	24188858
chr1	35883126
chr1	37554387
chr8	144529140
chr20	31968581
chr8	144509018
chr9	5450484
chr22	35552638
chr14	54509727
chr14	20684553
chr9	35071901
chr14	99563414
chr14	96582046
chr2	178480353
chr14	88824663
chr14	77655184
chr1	32716786
chr2	219217974
chr17	8249237
chr17	8746071
chr2	240025434
chr18	23503465
chr17	9972192
chr18	22933306
chr14	58199910
chr9	14322749
chr20	41340724
