Chrom	position
chr22	40711730
chr16	70428403
chr21	36235349
chr2	72757436
chr2	169012380
chr16	68237703
chr3	15305736
chr2	47176645
chr16	57268978
chr1	225694308
chr3	179147370
chr3	124627750
chr1	43207032
chr3	182180871
chr12	58925360
chr2	237595135
chr9	128558632
chr1	183472068
chr11	59960644
chr5	80205111
chr2	231337981
chr4	16129541
chr9	33240103
chr2	9178441
chr1	41151173
chr1	238672449
chr7	110677564
chr8	117172415
chr10	25493366
chr7	138257768
chr3	112786241
chr19	16262867
chr2	36919319
chr1	16144000
chr1	204289496
chr6	152314328
chr10	21727905
chr3	72144924
chr17	81394039
chr5	56123957
chr17	71329542
chr22	25762315
chr4	39558415
chr4	152957663
chr5	142166413
chr14	56660176
chr3	194003339
chr17	77300532
chr3	5016729
chr17	68733940
chr9	120684507
chr2	47310058
chr5	59649417
chr2	138778226
chr7	92695423
chr9	6780046
chr18	44887439
chr14	93043660
chr17	8532223
chr11	12159111
chr18	48488699
chr1	56811465
chr12	104408794
chr10	90921483
chr20	17682879
chr14	99574614
chr10	114655283
chr17	1590041
chr11	76624997
chr17	39281220
chr16	85535576
chr4	138911064
chr1	181153146
chr12	42922412
chr10	78588456
chr12	93087505
chr6	108971465
chr5	86617844
chr6	55825795
chr3	65953404
chr9	2771332
chr5	124656156
chr22	28912441
chr10	97789131
chr9	110194457
chr10	12751064
chr7	40733337
chr1	164712416
chr3	98593748
chr5	145979463
chr15	75140359
chr12	59368492
chr9	120766896
chr9	123678757
chr6	108562829
chr5	94286213
chr8	38076552
chr3	25430672
chr2	109716867
chr3	111735522
chr13	26956617
chr1	67686899
chr17	8173475
chr17	933648
chr15	57496024
chr7	5327543
chr10	73649213
chr2	33475928
chr1	3349279
chr8	274450
chr8	105584727
chr1	155308781
chr15	70171701
chr4	182240466
chr16	88498009
chr4	147117619
chr8	118415772
chr1	211667357
chr11	78715934
chr2	196259919
chr14	99784635
chr10	35771189
chr5	169504137
chr5	108531595
chr10	90931273
chr11	12201348
chr1	26693143
chr2	237614361
chr2	215619257
chr5	113203498
chr9	97051998
chr1	8571759
chr14	68863120
chr1	183287553
chr1	201309620
chr17	59367008
chr5	116872684
chr6	17706955
chr3	78091645
chr1	15139964
chr1	232682451
chr7	24829478
chr10	68618478
chr4	123349574
chr1	53116077
chr19	23395539
chr11	70874228
chr4	155705923
chr1	245654837
chr12	52925300
chr17	61367031
chr20	45342205
chr2	16425803
chr13	43473757
chr20	56392499
chr8	11802560
chr2	67561610
chr9	115495341
chr9	114908391
chr2	226772808
chr18	63882883
chr3	33355789
chr1	28885080
chr12	17326871
chr7	135937029
chr18	36464217
chr10	48383579
chr12	64656605
chr6	144265159
chr6	88973218
chr7	110442691
chr15	29924850
chr14	68763115
chr6	108904040
chr17	81507994
chr15	37047407
chr4	186685100
chr2	207831999
chr6	142378296
chr3	155595095
chr14	49999583
chr3	172141095
chr4	148795356
chr1	93474438
chr1	206416791
