Chrom	position
chr7	37032128
chr11	9566168
chr3	44236111
chr13	100392916
chr12	31749350
chr11	36149883
chr20	50166245
chr13	50245279
chr6	90369183
chr2	233974763
chr2	172253379
chr17	35433762
chr16	69530848
chr16	15591061
chr15	66803341
chr13	110965470
chr5	57693275
chr13	97141766
chr2	88600318
chr12	75978090
chr16	9047986
chr19	48326132
chr14	22334177
chr9	107244005
chr11	64855139
chr1	37534650
chr14	95265662
chr7	2758064
chr13	110870374
chr2	43426603
chr9	73149673
chr12	122400657
chr8	27614772
chr19	11095225
chr19	45455929
chr3	58049407
chr11	86740796
chr10	63707505
chr2	43294011
chr6	4358790
chr7	83468465
chr7	48085122
chr1	244323170
chr2	160224276
chr17	40314799
chr9	96339901
chr2	11744241
chr13	113493487
chr1	236097353
chr5	34924126
chr6	20877577
chr18	34979306
chr10	113087529
chr12	124917277
chr3	197031635
chr9	37472538
chr1	150604931
chr20	10511747
chr4	1043791
chr19	9075793
chr8	125430271
chr11	66892353
chr5	133240686
chr2	65366781
chr19	2169090
chr3	12405966
chr3	27534150
chr20	34391018
chr7	101138654
chr3	182212640
chr2	27321269
chr2	173049010
chr2	64831511
chr10	63236562
chr5	143246218
chr7	28686082
chr4	145808489
chr22	49970931
chr8	58079095
chr10	90319689
chr6	157763566
chr9	121287210
chr22	40711731
chr4	83548599
chr1	168409035
chr17	4945382
chr2	102227926
chr8	125513249
chr11	66418288
chr8	125219458
chr1	200483682
chr17	21288095
chr16	3022464
chr7	1537365
chr8	39038308
chr16	4944977
chr17	59837793
chr12	57112272
chr1	153566714
chr6	37791521
chr19	38300754
chr9	121282045
chr10	33134257
chr12	80186888
chr3	14144720
chr19	14384441
chr1	90403340
chr2	96557051
chr7	151687776
chr14	63864492
chr6	52517741
chr3	46935640
chr2	232988680
chr10	91901976
chr11	9759834
chr9	12814610
chr19	1102596
chr9	127955588
chr7	32670358
chr11	19660364
chr5	40689653
chr20	31836378
chr14	44317078
chr4	113959392
chr3	15769160
chr1	150613694
chr21	38787705
chr2	200406086
chr10	31941023
chr13	48749834
chr12	103805115
chr10	110501450
chr10	132572125
chr22	41288481
chr5	37668685
chr22	38178208
chr17	1115273
chr7	28037442
chr14	77303872
chr10	29659156
chr4	77921920
chr10	113093665
chr11	94152420
chr5	112958665
chr2	127064921
chr15	58332341
chr20	1416161
chr2	85499266
chr3	58471524
chr11	64924214
chr7	45978279
chr5	75567054
chr12	75722853
chr6	73580525
chr16	1722344
chr16	3020953
chr20	11267505
chr4	37648313
chr11	86524334
chr12	116916945
chr12	64088578
chr4	186736053
chr1	151311739
chr3	170999997
chr18	23377861
chr5	91280616
chr14	32259840
chr1	172934068
chr7	74279815
chr11	9364457
chr8	93880494
chr8	131856959
chr4	74659977
chr20	4135736
chr2	238864403
chr8	12726742
chr18	70337337
chr9	86348668
chr10	33264414
chr3	14432432
chr15	52021318
chr5	163379760
chr14	22537100
chr2	55051288
chr17	27332945
chr20	50761876
chr8	100900598
chr3	20054798
chr8	29665295
chr12	93785413
chr11	43831148
chr11	65382496
chr12	25334038
chr16	19107962
chr7	99563058
chr11	19442467
chr13	40540587
chr5	142362938
chr21	33947927
chr2	28392856
chr6	136610444
chr3	185796764
chr3	185336032
chr4	113468469
chr9	89180479
chr10	97543317
chr17	27353816
chr6	149847731
chr8	66124071
chr3	113051424
chr17	59829438
chr6	129684142
chr19	13851311
chr4	121711760
chr12	45234639
chr11	108497806
chr6	43799027
chr20	56555076
chr11	32707181
chr1	234772537
chr10	21337081
chr11	9613302
chr14	101972576
chr15	79179255
chr10	3852495
chr10	3783079
chr14	55103385
chr1	218460112
chr6	26204509
chr7	92633557
chr18	57748926
chr2	150133819
chr16	24701173
chr4	72112722
chr1	200372287
chr19	32373955
chr14	59275890
chr6	119147498
chr1	212559056
chr3	149300299
chr2	172698366
chr3	57803812
chr19	55207297
