Chrom	position
chr7	98970361
chr5	80649195
chr4	2789497
chr5	140044213
chr3	133188282
chr2	260874
chr4	140135400
chr4	1787041
chr16	83976685
chr14	101283853
chr10	30727574
chr3	16374683
chr19	18491044
chr3	195782790
chr12	6339942
chr9	84301897
chr19	524196
chr16	67480138
chr7	43714376
chr10	125795683
chr8	42310676
chr8	40020127
chr4	6753549
chr17	41286870
chr14	44496780
chr7	5334263
chr10	124671604
chr8	42394927
chr4	6757073
chr10	126159378
chr8	39912315
chr7	5597647
chr10	126526832
chr8	40032523
chr8	41009338
chr14	50188646
chr10	120873546
chr8	41933087
chr4	4814297
chr4	4642642
chr10	121398737
chr4	6339494
chr2	23345722
chr8	41670748
chr4	6649780
chr10	123314651
chr10	123664589
chr14	50459835
chr10	127481280
chr8	41427212
chr10	123816466
chr7	5534443
chr4	6705723
chr8	41137484
chr5	139743052
chr2	19738305
chr4	7763590
chr2	13081509
chr11	356009
chr7	6653573
chr2	12307834
chr7	6654654
chr8	37828690
chr4	9160308
chr11	654655
chr11	657944
chr11	704954
chr11	707423
chr8	37476810
chr5	138088812
chr11	844879
chr11	914957
chr11	936470
chr4	12914697
chr4	12935447
chr11	1409365
chr2	10328541
chr7	6618397
chr11	308087
chr8	38754707
chr11	306909
chr8	38643032
chr5	139126006
chr10	120341086
chr10	133473791
chr5	139113424
chr4	7997276
chr17	42325103
chr14	37449812
chr7	6489728
chr8	38441012
chr8	38437788
chr10	134902279
chr10	134975877
chr4	8015246
chr2	15906655
chr10	135143405
chr10	135160784
chr4	8244148
chr5	142187231
chr16	10359980
chr14	50692314
chr17	40931985
chr10	100034531
chr5	148762298
chr5	148761649
chr14	58862275
chr10	101064454
chr8	61874030
chr10	102052231
chr4	1772781
chr8	61656702
chr4	1778386
chr14	56066433
chr5	148700545
chr4	1797466
chr8	59390656
chr10	102440661
chr10	102650581
chr5	147871583
chr4	1804287
chr10	102768729
chr8	63052259
chr2	43015033
chr2	43019797
chr10	98423722
chr8	68278441
chr2	45500847
chr2	45013414
chr3	197185449
chr10	97423448
chr5	149381474
chr4	649094
chr10	98418167
chr5	149073717
chr14	61125873
chr5	149020993
chr4	701998
chr14	61509118
chr14	61286462
chr10	99069902
chr8	66547586
chr7	1916457
chr17	38257304
chr8	59372366
chr10	102823675
chr10	103202182
chr8	48437721
chr14	54353939
chr10	114056343
chr10	114091973
chr8	48665825
chr10	114139860
chr10	114154463
chr5	142576372
chr5	142553349
chr7	4781890
chr10	112499853
chr10	114647863
chr10	114833768
chr17	40779584
chr4	4020163
chr17	40918251
chr14	51359132
chr17	43537911
chr2	26461593
chr5	143063179
chr17	39843675
chr5	147051186
chr17	39159295
chr14	55123071
chr7	2669523
chr7	2678194
chr2	33003052
chr2	32556523
chr10	104957069
chr4	2802944
chr2	32554432
chr10	105352679
chr4	3207923
chr10	105554153
chr14	54908467
chr4	2862890
chr5	146549173
chr2	31306683
chr14	54642954
chr10	111725475
chr4	3180961
chr8	42513432
chr4	14831650
chr11	1711265
chr11	35683897
chr4	40319330
chr14	21091387
chr11	45412137
chr19	50490533
chr4	40919087
chr19	50444894
chr11	45943917
chr11	46274190
chr14	19933957
chr11	46295570
chr5	131875549
chr8	22986976
chr11	46576121
chr11	46736177
chr8	22613868
chr4	43359011
chr13	113874688
chr19	49713440
chr19	51041222
chr8	23856950
chr19	49339185
chr11	35362432
chr5	133382839
chr8	25257746
chr17	48930844
chr8	25142158
chr11	34364017
chr8	25097042
chr11	34366929
chr5	133356810
chr11	34448862
chr11	34484251
chr19	51925399
chr11	34621370
chr4	39516704
chr11	34678096
chr11	34686763
chr19	51866191
chr17	49190250
chr4	39560074
chr8	24197081
chr4	44728610
chr7	25992493
chr11	33499746
chr8	19041758
chr11	58530356
chr19	48292241
chr11	59386778
chr5	131337683
chr4	57661541
chr7	27733632
chr11	59729521
chr4	57967465
chr13	111269874
chr4	69224918
chr11	61033052
chr13	111138024
chr17	56695163
chr19	47462094
chr11	61345363
chr11	61376936
chr4	69919914
chr13	103550302
chr4	70045728
chr11	57779434
chr5	131657146
chr11	47351833
chr4	57105208
chr8	21995043
chr19	49272325
chr5	131758572
chr11	47578695
chr13	113572258
chr17	55932975
chr5	131750918
chr19	49068436
chr11	47745774
chr19	49061660
chr8	21894493
chr19	48798939
chr5	131727158
chr8	21888358
chr11	57202316
chr19	48673791
chr8	19522587
chr19	48610754
chr8	19125252
chr19	53204118
chr4	38987971
chr2	10259222
chr4	18569202
chr11	7593690
chr2	8749750
chr2	8721808
chr17	44855726
chr5	135402461
chr11	8721693
chr2	8231177
chr11	9345818
chr4	23866338
chr2	7061758
chr8	30307981
chr2	3469838
chr4	24842155
chr2	3298007
chr8	30173328
chr8	30085431
chr8	30020166
chr2	249907
chr11	10921675
chr4	21179229
chr2	8802840
chr19	58930911
chr11	4082028
chr10	97107045
chr11	1852228
chr4	15151700
chr8	32996873
chr17	43577839
chr7	7222490
chr2	9719157
chr11	2232495
chr17	43935588
chr4	16252468
chr8	31084543
chr4	17517552
chr17	44090610
chr2	9243244
chr11	3663579
chr11	3664020
chr11	3829356
chr2	9236018
chr11	3981010
chr5	135204582
chr17	46879608
chr11	33083098
chr19	55770652
chr8	28022990
chr11	18545982
chr19	54707377
chr11	19529823
chr8	27751059
chr4	38417515
chr17	48506463
chr11	20728768
chr17	48620512
chr19	54367888
chr19	54288640
chr7	22871387
chr17	48718153
chr19	54100443
chr5	133437897
chr19	54068446
chr11	31092154
chr7	23324154
chr5	133434521
chr19	55195935
chr4	38164011
chr11	12244203
chr11	17791780
chr11	12388765
chr11	12621132
chr5	134902009
chr7	17445674
chr7	17448334
chr19	57489566
chr11	12855903
chr11	13029766
chr8	29831071
chr11	13162117
chr8	29614400
chr11	13484918
chr7	17564103
chr4	37668478
chr17	48210628
chr5	133839074
chr7	20721013
chr7	21104807
chr19	55876650
chr8	70204484
chr3	196566373
chr8	71001033
chr17	18855440
chr2	102857416
chr8	124585633
chr10	44754831
chr8	124484506
chr10	45435664
chr10	45448361
chr17	19441981
chr3	172259279
chr8	124217491
chr10	45651430
chr10	46108372
chr3	172376822
chr3	172414374
chr14	89467089
chr10	51510761
chr14	89001680
chr3	177234078
chr14	81991671
chr14	81875124
chr14	91845782
chr2	103352317
chr17	25859546
chr8	125030023
chr2	107678839
chr14	92995940
chr14	92970288
chr10	33671287
chr10	33765332
chr2	106814538
chr14	92853255
chr10	34410335
chr17	18828766
chr14	92418922
chr2	105953748
chr8	125704894
chr2	105852262
chr6	167544734
chr10	35743342
chr8	125551422
chr8	125451785
chr8	125275120
chr10	38178127
chr10	49514496
chr14	80469694
chr14	93190970
chr10	55121209
chr14	77773775
chr3	183706190
chr17	27292820
chr14	77542879
chr17	27323962
chr14	77495272
chr3	184032169
chr10	60802448
chr17	27370978
chr10	60833442
chr8	120221860
chr6	167755790
chr8	119356446
chr5	158046290
chr17	27476095
chr17	27485911
chr10	64577836
chr17	27546574
chr2	85956292
chr10	55717467
chr10	54534453
chr10	49647921
chr18	5788103
chr2	100814526
chr3	179264866
chr10	50970479
chr3	179450907
chr3	179452469
chr8	123769536
chr17	26585791
chr8	122441395
chr10	51979097
chr10	51985562
chr2	98360563
chr10	52299058
chr3	183027265
chr10	52365337
chr2	97485112
chr10	52642537
chr3	183703085
chr14	77820280
chr5	159871673
chr14	93023687
chr2	110381717
chr10	97064452
chr2	131859531
chr2	130902804
chr3	156253086
chr3	156480886
chr14	95758387
chr2	129028445
chr5	172731072
chr3	156838537
chr10	13325444
chr2	127761105
chr10	13743770
chr10	14574857
chr2	127754545
chr2	125324337
chr8	129197502
chr2	122423822
chr2	121518483
chr8	129179902
chr14	95060464
chr8	129165487
chr3	156231707
chr5	173146879
chr10	21794915
chr17	15551901
chr5	173251274
chr10	5570529
chr17	10363566
chr17	10641985
chr10	5671981
chr8	134372691
chr2	135849425
chr17	11373331
chr17	12806175
chr14	95991424
chr10	6341411
chr10	7163373
chr5	173195108
chr10	7742676
chr8	133374751
chr8	132916032
chr17	13429042
chr8	131687955
chr10	8092779
chr14	95039131
chr8	129130006
chr17	17987025
chr3	168715479
chr10	29439149
chr8	126447093
chr17	17710159
chr10	29621827
chr10	29643014
chr8	126429175
chr2	114361189
chr6	167177754
chr14	93546578
chr2	113072622
chr3	170076111
chr17	17739643
chr6	167299594
chr10	30901157
chr2	112286807
chr14	93499566
chr14	93477033
chr8	125984714
chr10	32444027
chr3	169722050
chr10	29228884
chr14	94988780
chr10	29187180
chr17	16945437
chr8	128746358
chr10	22972434
chr17	17267295
chr8	128295777
chr3	159508229
chr10	24932021
chr3	160225032
chr17	17437419
chr17	17474492
chr10	25402296
chr3	161061578
chr14	94425927
chr3	161138721
chr17	17686667
chr14	94266188
chr2	118848377
chr8	126699042
chr6	166808100
chr17	27883073
chr17	28067124
chr3	185684560
chr3	190048836
chr10	80937018
chr8	96036976
chr10	80945991
chr8	96034110
chr17	34329148
chr14	69422303
chr10	81967149
chr2	63947813
chr3	191480394
chr3	192569791
chr7	411324
chr2	62797341
chr8	95711812
chr3	193793777
chr17	35249926
chr2	62519543
chr3	193830551
chr17	35716153
chr10	86088083
chr3	190266267
chr17	34307200
chr2	60707722
chr2	65048816
chr14	70915558
chr2	66156959
chr10	80299454
chr10	80383857
chr10	80399621
chr6	170733115
chr2	65659866
chr2	65600678
chr10	80724971
chr14	70315040
chr5	150017307
chr14	70156943
chr10	80763673
chr14	70098488
chr14	70046947
chr2	65150028
chr10	80844180
chr8	96150219
chr6	170863432
chr17	35854772
chr17	36077332
chr10	65835495
chr10	93884771
chr2	47198049
chr2	47194484
chr14	63159126
chr2	47104335
chr10	94607533
chr17	37027912
chr2	46774543
chr3	196360971
chr3	196393209
chr5	149808063
chr10	94980513
chr10	94995669
chr14	62075137
chr8	74475496
chr2	46219564
chr8	71685990
chr11	62235415
chr17	37610059
chr3	197082852
chr2	47216336
chr8	80695944
chr10	88298508
chr3	195837444
chr10	88515462
chr7	1017399
chr3	194215892
chr17	36638381
chr3	194217347
chr3	194233745
chr3	194460757
chr2	54054178
chr17	36774688
chr10	91334246
chr14	65459414
chr8	81033468
chr3	194826250
chr3	194875867
chr3	194885509
chr14	65405338
chr8	80845545
chr3	195574244
chr2	47452684
chr3	188008538
chr3	187988302
chr10	80203869
chr3	186288258
chr10	72260855
chr5	154180370
chr5	154033200
chr5	154027038
chr10	73100025
chr17	30427578
chr14	75080119
chr10	73416004
chr14	74608717
chr2	74433417
chr10	73631200
chr5	153801658
chr8	103751869
chr2	74198343
chr3	186650019
chr6	168493908
chr10	73798388
chr14	74481196
chr6	168644850
chr10	72202274
chr5	154230276
chr8	97456454
chr2	77793934
chr14	75985221
chr17	28353840
chr8	117638573
chr14	75797135
chr14	75795481
chr2	85109412
chr10	70021008
chr10	70320108
chr3	185788508
chr10	70519886
chr14	75760821
chr10	70636468
chr2	84521126
chr3	185850559
chr2	79194621
chr14	75753302
chr3	186241434
chr10	71892628
chr8	107637038
chr6	168646112
chr2	73220386
chr5	153732741
chr8	103412849
chr14	73432120
chr10	77493265
chr10	77525069
chr10	77533377
chr17	33390785
chr2	70173875
chr14	73243737
chr8	99058547
chr6	169712917
chr8	98608220
chr17	33414313
chr14	71220336
chr10	79669713
chr8	98042746
chr3	187924130
chr2	69405507
chr3	187937283
chr14	71172987
chr17	32696145
chr2	71034569
chr17	31248214
chr2	72982267
chr14	74305255
chr6	168663007
chr8	101837495
chr8	101500259
chr10	74848319
chr3	186994692
chr3	187285572
chr10	75541788
chr3	187387614
chr3	187659843
chr2	72951091
chr17	30654304
chr10	76516279
chr10	76586673
chr10	76946689
chr10	76962674
chr5	151304311
chr10	77020051
chr7	29230289
chr19	46142781
chr11	62554166
chr7	54614575
chr19	2235642
chr5	758271
chr12	49709745
chr5	838836
chr5	850002
chr19	2047583
chr7	100317481
chr12	50279920
chr12	50374628
chr5	77887116
chr12	50505968
chr19	1871330
chr12	50667920
chr19	1864937
chr19	1864318
chr19	1857459
chr5	957690
chr19	1503592
chr19	1454035
chr12	125306434
chr5	78281801
chr12	125093858
chr5	617679
chr12	34098245
chr19	2740250
chr19	2650634
chr7	101241868
chr19	2624873
chr17	75303170
chr7	101179675
chr5	79402084
chr7	101030019
chr12	125871941
chr4	187677232
chr12	46913329
chr5	79389844
chr12	47332302
chr17	76123486
chr7	100808869
chr12	125356843
chr5	557284
chr12	48046806
chr5	1103937
chr12	51646432
chr12	131318175
chr12	123957169
chr7	56074990
chr12	123874538
chr7	99425035
chr5	5361354
chr12	55286083
chr19	680933
chr5	5828971
chr7	99340442
chr12	56302936
chr5	6544124
chr5	76083373
chr12	56513271
chr12	56516588
chr5	10016002
chr18	72428479
chr12	56695748
chr5	10331728
chr12	56855448
chr5	75610706
chr17	76495054
chr19	850620
chr7	99868397
chr5	77105749
chr12	125053176
chr12	125050529
chr7	99842751
chr12	52370773
chr12	52513419
chr12	124859252
chr5	1345747
chr5	1546120
chr5	1555633
chr12	53493324
chr7	99680412
chr12	53539439
chr5	2038884
chr7	55146918
chr5	5336182
chr12	53932369
chr12	124758318
chr12	124615404
chr7	99574507
chr7	101335457
chr12	131341608
chr19	46143374
chr7	111834344
chr13	26923313
chr7	46255716
chr19	7717172
chr7	110802954
chr19	7627897
chr19	7574704
chr5	90197282
chr12	8147957
chr4	159735554
chr7	47486705
chr13	24173705
chr19	6725649
chr19	6720841
chr4	166290789
chr19	6361487
chr4	169900705
chr13	24133331
chr5	90172473
chr12	11653728
chr12	7261852
chr7	112063191
chr4	170055209
chr4	158940886
chr17	73549168
chr17	73551900
chr4	155519438
chr19	8311528
chr4	155539115
chr4	155581330
chr12	6458788
chr5	92305768
chr19	8219861
chr12	6481810
chr7	115318247
chr4	157632010
chr4	158731491
chr13	27557411
chr7	114750768
chr13	27521275
chr19	7968143
chr19	7957564
chr12	7144376
chr13	21750782
chr17	74347985
chr7	101505702
chr12	26306423
chr7	47774306
chr4	184097159
chr17	74684842
chr12	27021783
chr19	4052800
chr5	81586016
chr12	28355876
chr17	74835878
chr19	3710591
chr12	30661690
chr12	132366512
chr19	3413961
chr4	185668281
chr5	80373106
chr19	3103456
chr19	3034873
chr19	2977582
chr12	131496970
chr12	32590137
chr12	26783716
chr19	4341331
chr7	47552605
chr7	47772555
chr7	105229841
chr19	5839736
chr13	20766064
chr7	47644752
chr19	5768059
chr4	170948611
chr5	82420636
chr12	14094869
chr19	5470377
chr12	16015985
chr7	103700512
chr7	103301171
chr4	175459518
chr4	180207019
chr19	4769706
chr12	22195054
chr19	4715949
chr19	4584094
chr19	4531775
chr7	64098338
chr7	64127884
chr18	68101216
chr7	76874891
chr5	42876031
chr5	44002874
chr18	19560935
chr12	104649334
chr18	18910342
chr12	117486180
chr12	105715066
chr5	52773069
chr12	106514430
chr12	106643702
chr12	106676535
chr7	75916266
chr18	712837
chr12	106994929
chr7	73027268
chr18	12772340
chr7	75861629
chr5	52856692
chr5	55160881
chr18	19693566
chr12	118490450
chr12	107886724
chr5	42812047
chr18	24322798
chr12	119041673
chr17	80304489
chr5	67399323
chr17	80526630
chr7	79091179
chr5	40756121
chr18	21209547
chr18	21191947
chr18	21166690
chr12	100539699
chr12	100831446
chr7	77344375
chr5	40835404
chr12	101062951
chr18	21125508
chr17	80709879
chr17	80781158
chr18	20686659
chr18	12574984
chr18	12397450
chr12	122853218
chr5	59783502
chr7	73394737
chr18	8341722
chr12	111040169
chr18	8177791
chr18	8176761
chr12	115096003
chr12	111805520
chr18	3667348
chr12	112215586
chr7	73950557
chr12	115049443
chr12	112820393
chr5	56989084
chr18	6376955
chr5	56365483
chr12	113659771
chr18	5747848
chr7	73709177
chr12	114208429
chr12	115176793
chr18	9095474
chr18	12008460
chr18	9653527
chr18	11983802
chr12	116967031
chr12	109167819
chr7	75550018
chr5	55354366
chr7	73067113
chr12	109557122
chr5	64235783
chr7	73130162
chr12	110144916
chr12	115864765
chr7	74410679
chr12	110190005
chr5	60182165
chr12	110283435
chr12	110333357
chr18	3596016
chr18	9808676
chr5	55672136
chr7	70246699
chr5	68628668
chr12	96334541
chr5	14977346
chr12	65361804
chr18	56164407
chr12	66493373
chr5	16776931
chr17	77890040
chr7	95225304
chr5	17141437
chr7	65396904
chr18	56067439
chr12	69333487
chr18	55983256
chr12	69462357
chr12	69726750
chr12	69742150
chr12	70446971
chr5	74207444
chr5	30401803
chr12	71834938
chr18	55487400
chr12	65154098
chr12	64567376
