Chrom	position
chr2	42979627
chr19	54712138
chr16	15684993
chr16	50316031
chr7	98977945
chr19	36400297
chr18	3178112
chr17	75461878
chr10	81698837
chr16	30177712
chr2	11893812
chr5	10505860
chr8	56798300
chr10	65463000
chr17	2527749
chr16	66558866
chr3	128952614
chr14	91708373
chr19	55517488
chr14	77186823
chr18	77580269
chr15	90602930
chr14	68429020
chr15	75335572
chr11	117881865
chr21	37304854
chr3	194458162
chr6	37018091
chr16	46693081
chr13	46756477
chr13	49153505
chr10	98508062
chr1	158255750
chr2	136996519
chr22	35773199
chr1	111415726
chr1	161014826
chr21	34746875
chr12	46611954
chr2	231577394
chr2	198010584
chr8	105342165
chr16	88665786
chr19	1180662
chr10	89868162
chr20	35586476
chr20	2282028
chr15	67158633
chr1	65329984
chr16	2737404
chr17	29055727
chr1	87082790
chr17	41324367
chr22	37681210
chr16	57578368
chr3	151589654
chr4	153457422
chr2	178104959
chr17	77800202
chr1	28499403
chr7	117413899
chr4	79671328
chr17	15831469
chr1	22345711
chr19	50490561
chr1	27762496
chr1	65631469
chr6	40687554
chr8	101733210
chr9	134531937
chr6	146917279
chr6	137105137
chr10	120489361
chr20	4018829
chr4	15683299
chr13	113951293
chr1	225438354
chr9	77704026
chr19	35696389
chr22	29784658
chr16	27410440
chr2	224890736
chr19	2631634
chr19	1904485
chr5	149461539
chr11	83149654
chr21	37522736
chr1	205257544
chr1	204482387
chr17	45078727
chr16	81786029
chr7	67383353
chr6	106341009
chr10	30876573
chr21	43481677
chr13	41593461
chr8	27685350
chr22	30698741
chr2	85125714
chr17	62151908
chr17	34431012
chr10	118997034
chr11	88092937
chr16	31255475
chr1	38388695
chr13	29101992
chr5	134896714
chr3	125313204
chr2	196445004
chr17	29818575
chr12	117295995
chr2	60666705
chr1	41178913
chr22	31886598
chr6	149004272
chr11	8704224
chr2	64488116
chr7	36323475
chr5	37672461
chr21	35987742
chr8	22562610
chr3	32619438
chr7	155827265
chr11	111317499
chr7	130689332
chr6	47210484
chr11	60862713
chr1	192578440
chr17	66494319
chr19	52034995
chr2	98643748
chr22	37256967
chr17	40927637
chr10	72253261
chr6	132833735
chr2	225503171
chr10	112262899
chr19	38405681
chr9	35732325
chr1	35384912
chr2	62266588
chr18	46242184
chr19	2271044
chr4	82557068
chr4	155406459
chr2	234240464
chr6	36973419
chr4	38859367
chr22	32146140
chr6	154623450
chr17	43303688
chr5	77779796
chr7	100485392
chr1	32532321
chr2	65648074
chr16	30960391
chr6	43651960
chr9	272899
chr2	231304531
chr19	14551031
chr6	130427675
chr16	88748355
chr12	47706748
chr2	62372905
chr7	76033593
chr2	146529291
chr20	35471955
chr17	45277575
chr6	109644268
chr9	73013261
chr20	24823866
chr13	80611208
chr10	14650659
chr12	131464610
chr14	34547436
chr10	27825563
chr3	143747760
chr2	54343057
chr10	61996854
chr7	117432431
chr7	76822511
chr14	100763814
chr19	44439460
chr1	183925990
