Chrom	position
chr7	98137790
chr13	76882617
chr16	34588167
chr17	66277812
chr17	57010220
chr17	50671200
chr17	42735881
chr8	97757167
chr17	34200213
chr17	1463323
chr16	84511410
chr16	70331831
chr19	34270164
chr18	58122078
chr15	38130889
chr14	93990021
chr14	92600651
chr14	68742017
chr14	66038873
chr14	60862514
chr14	26917307
chr14	23929918
chr15	74322612
chr19	15584825
chr19	8065634
chr3	143348997
chr8	1974899
chr7	145910069
chr7	128949206
chr7	93232453
chr7	17030759
chr6	149852297
chr4	185597758
chr3	152229858
chr3	125929251
chr19	15629440
chr3	52498964
chr3	12664460
chr20	50929337
chr20	48959728
chr8	142726641
chr20	6829052
chr2	96533948
chr2	71451545
chr13	98840335
chr17	40326426
chr11	66344909
chr12	10750371
chr1	156097230
chr1	39107153
chr10	92145628
chr11	66956778
chr10	72457318
chr11	128860068
chr12	4320896
chr1	203702209
chr9	126394671
chr9	129617405
chr12	92363892
chr13	27770988
chr1	93449244
chr13	41311111
chr20	59005362
chr3	93470612
chr1	161707275
chr3	138322412
chr3	129380247
chr1	207699017
chr1	162928173
chr1	16612752
chr21	38170450
chr1	163198676
chr3	40800558
chr3	31981587
chr3	171830086
chr1	204647694
chr20	57323357
chr22	38967855
chr3	27509724
chr13	52921485
chr3	172140634
chr3	189282791
chr1	58979312
chr1	85279134
chr7	107168281
chr1	95072683
chr1	108678950
chr7	77754790
chr7	26665176
chr7	26388501
chr1	110022115
chr6	170344955
chr6	166588278
chr6	158536354
chr1	110116539
chr6	146585558
chr5	173894258
chr5	173616147
chr5	173294178
chr5	150358026
chr4	113187162
chr20	5080649
chr4	3942731
chr1	245860762
chr2	173264844
chr20	1777462
chr15	51801632
chr17	25920216
chr17	21051956
chr11	110971216
chr16	70370390
chr11	122365278
chr16	19085771
chr16	4680045
chr15	96327496
chr15	65101772
chr14	100072939
chr11	43931140
chr12	15270562
chr12	45743309
chr14	90432132
chr14	70359639
chr12	94032769
chr12	123559661
chr14	54746946
chr13	17644931
chr13	28347923
chr17	29370129
chr11	1832801
chr2	241356107
chr10	35635757
chr2	240586248
chr2	217360915
chr2	176597789
chr2	172437954
chr2	149040558
chr2	143402707
chr2	118954823
chr2	112529996
chr10	10911644
chr2	47073325
chr17	45229304
chr2	10380067
chr19	39917046
chr10	88792885
chr19	14128192
chr19	1068290
chr10	123997550
chr10	127889995
chr17	57047087
chr11	348529
chr8	22704910
chr1	629988
chr9	93627998
chr9	41074678
chr9	33161141
chr8	117881780
chr1	634036
chr10	30098436
chr9	297669
chr10	103542919
chr20	14633042
chr2	121323084
chr16	46857821
chr15	40904232
chr13	105261446
chr18	47930114
chr1	158148248
chr3	46316599
chr1	156665270
chr16	54559852
chr9	124839743
chr4	26807464
chr7	77906248
chr7	102396175
chr6	36954384
chr12	51923524
chr1	162728866
chr2	98749248
chr3	12749656
chr6	26521712
chr10	93873631
chr6	29848229
chr13	75482675
chr4	114843719
chr19	44951740
chr8	120827793
chr12	64222702
chr6	168888241
chr12	57119010
chr19	41637651
chr6	34987038
chr14	103057840
chr1	150922706
chr12	14771045
chr1	150256110
chr11	73280800
chr14	39433125
chr17	26594902
chr9	121493078
chr2	218607603
chr9	122941207
chr17	14359481
chr19	1470718
chr11	124800701
chr19	1566795
chr7	14269217
chr3	171902073
chr7	2863861
chr14	54450773
chr3	157089057
chr6	140480971
chr11	125506382
chr14	94598867
chr19	18192281
chr1	39509803
chr6	99568785
chr9	1870052
chr1	145424739
chr7	50056358
chr4	2010116
chr3	114056788
chr14	88005179
chr3	197627113
chr14	22815860
chr3	196223134
chr11	59101675
chr11	59669558
chr7	30226189
chr19	47388958
chr6	168007711
chr6	12290277
chr10	67263278
chr5	142223864
chr10	52760239
chr17	74567655
chr1	92784199
chr2	8681554
chr22	24525579
chr1	39875404
chr5	1608427
chr5	160643965
chr5	43034721
chr17	75970125
chr16	11810148
chr5	170716147
chr10	71778400
chr5	141041216
chr10	451178
chr10	511306
chr8	37361550
chr1	54973274
chr10	44959332
chr5	138633445
chr2	12269432
chr10	3469067
chr15	75665662
chr15	77831847
chr12	123390137
chr10	5594509
chr21	33642643
chr5	98773682
chr17	66246549
chr15	90638376
chr5	30436946
chr2	7773628
chr1	207565694
chr22	45288257
chr6	3027319
chr17	80851175
chr1	224498264
chr19	51123825
chr4	154406291
chr16	25127047
chr17	45291696
chr17	80263530
chr3	191246166
chr15	76905661
chr16	34581487
chr14	78598123
chr5	132556935
chr4	117085483
chr6	133983609
chr9	19184247
chr3	194206622
chr19	11320694
chr1	200739237
chr3	192893344
chr19	14005293
chr6	30213444
chr6	2846543
chr19	41128130
chr6	142112660
chr11	78046088
chr15	81220236
chr14	69503884
chr10	24623176
chr15	47717087
chr2	26016756
chr10	92712628
chr15	92069068
chr2	101038750
chr3	183440879
chr14	70416976
chr5	99020603
chr15	94205563
chr6	151494282
chr5	115545288
chr2	20052190
chr15	74320063
chr5	72598758
chr2	90390660
chr4	162015394
chr4	78662322
chr4	25732033
chr16	11350174
chr4	25768048
chr16	11640535
chr14	104665695
chr5	49599632
chr1	26864380
chr15	38129991
chr1	212753094
chr1	225156505
chr4	50556146
chr5	36608253
chr16	11743735
chr9	131392829
chr19	39941872
chr19	54200526
chr11	33064539
chr14	103140444
chr4	146242072
chr4	87844259
chr1	228800154
chr9	72443492
chr2	109614144
chr19	50476292
chr19	21812838
chr4	3075442
chr6	106514125
chr14	93185607
chr9	89318293
chr10	54130363
chr2	60484502
chr6	99016518
chr2	110811858
chr16	69796740
chr19	43533071
chr10	101593650
chr2	26769125
chr7	88279180
chr22	38213360
chr22	37493079
chr7	152146188
chr7	29274558
chr13	41289714
chr8	38606015
chr13	95192854
chr12	78034286
chr17	45303023
chr20	18832001
chr17	38970333
chr1	108703583
chr18	76496686
chr18	10476630
chr12	50790312
chr12	116911360
chr12	49121244
chr13	48505910
chr13	51499512
chr8	24058471
chr3	56827477
chr3	117347312
chr13	42595172
chr12	2891564
chr12	6558143
chr8	101137218
chr8	23067512
chr12	9648436
chr13	45950609
chr7	27179678
chr2	227238438
chr12	117189867
chr18	58213625
chr21	31174102
chr17	64020154
chr12	68358911
chr17	36196950
chr7	812947
chr1	113046719
chr17	35095083
chr17	59561330
chr3	8988167
chr1	116817647
chr13	52599012
chr3	17973551
chr1	43772616
chr9	40992258
chr20	31602971
chr2	197822685
chr13	94549552
chr20	44210702
chr3	64107107
chr3	57595834
chr12	57110618
chr1	113982774
chr2	217713607
chr12	89757115
chr9	112841483
chr22	42397348
chr15	58470173
chr4	185513664
chr8	120123925
chr22	42680909
chr2	90380754
chr10	79404451
chr2	197138010
chr22	43867955
chr2	90383822
chr4	141329293
chr10	89904880
chr3	10845244
chr3	10145866
chr10	89333665
chr4	153152144
chr2	96207301
chr12	76142510
chr20	38460448
chr2	96120205
chr4	155953962
chr4	161581481
chr10	88385957
chr10	88187595
chr13	50898428
chr15	52438178
chr22	45533617
chr22	46129525
chr15	69720751
chr2	85561039
chr20	59032739
chr5	57082579
chr15	73636374
chr12	116738381
chr5	65676245
chr2	47058294
chr13	41017370
chr13	30651886
chr20	57728088
chr10	40766457
chr8	141036253
chr10	39967627
chr2	39851727
chr15	58985094
chr21	38476559
chr8	140699502
chr13	20796957
chr12	124916446
chr2	37238344
chr10	35195931
chr13	16867275
chr5	76874161
chr13	17337653
chr21	33261774
chr10	33876963
chr12	108620633
chr9	107867062
chr8	141359005
chr5	56175530
chr15	64695681
chr2	70907387
chr22	40760360
chr22	40533828
chr10	71750660
chr12	70354847
chr10	69269261
chr15	70495964
chr20	47362941
chr15	70704846
chr10	68567147
chr13	46176997
chr22	31680936
chr5	49600515
chr10	64249823
chr5	49630933
chr20	50169435
chr10	62745069
chr22	22666391
chr22	19597543
chr12	105099554
chr5	54646828
chr10	50470011
chr4	140791097
chr13	80873768
chr20	34938732
chr3	194397070
chr11	63952072
chr11	62425039
chr11	62109124
chr14	89499050
chr14	90063043
chr2	230125316
chr8	123310883
chr11	61733451
chr11	134038847
chr8	129555507
chr2	231052882
chr3	124836965
chr1	27097619
chr14	90087659
chr3	194930612
chr3	122055451
chr11	59217073
chr3	120929219
chr3	120203251
chr9	93141164
chr2	160210763
chr2	159617796
chr12	8046155
chr2	239260056
chr3	184408186
chr14	32657166
chr14	41973417
chr14	76762607
chr11	110989955
chr11	111531845
chr14	63900099
chr3	149624095
chr11	78812769
chr3	167913344
chr2	201642870
chr2	203534729
chr3	146161701
chr11	117850177
chr11	74988279
chr3	172512604
chr14	52790976
chr3	174331407
chr2	212412265
chr11	119095811
chr3	176964877
chr14	73765223
chr9	2570788
chr3	179696101
chr3	136791031
chr11	67253063
chr2	27805324
chr14	92650302
chr8	130206559
chr3	13416625
chr2	112793738
chr20	11267571
chr9	127519595
chr4	56739303
chr10	118511933
chr13	99796371
chr13	96756994
chr12	52189570
chr4	77157030
chr3	40920324
chr4	87209934
chr20	19815729
chr4	87896519
chr3	72821358
chr3	31544868
chr2	110204960
chr13	76879679
chr12	67483389
chr15	43285709
chr3	16372501
chr3	15647797
chr4	121154423
chr10	94403713
chr3	15362518
chr20	32693526
chr10	124067410
chr20	9504070
chr12	45670806
chr4	52037858
chr3	72757150
chr14	20682761
chr3	69791243
chr3	69306658
chr2	153864208
chr4	9703559
chr2	152386179
chr3	66440221
chr12	18811555
chr2	242031849
chr20	1376934
chr13	112703197
chr3	58484289
chr2	138028760
chr4	40621826
chr11	1771975
