Chrom	position
chr6	135772945
chr17	61920138
chr15	45692008
chr8	38243760
chr3	169489983
chr2	47403742
chr14	31449462
chr7	101151274
chr8	67521768
chr7	43878690
chr15	67196173
chr1	218503572
chr5	137516084
chr10	62528834
chr10	73631268
chr7	17545864
chr6	131949434
chr5	94304397
chr4	38162749
chr18	67872983
chr3	167765231
chr1	86965857
chr5	140943909
chr1	100194521
chr1	153714966
chr19	11205824
chr11	22809302
chr2	86668139
chr17	16284311
chr14	95731985
chr11	62420885
chr4	154564735
chr14	61282352
chr6	56886078
chr15	45020915
chr11	118436787
chr2	143792054
chr1	93324615
chr4	129730813
chr1	11968475
chr1	51985197
chr3	67164443
chr15	44842690
chr15	45490775
chr6	71416480
chr7	99070248
chr19	1848819
chr17	43238903
chr6	26066352
chr6	28574906
chr1	44229295
chr6	127624079
chr16	18957592
chr6	27652456
chr6	27656058
chr20	43948373
chr20	44221403
chr22	19420035
chr2	178029502
chr17	28258526
chr15	66080249
chr6	130005355
chr11	82638510
chr6	143771891
chr14	70826521
chr13	43619612
chr17	66016035
chr11	19092845
chr4	139888640
chr22	42218945
chr20	54949129
chr12	117354745
chr3	56591807
chr2	122288606
chr1	6420043
chr12	125391455
chr12	120740070
chr9	100686061
chr16	72961747
chr2	63919367
chr6	138121259
chr12	122885231
chr12	22613001
chr12	120729635
chr2	64750112
chr11	61524495
chr3	57969698
chr1	93544672
chr2	202101250
chr11	116943422
chr13	102409994
chr8	38242705
chr2	165554369
chr6	134851245
chr17	48785313
chr14	23399752
chr8	144594982
chr1	148760391
chr15	80271311
chr19	2951152
chr1	25594586
chr13	100089330
chr22	26879802
chr20	40322173
chr22	39399290
chr1	109757584
chr2	42360353
chr8	33371085
chr3	138405734
chr4	141782714
chr16	14296704
chr6	28510861
chr7	130589269
chr17	43212881
chr14	24071735
chr11	62200301
chr6	140702105
chr6	28909457
chr14	21093740
chr14	21081694
chr5	73060627
chr15	101112828
chr10	11824978
chr13	113954418
chr2	44518965
chr2	44314614
chr14	31919429
chr2	167038268
chr17	46024450
chr10	13141789
chr3	146344632
chr12	90026799
chr22	36572161
chr10	114510675
chr15	91033366
chr6	37621894
chr2	231988332
chr2	55647089
chr17	41555472
chr20	36163090
chr14	36287764
chr16	15684878
chr1	31635759
chr10	123695402
chr11	68227632
chr11	36694578
chr17	8124236
chr17	8129513
chr1	88108419
chr3	124557974
chr4	186942915
chr6	11496624
chr19	35497378
chr16	71916513
chr1	229851009
chr4	4509852
chr20	50278358
chr11	72759056
chr1	57377445
chr16	66584199
chr13	41582672
chr13	41649352
chr2	12596660
chr2	211482618
chr17	8076798
chr2	42075350
chr8	129130002
chr3	115541610
chr19	45274135
chr11	62389650
chr1	222817633
chr2	203696454
chr11	62609158
chr12	129283335
chr19	49588330
chr11	57298303
chr5	919726
chr16	81801749
chr1	220263272
chr17	7146273
chr7	1196795
chr19	54345579
chr8	128413252
chr3	111454450
chr7	148638653
chr7	138081384
chr6	16731927
chr1	235114586
chr11	93220577
chr1	246660837
chr1	45196585
chr2	32667341
chr4	158913394
chr6	134159116
chr6	26312036
chr16	22383127
chr16	21650156
chr1	249168403
chr3	190253017
chr6	26577460
chr17	38115379
chr2	38838604
chr17	38571757
chr5	156486236
chr5	154893886
chr3	72511973
chr2	172917233
chr17	36043639
chr16	25850237
chr2	27906506
chr11	6527031
chr3	101292591
chr13	46038848
chr2	188362765
chr3	128943933
chr19	13227565
chr6	157735935
chr1	236695199
chr8	22926625
chr11	77342285
chr1	210547469
chr7	27190623
chr11	9634845
chr17	27618356
chr11	9532493
chr13	52553281
chr11	6552689
chr9	123975658
chr6	3403727
chr1	151430779
chr8	71580778
chr10	32230022
chr1	6882789
chr3	42785933
chr14	65693798
chr1	6664550
chr8	61705615
chr5	127294547
chr5	136789385
chr3	179452575
chr3	171819008
chr5	140018815
chr15	45492630
chr12	26582230
chr14	68303872
chr15	45679788
chr17	55916031
chr4	74123120
chr8	62623607
chr1	20301560
chr5	132368782
chr3	9769015
chr2	239371639
chr15	40886156
chr3	41240934
chr8	81777187
chr15	67058321
chr6	51483528
chr20	15042771
chr7	103790430
chr3	161138613
chr4	83956068
chr17	57930726
chr1	177992648
chr17	57920561
chr3	155572352
chr8	101486290
chr1	148248141
chr10	24932039
chr17	55910977
chr6	126101491
chr2	152665041
chr2	98207368
chr17	66053892
chr9	71432185
chr3	149119591
chr2	88316011
chr2	88360172
chr14	103058552
chr4	87899095
chr7	99573809
chr10	49545208
chr10	70977161
chr6	119468718
chr20	30311860
chr14	94862373
chr7	92463383
chr12	24913302
chr5	111066898
chr1	153643731
chr7	94191417
chr10	94516208
chr10	22629265
chr20	1484493
chr4	88343824
chr14	68816807
chr7	98030313
chr11	78001466
chr5	95324046
chr7	138001389
chr7	98768528
chr7	98048515
chr5	43997892
chr5	95322845
chr5	43432849
chr5	55230124
chr7	137677052
chr7	137666581
chr11	73490887
chr11	78287847
chr18	12596042
chr5	42108790
chr5	42875133
chr7	138250624
chr18	12741498
chr11	73458907
chr5	43245082
chr18	19130747
chr5	95301897
chr5	95200958
chr5	52772998
chr7	98797108
chr11	74561094
chr7	137771510
chr7	99427399
chr19	13137497
chr7	99370357
chr11	76579483
chr11	76338094
chr5	52337288
chr19	13211088
