Chrom	position
chr1	146052078
chr17	19112070
chr22	42615350
chr15	92900382
chr1	120942709
chr21	10325836
chr1	148038674
chr7	5592886
chr1	92832079
chr12	4538464
chr1	11909827
chr6	35468428
chr17	47067478
chr2	108719395
chr7	149285258
chr7	43869428
chr17	58679486
chr15	75105032
chr2	121075238
chr11	65117605
chr6	30345241
chr10	87095574
chr19	12791534
chr19	39341892
chr1	146410096
chr1	1575133
chr17	43367954
chr10	43397338
chr19	50376344
chr3	49021464
chr5	160009184
chr1	161389841
chr15	83092589
chr1	28329117
chr21	29002861
chr17	43251706
chr1	181088747
chr12	57941302
chr2	131682532
chr1	88891547
chr9	128818430
chr14	60734812
chr7	156893462
chr7	44607219
chr4	70839831
chr15	74598518
chr17	65056996
chr17	43315978
chr15	70099526
chr2	8682108
chr1	236097361
chr3	125375442
chr16	23510456
chr11	72112925
chr6	70566968
chr9	122402556
chr10	47553446
chr2	55050447
chr1	120850867
chr9	136849329
chr2	61144931
chr3	128650776
chr1	148522933
chr10	27155065
chr6	21593793
chr9	129824101
chr11	119095434
chr14	64339039
chr1	16896241
chr2	38751303
chr6	111483959
chr11	14499790
chr1	28232996
chr15	65133919
chr18	51198150
chr16	401645
chr2	200811780
chr1	634027
chr1	1724422
chr12	112418778
chr5	178204550
chr2	85616243
chr10	133394218
chr20	62182879
chr12	132762313
chr14	74763365
chr11	112226270
chr12	130871560
chr4	145179608
chr7	152463630
chr8	73293580
chr9	122905378
chr8	73008929
chr6	27824662
chr17	82298226
chr5	79612720
chr4	151032120
chr16	48244352
chr11	2885519
chr16	48610322
chr8	144686102
chr2	134119983
chr6	30516647
chr6	30626766
chr10	45594926
chr1	629937
chr14	73569256
chr19	14091632
chr6	113858762
chr8	17247002
chr11	130069918
chr10	71888951
chr19	16472213
chr10	72691986
chr9	132354809
chr6	111259376
chr22	36387942
chr14	34875318
chr14	73491017
chr2	113603990
chr2	113603472
chr6	44313318
chr2	112645992
chr14	24215951
chr19	12696774
chr19	1269347
chr16	69754882
chr8	25345568
chr1	16514019
chr2	121530999
chr14	55271269
chr9	129803768
chr19	35931422
chr18	21612401
chr1	161117979
chr9	19103099
chr21	8220003
chr1	24642861
chr14	67695698
chr7	75486250
chr19	24087215
chr5	111757376
chr12	123364777
chr18	44679228
chr22	40370625
chr4	119454629
chr6	36027825
chr9	129111042
chr18	47176311
chr22	38756244
chr2	96486209
chr1	34985455
chr17	1516976
chr11	110328446
chr17	38702611
chr9	75088611
chr2	215311864
chr17	30731726
chr8	124637704
chr1	100894802
chr15	90954964
chr15	90902388
chr2	25362303
chr3	49719405
chr11	65111916
chr2	230416268
chr3	183635733
chr1	234610642
chr12	57847265
chr12	57941818
chr3	47782087
chr11	62841501
chr7	39950232
chr12	64404168
chr12	14771097
chr5	131165257
chr12	68809061
chr8	125430377
chr5	134905493
chr19	43527154
chr17	18781311
chr1	144523973
chr7	100272291
chr12	31326083
