Chrom	position
chr21	42496402
chr15	70892625
chr2	26970440
chr19	58401461
chr1	15526684
chr4	122732690
chr22	23142041
chr8	93754796
chr19	3572562
chr19	507171
chr1	183471830
chr12	57078890
chr21	37366724
chr19	43575708
chr1	6579862
chr19	53867626
chr15	85443945
chr3	114056648
chr18	22282741
chr15	100602269
chr6	43174752
chr19	48468958
chr8	94823144
chr16	30948338
chr19	48631525
chr14	21087596
chr1	12659206
chr12	2890832
chr16	29664326
chr22	23145357
chr4	183506377
chr7	90245186
chr3	41962226
chr17	68512328
chr19	19663891
chr7	45089528
chr17	37710592
chr3	93980079
chr20	11892418
chr15	40565167
chr7	74254563
chr15	69414209
chr3	97764728
chr3	108222433
chr19	40444802
chr7	1138453
chr19	55179432
chr21	33641830
chr10	104353747
chr11	64779134
chr12	6607600
chr20	45791875
chr2	84516434
chr12	6764525
chr3	15378339
chr12	6904935
chr11	66510649
chr16	69726494
chr2	24971848
chr8	28490359
chr16	84145313
chr16	1167613
chr2	11133066
chr4	2041939
chr20	36064725
chr19	58451484
chr5	110726672
chr11	236880
chr15	89243979
chr5	108749024
chr17	8176419
chr19	55279937
chr1	24019010
chr19	55166785
chr19	53879557
chr1	212486218
chr1	24413718
chr21	41366894
chr1	75991739
chr14	77098277
chr7	32905513
chr19	11373745
chr22	38461726
chr19	13952208
chr3	48717325
chr8	98045669
chr7	141650093
chr6	20401680
chr19	49421303
chr8	8228613
chr14	75259217
chr12	51424709
chr19	4457987
chr17	18183375
chr2	158456744
chr1	150293781
chr14	77040559
chr7	155590471
chr1	19596871
chr11	27363303
chr1	201154555
chr14	99683989
chr3	12720201
chr5	81751139
chr15	72686179
chr1	41361075
chr18	34979249
chr3	167380338
chr4	26584058
chr11	3057490
chr14	58298236
chr21	39445771
chr4	94207537
chr15	64356316
chr11	63986360
chr20	31604311
chr19	12782903
chr1	169367808
chr13	29850816
chr11	28108307
chr16	72665093
chr14	20305779
chr3	195443215
chr19	9834814
chr10	110919166
chr10	33509351
chr11	62706234
chr11	103109438
chr10	132962324
chr17	2041916
chr1	31788663
chr19	6066829
chr19	4759897
chr6	111259252
chr10	17201443
chr16	1331944
chr16	90022608
chr2	240832546
chr16	684490
chr3	49786601
chr16	709739
chr12	123671120
chr12	56118124
chr3	8444490
chr11	121023996
chr19	55653929
chr13	23980312
chr1	43545929
chr1	1511905
chr3	138329856
chr4	152536146
chr5	109468938
chr3	129428639
chr1	22185394
chr19	58381182
chr14	95534606
chr3	128650952
chr17	6651509
chr15	90401072
chr1	44674579
chr12	8242903
chr5	71455568
chr1	156747093
chr7	149838229
chr6	121334554
chr11	10541266
chr12	107761375
chr19	39342071
chr10	118755282
chr12	13101345
chr6	35259394
chr1	39883526
chr2	231604838
chr1	38873447
chr7	99409044
chr5	35617922
chr1	36450471
chr6	32177905
chr5	150513938
chr19	35145237
chr2	61854137
chr4	140524004
chr12	52927498
chr7	134127356
chr14	105482077
chr10	95266900
chr12	25195152
chr13	99501308
chr1	39098713
chr15	43511012
chr15	43493290
chr8	58553128
chr12	109052445
chr12	98593568
chr11	77047779
chr17	42180098
chr16	68530042
chr16	68520828
chr4	183571463
chr16	30527363
chr3	47282599
chr15	56465103
chr13	72782193
chr1	21199160
chr7	101218059
chr6	31068960
chr12	110048611
chr1	109426613
chr21	45287969
chr1	26538161
chr16	50203109
chr7	45978426
chr16	23453228
chr16	27550101
chr5	62412571
chr19	41364140
chr3	27369538
chr9	126723991
chr15	52679491
chr17	42980532
chr19	42352707
chr1	32456163
chr11	67346226
chr2	74421654
chr16	716387
chr5	179559747
chr2	72833526
chr7	73743122
chr2	85001782
chr2	113627252
chr16	2839231
chr14	91733055
chr3	146621921
chr3	51697128
chr1	37596097
chr2	98348416
chr9	114505635
chr12	6532738
chr3	143970991
chr3	150703996
chr1	165598195
chr1	33081055
chr1	172375496
chr5	165055642
chr3	52249229
chr16	3124454
chr14	89494238
chr14	90382251
chr20	833629
chr3	155744203
chr14	87628306
chr1	180631975
