Chrom	position
chr16	87779312
chr13	110965488
chr17	59786689
chr2	62039555
chr7	55534475
chr1	3677041
chr5	126676319
chr3	15361720
chr2	177164779
chr8	135923319
chr1	204507165
chr1	7218446
chr2	43293975
chr9	95852765
chr13	40445706
chr4	103498465
chr2	173239843
chr15	40115954
chr3	112676993
chr16	87853744
chr9	5627308
chr12	46430631
chr7	124263649
chr20	43752716
chr9	33227229
chr8	23074825
chr5	14809826
chr9	76755762
chr18	50375012
chr13	99542910
chr12	57520821
chr7	924890
chr2	68789734
chr9	86107041
chr3	113051423
chr10	20003919
chr12	123681776
chr5	140711213
chr7	7719496
chr20	20466728
chr4	105060872
chr7	65809479
chr18	38941014
chr10	63703274
chr7	134549052
chr7	47937509
chr6	36667242
chr6	105601720
chr19	35711505
chr19	47226237
chr2	46542341
chr13	29595149
chr9	21810053
chr1	70412287
chr12	8996884
chr1	24966854
chr2	128624199
chr9	21096523
chr13	50245141
chr13	50366988
chr18	13375445
chr4	72112731
chr15	85413640
chr13	78022385
chr3	119639020
chr15	56787147
chr11	4049148
chr12	111445105
chr2	240579887
chr5	159456976
chr6	43571199
chr4	13528769
chr2	207331033
chr1	206784576
chr1	12052164
chr12	110012314
chr5	78544664
chr2	203871695
chr19	49924489
chr5	172361731
chr9	2621355
chr7	66886376
chr12	123365816
chr2	54081779
chr17	80258994
chr7	7945199
chr3	5197787
chr2	112794327
chr11	96235966
chr17	62968605
chr11	9060936
chr1	36464446
chr10	72320958
chr3	155495632
chr1	32817355
chr14	61553112
chr6	135088994
chr9	1872036
chr11	86214930
chr7	131546782
chr18	50313393
chr2	181106999
chr4	184514504
chr17	74210605
chr14	75673534
chr7	44639363
chr6	47509019
chr7	88628852
chr5	143057845
chr4	128454504
chr11	16902373
chr18	23231525
chr1	101371428
chr7	126701188
chr8	60904400
chr10	104349746
chr7	90816940
chr8	125698951
chr1	234522627
chr6	42402378
chr22	50539794
chr4	108036466
chr7	130960513
chr19	7943694
chr12	51993324
chr11	48006859
chr7	130961416
chr15	66370316
chr10	14602288
chr1	184946210
chr5	77087373
chr9	33988646
chr8	117998789
chr17	15831354
chr6	110944860
chr20	46359357
chr9	99433743
chr1	181398742
chr1	107935622
chr1	185637030
chr7	148913362
chr1	211305273
chr17	59829477
chr8	115427791
chr6	137904701
chr6	158040464
chr9	7118394
chr14	100375617
chr15	90750388
chr6	11322734
chr6	90369172
chr4	699556
chr1	236097364
chr5	95241822
chr18	13892291
chr10	79248601
chr18	54264028
chr11	128758034
chr11	75690101
chr3	61358639
chr2	178414977
chr6	106524074
chr13	46072124
chr11	35391226
chr12	8648791
chr7	2522089
chr14	81550469
chr11	77474387
chr14	51873487
chr6	105646573
chr8	127288427
chr16	15591099
chr15	44882780
chr13	32046606
chr20	19628798
chr3	122610238
chr18	46013714
chr11	115222655
chr1	200483691
chr9	125701057
chr7	99408893
chr20	51461160
chr1	50873812
chr18	54285181
chr7	43591096
chr19	13100141
chr11	4699899
chr1	93608071
chr17	27466910
chr7	135187030
chr18	58230970
chr5	132020384
chr14	92563571
chr18	79356690
chr12	104740927
chr14	91364370
chr14	91315888
chr3	71083910
chr2	100588236
chr9	136576447
chr10	92101490
chr1	235048299
chr6	106102207
chr8	81001596
chr10	100374061
chr2	100247863
chr6	154353057
chr12	31746961
chr10	10869805
chr5	168249243
chr10	89084578
chr6	97669395
chr13	50237050
chr7	28037425
chr8	133076343
chr1	212567304
chr7	140233201
chr7	74272804
chr3	17573612
chr7	140085077
chr9	129607617
chr11	71864146
chr21	42002623
chr5	53008919
chr14	103593804
chr14	102946619
chr2	223895819
chr3	56753405
chr16	68756443
chr1	212678810
chr3	188753500
chr5	40578795
chr6	90084038
chr19	14585349
chr12	48540272
chr7	29285577
chr20	23361968
chr9	35570922
chr7	104621463
chr17	48915974
chr16	70476754
chr5	145681838
chr1	205600341
chr16	17070907
chr12	112014768
chr22	46969738
chr17	8196276
chr3	46097847
chr6	21264121
chr1	221157581
chr1	219465460
chr8	138049898
chr13	112168977
chr7	23595292
chr13	114067633
chr11	10298521
chr8	24294052
chr7	22640465
chr1	198174566
chr5	145057013
chr7	116955968
chr11	118448470
chr9	116939778
chr14	24274266
chr3	195129742
chr9	114695025
chr12	24719647
chr8	81230652
chr6	129748489
chr2	8302190
chr22	26610490
chr1	233897517
chr4	71339057
chr8	120809934
chr4	121256550
chr10	88108215
chr16	48458529
chr2	216045322
chr11	19978881
chr2	229822480
chr7	106871215
chr6	14877209
chr13	98476710
chr9	112809616
chr1	217621003
chr11	18247143
chr4	80877006
chr5	66840907
chr20	44135342
chr6	15876703
chr4	158672246
chr5	171989423
chr1	52659570
chr19	2019797
chr13	41019348
chr2	11830519
chr12	99436800
chr15	79673598
chr8	118808621
chr13	27426062
