Chrom	position
chr1	75198925
chr11	842736
chr8	80942340
chr7	100271252
chr5	64064645
chr17	80376353
chr13	22178194
chr1	46598445
chr6	116892497
chr19	17622740
chr19	8578920
chr21	34144319
chr4	49659604
chr1	6052197
chr11	576351
chr17	17184439
chr10	17243644
chr4	2010874
chr20	52824537
chr9	91933554
chr11	73499037
chr14	39901490
chr7	55433865
chr21	44394251
chr11	67981258
chr15	65809913
chr15	67547071
chr3	196625706
chr16	29874663
chr8	144679466
chr10	104614124
chr19	1275683
chr16	90039156
chr6	42018392
chr11	18343916
chr8	97274053
chr18	3261988
chr17	60005038
chr16	31129073
chr17	61926449
chr20	35807645
chr12	53846296
chr12	110825168
chr3	64009037
chr9	95088082
chr10	99094602
chr2	155511530
chr12	53715307
chr14	21572080
chr11	116643615
chr4	175204719
chr22	39052534
chr3	187463425
chr19	13067777
chr13	76123798
chr17	16342256
chr3	119396071
chr4	186347286
chr15	89010711
chr14	52118271
chr20	31989274
chr2	86790219
chr14	56046672
chr6	26124697
chr10	85899414
chr6	27839954
chr1	109633414
chr12	109490451
chr7	129691177
chr18	43678152
chr11	125933061
chr4	13629335
chr21	34863958
chrUn_gl000228	118378
chr1	155658701
chr1	36929894
chr1	569410
chr19	1652818
chr22	19466783
chr1	27226853
chr9	135285517
chr8	133787941
chr4	49650718
chr3	139062925
chr17	61678233
chr8	17013399
chr15	42565479
chr18	60998544
chr15	102264501
chr3	158362428
chr6	3259289
chr1	52522124
chr15	86440227
chr4	49110418
chr9	35096462
chr4	47465574
chr7	117824345
chr8	17941783
chr11	65292781
chr4	49105952
chr3	50359070
chr19	47987372
chr10	93683679
chr12	125399346
chr7	2595235
chr8	145754377
chr1	14076217
chr11	43380561
chr6	35310451
chr19	11639866
chr19	11485472
chr4	146540394
chr3	134204716
chr19	984486
chr5	180229657
chr16	46423627
chr19	7985352
chr19	4723975
chr12	69979435
chr19	3500737
chr16	28565395
chr8	3569947
chr16	21964436
chr9	21335259
chr1	11159812
chr19	19302893
chr1	11539056
chr16	2255561
chr19	18942944
