Chrom	position
chr17	40540823
chr17	57864012
chr2	198364723
chr2	191885116
chr19	893321
chr14	24630405
chr19	12904533
chr3	156892762
chr1	150534671
chr11	65265025
chr19	45256790
chr4	140099233
chr2	24299331
chr22	50978180
chr12	56754226
chr11	65188859
chr17	58469666
chr12	10902951
chr18	3594046
chr5	131826591
chr1	236767870
chr12	7261863
chr17	78228774
chr15	90931234
chr11	124543651
chr1	155163217
chr1	147994274
chr5	172483352
chr19	45257785
chr17	26662672
chr19	56632895
chr11	18416041
chr2	55459784
chr6	7313568
chr17	80408775
chr1	156163764
chr4	185395930
chr2	10830143
chr1	245027971
chr20	2083213
chr20	5591784
chr1	163291619
chr5	66503002
chr19	39894605
chr11	47236494
chr1	12079387
chr10	103911920
chr15	91137823
chr1	148241572
chr5	55291017
chr19	57791238
chr11	123986121
chr11	615981
chr7	130645264
chr15	45021017
chr16	4303940
chr2	26980917
chr16	18938007
chr9	130533771
chr3	119042037
chr21	30257529
chr20	30945830
chr12	66696261
chr16	9173033
chr19	10381720
chr6	31802398
chr10	45474335
chr2	99797555
chr8	144629567
chr16	57023408
chr6	26204770
chr17	61920135
chr8	19674824
chr2	24713746
chr2	232572878
chr11	3071198
chr16	29831780
chr7	130757001
chr2	191879016
chr16	81771723
chr3	5028718
chr1	110950385
chr5	126112449
chr3	122283153
chr12	11802611
chr1	11741247
chr15	30918012
chr17	77005905
chr11	65239726
chr10	24672792
chr2	202123087
chr17	57915260
chr12	109022352
chr19	45504544
chr2	21022894
chr9	127632680
chr19	1897728
chr1	155214624
chr22	50329053
chr1	159047104
chr8	53627081
chr9	107723666
chr3	177077834
chr8	103818687
chr4	103749280
chr17	25871827
chr9	131902345
chr18	43547382
chr3	156878010
chr1	33283006
chr19	14629597
chr18	77551746
chr1	161359729
chr9	33081399
chr8	96037061
chr5	140940539
chr13	111567835
chr17	7307840
chr5	36242423
chr4	185655419
chr1	148604963
chr17	41561279
chr14	50154970
chr12	72233482
chr6	143265792
chr19	1132349
chr17	76642183
chr11	9386025
chr20	33735153
chr6	12011651
chr16	2318149
chr20	39657224
chr12	96883295
chr10	63752659
chr19	35490842
chr1	205091429
chr1	93544734
chr6	47210351
chr2	97304147
chr14	64331209
chr19	50372635
chr14	95732003
chr7	75988839
chr3	136471291
chr22	24407814
chr2	102844288
chr16	2014973
chr2	234883349
chr12	53765151
chr12	46384637
chr10	69609200
chr15	90709144
chr3	185255293
chr18	43554273
chr11	2421684
chr20	61847697
chr1	52344568
chr2	146450895
chr3	101568230
chr11	65189757
chr17	17752627
chr10	104153892
chr3	177063588
chr3	5020440
chr17	57906751
chr3	190284318
chr17	38137034
chr19	12902185
chr22	36635653
chr5	177659872
chr19	36231452
chr22	27055021
chr20	39135322
chr16	30996482
chr7	39629418
chr11	86013185
chr3	19988532
chr17	36909012
chr6	149867291
chr10	74057139
chr11	102188030
chr19	52207576
chr17	74264521
chr1	28975190
chr6	119671084
chr19	2543708
chr18	42305733
chr10	3852513
chr16	15684942
chr15	43398369
chr12	49246063
chr12	109531370
chr19	18485314
chr19	1155235
chr2	27958557
chr7	142960590
chr7	66594295
chr4	113218458
chr15	83735993
chr3	41013235
chr6	2990007
chr12	14410868
chr2	26467745
chr11	65341940
chr20	44519957
chr8	27950609
chr6	43142362
chr15	70392003
chr6	56803612
chr9	95640364
chr8	48425213
chr11	356393
chr7	102985306
chr7	106065650
chr2	181971717
chr15	70394005
chr12	10874809
chr2	97197998
chr3	193807514
chr11	125773081
chr7	135662224
chr7	108166501
chr3	38180089
chr19	4912124
chr6	30457130
chr12	53886794
chr13	114830728
chr17	15824348
chr2	3622775
chr3	11178756
chr12	9803530
chr7	30324381
chr15	101137191
chr7	108210152
chr16	89988288
chr12	26427844
chr6	143381025
chr16	29606944
chr14	32030604
chr3	52188878
chr17	73781219
chr7	44530534
chr13	100153602
chr9	102581819
chr13	34116933
chr3	146262427
chr12	30848957
chr17	56736550
chr3	187463262
chr11	34675653
chr11	62389665
chr16	20911910
chr16	21513796
chr12	31902332
chr12	31835277
chr22	29999402
chr17	37926354
chr1	230240691
chr19	42806725
chr7	154997452
chr21	36261008
chr7	72147961
chr10	103578247
chr22	24951870
chr11	129509464
chr17	48226368
chr5	38846044
chr22	37518323
chr1	11851076
chr8	130952093
chr11	57508828
chr14	75745204
chr19	1253405
chr6	134557339
chr19	3155263
chr4	185189506
chr19	36618886
chr8	9008190
chr11	34707035
chr11	75946965
chr1	70820507
chr17	38255453
chr5	95194885
chr11	62609069
chr19	4867857
chr7	25902173
chr6	17707278
chr11	62359127
chr19	13991252
chr10	34569689
chr1	26947246
chr10	6317402
chr11	64863605
chr7	138794570
chr16	2771095
chr12	116828024
chr10	112174480
chr5	180288589
chr5	124271718
chr20	62169329
chr19	18530208
chr1	218633476
chr14	62028756
chr6	2842245
chr6	126188950
chr5	15008824
chr7	50514459
chr10	3819370
chr11	65641186
chr20	30946963
chr11	67204081
chr3	188013052
chr1	145382857
chr1	28201937
chr9	136009352
chr1	8960161
chr6	31774717
chr2	122288543
chr1	76251807
chr19	30206237
chr1	2159297
chr2	209130780
chr12	44152717
chr7	105925774
chr15	49913119
chr1	36690414
chr6	143206682
chr20	60982779
chr12	54701020
chr9	111342433
chr1	54355513
chr5	111030076
chr10	101380880
chr2	32390840
chr15	55582028
chr10	43951023
chr5	106724974
chr17	75315544
chr1	150459745
chr11	19701908
chr16	21566282
chr2	75185658
chr10	35379571
chr22	50329887
chr1	234908300
chr2	165766826
chr20	30198585
chr9	139434376
chr8	8860232
chr8	11627222
chr13	50265644
chr10	75173548
chr6	137540624
chr12	58290562
chr2	216882350
chr1	226298101
chr9	133838108
chr15	74286894
chr13	115079921
chr1	212732426
chr17	49230881
chr4	74124807
chr15	83419240
chr14	81088224
chr1	212965187
chr2	174024711
chr2	208637395
chr1	65895665
chr19	39893389
chr16	57850412
chr17	42976955
chr15	41158258
chr3	128268303
chr20	21284398
chr17	73696768
chr19	11146626
chr5	60704591
chr2	178107385
chr8	126606455
chr19	10676815
chr3	58457237
chr1	32645680
chr10	65029064
chr12	113860193
chr6	84937322
chr2	143632101
chr6	2858135
chr15	93375068
chr6	150263018
chr10	53459720
chr20	36722906
chr1	27648622
chr1	150552065
chr22	46409618
chr10	79789406
chr6	42370060
chr2	62115814
chr3	15847441
chr6	160112330
chr1	235111031
chr20	4022573
chr21	40279180
chr19	2475851
chr12	52463644
chr4	106629885
chr1	27022139
chr18	32924405
chr1	23670848
chr1	41964605
chr20	2451494
chr8	62627208
chr6	54200857
chr22	41842877
chr2	98487147
chr1	32421743
chr2	74756981
chr12	4647676
chr12	95497144
chr17	57832066
chr10	71079322
chr14	81408206
chr6	3069101
chr17	73872261
chr19	18589895
chr14	71597763
chr17	43170463
chr10	74080705
chr2	102682446
chr20	48909245
chr14	35843707
chr9	95432592
chr13	20439052
chr1	152007223
chr1	37945477
chr8	109455752
chr11	64851567
chr1	2222307
chr10	27608930
chr6	64237764
chr13	31407273
chr14	69417904
chr1	45187397
chr13	87776427
chr15	67397815
chr1	8272170
chr2	112704389
chr11	65266487
chr17	75136650
chr5	61601738
chr1	28879437
chr1	154580718
chr16	69107484
chr2	62805319
chr14	55240111
chr17	80256196
chr19	49403403
chr5	158884002
chr1	198651139
chr17	18218530
chr22	20104891
chr20	49407396
chr19	55727982
chr17	77397332
chr6	26285796
chr11	35051686
chr1	150207032
chr6	26189358
chr14	61939148
chr12	46824390
chr8	57906635
chr2	32236103
chr1	56184740
chr10	73628240
chr19	51014722
chr1	54955149
chr5	114755710
chr2	27544097
chr4	30759216
chr2	231084734
chr6	153323996
chr9	71795812
chr16	75339554
chr7	48124694
chr5	21152900
chr12	76371875
chr14	24658149
chr2	173118095
chr4	170679118
chr15	74838688
chr5	81147830
chr6	170747673
chr12	31899914
chr9	88555824
chr19	54619062
chr1	28832443
chr20	30287147
chr2	8685280
chr15	78441483
chr2	110914279
chr7	100034191
chr19	55770705
chr17	79779795
chr2	74207031
chr7	32931821
chr3	151984602
chr8	38895835
chr19	45248731
chr19	4540181
chr6	43980026
chr19	39921518
chr16	77224707
chr8	11711584
chr1	145096377
chr15	90392040
chr17	41438535
chr11	33279787
chr14	77509896
chr7	127292068
chr22	38598019
chr6	138132712
chr9	35080088
chr6	4359044
chr6	35436158
chr16	8972553
chr1	95329724
chr15	43213222
chr16	87943142
chr16	66550863
chr15	45747240
chr16	30064374
chr1	8938854
chr20	25218668
chr8	67448180
chr12	66025594
chr6	143718732
chr19	35225094
chr10	89912728
chr18	9102518
chr18	9073892
chr21	46289946
chr19	45250785
chr1	193028573
chr1	209572165
chr11	57333761
chr3	100428123
chr9	101011249
chr14	34513132
chr10	35240621
chr12	6445493
chr19	55897077
chr17	28691038
chr1	158970584
chr2	28613440
chr11	77705776
chr10	111985630
chr17	30454726
chr6	33280676
chr1	218554040
chr19	8305380
chr1	27019656
chr13	107222970
chr8	131054738
chr19	40926967
chr16	11836861
chr15	60667005
chr7	151249718
chr17	70680333
chr17	62502418
chr4	184270360
chr12	6493215
chr2	204444056
chr17	54864563
chr11	63438896
chr17	43394786
chr12	109232281
chr3	47823458
chr17	35767346
chr17	33390775
chr2	203130424
chr17	16284350
chr10	59917295
chr10	60094713
chr3	50638731
chr16	57928057
chr3	69132178
