Chrom	position
chr1	28415123
chr22	18471126
chr7	152133878
chr20	35185122
chr19	14182933
chr5	138724160
chr11	61739457
chr22	50744460
chr16	30825638
chr5	148941622
chr12	6344758
chr6	36853730
chr11	1072444
chr17	76165567
chr12	53473221
chr14	32824132
chr7	101500219
chr1	46648907
chr11	119600774
chr3	190529808
chr19	35940559
chr19	38548808
chr2	3622794
chr20	2451550
chr9	38069753
chr17	14641761
chr14	55240221
chr8	101500250
chr17	38471043
chr7	72722881
chr5	180633830
chr19	47747557
chr2	10592692
chr3	32023233
chr19	46220807
chr20	57226260
chr1	210001262
chr21	47706231
chr12	122611879
chr11	47790091
chr2	224822120
chr14	75348514
chr12	38710543
chr4	775912
chr10	12110730
chr2	223824259
chr19	15947676
chr19	3572586
chr8	96420472
chr1	205091431
chr2	242041809
chr2	1629163
chr6	41755355
chr5	93357120
chr8	22462196
chr1	85763596
chr7	26239816
chr15	55700680
chr10	72535001
chr14	100574830
chr17	57069350
chr11	1241284
chr15	59158671
chr5	81147843
chr17	70999868
chr3	156530471
chr8	29144463
chr11	118122833
chr12	6473172
chr8	74268659
chr2	1250177
chr3	71472679
chr17	66016079
chr17	5342571
chr20	37678867
chr3	194406600
chr20	37233791
chr11	61100827
chr17	18684562
chr10	102826010
chr17	18218641
chr1	154934253
chr15	74838678
chr1	161102958
chr12	53378065
chr1	161172100
chr6	158184534
chr12	52609465
chr7	144533169
chr14	90885815
chr12	56511977
chr22	39077910
chr2	178937494
chr19	44455342
chr11	67195947
chr1	151043035
chr22	39572324
chr11	77850675
chr6	39248159
chr10	135333916
chr8	41998294
chr12	123868334
chr1	218847968
chr15	85590656
chr3	141030668
chr18	33077962
chr3	14309714
chr11	65769698
chr2	58468577
chr6	7920271
chr2	223661496
chr16	28834000
chr1	38478549
chr14	67826649
chr12	48415797
chr12	56334187
chr20	25218552
chr19	49895345
chr18	9743606
chr13	60841869
chr8	98446507
chr18	55297573
chr2	112813946
chr11	65101202
chr3	170588240
chr1	109968668
chr7	100399963
chr7	139025080
chr1	109820215
chr12	48152903
chr9	125675445
chr15	76605349
chr6	105131144
chr12	104350982
chr3	47554911
chr9	132373520
chr1	51762726
chr17	62703371
chr7	74306944
chr10	976660
chr3	148995443
chr3	39448066
chr18	12640686
chr1	41980987
chr16	27561593
chr1	167683764
chr2	225350243
chr13	52768604
chr15	50647389
chr13	39611980
chr9	95882396
chr16	21566359
chr9	95432498
chr16	20817727
chr10	74114678
chr5	112312178
chr3	46448932
chr5	1634154
chr19	39903231
chr5	130971249
chr2	62115765
chr5	148931092
chr9	130700161
chr3	15677907
chr3	38065953
chr8	25203093
chr3	44666502
chr7	77111504
chr12	49152209
chr14	84283315
chr19	55034802
chr17	4902458
chr2	162164889
chr12	6772481
chr12	6445491
chr17	17255698
chr1	234882737
chr19	12947225
chr11	71823733
chr2	32581805
chr20	5825090
chr5	139039907
chr6	125519215
chr1	145096485
chr4	120221796
chr1	152155547
chr4	190861867
chr2	177502593
chr8	127570635
chr14	50459881
chr14	37117290
chr12	26427808
chr16	2954290
chr17	38705770
chr5	140345945
chr2	32236135
chr11	47290871
chr13	100741203
chr19	14545783
chr1	233430852
chr19	16308694
chr17	40925448
chr1	180123588
chr7	127225445
chr13	99128868
chr1	151138554
chr19	45245415
chr9	92282839
chr8	143669549
chr13	22178180
chr12	34175362
chr8	143316571
chr5	271574
chr20	34638907
chr1	145382855
chr3	196014784
chr5	75013183
chr9	103174063
chr19	47291669
chr19	47352766
chr2	26235582
chr1	224921278
chr11	19745231
chr19	909404
chr17	21117264
chr16	30960508
chr7	22482053
chr13	114103679
chr19	49122522
chr9	93799703
chr19	48613960
chr16	30816943
chr2	118572214
chr15	33314922
chr3	186334937
chr19	49588405
chr16	68279080
chr9	92011015
chr12	6677545
chr7	157197920
chr12	12503168
chr16	2925016
chr1	153581522
chr3	9404854
chr3	195837441
chr7	2306712
chr15	99323020
chr9	102195949
chr4	184427507
chr9	88708950
chr5	142092853
chr4	84031750
chr15	66125378
chr20	45344142
chr19	4007268
chr1	153895707
chr3	124782029
chr19	3305114
chr7	7680444
chr19	2463201
chr4	1714545
chr1	150459752
chr19	38724689
chr9	37800742
chr15	86383836
chr1	8258105
chr19	56146344
chr8	52921173
chr9	71793562
chr10	102802827
chr2	220252244
chr19	59010942
chr20	52228265
chr1	14155548
chr7	51363325
chr5	102455877
chr22	21259105
chr13	27617413
chr10	95462417
chr12	118814247
chr17	1171447
chr1	10739856
chr1	21961138
chr1	205633601
chr22	21213179
chr9	36190748
chr1	24610567
chr3	194393283
chr9	46113126
chr2	75072709
chr9	136283249
chr10	103543223
chr10	102855408
chr10	94333883
chr1	11322859
chr1	204721345
chr1	20803126
chr22	22337223
chr15	89089957
chr3	165430233
chr5	41925308
chr20	9049949
chr9	139377496
chr2	133402720
chr7	123264676
chr5	180288572
chr2	85895603
chr16	6934148
chr21	41289289
chr13	48880012
chr19	45626648
chr20	57749239
chr2	740610
chr5	177019183
chr1	181999115
chr6	134274286
chr6	121108085
chr3	5614149
chr7	153273455
chr5	14860274
chr10	111997729
chr13	100153654
chr1	10010658
chr19	58789999
chr10	21653607
chr6	121106941
chr10	18529773
chr5	177027049
chr1_gl000192_random	182949
chr19	46110737
chr20	40211624
chr19	13885251
chr9	111593498
chr13	41345338
chr2	11638855
chr6	121178336
chr7	39773177
chr1	181573145
chr1	148604988
chr3	63298437
chr5	138731806
chr8	94004814
chr2	11671263
chr1	230340692
chr15	71389224
chr15	80613439
chr3	129118362
chr1	148598466
chr12	131627650
chr10	100097481
chr2	134399192
chr22	31742846
chr10	112193726
chr8	82470793
chr19	13275529
chr3	128902962
chr14	59986599
chr5	42048325
chr12	69080726
chr9	91159325
chr14	46028763
chr1	145826958
chr7	122322997
chr11	71751809
chr12	32514797
chr20	49461346
chr6	15248229
chr1	231762390
chr6	133493630
chr9	108664832
chr7	128116786
chr17	15602906
chr6	149127908
chr10	11740203
chr6	15445225
chr1	179897358
chr8	107005289
chr16	4202472
chr1	205718486
chr14	76298492
chr5	44975217
chr7	11013526
chr10	12136125
chr3	4729145
chr19	44860768
chr2	30448409
chr12	65019282
chr3	4821126
chr3	127842776
chr17	26684640
chr14	106048061
chr19	58920550
chr1	234406536
chr1	150622976
chr8	130682119
chr17	58948660
chr8	130548718
chr16	3912249
chr6	133171629
chr2	178977157
chr6	30035028
chr14	76444908
chr13	95149121
chr8	84635613
chr15	86754799
chr8	53323689
chr21	40531801
chr1	233751161
chr13	35064923
chr7	34889522
chr16	4069527
chr19	58920105
chr2	179779190
chr5	14628672
chr19	58816657
chr14	34547417
chr5	14776080
chr5	102898344
chr3	175980071
chr4	123453043
chr12	65876063
chr6	31027372
chr16	4818786
chr14	75398536
chr6	31036825
chr3	5247311
chr8	107217246
chr7	36330992
chr2	31208460
chr3	164924729
chr1	146822556
chr10	13743431
chr16	25137686
chr21	41076810
chr17	60495175
chr15	72268000
chr3	128399731
chr8	93010824
chr8	92845723
chr3	5020481
chr1	147797293
chr20	10468252
chr10	12645290
chr5	373294
chr1	147746953
chr9	109778897
chr6	30685425
chr5	44642343
chr5	137799871
chr9	109923783
chr11	57508772
chr6	149461368
chr7	127354097
chr5	14678384
chr9	37172956
chr16	4524815
chr15	98293276
chr17	49230915
chr12	39300597
chr5	127059442
chr11	72109320
chr5	168027610
chr14	36946185
chr5	21874897
chr5	141229424
chr7	111995899
chr7	43553608
chr14	107279069
chr20	43922550
chr12	19542270
chr2	242833176
chr7	43769155
chr1	117161892
chr22	30603281
chr2	127757230
chr16	84771435
chr3	193386342
chr13	22572669
chr5	141619248
chr8	107815828
chr12	17250731
chr9	88731065
chr12	75905429
chr14	24658150
chr2	243007185
chr16	10837858
chr14	106258233
chr19	8420678
chr20	43394363
chr16	10312507
chr5	76705933
chr10	29414108
chr14	73429801
chr1	228651496
chr2	11076508
chr8	95364847
chr15	69659901
chr4	186961171
chr15	81094846
chr5	180616001
chr1	228594539
chr11	73499056
chr16	46403859
chr15	81097570
chr12	20922316
chr2	243030808
chr5	38845937
chr4	1283478
chr4	185864863
chr5	141696686
chr3	82864029
chr14	72855347
chr12	76084445
chr15	94613796
chr3	10028563
chr7	4890269
chr11	73747786
chr13	112160635
chr1	116534734
chr11	33046748
chr9	88178994
chr16	33239035
chr16	33238006
chr19	48151742
chr7	108504078
chr8	125985592
chr2	242334410
chr5	77613662
chr12	77079252
chr5	36737820
chr8	96124944
chr15	20849497
chr9	116843254
chr8	96125736
chr6	155185014
chr4	31857558
chr11	33799865
chr2	39407580
chr3	133634754
chr3	133727519
chr4	83934391
chr14	52226913
chr17	63674782
chr19	5904902
chr2	10830129
chr4	18939550
chr16	33881368
chr5	77591668
chr1	227002934
chr2	39851371
chr20	44501506
chr9	116413148
chr9	116444705
chr16	11391520
chr16	11465745
chr2	39964992
chr21	42417675
chr8	95933009
chr5	76658670
chr3	132653428
chr13	41495924
chr15	95982715
chr1	120239755
chr21	41756593
chr19	11491871
chr10	23580658
chr3	22626155
chr16	48278165
chr14	74416978
chr4	190802494
chr21	41758408
chr19	46532352
chr17	19552335
chr14	74318470
chr9	112934931
chr11	44586644
chr9	90329852
chr1	182585434
chr14	60177276
chr6	31926860
chr2	36584894
chr1	182692485
chr1	119408437
chr17	61678224
chr1	565325
chr11	72497557
chr13	33499329
chr11	72123168
chr1	149680252
chr19	12405661
chr11	46163606
chr2	138570884
chr9	32573195
chr5	176853043
chr15	96433784
chr6	149867298
chr21	41711144
chr8	81883048
chr3	159599709
chr7	117783518
chr1	229850868
chr10	22760946
chr8	94577850
chr14	74628548
chr3	8480395
chr2	11606386
chr11	45868746
chr12	125401862
chr5	40408621
chr6	150071414
chr7	155142971
chr9	114312708
chr5	76326194
chr9	90093323
chr12	72233529
chr2	11185630
chr7	43404721
chr12	125322783
chr16	34760400
chr7	113726334
chr16	9862782
chr5	15903018
chr9	114613989
chr6	80350340
chr1	228939304
chr5	176537049
chr9	114654401
chr17	38655983
chr2	128848674
chr9	114699782
chr6	33217332
chr10	27608968
chr12	72058173
chr16	46417264
chr5	140070957
chr17	52552593
chr4	8994883
chr4	53668828
chr17	19656551
chr16	79351620
chr8	127272750
chr19	11039431
chr11	39183520
chr16	46422670
chr5	110866128
chr11	38271481
chr22	21187770
chr16	46420347
chr14	73925498
chr12	26288375
chr8	104588407
chr15	70213901
chr6	32381354
chr21	41997402
chr10	27443347
chr9	108006611
chr14	76618877
chr11	70917453
chr9	98980578
chr12	53584151
chr5	59055625
chr20	23623303
chr8	141210603
chr11	68671353
chr2	159580611
chr12	53693726
chr7	139088567
chr11	89956306
