Chrom	position
chr19	19030341
chr2	105953856
chr1	1590524
chr19	4791488
chr8	144623704
chr2	198364833
chr11	126138874
chr7	25165057
chr19	7694514
chr3	128598404
chr1	12040446
chr3	156892885
chr12	123380792
chr16	1470840
chr19	47987479
chr18	76829216
chr1	174968636
chr11	9482400
chr11	108535696
chr1	70671329
chr16	89557221
chr17	73663328
chr6	31926776
chr1	202317680
chr1	115124377
chr8	74884563
chr3	14693195
chr8	9413360
chr4	153457347
chr21	30397135
chr2	88991086
chr9	34049144
chr19	13858647
chr12	56367671
chr3	53926001
chr16	1832812
chr5	139781196
chr2	27712636
chr7	108166652
chr14	75745354
chr7	124569929
chr3	185655911
chr20	32398954
chr10	103912074
chr5	173043741
chr19	50145179
chr11	64885224
chr20	30697460
chr20	48532190
chr5	145562362
chr1	28241338
chr1	1655842
chr11	20408984
chr17	7475975
chr14	55738034
chr5	175964907
chr1	36689900
chr21	15755586
chr3	140660582
chr12	124118312
chr4	120375864
chr1	45965853
chr1	52344650
chr15	52861346
chr7	23221592
chr1	224180354
chr4	186347183
chr17	57697068
chr12	57039958
chr3	113775552
chr9	134955303
chr12	133022789
chr22	38453387
chr1	714082
chr11	119205174
chr9	97136611
chr2	70369885
chr11	82867984
chr3	16306505
chr7	132937715
chr16	3184899
chr3	150264444
chr10	97453760
chr10	85899254
chr14	50329639
chr3	119182493
chr4	39460600
chr15	93447616
chr14	68086483
chr7	65958584
chr3	186288314
chr11	17099325
chr1	9489044
chr9	94877707
chr20	62612469
chr16	72127609
chr3	10028552
chr11	64851654
chr7	1178028
chr11	73472377
chr1	1447442
chr7	66309977
chr1	155278517
chr6	144416774
chr3	99979811
chr9	138853296
chr5	159436080
chr2	237994509
chr2	68290161
chr10	116697953
chr12	133707100
chr17	43239096
chr6	139456121
chr15	91537934
chr1	26758794
chr5	43313785
chr1	229644108
chr7	1199898
chr4	492989
chr12	132628945
chr6	106773679
chr1	228297013
chr17	17942532
chr10	104005221
chr11	66112597
chr11	111749933
chr19	55851090
chr16	2022029
chr12	6772538
chr11	18655997
chr18	2571493
chr1	20834651
chr7	19748685
chr1	29557466
chr19	57874854
chr19	59055598
chr19	30097185
chr6	49431016
chr1	40626967
chr17	17380298
chr2	10830105
chr11	4116014
chr12	54121403
chr12	6833257
chr19	18682573
chr17	8059964
chr7	75795921
chr1	26496347
chr8	118532938
chr10	13203480
chr1	222817630
chr17	79093610
chr19	57751989
chr14	75725851
chr11	57425120
chr14	52456181
chr6	91297047
chr19	2783390
chr1	228291060
chr8	101162850
chr4	122745121
chr3	10362819
chr22	39101589
chr3	10068084
chr6	26597156
chr16	67261012
chr5	41904210
chr15	66679103
chr5	61708581
chr1	38156276
chr9	134000965
chr1	47779948
chr6	126661251
chr3	9005166
chr11	118230283
chr2	118572236
chr4	119512865
chr4	164088095
chr4	54232250
chr11	125462494
chr12	133758072
chr17	61851155
chr15	41047474
chr7	45808660
chr12	98987402
chr16	71879855
chr16	88772873
chr14	61447823
chr19	10527436
chr14	21737851
chr3	101396039
chr2	21022883
chr1	35658851
chr6	17707187
chr17	36981621
chr2	95831447
chr11	60609518
chr11	67195917
chr6	33359336
chr4	103940881
chr14	36278581
chr22	26879821
chr17	76837086
chr1	38478298
chr12	120884222
chr22	32058245
chr3	11314062
chr1	89357303
chr17	8152603
chr19	19496494
chr14	32030599
chr1	151432008
chr16	31128965
chr6	37400983
chr18	13726645
chr6	90529511
chr10	70287275
chr19	51014796
chr17	685578
chr7	44925219
chr5	86708762
chr9	139760869
chr7	72395577
chr7	150924445
chr1	153963184
chr11	77185438
chr9	33076679
chr1	145827069
chr22	19132284
chr9	99776081
chr17	57642936
chr16	81348508
chr20	55043662
chr13	45563649
chr5	130506570
chr14	75179850
chr4	148605372
chr10	102027436
chr10	74927842
chr20	54967546
chr16	87799598
chr19	51182815
chr15	34394152
chr9	27573832
chr16	75657205
chr1	171750670
chr6	126277839
chr7	93633700
chr20	2644868
chr19	45430507
chr21	45759318
chr3	185304044
chr5	70751423
chr1	53704211
chr7	23145320
chr12	27397037
chr16	89284068
chr12	108079521
chr6	10695091
chr11	63742009
chr18	61089761
chr16	1359144
chr1	153395142
chr1	111506768
chr20	44420569
chr7	129592820
chr19	10491366
chr20	62496584
chr3	51428620
chr13	41707089
chr22	38004628
chr3	44803176
chr20	16710627
chr9	132597583
chr20	23338776
chr16	28857757
chr20	33265044
chr6	170863417
chr13	49822031
chr22	38240566
chr4	57253673
chr9	2844294
chr2	29093183
chr14	55738840
chr14	73925468
chr5	64859099
chr11	6502606
chr9	140083056
chr17	38083893
chr12	53845739
chr19	49078136
chr18	158534
chr4	159593322
chr2	110962612
chr9	6015654
chr19	52531690
chr4	8430245
chr9	104160953
chr22	38054456
chr19	50879700
chr1	47644915
chr5	159546604
chr22	19159181
chr3	101280656
chr14	77924067
chr2	96931819
chr3	196295458
chr12	133562929
chr6	149867236
chr3	25706535
chr14	50583310
chr17	73775934
chr1	22379163
chr16	30645729
chr19	50379961
chr7	56019573
chr6	15248984
chr19	16683331
chr22	20104783
chr18	11851370
chr4	109541648
chr5	176881687
chr4	74124893
chr3	185000694
chr7	45151323
chr3	58291965
chr12	117176027
chr5	132202304
chr15	74988392
chr7	38217831
chr1	45241170
chr19	10362858
chr6	34725266
chr15	79165180
chr5	177580901
chr4	130014773
chr16	2318144
chr1	36554491
chr8	126104074
chr1	36107165
chr2	62115826
chr9	140100120
chr17	4607448
chr16	28833979
chr2	136499180
chr14	55493881
chr3	53164479
chr15	78591956
chr19	56652416
chr3	37034936
chr17	33288534
chr3	99536671
chr3	101405657
chr19	36103623
chr9	99382208
chr1	8014340
chr4	146019377
chr3	128369749
chr10	18940573
chr9	128003784
chr9	104296045
chr19	1652890
chr14	36789888
chr5	78810435
chr20	42286177
chr17	45973417
chr7	5553453
chr22	50683469
chr4	122722479
chr15	65426204
chr22	26908458
chr19	45418419
chr21	45209401
chr10	111971073
chr17	72869489
chr20	56293635
chr14	71067397
chr13	103498127
chr5	95297770
chr14	70233819
chr3	101292928
chr12	92539697
chr7	64541728
chr17	42264290
chr15	42264868
chr19	13056473
chr1	205719435
chr5	133304366
chr19	55987922
chr8	10697406
chr15	34517208
chr16	86588832
chr12	56862284
chr1	26324719
chr4	77997413
chr11	62607088
chr6	32920981
chr9	97488945
chr22	47158470
chr10	93683518
chr4	44680432
chr7	99647401
chr7	99149754
chr18	268066
chr4	20702026
chr6	36409382
chr6	27463561
chr2	220408723
chr9	127952131
chr1	150208534
chr2	234160219
chr19	50935017
chr2	46727454
chr6	8064733
chr3	52444047
chr16	71496156
chr17	41150377
chr6	117996579
chr19	50703466
chr5	137549126
chr7	107531579
chr9	130477988
chr9	26947284
chr7	152373362
chr11	62359099
chr13	46626922
chr6	32407568
chr16	70380751
chr16	58283844
chr6	30028980
chr19	56028474
chr6	34855849
chr15	23034415
chr20	47835893
chr19	40949175
chr7	66119444
chr3	23987440
chr19	44100515
chr19	56015291
chr21	43430417
chr19	3971243
chr3	124449263
chr4	926132
chr12	112856675
chr8	22526664
chr8	23104095
chr1	156737067
chr6	170151723
chr11	67374376
chr2	30670101
chr1	228674815
chr5	60628018
chr19	12807472
chr19	7600552
chr5	37371209
chr1	174992727
chr12	53400036
chr14	24769038
chr12	121454334
chr12	10766198
chr20	35234027
chr4	2538121
chr7	6144360
chr2	202316252
chr14	39644276
chr17	33894983
chr5	5422500
chr15	66084662
chr20	23342618
chr4	8442495
chr5	112849375
chr9	123342485
chr1	46049220
chr15	42841005
chr12	31882049
chr3	141457013
chr8	92082281
chr1	209957969
chr8	146017835
chr11	64889660
chr7	97736163
chr6	43027185
chr11	43702227
chr1	32110602
chr14	23775969
chr19	14063095
chr7	73097897
chr1	202976441
chr10	126605331
chr17	37558925
chr7	139025369
chr2	203879306
chr11	75110510
chr5	134074139
chr14	50053261
chr13	34392205
chr2	3622840
chr4	13629404
chr1	226187078
chr14	100150258
chr16	68057148
chr9	71394894
chr2	3605943
chr13	31040183
chr9	6008590
chr19	36505199
chr18	60382413
chr3	196230642
chr20	60758078
chr1	110527344
chr2	27008754
chr4	69215867
chr4	73935538
chr12	50419355
chr1	47184849
chr15	45003644
chr16	20753149
chr7	65447261
chr15	43785393
chr3	154042330
chr1	110950412
chr4	41992510
chr3	142166886
chr7	127225671
chr6	32098166
chr1	212458496
chr7	111846639
chr16	48644205
chr6	32908884
chr1	202896398
chr19	9546244
chr12	7047259
chr19	18215363
chr17	61627692
chr11	102217936
chr16	31085628
chr1	52870210
chr6	35227252
chr6	31830864
chr17	17875895
chr4	39367999
chr9	95432520
chr19	18668647
chr1	39456895
chr19	44079777
chr19	2962224
chr1	94344764
chr4	119199876
chr9	99179744
chr4	104119636
chr2	39005323
chr8	22102612
chr5	80597370
chr2	27579678
chr16	25118467
chr19	13001960
chr8	23386289
chr11	65479703
chr10	99161096
chr8	22462122
chr9	124855666
chr9	35072784
chr16	19535114
chr17	74722774
chr5	149790303
chr1	45205474
chr1	204381029
chr5	140943907
chr5	121297547
chr3	130465686
chr11	6640712
chr2	130939175
chr3	39093496
chr3	197687025
chr19	16187177
chr11	68671333
chr16	28565215
chr19	47617063
chr12	109531296
chr11	34127107
chr1	19536844
chr19	49375610
chr2	220110190
chr1	936277
chr1	202779970
chr1	115259408
chr21	30365328
chr16	85045163
chr11	72145676
chr16	67596256
chr2	74153948
chr2	242577061
chr1	231114773
chr7	112090454
chr12	112279790
chr10	102241452
chr17	17495116
chr8	37594116
chr17	1420055
chr17	41116508
chr2	74781569
chr11	74660251
chr2	39351554
chr8	64081068
chr6	32163722
chr5	140090834
chr11	18416065
chr14	36295453
chr5	1345289
chr3	179322459
chr15	45571467
chr1	44820977
chr6	111195922
chr14	76127532
chr1	28655448
chr14	91976910
chr6	108879797
chr6	31430864
chr7	30174300
chr4	106629914
chr5	140098484
chr14	21979559
chr11	62389671
chr6	34664744
chr19	984323
chr16	279476
chr7	39772978
chr18	55289061
chr6	30457185
chr7	65235846
chr15	57998801
chr3	57583193
chr3	156878014
chr15	73076119
chr5	60704664
chr16	67927144
chr16	23568704
chr2	73053203
chr16	25123034
chr19	49990805
chr2	73520816
chr1	184724096
chr8	145743339
chr1	202311221
chr11	12695885
chr20	25677563
chr1	154600475
chr17	33905594
chr19	8386284
chr1	51425977
chr11	59383543
chr16	89766749
chr11	65381811
chr12	49454621
chr22	50946645
chr2	197504279
chr3	196669496
chr6	56954891
chr9	130186666
chr16	48278173
chr1	28052323
chr19	55517525
chr20	17949501
chr3	93698971
chr12	65563313
chr12	16035310
chr9	134248870
chr7	99933709
chr11	10562775
chr12	117257243
chr5	149789515
chr9	33001635
chr7	55434012
chr1	6845184
chr9	91925754
chr11	76155756
chr19	50979565
chr6	32812517
chr9	131644369
chr15	63481626
chr8	125486918
chr20	35918032
chr11	8008746
chr7	156685985
chr12	90103490
chr9	32573173
chr13	111805976
chr16	53737952
chr18	2655167
chr20	5093754
chr17	37010098
chr7	44887917
chr14	24682746
chr16	88636813
chr4	122791644
chr6	74230879
chr2	132250637
chr3	158288910
chr19	797183
chr4	123073454
chr19	48972410
chr6	43597115
chr3	45017730
chr4	83350672
chr20	18774709
chr11	108338247
chr2	28114152
chr4	4249973
chr14	88851981
chr15	50716561
chr13	60738140
chr7	141438141
chr11	72433641
chr7	102036806
chr12	42719950
chr3	112280067
chr1	85742256
chr19	46009828
chr19	41283514
chr19	9695219
chr18	60190169
chr12	120639054
chr12	72233529
chr9	135753708
chr7	23571669
chr7	27702689
chr6	37225473
chr16	3285204
chr6	29617964
chr20	24973437
chr13	101327263
chr3	155572431
chr19	17462803
chr16	88729662
chr13	113863014
chr17	28443818
chr20	32700166
chr9	123555708
chr12	58087851
chr1	109289215
chr19	36036468
chr3	123442636
chr13	103249220
chr9	82186531
chr1	220219919
