Chrom	position
chr7	48019308
chr21	16813624
chr16	2034180
chr5	49814
chr13	113344151
chr17	4396738
chr19	727304
chr2	201232069
chr8	142238762
chr3	45680706
chr7	123438279
chr6	8085461
chr18	68089542
chr8	53608012
chr1	155961076
chr7	4681621
chr22	20104992
chr5	149730244
chr20	43321811
chr17	7740187
chr1	156056200
chr1	65364033
chr2	28113254
chr3	194215197
chr3	44400821
chr7	116764859
chr6	132272651
chr16	16090710
chr18	30812171
chr1	235093283
chr22	39570994
chr17	80023794
chr12	54688152
chr19	13162584
chr6	76234262
chr19	980678
chr22	47158796
chr2	138721815
chr9	132176977
chr1	27934010
chr5	150505924
chr7	101034316
chr11	65186354
chr11	19529857
chr3	49195734
chr17	6374175
chr2	175901468
chr2	15874105
chr8	134228882
chr13	101045184
chr8	10657478
chr19	6738161
chr1	228640367
chr1	8728443
chr7	17448351
chr12	57395424
chr1	1175341
chr1	90071450
chr7	137685264
chr8	125488634
chr1	201139827
chr15	42222665
chr19	59069546
chr3	12447462
chr19	1205424
chr11	62539107
chr13	50819379
chr9	38195899
chr4	84176940
chr13	115046956
chr19	46220858
chr17	37027901
chr17	38705777
chr9	123493133
chr2	99029542
chr5	76101949
chr4	89083969
chr8	39912315
chr4	111119893
chr11	66206310
chr21	16582764
chr12	115237609
chr16	69793
chr19	17208588
chr4	53886154
chr9	34652189
chr19	10197343
chr5	149509718
chr2	15906660
chr8	13215050
chr8	224584
chr12	95467334
chr3	158443565
chr1	100596343
chr10	94652284
chr6	101396735
chr7	103301214
chr15	39656157
chr9	95871658
chr1	32039620
chr19	11511770
chr19	49713449
chr19	51294431
chr7	107886914
chr15	89009257
chr3	24493345
chr2	230786995
chr22	24921531
chr12	46824361
chr3	31330379
chr3	5180123
chr19	42937920
chr16	29302329
chr1	246859931
chr4	129439255
chr14	84283320
chr2	101741660
chr11	66601950
chr3	60827252
chr9	131908333
chr1	235111153
chr3	49203852
chr19	41256226
chr2	192731963
chr16	8954188
chr6	11055605
chr12	76371894
chr12	1922257
chr15	74838677
chr8	80942484
chr2	122338594
chr7	101331541
chr3	166547848
chr2	219433501
chr18	21656337
chr19	18303839
chr19	49099692
chr11	116943409
chr12	95712037
chr6	30663325
chr14	74262830
chr10	21814825
chr16	85325332
chr2	164205724
chr10	98437387
chr3	171847878
chr2	55336889
chr20	62339251
chr16	75279193
chr19	2783453
chr11	118868856
chr21	45432631
chr11	120581371
chr21	37582592
chr5	72251241
chr5	55507462
chr7	87856377
chr19	58987381
chr6	47079682
chr6	160148089
chr1	43855601
chr20	32978799
chr1	32404165
chr2	36608344
chr14	91616046
chr15	96303935
chr17	26697432
chr3	15900507
chr14	93502660
chr22	43659393
chr6	70506882
chr9	86500615
chr15	77359842
chr5	139088995
chr14	68936203
chr6	82957609
chr18	9870034
chr9	127148642
chr13	20193313
chr2	23897344
chr17	69081582
