Chrom	position
chr18	19192404
chr5	154134543
chr5	43120975
chr7	4681734
chr9	95056058
chr2	70314086
chr2	242640964
chr1	93297734
chr2	198364640
chr20	17949339
chr7	45026109
chr4	164415860
chr17	61851217
chr20	37063896
chr2	172864925
chr17	40985349
chr1	245026515
chr1	45241354
chr9	136203223
chr2	38978345
chr3	12882915
chr1	101491568
chr3	52720072
chr7	45151287
chr8	101734836
chr12	54674804
chr19	5790860
chr17	49230956
chr3	184032564
chr7	6049073
chr19	10217065
chr12	112847246
chr19	56166810
chr12	69979390
chr9	91933312
chr11	18415998
chr8	109260804
chr17	17495003
chr5	111496669
chr2	10260824
chr2	203130708
chr12	58165884
chr15	41407879
chr6	90529510
chr3	40498975
chr11	62623530
chr11	73499127
chr5	81574034
chr3	131221745
chr6	35436255
chr3	127842658
chr4	152020904
chr6	74230570
chr9	135545337
chr17	37009889
chr17	7475866
chr1	156308287
chr10	79793719
chr1	43148750
chr8	22102821
chr1	203830755
chr17	27047164
chr17	73892830
chr2	3622965
chr19	18043535
chr2	68385041
chr12	21810350
chr1	67896267
chr15	89164580
chr16	89627220
chr17	33469324
chr17	48796944
chr11	73587811
chr11	33182879
chr5	170815577
chr14	59950819
chr17	49244103
chr17	1303444
chr3	52029831
chr5	10250646
chr11	34127194
chr16	23568659
chr2	75062144
chr19	30433047
chr9	19380127
chr12	64616037
chr20	18118504
chr12	2922070
chr10	120924982
chr3	193852894
chr2	70141465
chr5	40835255
chr15	93352577
chr16	2014760
chr2	62115666
chr14	24658055
chr19	5690388
chr3	39448373
chr12	49454665
chr1	46016495
chr16	70557851
chr1	53163813
chr16	11945371
chr22	36925141
chr9	127624129
chr8	67341291
chr11	63439051
chr22	21983638
chr16	18801549
chr6	13615429
chr2	109335835
chr6	114292668
chr12	57119062
chr20	305146
chr11	75110679
chr1	43147813
chr19	1407332
chr17	42148057
chr5	149829208
chr7	66386067
chr9	71650725
chr13	30169200
chr7	44162911
chr11	60609546
chr5	180670784
chr2	27440330
chr19	9695172
chr6	31763490
chr1	31538574
chr1	38478167
chr2	15731837
chr7	99679574
chr17	75084789
chr8	144911500
chr12	117348711
chr17	37356645
chr7	22893952
chr12	120638880
chr10	5855769
