Chrom	position
chr19	48637743
chr2	238288869
chr17	40099358
chr20	3811899
chr17	55238444
chr19	7903696
chr3	23945929
chr19	48634632
chr12	26114513
chr12	107093899
chr17	40100705
chr1	160101244
chr17	40108332
chr11	45847286
chr3	4868503
chr11	65890592
chr17	8152506
chr1	7784196
chr19	797101
chr1	27725787
chr17	40069036
chr11	45859874
chr22	31290884
chr18	9136713
chr13	27424623
chr17	55264916
chr10	86971447
chr17	8156499
chr1	150282436
chr19	40570710
chr1	211579245
chr12	6891202
chr13	113297076
chr1	203861539
chr22	41367258
chr19	45178454
chr16	3500925
chr12	112013376
chr15	82647710
chr12	45990792
chr1	26473110
chr17	38297011
chr11	67391881
chr9	133149536
chr19	10654067
chr17	78840857
chr9	94165938
chr16	83953114
chr3	23945274
chr12	8027124
chr17	997048
chr11	64092605
chr17	8156604
chr1	154220672
chr2	70142888
chr1	203026311
chr20	33489825
chr2	237966913
chr17	44327000
chr1	11806184
chr1	25906494
chr15	73633536
chr1	61057066
chr19	55461717
chr22	41381804
chr10	6163764
chr8	108443558
chr14	61695255
chr17	47492657
chr17	8154390
chr7	96322170
chr17	75183070
chr17	7572570
chr10	131982038
chr6	53548177
chr1	1304864
chr19	41397393
chr5	154755055
chr2	30146614
chr1	145996711
chr8	28402107
chr22	19432405
chr17	8249333
chr16	1475070
chr15	68230102
chr18	54269392
chr3	105366674
chr10	49539124
chr22	49970926
chr15	63600802
chr9	124771614
chr22	41381401
chr1	38859885
chr20	57718660
chr16	75234132
chr12	116738232
chr22	41381238
chr17	8156705
chr8	61714624
chr1	32013632
chr3	184314487
chr15	97960487
chr3	9649332
chr19	48954808
chr2	216109227
chr12	57752509
chr19	6199649
chr1	231337960
chr17	40113339
chr19	5978246
chr17	75979635
chr19	2977406
chr19	40662983
chr15	52019107
chr10	91633207
chr17	44070689
chr22	32532849
chr3	170908814
chr19	11482709
chr16	4943400
chr2	238320465
chr5	173056308
chr2	20351018
chr3	93470553
chr13	31161995
chr5	131797099
chr2	202634742
chr5	49666215
chr6	150866329
chr1	125180189
chr10	97687556
chr17	81481528
chr16	23510543
chr6	122399538
chr1	154558876
chr17	3892291
chr16	74368280
chr2	112645424
chr4	83013137
chr5	49601591
chr7	876381
chr17	17206520
chr22	20858858
chr12	26523938
chr16	46390534
chr11	60842034
chr17	7835684
chr19	15125643
chr19	36054475
chr10	67884582
chr3	47476025
chr10	102918158
chr11	65712000
chr19	48635575
chr17	16438706
chr11	47642513
chr1	7771230
chr16	46386428
chr20	23358318
chr16	46394815
chr12	26124998
chr8	134832499
chr5	170484295
chr17	82288184
chr11	66958640
chr14	100238710
chr10	69124156
chr4	47463699
chr17	2030159
chr6	43181984
chr19	29844450
chr16	21520632
chr19	17419963
chr19	12791339
chr17	26603912
chr7	73522518
chr16	34588074
chr3	52057315
chr14	55107962
chr16	88857076
chr17	5282196
chr9	127699376
chr22	41022662
chr9	92325795
chr19	5720308
chr1	173868193
chr5	49602063
chr5	49659883
chr5	171388571
chr6	7313318
chr2	10043393
chr5	140564784
chr8	10839978
chr3	128879505
chr4	37686690
chr20	63956636
chr17	19362689
chr22	36507120
chr19	35319186
chr16	11851554
chr1	26432210
chr12	1660441
chr6	163414099
chr3	148991530
chr19	7944062
chr1	15526669
chr19	48619341
chr4	56436356
chr21	28885397
chr17	2392797
chr8	101205897
chr2	240560225
chr2	64751458
chr16	87388513
chr16	1408393
chr1	150926325
chr1	43974880
chr3	4987008
chr3	150763175
chr12	133037375
chr9	35657889
chr3	8997074
chr16	46401440
chr8	102412935
chr1	7784125
chr16	34588530
chr2	120223188
chr16	2205783
chr1	1909421
chr22	26659084
chr16	31033250
chr7	876467
chr17	4365258
chr7	1474239
chr7	107168642
chr10	100186063
chr22	22298108
chr19	11090451
chr18	80108996
chr11	18322497
chr16	2520378
chr8	124998350
chr11	63681395
chr4	88593286
chr16	46400131
chr17	25920207
chr3	194135068
chr3	184186056
chr12	6778823
chr6	10722968
chr9	35116328
chr2	231710371
chr6	14744165
chr17	7836907
chr10	77874064
chr3	136752606
chr6	26204508
chr14	47676082
chr2	3519077
chr2	218710826
chr8	140512072
chr19	39412289
chr1	10472575
chr11	121024067
chr4	49149467
chr11	126211734
chr17	76182432
chr19	5622942
chr1	38046987
chr19	49877438
chr13	30395650
chr20	324487
chr3	20186258
chr17	74960941
chr11	506847
chr8	144291441
chr1	150269052
chr16	46398912
chr6	143843433
chr1	22451797
chr19	46661463
chr11	43548161
chr18	13726635
chr19	40832005
chr21	43728664
chr3	4467239
chr3	16060608
chr10	102117898
chr1	143264684
chr7	100148909
chr5	146447061
chr16	46387925
chr9	6681349
chr13	18212121
chr3	51941961
chr4	18021848
chr10	102120454
chr20	23362023
chr7	74174173
chr16	46388720
chr19	55160743
chr10	101830764
chr14	101948300
chr8	133375734
chr11	66328462
chr11	537327
chr22	50525629
chr20	44966419
chr16	66880868
chr11	114439394
chr2	74507334
chr3	112561972
chr15	37100715
chr11	65487756
chr2	215312053
chr8	37736595
chr12	8032632
chr12	132615112
chr20	35092901
chr22	48606085
chr17	82497253
chr17	79797222
chr15	93036072
chr15	43792071
chr20	25195666
chr17	28319042
chr16	34581460
chr19	49665942
chr10	50067890
chr16	3283433
chr2	113199369
chr19	7198161
chr11	47408457
chr4	56435466
chr1	201435920
chr17	782321
chr8	142943817
chr16	14632878
chr11	66856595
chr9	129626356
chr16	24539440
chr5	142013085
chr9	130444961
chr19	14496372
chr8	73356522
chr6	151452202
chr14	20455184
chr14	77098130
chr11	65497569
chr4	49709411
chr16	30748183
chr5	1799866
chr7	100706048
chr17	42998321
chr6	43014191
chr7	101138669
chr11	69437135
chr22	18892501
chr10	43574538
chr19	38851953
chr9	121278952
chr3	126356014
chr15	72118218
chr15	83447361
chr9	122159807
chr14	20461718
chr1	43991540
chr7	149234
chr17	7561836
chr22	21736014
chr2	99155003
chr9	128787148
chr7	44796594
chr17	39144594
chr14	54489060
chr11	844059
chr6	30744757
chr7	149028841
chr6	30617425
chr22	40951279
chr5	95646786
chr11	61333145
chr9	109321191
chr17	28951641
chr3	194136020
chr1	7783944
chr4	185204069
chr3	4979218
chr7	1044450
chr12	1662095
chr16	34573089
chr19	12722726
chr19	12890685
chr4	49153246
chr11	65261838
chr2	264897
chr19	2900404
chr7	4682214
chr5	160439468
chr5	151771893
chr20	21303325
chr12	120904435
chr5	134371096
chr10	74176588
chr16	34592743
chr17	26594898
chr9	89310925
chr10	45594901
chr9	91197428
chr14	65102508
chr1	173477021
chr3	4978357
chr11	61917543
chr15	101277486
chr12	6724273
chr19	10096263
chr3	51391197
chr1	150257154
chr9	130693545
chr7	151539141
chr20	2101971
chr7	6009376
chr11	36289447
chr19	10960820
chr2	38720773
chr6	53545131
chr7	87876411
chr15	84571084
chr19	12945779
chr1	155081099
chr2	191020391
chr8	102807597
chr8	143815884
chr17	2401712
chr17	2399696
chr11	34105641
chr12	52203202
chr12	122752696
chr3	50292555
chr12	57520696
chr7	130070433
chr19	40750527
chr1	2227843
chr11	65422335
chr6	159727021
chr11	59669157
chr11	70399954
chr19	38849448
chr9	34989548
chr17	17237294
chr3	57556060
chr1	151832828
chr12	49070032
chr19	38335702
chr9	136118896
chr19	45456036
chr7	4775614
chr7	30284321
chr19	34359343
chr12	53938653
chr6	145735668
chr8	101205687
chr11	68008559
chr3	136250448
chr8	144094644
chr15	56040654
chr4	82891233
chr19	7294442
chr17	81711902
chr20	50645775
chr9	97922295
chr17	38675105
chr12	84912875
chr19	2491498
chr5	49661486
chr9	90102427
chr17	77255604
chr3	23917009
chr16	85421022
chr13	30617750
chr5	132556975
chr15	44663675
chr10	102714528
chr16	46390711
chr3	124835097
chr8	38528247
chr17	80575560
chr20	38962207
chr22	41544520
chr11	65888585
chr22	41418090
chr8	28401452
chr7	102363811
chr7	102274011
chr12	88035471
chr16	11668335
chr2	68252668
chr16	1964923
chr17	40140244
chr6	143450752
chr2	64839137
chr8	95133525
chr16	71553297
chr3	140941663
chr16	46399390
chr12	19439500
chr18	37299816
chr19	38316019
chr18	37579031
chr17	15699654
chr3	149813150
chr7	1928751
chr12	104064423
chr7	76303830
chr4	107720369
chr6	143061109
chr5	106873794
chr3	157160248
chr4	2413166
chr16	75245660
chr15	40103506
chr12	58877409
chr12	56449324
chr18	62522755
chr19	49677571
chr12	120087179
chr15	89068517
chr19	12938470
chr2	36966599
chr12	109093471
chr7	101126530
chr17	2711830
chr11	12044145
chr19	4034656
chr1	28885079
chr16	88663268
chr2	27086642
chr5	139198374
chr11	18394461
chr2	27119263
chr7	25125477
chr22	41381863
chr14	77059817
chr10	45727187
chr7	108526379
chr5	75336924
chr1	235128968
chr1	77682768
chr17	8200215
chr6	44257345
chr16	28974716
chr10	43407896
chr16	34595220
chr2	232628960
chr3	184812146
chr19	1407373
chr17	8151326
chr19	18683527
chr16	21502279
chr2	197705306
chr17	77099109
chr19	16660217
chr19	16628378
chr3	196942485
chr9	33290520
chr9	92293785
chr11	66958693
chr17	37609448
chr17	36534896
chr22	23839222
chr11	68121480
chr9	136950171
chr6	157764681
chr19	1240296
chr17	73092743
chr19	8240544
chr16	34574283
chr9	137086885
chr9	127159471
chr4	68350166
chr20	45358457
chr1	27012972
chr18	23453151
chr9	38047963
chr16	67018113
chr21	10325840
chr12	6423701
chr12	50112198
chr7	105522120
chr17	36948774
chr2	46698751
chr5	49661084
chr2	71068646
chr11	115941588
chr8	100952076
chr3	128726068
chr16	87723406
chr6	109382552
chr22	26801137
chr19	531577
chr1	43650114
chr1	89524394
chr18	9102658
chr5	1113229
chr22	19855000
chr5	112737848
chr10	22321000
chr5	177517071
chr11	9759847
chr6	87155511
chr16	70114198
chr17	75785031
chr3	128617734
chr1	88684242
chr4	83618634
chr20	63981082
chr12	122266430
chr22	43143318
chr17	2401166
chr12	3873478
chr1	150321441
chr1	32817344
chr19	40426072
chr17	7012399
chr3	49786765
chr17	44324885
chr8	142403213
chr19	3266891
chr20	13784961
chr17	8153746
chr12	54280246
chr17	8190279
chr1	15835955
chr1	113812489
chr11	64241038
chr2	223957432
chr4	52712328
chr2	170476154
chr19	40799131
chr1	143253010
chr12	55716033
chr7	75915061
chr19	35775444
chr2	68157933
chr6	43576048
chr2	96550244
chr8	142453233
chr6	33418365
chr12	107093677
chr19	5035978
chr17	64506728
chr2	99490355
chr10	31032276
chr19	4670324
chr15	100342146
chr11	65418849
chr20	37406679
chr19	4400681
chr6	37051550
chr16	30417995
chr22	21001805
chr6	158232199
chr19	42268416
chr1	1000871
chr2	159788435
chr1	235070301
chr17	60677384
chr20	35742360
chr3	10248283
chr11	119067763
chr19	572434
chr16	89395405
chr1	143184811
chr19	47515243
chr1	36224276
chr16	4416824
chr9	121202115
chr6	152983288
chr11	64048195
chr2	189661386
chr17	26885783
chr11	1541702
chr3	50337493
chr1	40161329
chr1	41353910
chr7	726615
chr17	77958516
chr11	63671698
chr12	57112202
chr7	12686613
chr12	71754839
chr18	24397927
chr10	41875442
chr19	53520966
chr9	36190813
chr17	44138444
chr10	132332120
chr18	50281665
chr11	17895102
chr12	53493055
chr3	195443281
chr20	3808289
chr16	75565186
chr5	120458054
chr9	128947652
chr10	58269076
chr4	87073949
chr2	239401629
chr2	46915957
chr16	89502628
chr1	28233018
chr4	68368961
chr10	110460611
chr1	35869812
chr11	65919329
chr14	65102625
chr12	49673679
chr15	74826491
chr14	60724277
chr15	64989550
chr10	97334894
chr18	63161948
chr3	157174996
chr19	797889
chr1	112956328
chr2	119004760
chr11	925817
chr2	27370471
chr7	153808295
chr22	30207124
chr17	58417638
chr6	149749689
chr12	68746084
chr7	66920995
chr17	40140456
chr15	88621332
chr1	155244774
chr10	102645013
chr6	33418287
chr3	38346767
chr17	4498706
chr19	11530639
chr14	93333110
chr14	76812894
chr10	72626014
chr19	42325382
chr4	118836556
chr14	81221044
chr17	3668729
chr4	39569052
chr12	111599611
chr11	64359061
chr7	2508438
chr15	101251943
chr17	7239754
chr2	27356865
chr1	3531688
chr16	14501753
chr3	159775710
chr14	27826349
chr17	7234582
